,Age & BMI,"HRV
(average of nights)"
fBin__100,0.056018032615691896,0.0077827927701338995
fBin__102,0.080251539645315,0.07074395665926836
fBin__103,0.0193429337287771,-0.01584421362441095
fBin__104,0.0611755776726023,0.0487098876534754
fBin__106,0.0373189744341446,0.06487473443036545
fBin__108,0.0277696897684836,0.0046703871699046995
fBin__121,0.0522948637621923,0.0394429520140739
fBin__14,0.0512212543082476,0.04874424610218195
fBin__145,-0.021989003442901098,-0.0037325626501998497
fBin__149,0.0479003630268829,0.05924345089963795
fBin__152,0.0272002990664348,-0.0045513345050285006
fBin__159,0.037750174704874906,0.01863709058611945
fBin__17,0.05208231063996835,0.03023744858360045
fBin__181,0.010101446822774,0.03714907997357485
fBin__187,-0.0009342905810369501,-0.0085146399313378
fBin__188,-0.0060717657260795,-0.014490597647260049
fBin__189,-0.03372511371135885,-0.005215719345795
fBin__205,-0.012234397942798451,-0.009713788788524
fBin__207,-0.02834493470905145,-0.00460583871288495
fBin__217,-0.0301019719900256,-0.00737125059860615
fBin__219,-0.0016378405748564001,0.02424178677193775
fBin__220,0.010519684445608801,0.0221057573652939
fBin__223,0.022890093313583902,0.02154529683913485
fBin__247,0.024726372908440902,-0.0119212261622756
fBin__249,0.021277366007462002,0.0244283852982193
fBin__257,0.08831566490012885,0.07544033330509706
fBin__262,0.06427024293173911,0.0894879330267351
fBin__263,0.07789119800041565,0.07714471240443475
fBin__27,-0.0358650169147842,-0.02243273660944875
fBin__270,0.08049758619209366,0.0008426594719926
fBin__273,0.013329123925814701,-0.02363066537173035
fBin__274,0.0506886813249535,0.04172250719357115
fBin__275,-0.01241429491731405,0.017800984404621
fBin__28,0.00437575437516805,-0.00856737108106515
fBin__280,0.010316593779528,0.06911660714181089
fBin__281,-0.039630816941338354,-0.005036676293745251
fBin__283,0.0484937147412373,0.0313177507432157
fBin__287,-0.0223410670596067,0.029967863911041698
fBin__296,0.0063573844443676,0.01954471389963095
fBin__3,0.0102855612699191,0.033465584537697504
fBin__305,0.0099082364859946,0.05057370091606165
fBin__307,-0.0340644938796164,0.02305584281672905
fBin__309,0.0404728402709824,0.08360663029999095
fBin__310,-0.02680634941175395,0.02034769602431155
fBin__311,0.0091711456163306,-0.023839480445615603
fBin__312,0.0478691503230926,0.047251913234675
fBin__314,0.03999902694088145,0.0223565338076455
fBin__318,-0.008855324204928901,0.0077483505557937
fBin__319,0.0335604394902865,0.015838920836530053
fBin__320,-0.0097176821463424,0.043931793208168604
fBin__321,0.05168806572328155,0.04389851670705875
fBin__323,-0.007354444878447049,0.03770509836696355
fBin__325,-0.0281255066675862,0.00931696614976065
fBin__328,0.0332153852419598,0.015367023061028651
fBin__332,0.01464288431329865,0.0135904100535322
fBin__334,0.06277796822519374,0.0283429580910269
fBin__337,0.030337774039126048,0.042351703001787394
fBin__338,0.00480808832231275,0.01521788724903575
fBin__339,0.0012463855506509502,0.00546831672515675
fBin__34,0.0388862952805666,-0.004972574556269449
fBin__340,0.02667716308888295,0.01275391588460215
fBin__345,0.01564561724460835,0.03534585708035195
fBin__35,-0.0214111330701422,0.0100444752665828
fBin__351,0.02064000567395345,0.020852583095619853
fBin__356,0.0356644097178668,0.014354568834311299
fBin__357,0.03206955733142215,0.017085356994199448
fBin__359,0.027751250457500848,0.06370072559972981
fBin__36,0.0439643637085233,0.01362333742081825
fBin__364,0.034116494233644504,-0.01053904815327195
fBin__366,-0.0037504113095275,0.03314192457638225
fBin__367,0.0343616819151317,0.01913190302197855
fBin__369,0.042470573986110455,0.05279395483554355
fBin__37,0.00239943857811095,0.0248128969067557
fBin__371,0.0096775271840828,0.00586562009970775
fBin__372,0.01194326979544625,0.01567679664895745
fBin__373,0.03672584705951305,-0.01214455587404525
fBin__374,0.0615214216130954,0.041401360788658054
fBin__375,0.02326234502271715,0.02156728206723435
fBin__376,0.0279838239892919,-0.01080760305913155
fBin__379,-0.02055272825736385,-0.00373780566028645
fBin__381,0.06480836400005445,0.03723736233025135
fBin__382,-0.0082738229359105,-0.02018922830084835
fBin__383,0.0384302949938677,0.0540376168446818
fBin__384,0.00274039926762,-0.014329884090424301
fBin__386,0.05892768458051255,0.0138196773806503
fBin__387,0.051234348131235646,0.0555756637746712
fBin__388,0.0057275169481993005,0.0074207421708079
fBin__393,-0.01370428499006395,0.0094112973785256
fBin__395,0.0119571738962064,0.06101177598111275
fBin__416,-0.009203929050064851,-0.00813523132144535
fBin__418,0.029819688053500798,-0.00601001877473175
fBin__423,0.0006273629711956001,0.01258938766028575
fBin__424,0.02005711660118035,0.03051727655439355
fBin__43,0.03181961285685825,0.03064831310228915
fBin__441,0.0682749319245045,0.0618685051902566
fBin__45,0.02373786188562305,0.0012305942206947
fBin__451,0.00310271449613345,0.01169940631441985
fBin__452,0.0279816716045746,0.0235793762964355
fBin__453,0.0388983239087672,0.045392434749942
fBin__454,0.03966337974205525,0.06986410011341784
fBin__455,0.02493536732248855,0.0077583723761118
