,Age & BMI,"HRV
(measured during sleep)"
fBin__100,-0.02867797588700865,-0.02867797588700865
fBin__102,0.0011789723151002,0.0017147365767163501
fBin__103,-0.032576918235053404,-0.032576918235053404
fBin__104,-0.0316263384104461,-0.0316263384104461
fBin__106,-0.03113301687977725,-0.03113301687977725
fBin__108,-0.03131926556235215,-0.03131926556235215
fBin__121,-0.01302127676850315,-0.01302127676850315
fBin__14,-0.0315225072484929,-0.03152250724849285
fBin__145,-0.0291306945614241,-0.02913069456142415
fBin__149,-0.0307005800693968,-0.0307005800693969
fBin__159,-0.03259462609372735,-0.0325946260937274
fBin__17,-0.0310182208883905,-0.0310182208883905
fBin__181,-0.02764340193418175,-0.02764340193418175
fBin__187,-0.0329491085660819,-0.03294910856608195
fBin__188,-0.031892654527484646,-0.03189265452748455
fBin__205,-0.02954206081982655,-0.02954206081982655
fBin__207,-0.0310386671603569,-0.0310386671603569
fBin__217,-0.03641438328329345,-0.03641438328329345
fBin__219,-0.0352309514439964,-0.0352309514439964
fBin__223,-0.0301212500485833,-0.0301212500485833
fBin__224,-0.03243094960278545,-0.03243094960278545
fBin__225,-0.028323490673709352,-0.028323490673709352
fBin__247,-0.031700263221322744,-0.0317002632213229
fBin__249,-0.0298169201635759,-0.0298169201635759
fBin__257,0.12647008307361335,0.17589105120420945
fBin__262,0.0630503789420537,0.1395743784707426
fBin__263,0.1053481223392798,0.1406785013701003
fBin__27,-0.030982213251061798,-0.030982213251061798
fBin__270,0.0783158738249599,0.0810530761831797
fBin__273,-0.03142439323211505,-0.03142439323211505
fBin__274,-0.0355337694421129,-0.034091522168645
fBin__275,-0.0333476057860598,-0.033347605786059845
fBin__28,-0.02946601465333325,-0.02946601465333325
fBin__280,-0.03137012077081085,-0.03137012077081085
fBin__281,-0.0338152227401052,-0.0338152227401052
fBin__283,-0.0272389784375144,-0.0272389784375144
fBin__287,-0.03392162590561805,-0.03392162590561805
fBin__296,-0.03193873226301975,-0.03193873226301975
fBin__3,-0.02970354456387775,-0.02970354456387775
fBin__305,-0.0337974452960948,-0.0337974452960948
fBin__307,-0.029540889952449752,-0.0295408899524498
fBin__309,-0.0344937553771109,-0.03449375537711095
fBin__310,-0.03441852758771975,-0.03441852758771975
fBin__311,-0.03141630604480175,-0.03141630604480175
fBin__312,-0.0311234718959991,-0.0311234718959991
fBin__314,-0.03056769937797,-0.03056769937797
fBin__318,-0.030757927142137098,-0.03075792714213705
fBin__319,-0.038048930219080804,-0.038048930219080845
fBin__320,-0.012437683331038,-0.012437683331038
fBin__321,-0.0308705656396501,-0.0308705656396501
fBin__323,-0.0295435977890333,-0.0295435977890333
fBin__325,-0.0301166628388056,-0.0301166628388056
fBin__332,-0.0315501070979915,-0.03155010709799145
fBin__334,-0.0303929853601489,-0.03039298536014885
fBin__337,-0.032224709712065,-0.032224709712065
fBin__338,-0.031999219385845254,-0.031999219385845254
fBin__339,-0.0315509251253234,-0.0315509251253234
fBin__340,-0.0294362453016205,-0.02943624530162055
fBin__344,-0.0275483310299111,-0.027548331029911
fBin__345,-0.032378356472140546,-0.032378356472140546
fBin__35,-0.0309622471139273,-0.0309622471139273
fBin__351,-0.032255752714234795,-0.032255752714234795
fBin__354,-0.0290443208564417,-0.0290443208564417
fBin__355,-0.032494794935904445,-0.032494794935904445
fBin__356,-0.0310059417901234,-0.0310059417901234
fBin__357,-0.0310172229890665,-0.0310172229890665
fBin__358,-0.031252859443246156,-0.031252859443246156
fBin__359,-0.0303131711975306,-0.0303131711975306
fBin__364,-0.0316178596548745,-0.0316178596548745
fBin__366,-0.028163561004892097,-0.0234790009410407
fBin__367,-0.0334801588890056,-0.0334801588890056
fBin__369,-0.02816204164064955,-0.02816204164064955
fBin__37,-0.0329579977008629,-0.0329579977008629
fBin__371,-0.03569099494552025,-0.03569099494552025
fBin__372,-0.0343490146669168,-0.0343490146669168
fBin__373,-0.031555437584857,-0.031555437584857
fBin__374,-0.0323264900018376,-0.0323264900018376
fBin__375,-0.03229694606657655,-0.03229694606657655
fBin__376,-0.026214531057161553,-0.026214531057161553
fBin__379,-0.0289609750448131,-0.0289609750448131
fBin__381,-0.0293190603307684,-0.0293190603307684
fBin__382,-0.03544971812037925,-0.03544971812037925
fBin__383,-0.03199125549687585,-0.03199125549687585
fBin__384,-0.0304088497106195,-0.0304088497106195
fBin__386,-0.0336890199288589,-0.0336890199288589
fBin__387,-0.03039761699786625,-0.03039761699786625
fBin__388,-0.03452049759103165,-0.03452049759103155
fBin__393,-0.0321084765682503,-0.0321084765682503
fBin__395,-0.035101960286549244,-0.035101960286549244
fBin__416,-0.032781554270106594,-0.0327815542701066
fBin__418,-0.0315722163214522,-0.0315722163214522
fBin__420,-0.03097299195427725,-0.03097299195427725
fBin__422,-0.0295256790159873,-0.0295256790159873
fBin__423,-0.033308404961946356,-0.033308404961946356
fBin__424,-0.03037698668309505,-0.03037698668309505
fBin__43,-0.02966894884607885,-0.0296689488460789
fBin__431,-0.0319423967998409,-0.031942396799841
fBin__438,-0.03227659155169305,-0.03227659155169315
fBin__441,-0.0321244687492246,-0.03212446874922465
fBin__449,-0.03254892422378395,-0.03254892422378395
fBin__45,-0.02144267962387835,-0.024411055198223848
fBin__451,-0.03221966063648895,-0.03221966063648895
fBin__452,-0.03033969064012615,-0.03033969064012615
fBin__453,-0.03380782142461495,-0.03380782142461495
fBin__454,-0.0287125158643191,-0.0287125158643191
fBin__455,-0.032531543543806204,-0.032531543543806204
fBin__456,-0.029302930654984252,-0.029302930654984252
fBin__457,-0.0264675614292912,-0.026467561429291152
fBin__461,-0.030379313742151498,-0.03037931374215145
fBin__464,-0.030353691975756998,-0.030353691975756998
fBin__465,-0.0332646810676962,-0.03326468106769625
fBin__466,-0.0315033702517897,-0.031503370251789745
fBin__468,-0.031331720551224046,-0.031331720551224004
fBin__469,-0.03293428447624245,-0.0329342844762425
fBin__470,-0.0319916179272896,-0.0319916179272896
fBin__472,-0.029750956322080552,-0.0297509563220805
fBin__477,-0.03483271945171125,-0.03483271945171125
fBin__479,-0.033148512497015656,-0.033148512497015656
fBin__480,-0.033012825182644354,-0.033012825182644354
fBin__482,-0.03288407329854055,-0.0328840732985405
fBin__483,-0.0303419913680575,-0.0303419913680575
fBin__485,-0.03087402954813455,-0.03087402954813455
fBin__486,-0.032973626899443303,-0.032973626899443303
fBin__487,-0.0321985502085817,-0.0321985502085817
fBin__489,-0.0320699173898365,-0.0320699173898365
fBin__490,-0.0309623952231169,-0.030962395223116848
fBin__491,-0.034557327093787296,-0.034557327093787296
fBin__497,-0.033644843091144294,-0.033644843091144294
fBin__503,0.07525058327593906,0.07525058327593906
fBin__504,0.1358716653901618,0.13954168939561154
fBin__508,-0.0335012396141827,-0.0335012396141827
fBin__513,-0.02937512628383645,-0.02937512628383645
fBin__517,-0.02773318329331995,-0.027733183293320002
fBin__518,-0.0335077102715238,-0.0335077102715238
fBin__519,-0.03183386942983435,-0.031833869429834405
fBin__520,-0.030711614071043298,-0.030711614071043298
fBin__521,-0.033185521420561054,-0.033185521420561054
fBin__524,-0.0332057122594723,-0.0332057122594723
fBin__525,-0.0291721653058413,-0.0291721653058413
fBin__526,-0.03524391576247295,-0.03524391576247295
fBin__527,-0.03335427958003715,-0.03335427958003715
fBin__528,-0.03412001343385471,-0.03412001343385471
fBin__529,-0.0329356708263559,-0.0329356708263559
fBin__53,-0.030779743929158353,-0.0307797439291583
fBin__530,0.08300554845885336,0.14828690615816736
fBin__531,-0.0312087585745802,-0.0312087585745802
fBin__532,-0.02942234400841525,-0.02942234400841525
fBin__533,-0.031694141880259,-0.031694141880259
fBin__534,-0.032093987176271696,-0.032093987176271696
fBin__535,-0.03167989115924355,-0.03167989115924355
fBin__536,-0.03357557441299515,-0.03357557441299515
fBin__537,-0.029349245152478352,0.09290373347159331
fBin__538,-0.028888697854806952,-0.028888697854806952
fBin__539,-0.02856238945247535,-0.02856238945247535
fBin__541,-0.03508773490032985,-0.03508773490032985
fBin__546,-0.029502414810525998,-0.029502414810526102
fBin__549,-0.0320501953757176,-0.0320501953757177
fBin__55,-0.0356373268734619,-0.03563732687346185
fBin__555,-0.0279850842680592,-0.0279850842680592
fBin__56,-0.0368049919142314,-0.0368049919142314
fBin__564,-0.0334488962897663,-0.0334488962897663
fBin__565,-0.03443993278420755,-0.03443993278420755
fBin__566,-0.02965375326852215,-0.02965375326852215
fBin__569,-0.0309999860240842,-0.0309999860240842
fBin__571,-0.0302005242963228,-0.0302005242963228
fBin__573,-0.02746264237516775,-0.02746264237516775
fBin__577,-0.027575079618086397,-0.027575079618086397
fBin__579,-0.03391245250752685,-0.03391245250752685
fBin__583,-0.03507449180692905,-0.03507449180692905
fBin__584,-0.0349650010198095,-0.0349650010198095
fBin__586,-0.0281788358707705,-0.028178835870770448
fBin__588,-0.03167619526570165,-0.0316761952657017
fBin__589,-0.0338607685678536,-0.0338607685678535
fBin__59,-0.0302175498688225,-0.030217549868822552
fBin__590,-0.03002838545608505,-0.03002838545608505
fBin__592,-0.0314343998896403,-0.03143439988964025
fBin__594,-0.031951647141415504,-0.031951647141415504
fBin__595,-0.03251359634985515,-0.032513596349855095
fBin__597,-0.0301834142355984,-0.0301834142355984
fBin__598,0.0924961120985084,0.0924961120985084
fBin__600,-0.02964347057375185,-0.02964347057375185
fBin__601,-0.0341683588230174,-0.0341683588230174
fBin__602,-0.02890100348678925,-0.02890100348678925
fBin__605,-0.0269057178755392,-0.02695612190305785
fBin__606,-0.034662437412143046,-0.034662437412143046
fBin__611,-0.034584148163693054,-0.03458414816369315
fBin__613,-0.03228651170394375,-0.0322865117039437
fBin__614,-0.03130372354033925,-0.0313037235403393
fBin__616,-0.0306260465007928,-0.03062604650079275
fBin__619,-0.03306226208066415,-0.03306226208066415
fBin__625,-0.0304018013664376,-0.0304018013664376
fBin__627,-0.03441731390340415,-0.034417313903404204
fBin__69,-0.0347051280002425,-0.0347051280002425
fBin__70,-0.03332056824565745,-0.03332056824565745
fBin__71,-0.033565755811187745,-0.033565755811187745
fBin__72,-0.03110496350438035,-0.03110496350438035
fBin__73,-0.035363090986122545,-0.035363090986122545
fBin__76,-0.032242147891271195,-0.032242147891271195
fBin__83,-0.03232650638685905,-0.03232650638685905
fBin__84,-0.03326221865872345,-0.03326221865872345
fBin__86,-0.03682376871381125,-0.03682376871381125
fBin__88,-0.02943141350382005,-0.0294314135038201
fBin__94,-0.03210301997205455,-0.0321030199720546
fBin__95,-0.03189442701635255,-0.0318944270163526
fBin__96,-0.031751647511347694,-0.03175164751134765
fBin__97,-0.0289452925812121,-0.0289452925812121
fBin__99,-0.0332776024915003,-0.0332776024915003
