,Age & BMI,"HRV
(average of nights)"
UNMAPPED,False,True
UNINTEGRATED,False,True
1CMET2PWYfolatetransformationsIIIEcoli,False,False
ALLANTOINDEGPWYsuperpathwayofallantoindegradationinyeast,False,True
ANAEROFRUCATPWYhomolacticfermentation,False,True
ANAGLYCOLYSISPWYglycolysisIIIfromglucose,False,True
ARGPOLYAMINESYNsuperpathwayofarginineandpolyaminebiosynthesis,False,True
ARGININESYN4PWYLornithinebiosynthesisII,False,False
ARGSYNPWYLargininebiosynthesisIviaLornithine,False,True
ARGSYNBSUBPWYLargininebiosynthesisIIacetylcycle,False,True
AROPWYchorismatebiosynthesisI,False,True
ASPASNPWYsuperpathwayofLaspartateandLasparaginebiosynthesis,False,True
ASTPWYLargininedegradationIIASTpathway,False,True
BIOTINBIOSYNTHESISPWYbiotinbiosynthesisI,False,False
BRANCHEDCHAINAASYNPWYsuperpathwayofbranchedchainaminoacidbiosynthesis,False,True
CALVINPWYCalvinBensonBasshamcycle,False,True
CENTFERMPWYpyruvatefermentationtobutanoate,False,True
CITRULBIOPWYLcitrullinebiosynthesis,True,True
COAPWY1superpathwayofcoenzymeAbiosynthesisIIImammals,False,True
COAPWYcoenzymeAbiosynthesisIprokaryotic,False,True
COBALSYNPWYsuperpathwayofadenosylcobalaminsalvagefromcobinamideI,False,True
COLANSYNPWYcolanicacidbuildingblocksbiosynthesis,False,True
COMPLETEAROPWYsuperpathwayofaromaticaminoacidbiosynthesis,False,True
CRNFORCATPWYcreatininedegradationI,False,True
DAPLYSINESYNPWYLlysinebiosynthesisI,False,False
DARABCATK12PWYDarabinosedegradationI,False,True
DENOVOPURINE2PWYsuperpathwayofpurinenucleotidesdenovobiosynthesisII,False,True
DTDPRHAMSYNPWYdTDPbetaLrhamnosebiosynthesis,False,True
ECASYNPWYenterobacterialcommonantigenbiosynthesis,False,True
FAOPWYfattyacidbetaoxidationIgeneric,False,True
FASYNELONGPWYfattyacidelongationsaturated,False,False
FERMENTATIONPWYmixedacidfermentation,False,True
FOLSYNPWYsuperpathwayoftetrahydrofolatebiosynthesisandsalvage,False,True
FUCRHAMCATPWYsuperpathwayoffucoseandrhamnosedegradation,False,True
FUCCATPWYfucosedegradation,False,True
GALACTGLUCUROCATPWYsuperpathwayofhexuronideandhexuronatedegradation,False,True
GALACTARDEGPWYDgalactaratedegradationI,False,True
GALACTITOLCATPWYgalactitoldegradation,False,True
GALACTUROCATPWYDgalacturonatedegradationI,False,True
GLCMANNANAUTPWYsuperpathwayofNacetylglucosamineNacetylmannosamineandNacetylneuraminatedegradation,False,True
GLUCARDEGPWYDglucaratedegradationI,False,True
GLUCARGALACTSUPERPWYsuperpathwayofDglucarateandDgalactaratedegradation,False,True
GLUCONEOPWYgluconeogenesisI,False,True
GLUCOSE1PMETABPWYglucoseandglucose1phosphatedegradation,False,False
GLUCUROCATPWYsuperpathwayofbetaDglucuronosidesdegradation,False,True
GLUDEGIPWYGABAshunt,False,False
GLUTORNPWYLornithinebiosynthesisI,False,False
GLYCOCATPWYglycogendegradationI,False,True
GLYCOGENSYNTHPWYglycogenbiosynthesisIfromADPDGlucose,False,True
GLYCOLGLYOXDEGPWYsuperpathwayofglycolmetabolismanddegradation,False,True
GLYCOLYSISEDsuperpathwayofglycolysisandtheEntnerDoudoroffpathway,False,True
GLYCOLYSISTCAGLYOXBYPASSsuperpathwayofglycolysispyruvatedehydrogenaseTCAandglyoxylatebypass,False,True
GLYCOLYSISglycolysisIfromglucose6phosphate,False,True
GLYOXYLATEBYPASSglyoxylatecycle,False,True
GOLPDLCATPWYsuperpathwayofglyceroldegradationto13propanediol,False,False
HCAMHPDEGPWY3phenylpropanoateand33hydroxyphenylpropanoatedegradationto2hydroxypentadienoate,False,True
HEMEBIOSYNTHESISII1hemebbiosynthesisVaerobic,False,True
HEMEBIOSYNTHESISIIhemebbiosynthesisIaerobic,False,True
HEMESYN2PWYhemebbiosynthesisIIoxygenindependent,False,True
HEXITOLDEGSUPERPWYsuperpathwayofhexitoldegradationbacteria,False,True
HISDEGPWYLhistidinedegradationI,False,True
HISTSYNPWYLhistidinebiosynthesis,False,True
HOMOSERMETSYNPWYLmethioninebiosynthesisI,False,True
HSERMETANAPWYLmethioninebiosynthesisIII,False,True
ILEUSYNPWYLisoleucinebiosynthesisIfromthreonine,False,True
KDONAGLIPASYNPWYsuperpathwayofKdo2lipidAbiosynthesis,False,True
KETOGLUCONMETPWYketogluconatemetabolism,False,False
LACTOSECATPWYlactoseandgalactosedegradationI,True,True
METSAMPWYsuperpathwayofSadenosylLmethioninebiosynthesis,False,True
METHACETATEPWYmethanogenesisfromacetate,False,True
METHGLYUTPWYsuperpathwayofmethylglyoxaldegradation,False,True
METSYNPWYsuperpathwayofLhomoserineandLmethioninebiosynthesis,False,True
NADBIOSYNTHESISIINADsalvagepathwayIIItonicotinamideriboside,False,True
NAGLIPASYNPWYlipidIVAbiosynthesisEcoli,False,True
NONMEVIPPPWYmethylerythritolphosphatepathwayI,False,True
NONOXIPENTPWYpentosephosphatepathwaynonoxidativebranchI,False,True
OANTIGENPWYOantigenbuildingblocksbiosynthesisEcoli,False,False
ORNDEGPWYsuperpathwayofornithinedegradation,False,True
P105PWYTCAcycleIV2oxoglutaratedecarboxylase,False,True
P108PWYpyruvatefermentationtopropanoateI,False,True
P122PWYheterolacticfermentation,False,False
P124PWYBifidobacteriumshunt,True,True
P125PWYsuperpathwayofRRbutanediolbiosynthesis,False,True
P161PWYacetylenedegradationanaerobic,False,True
P164PWYpurinenucleobasesdegradationIanaerobic,False,True
P185PWYformaldehydeassimilationIIIdihydroxyacetonecycle,False,True
P221PWYoctaneoxidation,False,True
P23PWYreductiveTCAcycleI,False,True
P4PWYsuperpathwayofLlysineLthreonineandLmethioninebiosynthesisI,False,True
P41PWYpyruvatefermentationtoacetateandSlactateI,True,True
