,Age & BMI,"HRV
(average of nights)"
UNMAPPED,0.013239618534688434,0.013239618534688429
UNINTEGRATED,0.013145326133737414,0.01314532613373741
1CMET2-PWY: folate transformations III (E. coli),0.01385693040091199,0.013856930400911977
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,0.015397257892875674,0.01539725789287568
ANAEROFRUCAT-PWY: homolactic fermentation,0.014077680931510198,0.0140776809315102
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),0.010393943645682701,0.0103939436456827
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,0.013221324564630415,0.013221324564630417
ARGININE-SYN4-PWY: L-ornithine biosynthesis II,0.013161428255261585,0.013161428255261585
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),0.010386443996288127,0.010386443996288125
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),0.009971552993782357,0.009971552993782357
ARO-PWY: chorismate biosynthesis I,0.01073287305421274,0.01073287305421274
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,0.012047950250548058,0.01204795025054806
AST-PWY: L-arginine degradation II (AST pathway),0.011961653556783752,0.011961653556783752
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,0.013159881256782437,0.013159881256782437
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis,0.01459869124260939,0.01459869124260939
CALVIN-PWY: Calvin-Benson-Bassham cycle,0.011859122101611608,0.011859122101611606
CENTFERM-PWY: pyruvate fermentation to butanoate,0.01400774502487531,0.014007745024875303
CITRULBIO-PWY: L-citrulline biosynthesis,0.012853245812960051,0.012853245812960051
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals),0.012141629855699682,0.012141629855699682
COA-PWY: coenzyme A biosynthesis I (prokaryotic),0.01152646288570096,0.011526462885700967
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I,0.012821933466391475,0.012821933466391471
COLANSYN-PWY: colanic acid building blocks biosynthesis,0.014022330675114797,0.014022330675114795
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,0.011193999194199594,0.011193999194199592
CRNFORCAT-PWY: creatinine degradation I,0.014239140727157344,0.014239140727157344
DAPLYSINESYN-PWY: L-lysine biosynthesis I,0.012558630463113885,0.012558630463113883
DARABCATK12-PWY: D-arabinose degradation I,0.013508906667740038,0.013508906667740031
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II,0.011973514651022603,0.011973514651022603
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis,0.01211437336804585,0.012114373368045859
ECASYN-PWY: enterobacterial common antigen biosynthesis,0.012144319441994306,0.01214431944199428
FAO-PWY: fatty acid &beta;-oxidation I (generic),0.01148965680595777,0.01148965680595777
FASYN-ELONG-PWY: fatty acid elongation -- saturated,0.013028173141618478,0.013028173141618478
FERMENTATION-PWY: mixed acid fermentation,0.013582910959053984,0.013582910959053987
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,0.01105392612395617,0.011053926123956146
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,0.012657413338698822,0.01265741333869882
FUCCAT-PWY: fucose degradation,0.012568309773439148,0.012568309773439139
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,0.010545659465365967,0.010545659465365977
GALACTARDEG-PWY: D-galactarate degradation I,0.012803683021247736,0.012803683021247736
GALACTITOLCAT-PWY: galactitol degradation,0.01093561632920073,0.010935616329200756
GALACTUROCAT-PWY: D-galacturonate degradation I,0.013572818766255145,0.013572818766255145
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0.012321562507050016,0.012321562507050016
GLUCARDEG-PWY: D-glucarate degradation I,0.011302216835460996,0.011302216835460996
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,0.012803683021247753,0.012803683021247736
GLUCONEO-PWY: gluconeogenesis I,0.012885978729058093,0.012885978729058093
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,0.014034923501295636,0.014034923501295636
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation,0.011487399096076052,0.011487399096076052
GLUDEG-I-PWY: GABA shunt,0.013203470370606468,0.013203470370606457
GLUTORN-PWY: L-ornithine biosynthesis I,0.011406049321340235,0.011406049321340234
GLYCOCAT-PWY: glycogen degradation I,0.015183674736299849,0.015183674736299849
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),0.012050740420611064,0.012050740420611064
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation,0.013726106282190956,0.013726106282190956
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway,0.013772679727218217,0.013772679727218221
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",0.012036678778320344,0.012036678778320363
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate),0.011762139810830937,0.011762139810830937
GLYOXYLATE-BYPASS: glyoxylate cycle,0.011897553300232268,0.011897553300232268
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",0.012094910567074417,0.012094910567074417
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate,0.012329065784286703,0.012329065784286703
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic),0.012097030087037613,0.012097030087037598
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic),0.01140294958307779,0.011402949583077809
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent),0.011332575146712574,0.011332575146712568
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria),0.011657511991953608,0.011657511991953608
HISDEG-PWY: L-histidine degradation I,0.013723198202263224,0.013723198202263231
HISTSYN-PWY: L-histidine biosynthesis,0.011095833370848412,0.011095833370848412
HOMOSER-METSYN-PWY: L-methionine biosynthesis I,0.01320529253971437,0.013205292539714364
HSERMETANA-PWY: L-methionine biosynthesis III,0.011558884673129013,0.011558884673129013
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),0.01477387614267521,0.014773876142675205
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis,0.011236734351987033,0.01123673435198702
KETOGLUCONMET-PWY: ketogluconate metabolism,0.010615127376224108,0.010615127376224108
LACTOSECAT-PWY: lactose and galactose degradation I,0.01122473882789316,0.011224738827893132
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis,0.01346546588512654,0.01346546588512654
METH-ACETATE-PWY: methanogenesis from acetate,0.012340428482249045,0.012340428482249052
METHGLYUT-PWY: superpathway of methylglyoxal degradation,0.013302022718106713,0.013302022718106713
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis,0.0134278201974993,0.013427820197499328
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside),0.012295152004737698,0.012295152004737707
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli),0.012928991112314036,0.012928991112314036
NONMEVIPP-PWY: methylerythritol phosphate pathway I,0.010637593384815684,0.010637593384815684
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I,0.011221821977031735,0.011221821977031738
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli),0.011475679762287413,0.011475679762287413
ORNDEG-PWY: superpathway of ornithine degradation,0.01201091584045369,0.01201091584045369
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase),0.012595574752754666,0.012595574752754666
P108-PWY: pyruvate fermentation to propanoate I,0.011004904607954336,0.011004904607954348
P122-PWY: heterolactic fermentation,0.012303046239412536,0.012303046239412543
P124-PWY: Bifidobacterium shunt,0.011705274946474878,0.011705274946474878
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",0.01261312838858038,0.01261312838858037
P161-PWY: acetylene degradation (anaerobic),0.012947975095715894,0.012947975095715894
P164-PWY: purine nucleobases degradation I (anaerobic),0.011566572575649704,0.011566572575649702
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle),0.011160873609931933,0.011160873609931933
P221-PWY: octane oxidation,0.011499475520942947,0.011499475520942994
P23-PWY: reductive TCA cycle I,0.013447990384638366,0.013447990384638366
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",0.012996378160016529,0.012996378160016529
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I,0.012857238834985898,0.012857238834985898
P42-PWY: incomplete reductive TCA cycle,0.012399267148610742,0.012399267148610742
P441-PWY: superpathway of N-acetylneuraminate degradation,0.011244335176888593,0.011244335176888593
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",0.012759499098968306,0.012759499098968329
PANTO-PWY: phosphopantothenate biosynthesis I,0.011640100122936854,0.011640100122936854
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria),0.010770772914681538,0.010770772914681537
PENTOSE-P-PWY: pentose phosphate pathway,0.013167450730454812,0.013167450730454812
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),0.012761647846670183,0.012761647846670183
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria),0.012995038440500713,0.012995038440500713
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,0.010764480488715191,0.010764480488715191
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I,0.01402674732748948,0.014026747327489476
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),0.013574243850351787,0.013574243850351787
PPGPPMET-PWY: ppGpp metabolism,0.009819795997237132,0.009819795997237132
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",0.011074708161425095,0.01107470816142507
PWY-1042: glycolysis IV,0.012044926088283718,0.012044926088283718
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis,0.01347547506621575,0.01347547506621575
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle),0.011886892830260738,0.01188689283026075
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",0.013608827145969997,0.013608827145969997
PWY-2941: L-lysine biosynthesis II,0.012250651170623373,0.01225065117062337
PWY-2942: L-lysine biosynthesis III,0.012674425175496072,0.012674425175496077
PWY-3001: superpathway of L-isoleucine biosynthesis I,0.012297623034119185,0.012297623034119185
PWY-3841: folate transformations II (plants),0.012010333707531629,0.012010333707531629
PWY-4041: &gamma;-glutamyl cycle,0.013779152863716006,0.013779152863716001
PWY-4984: urea cycle,0.012732338383022547,0.01273233838302255
PWY-5004: superpathway of L-citrulline metabolism,0.012166640774468747,0.012166640774468747
PWY-5005: biotin biosynthesis II,0.012597303864303718,0.01259730386430373
PWY-5022: 4-aminobutanoate degradation V,0.012403680150932931,0.012403680150932921
PWY-5030: L-histidine degradation III,0.014402241533671187,0.014402241533671187
PWY-5097: L-lysine biosynthesis VI,0.012478796023636045,0.012478796023636045
PWY-5100: pyruvate fermentation to acetate and lactate II,0.012092814522254258,0.012092814522254254
PWY-5103: L-isoleucine biosynthesis III,0.014879397252589426,0.014879397252589438
PWY-5104: L-isoleucine biosynthesis IV,0.010777933795933748,0.010777933795933751
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),0.012683350347467537,0.012683350347467535
PWY-5130: 2-oxobutanoate degradation I,0.014276312134339149,0.014276312134339145
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome),0.012403565909431504,0.012403565909431506
"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)",0.011888109268481054,0.011888109268481052
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline),0.013583054174188671,0.013583054174188676
PWY-5188: tetrapyrrole biosynthesis I (from glutamate),0.012243803717987067,0.012243803717987074
PWY-5189: tetrapyrrole biosynthesis II (from glycine),0.013169064042814912,0.013169064042814912
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation),0.010044498755929509,0.0100444987559295
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration),0.013359271253633799,0.013359271253633799
PWY-5367: petroselinate biosynthesis,0.012879544290320654,0.012879544290320654
PWY-5384: sucrose degradation IV (sucrose phosphorylase),0.012693180747186185,0.012693180747186195
PWY-5484: glycolysis II (from fructose 6-phosphate),0.011883291258851209,0.011883291258851209
PWY-5497: purine nucleobases degradation II (anaerobic),0.013437601151257833,0.013437601151257833
PWY-5505: L-glutamate and L-glutamine biosynthesis,0.011776240913052417,0.011776240913052415
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation,0.011657942530882377,0.011657942530882398
PWY-5656: mannosylglycerate biosynthesis I,0.013030163659459111,0.013030163659459111
PWY-5659: GDP-mannose biosynthesis,0.015411774329417595,0.015411774329417595
PWY-5667: CDP-diacylglycerol biosynthesis I,0.012929089084433533,0.012929089084433533
PWY-5675: nitrate reduction V (assimilatory),0.01302611419954892,0.01302611419954892
PWY-5676: acetyl-CoA fermentation to butanoate II,0.0130537240664079,0.0130537240664079
PWY-5686: UMP biosynthesis I,0.013151802127082264,0.013151802127082255
PWY-5690: TCA cycle II (plants and fungi),0.011388120112603987,0.011388120112603976
PWY-5695: inosine 5'-phosphate degradation,0.012153694018930022,0.01215369401893002
PWY-5705: allantoin degradation to glyoxylate III,0.009902295101949607,0.009902295101949607
