,Age & BMI,"HRV
(average of nights)"
Lipids_NEG_2130551_311470_1508722,0.053901059031605095,0.03521011318188445
Lipids_NEG_2170025_309563_1426050,0.032706759275368494,-0.044850752287909246
Lipids_NEG_2329752_307462_1420463,0.01562065039628625,-0.05151053707090275
Lipids_NEG_2558219_332194_1306976,0.06186847698265545,-0.0239884889257497
Lipids_NEG_1628391_338351_1084717,0.04476635240957675,-0.00019427245053275
Lipids_NEG_3730100_355757_1738172,0.01123277201030225,-0.0199114922376365
Lipids_NEG_1729911_369286_1298889,0.054452551326133705,0.0592257034821857
Lipids_NEG_1889861_369286_1295368,0.13170548999553428,0.05486845649860095
Lipids_NEG_2030821_370003_1517545,0.0804617074711404,0.0011659306292375
Lipids_NEG_2049809_369972_1305195,-0.00834818159846115,-0.01974943888086885
Lipids_NEG_2161132_372201_1517815,-0.0227222677086657,0.0159455121747582
Lipids_NEG_1790572_375462_1323456,0.0824157210827483,0.03207401445467935
Lipids_NEG_1870069_377188_1374008,0.11464914240711915,0.07077479132310599
Lipids_NEG_3111395_380911_1820262,0.1282667359088902,0.055559252732075404
Lipids_NEG_2030015_379252_1370085,0.05365778680524895,0.06480171048581865
Lipids_NEG_3411026_391281_1903573,-0.00542023177538995,-0.04355876105714275
Lipids_NEG_4210598_391967_2062738,-0.0275687326496099,0.01500942836615985
Lipids_NEG_2010224_397467_1438636,0.0394791204740663,0.0122714573397222
Lipids_NEG_2290171_401591_1484080,-0.0058510076611685505,0.0589652947377539
Lipids_NEG_2130223_407096_1480475,0.06795415573661345,0.05844343487166815
Lipids_NEG_2590278_404006_1617793,0.0517692485674124,0.0270172253116598
Lipids_NEG_4370547_408126_2072894,0.06508886331065805,0.0244163153414079
Lipids_NEG_2310328_425301_1500994,0.0056455261891717005,0.02509961587352565
Lipids_NEG_3671583_425989_1998372,0.3772788382749155,0.2679990274742028
Lipids_NEG_2449078_437326_1365785,0.01192148547953535,0.0411576583733429
Lipids_NEG_2290536_443163_1544241,0.08343120313330266,0.03207632470295255
Lipids_NEG_3992201_448586_2125533,0.45192748520860465,0.3450351741753495
Lipids_NEG_3971781_467056_1925894,0.14271604418813444,0.1326049964242327
Lipids_NEG_3601017_483517_1842943,-0.026523274099557452,0.02625619848714035
Lipids_NEG_3691737_478932_1997788,0.22319258446781287,0.10619529606275825
Lipids_NEG_3108379_486147_1338410,0.15583804063903844,0.1568397251165646
Lipids_NEG_3951892_484431_2097744,0.2710172896151051,0.18819723511871014
Lipids_NEG_3332068_524274_1873203,0.0319774629804729,0.0639481774808606
Lipids_NEG_4982889_561025_2112090,0.02220084374041495,-0.016853502086448202
Lipids_NEG_4483064_594702_2047820,-0.0282311556227433,0.034863079562635
Lipids_NEG_1790713_609497_1434458,0.09853706150119515,0.04792019389646365
Lipids_NEG_4812803_619849_2220255,0.0651848483950167,0.09488716173252686
Lipids_NEG_3989360_638051_1492762,0.3912817265362189,0.3021956797089427
Lipids_NEG_3669002_657281_1736672,0.01795987694731905,0.07960727492711964
