,Age & BMI,"HRV
(average of nights)"
Lipids_POS_7411933_3742181_2593408,0.010145851578602,0.1689008504497327
Lipids_POS_15481695_3611717_4730809,0.012997921435143299,0.1389106930832119
Lipids_NEG_11732899_4366922_3710564,0.0149076515133774,0.1388685390965119
Lipids_POS_7586010_3667447_3040579,0.07541137760535875,0.1912786657720624
Lipids_NEG_8725995_3125088_3221954,0.0012325601331466,0.10652200843329901
Lipids_POS_7859082_3734063_3162499,0.02332146982938595,0.12605889018465116
Lipids_NEG_7310648_3535018_2716088,0.012735687993603001,0.11384339151359975
Lipids_NEG_5995275_3718251_2705300,0.0284474089582806,0.1252191692980175
Lipids_POS_5083391_1663076_2367641,0.0141914305740667,0.10684211233704816
Lipids_POS_9327191_3676219_3409760,0.07144152999140904,0.16210667499293635
Lipids_POS_7165563_3419644_2949733,0.02928830062311675,0.1196892899132564
Lipids_NEG_7625638_3574177_3046825,0.03749477015131795,0.1265433131515333
Lipids_NEG_9491619_4266539_2987192,0.030621575572465552,0.1176675319515776
Lipids_POS_7785728_3593436_2983633,0.03206520548401995,0.11672906193641495
Lipids_POS_2792316_1433638_1766818,0.0053595094876946,0.08946791416506465
Lipids_NEG_16022875_3737566_4949018,0.0307866261549244,0.1147789886254609
Lipids_POS_7806698_3953005_3151220,0.00308878988884895,0.08549518616191065
Lipids_NEG_9417355_4437793_3445308,0.0203879428862246,0.09955402680291395
Lipids_POS_8159590_4089753_3256573,0.0619448476155995,0.1401348848966625
Lipids_NEG_8751983_4293972_2872712,0.0048266621022839,0.08192257172115315
Lipids_POS_8297146_4184373_3276634,0.02382510128549605,0.09811606879370524
Lipids_POS_2702790_1628773_1910067,0.0163249962969627,0.08999078801830385
Lipids_POS_5549053_5318878_1965589,0.0136423391246194,0.08642307784077616
Lipids_NEG_12482182_4740514_3472162,0.0089441010334066,0.08141118794256845
Lipids_POS_8727690_4546979_3351264,0.0362944920719742,0.1084205330457924
Lipids_POS_14102065_5185406_3620167,0.02195621444428055,0.0939984701596499
Lipids_POS_9158098_5324536_3493291,0.11619566296623175,0.1879611122155413
Lipids_NEG_4793035_4664251_2471797,0.0168367578490903,0.08824769222058045
Lipids_POS_2791590_2699479_2166991,0.02696390419362845,0.0981495899270893
Lipids_NEG_7271610_3741125_2625806,0.07450728172178031,0.14495141293341607
Lipids_NEG_4793194_2365186_2506740,0.0174157469832302,0.0877074882654501
