,Age & BMI,"HRV
(measured during sleep)"
Lipids_POS_1026.1909_432.5337_308.6315,0.01790370401644575,0.14326602937721436
Lipids_NEG_793.6215_355.0872_303.5472,0.04612590658822035,0.16507433981987704
Lipids_NEG_957.7380_370.5290_345.5043,0.0377281587943127,0.1407106610714615
Lipids_NEG_519.1023_328.2053_233.7205,0.0335381664232626,0.11804098457484591
Lipids_POS_554.1754_294.5770_225.2406,0.007981158605328501,0.09089794148293975
Lipids_NEG_743.1925_355.5195_267.9379,0.0160172687258259,0.0977922539422349
Lipids_NEG_958.6886_368.6939_338.7853,0.17835655639551265,0.2598587869708909
Lipids_POS_932.7191_367.6219_340.9760,0.16095546225763374,0.24009242884992585
Lipids_NEG_683.1712_408.4030_257.1592,0.0821182809279477,0.16102984766173045
Lipids_POS_1369.1932_413.9241_463.2902,0.022980443601213853,0.0967136538206324
Lipids_POS_833.6495_371.7681_318.5533,0.02678897860652105,0.1005162453571965
Lipids_NEG_938.7179_397.9356_339.4426,0.12480032765705884,0.19185266628180525
Lipids_POS_740.5550_357.5017_299.5199,0.12822142378762505,0.19348334668037742
Lipids_NEG_352.0854_39.5492_198.5048,0.1208903455985639,0.18509068431334955
Lipids_NEG_759.6488_427.2348_321.6529,0.3149935218929454,0.37700143507696054
Lipids_POS_723.6385_417.1117_318.3525,0.1085736056708948,0.1697602184727398
Lipids_POS_604.6010_386.9959_284.7779,0.03172501340166875,0.0926243388189527
Lipids_NEG_867.6581_355.1798_328.3693,0.14332242136563925,0.20368157183739474
Lipids_POS_900.6834_380.2414_333.7923,0.19088720238480533,0.25099551409344373
Lipids_POS_725.5590_300.1468_295.0699,0.049299901418961053,0.1091532569589153
Lipids_POS_826.5956_328.3865_316.9235,0.0432162311846061,0.102428278409743
Lipids_POS_809.6521_355.3127_319.1401,0.08644928856091685,0.14477299967686458
Lipids_NEG_862.7848_453.8993_341.5176,0.1813649889642907,0.23851240566040716
Lipids_POS_742.5706_358.6467_302.4964,0.1508536903485744,0.2077088961040508
Lipids_POS_595.5870_493.5089_284.7152,0.2100873316916927,0.26689203573914777
Lipids_POS_601.5186_449.6145_271.5951,0.051767185724321596,0.10836379348754815
Lipids_POS_910.8570_469.9832_354.8539,0.16704555684920197,0.22300011557844146
Lipids_POS_837.6816_373.9327_326.9462,0.1753465939808218,0.23123875793391147
Lipids_POS_927.0940_456.0976_351.0508,0.00830255528983,0.0635656628254058
Lipids_NEG_1091.8479_424.5106_369.2132,0.0523354103623109,0.1072592448765534
Lipids_NEG_960.7052_382.9231_341.2837,0.14530967732815134,0.20015761929612252
Lipids_POS_627.5299_443.2219_278.5647,0.1533941052612749,0.2072971875192185
Lipids_POS_744.8381_359.2491_301.4676,0.23457066057885823,0.2876785848451735
Lipids_NEG_627.5584_388.2831_277.8463,0.0105068737926272,0.06334324062250205
Lipids_POS_1510.1178_347.4834_460.0986,0.00472131032018855,0.05689690459650745
Lipids_NEG_854.6717_386.3281_321.4131,0.02733690716174715,0.07941860898989275
Lipids_NEG_958.6873_380.2640_341.7719,0.2078535271598625,0.2599043118239912
Lipids_POS_840.6447_369.6022_319.3453,0.0305503162190539,0.0820320208808057
Lipids_POS_960.7510_382.8376_348.6046,0.1830715016133853,0.23416484672787513
Lipids_POS_900.6829_368.6123_331.3133,0.19564841840930342,0.24592479764296926
Lipids_POS_898.8571_481.5380_352.8826,0.25422310110276614,0.30426503501590507
Lipids_POS_719.5720_425.8284_308.2062,0.087554264093376,0.13695126154627696
Lipids_POS_943.7126_434.0133_344.6553,0.21130305700745017,0.2595428354232361
Lipids_POS_804.6578_360.6288_321.9392,0.2643809981188513,0.31166499664528663
Lipids_POS_890.6371_325.6417_327.1090,0.14558424952296445,0.19286592366240035
Lipids_NEG_897.7019_391.0988_335.6860,0.23474031219230967,0.2814270370013488
Lipids_POS_536.4365_380.1486_310.9062,0.29351937804986605,0.3399070170464592
Lipids_POS_869.8316_470.6026_337.9401,0.2810563019553126,0.32743275926644977
Lipids_NEG_667.5502_385.1206_281.4570,0.18285455275591025,0.22880407985949552
Lipids_POS_970.7165_365.4894_343.3930,0.2426919691190984,0.28770615677539
Lipids_POS_884.7685_431.7156_334.7413,0.1960437534577777,0.2408974247603151
Lipids_POS_873.6941_418.7467_329.3495,0.03440479253689905,0.0787562381154785
Lipids_POS_742.5007_265.5838_287.0192,0.0297046686255827,0.0736677861175298
Lipids_POS_799.2471_417.6627_271.2042,0.18471954837460897,0.22839180346752755
Lipids_POS_610.5394_361.5441_270.5790,0.27569409218918495,0.3190879643766869
Lipids_POS_936.7512_391.4346_346.0564,0.13948180609395575,0.18268529237718545
Lipids_POS_874.6664_374.1216_327.2214,0.2031124934717041,0.24605786482106676
Lipids_NEG_1112.3065_469.2958_363.0469,0.0064692060082532,0.04895960637361685
Lipids_NEG_934.6898_376.7710_335.3722,0.2122514285153853,0.25428130793661385
Lipids_POS_768.5875_360.6694_306.6764,0.1593930734450706,0.201421401319462
Lipids_POS_839.6973_390.6927_327.9830,0.19473654947306102,0.2367138417711436
Lipids_POS_857.8315_481.6616_338.1574,0.2479572836994136,0.2897832959876335
Lipids_NEG_974.8721_477.3612_360.6321,0.28427586767949864,0.3260419009502439
Lipids_POS_975.9045_522.3315_367.6593,0.01435879606078635,0.0559254428789574
Lipids_POS_860.6147_341.3831_319.4483,0.2568570484095042,0.2979767694894862
Lipids_NEG_1131.8794_421.1242_383.4917,0.18888274276052835,0.22996425447268987
Lipids_NEG_932.6725_367.8071_334.9230,0.19560344241288163,0.2366461804625734
Lipids_NEG_890.5911_325.7673_322.6151,0.1869306924429971,0.22795390734823756
Lipids_NEG_1133.8953_430.6338_383.8978,0.255901831220258,0.2969120319750306
Lipids_POS_972.9396_500.3458_370.4075,0.16891271172601904,0.20991178951766776
Lipids_POS_671.5722_445.5855_303.0287,0.1299365431118748,0.17077905493827733
Lipids_NEG_800.5807_343.7668_309.5199,0.20893387371578145,0.2494078474302638
Lipids_POS_694.6476_461.5539_312.9730,0.35870692968233997,0.39899028766710176
