,Age & BMI,"HRV
(measured during sleep)"
Lipids_POS_718.5370_353.7052_287.2697,0.06861859986730759,0.1417310769654662
Lipids_POS_633.5752_478.4259_284.7357,0.031506636522518644,0.09580537070128531
Lipids_POS_820.9992_438.0422_325.6973,0.13943994641583524,0.19440349657441375
Lipids_NEG_266.8881_46.8738_132.7767,0.03450279347887525,0.0864692723988055
Lipids_NEG_377.3416_308.7152_212.5999,0.1312523248014846,0.18278381666181964
Lipids_POS_907.5289_304.7040_314.2934,0.02087765638872735,0.07210434290246415
Lipids_NEG_738.5061_291.2612_289.2457,0.0973960693669432,0.1459134210257677
Lipids_POS_536.4365_380.1486_310.9062,0.29613983106926856,0.3444696283900859
Lipids_NEG_593.4777_265.5432_265.6369,0.0809273903811441,0.12896646983147295
Lipids_NEG_847.8940_366.4780_318.3514,0.1451219432560127,0.19086152688878638
Lipids_POS_789.6745_390.5381_317.2125,0.1648650026771615,0.21019174431539445
Lipids_NEG_1151.7044_298.3970_364.2845,0.017985574682546253,0.06292931496362861
Lipids_POS_892.6775_380.2105_329.8190,0.17480836809195893,0.2180564958333677
Lipids_POS_251.0466_196.5828_155.3281,0.1033308258475725,0.14646685636126125
Lipids_NEG_771.5174_303.8230_294.7669,0.1184188428510974,0.15944842732810235
Lipids_NEG_867.6581_355.1798_328.3693,0.0123711757419731,0.0528145860593676
Lipids_NEG_433.3680_285.7984_218.6457,0.151936225613416,0.19202226371567285
Lipids_NEG_557.4567_298.2443_262.5423,0.0016267397553760999,0.041004387548436605
Lipids_NEG_764.5437_328.1494_299.7652,0.09199770360232781,0.1305370521642423
Lipids_NEG_411.3839_283.9114_227.3083,0.22083170986880854,0.25893147251952
Lipids_POS_823.0153_451.3257_328.0022,0.1326139313395934,0.16996366198665613
Lipids_POS_927.7397_433.8012_344.9688,0.12242745760823255,0.15706873374699193
Lipids_POS_728.5216_300.3958_287.9554,0.1141402744993312,0.14869569977754685
Lipids_NEG_773.5794_323.0829_305.4148,0.10149263277312026,0.13565022169659358
Lipids_NEG_958.6886_368.6939_338.7853,0.14369427265799506,0.17681561330071627
Lipids_NEG_786.5646_304.3337_298.1698,0.029991495797841203,0.062186181660114054
Lipids_NEG_762.5355_312.8743_302.4474,0.14262398747749966,0.1746441917219882
Lipids_NEG_906.6573_361.2498_328.2937,0.20393435717948238,0.2347160889450982
Lipids_POS_837.0338_456.7024_332.0695,0.2352520721532249,0.26560219451760114
Lipids_POS_864.7632_414.7823_336.8332,0.2309269597092768,0.2608909588165313
Lipids_POS_466.3286_228.4799_229.5790,0.07255426783220215,0.10139520109202549
Lipids_NEG_653.1430_359.9602_252.8186,0.10717951598123575,0.13601122458809578
Lipids_NEG_373.0442_177.0601_184.2770,0.03611806121554175,0.06471427060534796
Lipids_NEG_939.6779_386.2728_344.8449,0.17948050573195784,0.2079358677106628
