,Age & BMI,"HRV
(average of nights)"
total_scan_sat_area,0.00032130977622915716,0.0005193567372714786
total_scan_sat_mass,0.00031048161647428117,0.0005768990067091547
total_scan_sat_volume,0.0003104116237703172,0.0005886457256287843
total_scan_vat_area,0.000277675034204258,0.0006728995769687027
total_scan_vat_mass,0.00029717100171017247,0.0006013772794121323
total_scan_vat_volume,0.0002971681400654584,0.0006216220773630232
body_comp_leg_left_fat_free_mass,0.0004964340475350479,0.0019718100468859917
body_comp_trunk_fat_free_mass,0.0008371846518852313,0.0024245374769819353
body_comp_total_right_tissue_mass,0.00014208398108742106,0.00040403402310852914
body_comp_gynoid_total_mass,0.00023696446532556645,0.0009641293891422327
body_comp_trunk_left_bone_mass,0.0007965568173185744,0.0019579810093409843
body_comp_leg_right_lean_mass,0.0004375433522452191,0.0018784810356666385
body_comp_android_tissue_mass,0.00013425029600355433,0.00039595815672538025
body_comp_trunk_lean_mass,0.000868896401943347,0.0024776008569065834
body_comp_total_lean_mass,0.0006106356929497709,0.002231207531612582
body_comp_trunk_right_fat_mass,0.0001475431911017649,0.00029861542885786845
body_comp_arms_lean_mass,0.0013856829107803195,0.0022376606960420905
body_comp_legs_total_mass,0.0002626370208064764,0.0007314132847415665
body_comp_total_right_fat_mass,0.0001437890251941792,0.0003634425209947571
body_comp_arms_fat_free_mass,0.0014283209045037615,0.0023234606761769585
body_comp_trunk_tissue_mass,0.00015299885021475854,0.00046570131772392877
body_comp_android_bone_mass,0.0032436929377027608,0.005744350568557877
body_comp_total_total_mass,0.00014655314494470487,0.0006515215538551677
body_comp_leg_right_bone_mass,0.0020656820322474292,0.005171500848085042
body_comp_arms_diff_total_mass,0.0049835790128672005,0.00823196089468358
body_comp_arm_right_tissue_mass,0.0006589802599315089,0.0014010428453948695
body_comp_leg_left_total_mass,0.0002792291485112035,0.0010480165166812418
body_comp_legs_bone_mass,0.002048104830600119,0.003895640991693765
body_comp_total_diff_total_mass,0.012189173102584475,0.012459098874810014
body_comp_arm_right_total_mass,0.0006888505492436294,0.001505329445084208
body_comp_total_diff_bone_mass,0.00549454212463342,0.008521005467491159
body_comp_arms_diff_bone_mass,0.005740935487271501,0.01231716990531664
body_comp_trunk_diff_lean_mass,0.010688451946204928,0.013060707930142535
body_comp_arm_left_fat_mass,0.0004254523920598318,0.000837868534933653
body_comp_trunk_left_fat_mass,0.000159221623734312,0.0003209246305393777
body_comp_leg_left_lean_mass,0.00047558859723052923,0.0018575031955534096
body_comp_leg_left_tissue_mass,0.00026656810682793453,0.0009804800256355687
body_comp_trunk_right_fat_free_mass,0.0008362223443283755,0.0018397457281871703
body_comp_arms_bone_mass,0.0054473396426130746,0.005822330526276214
body_comp_arm_right_fat_mass,0.0003975500514472108,0.0007394767163210731
body_comp_trunk_fat_mass,0.00013255974450525042,0.00039568175827686057
body_comp_arms_diff_fat_free_mass,0.0037792532989059744,0.005936034662075773
body_comp_arms_tissue_mass,0.0006906623589899597,0.0007936086174057159
body_comp_total_left_fat_mass,0.0001431151217679051,0.00039929727728121655
body_comp_legs_tissue_mass,0.0002513038960652828,0.0006790054812628208
body_comp_android_fat_free_mass,0.0006881691817994462,0.0016907746558668599
body_comp_total_fat_mass,0.00014175419807245054,0.000498381722643782
body_comp_trunk_diff_tissue_mass,0.006342370756738115,0.013246876237184027
body_comp_total_tissue_mass,0.00013952224913260636,0.0006091817704194098
body_comp_total_left_bone_mass,0.001564145414644435,0.0028017361820330397
body_comp_legs_diff_lean_mass,0.00604470452884591,0.012287953133364024
body_comp_trunk_right_tissue_mass,0.00016588334790640044,0.00031664643074189394
body_comp_arm_left_total_mass,0.0008162276003698625,0.001225301811155141
body_comp_leg_right_fat_mass,0.0003288723120702136,0.0009091932264744869
body_comp_total_diff_lean_mass,0.008024095920198378,0.012067090778608808
body_comp_arms_fat_mass,0.0003783064974082094,0.0007589801701442017
body_comp_total_diff_tissue_mass,0.010929268600385853,0.01328551819557367
body_comp_trunk_diff_total_mass,0.006486386670840633,0.013048898996844216
body_comp_trunk_left_total_mass,0.0001740165370414749,0.0003099502558228299
body_comp_total_diff_fat_free_mass,0.006962314329319982,0.012365292776855958
body_comp_gynoid_fat_mass,0.00025826621502626887,0.000827089052241764
body_comp_leg_left_fat_mass,0.00034223768896317737,0.0009556617479705871
body_comp_total_right_lean_mass,0.000601096567432741,0.001750944518817258
body_comp_arms_diff_fat_mass,0.007192937865929714,0.012052519027586304
body_comp_total_right_bone_mass,0.0012413260462065252,0.002523686248900971
body_comp_arm_right_bone_mass,0.005790765215198431,0.006359471853573383
body_comp_total_right_fat_free_mass,0.0006075803340739387,0.0018141738415676939
body_comp_arm_left_fat_free_mass,0.0015672208741086852,0.002572748898876283
body_comp_android_total_mass,0.0001357356002241832,0.00040107187867395686
body_comp_arm_right_fat_free_mass,0.0013948616206675517,0.002705108423442369
body_comp_arm_left_tissue_mass,0.0007804368938366958,0.0011422149208815669
body_comp_total_diff_fat_mass,0.005817533232398176,0.010056480950570107
body_comp_arm_left_bone_mass,0.00605044216234699,0.005789515137069178
body_comp_trunk_left_lean_mass,0.0009215892286363843,0.0031626559717863375
body_comp_trunk_right_total_mass,0.00016753176448737337,0.00032502498402327935
body_comp_arms_diff_lean_mass,0.002942867289086578,0.00581400091766284
body_comp_arm_right_lean_mass,0.0013525611785648593,0.0025879755709217
body_comp_gynoid_lean_mass,0.0005766133998571437,0.0021890885917401144
body_comp_trunk_diff_fat_free_mass,0.010377915718543967,0.013091125482881842
body_comp_android_fat_mass,0.0001593535649861029,0.0004059607094693567
body_comp_total_fat_free_mass,0.0006152783504447141,0.0023195991709669818
body_comp_trunk_left_fat_free_mass,0.0008913762873003372,0.003089514218099828
body_comp_legs_diff_fat_mass,0.006227973243576047,0.013976316067196893
body_comp_leg_right_total_mass,0.0002591204462249621,0.0010580595197154474
body_comp_legs_lean_mass,0.00044130495752813344,0.001181001776658329
body_comp_trunk_total_mass,0.000155416849347196,0.0004741269522555793
body_comp_gynoid_tissue_mass,0.0002313632960983925,0.0009367069813402853
body_comp_leg_right_tissue_mass,0.000249519918041648,0.0009942908828789539
body_comp_android_lean_mass,0.0006878581834406375,0.0016803513322287307
body_comp_total_left_tissue_mass,0.00014227856423124443,0.00048432555379757217
body_comp_trunk_bone_mass,0.0007387534350675549,0.001177702204817851
body_comp_gynoid_fat_free_mass,0.0005826834107099822,0.0022369057967630496
body_comp_arms_diff_tissue_mass,0.005014223567848599,0.008310080295769285
body_comp_arm_left_lean_mass,0.0015149827763847143,0.002456141934830462
body_comp_total_left_total_mass,0.00015046909319983503,0.0005165677135303029
body_comp_trunk_right_bone_mass,0.0006981637156463855,0.0017945981432503984
body_comp_trunk_left_tissue_mass,0.00017192110172373765,0.00030370736920158473
body_comp_total_left_lean_mass,0.0006463801154800891,0.0017183996408072532
body_comp_legs_diff_fat_free_mass,0.008536265415362143,0.015459189885078977
body_comp_legs_fat_free_mass,0.00046326983091772393,0.0012614898966917178
body_comp_total_bone_mass,0.0012311566895539259,0.0031766371512125177
body_comp_total_left_fat_free_mass,0.0006521734950667644,0.0017434774265099116
body_comp_leg_left_bone_mass,0.0020718157387847724,0.005037070508939167
body_comp_gynoid_bone_mass,0.0017666047351830843,0.003506835369667657
body_comp_trunk_right_lean_mass,0.0008703010799852219,0.0035185818947156403
body_comp_total_right_total_mass,0.0001490146162625934,0.0004262456819374202
body_comp_leg_right_fat_free_mass,0.0004588141919651855,0.0020130202068937967
body_comp_arms_total_mass,0.0007203551232246415,0.0008578557323249664
body_comp_legs_fat_mass,0.00032942311645095453,0.0005854180653084011
body_comp_trunk_diff_fat_mass,0.003443738961764455,0.005486858387307611
body_comp_legs_diff_total_mass,0.005970149377536303,0.011422929280470622
body_comp_trunk_diff_bone_mass,0.0048702882549639835,0.007607610795293273
body_comp_legs_diff_bone_mass,0.012146391163484465,0.012704713352562538
body_comp_legs_diff_tissue_mass,0.0059176033959777415,0.011452945811024823
bmi,6.042846922437388e-08,6.04284692160684e-08
waist,0.00019410073442397061,0.0004620757802794271
height,0.0028527073079634016,0.006616770468890337
weight,0.00013135007282491195,0.0003700754878203592
hips,0.0003622959429219173,0.0007526880683712526
