,Age & BMI,"HRV
(average of nights)"
body_arm_left_area,True,True
body_arm_left_bmc,False,False
body_arm_left_bmd,False,True
body_arm_right_area,False,False
body_arm_right_bmc,False,True
body_arm_right_bmd,False,True
body_arms_area,False,False
body_arms_bmc,False,False
body_arms_bmd,False,True
body_head_area,True,True
body_head_bmc,False,False
body_head_bmd,False,False
body_leg_left_area,False,False
body_leg_left_bmc,False,False
body_leg_left_bmd,False,True
body_leg_right_area,False,False
body_leg_right_bmc,False,False
body_leg_right_bmd,False,True
body_legs_area,False,False
body_legs_bmc,False,False
body_legs_bmd,False,True
body_pelvis_area,False,False
body_pelvis_bmc,False,False
body_pelvis_bmd,False,True
body_ribs_area,False,True
body_ribs_bmc,False,True
body_ribs_bmd,False,True
body_spine_area,False,True
body_spine_bmc,False,True
body_spine_bmd,False,True
body_total_area,False,False
body_total_bmc,False,True
body_total_bmd,False,True
body_total_left_area,False,False
body_total_left_bmc,False,True
body_total_left_bmd,False,True
body_total_right_area,False,True
body_total_right_bmc,False,True
body_total_right_bmd,False,True
body_trunk_area,False,True
body_trunk_bmc,False,True
body_trunk_bmd,False,True
body_trunk_left_area,False,True
body_trunk_left_bmc,False,True
body_trunk_left_bmd,False,True
body_trunk_right_area,False,True
body_trunk_right_bmc,False,True
body_trunk_right_bmd,False,True
femur_left_lower_neck_area,False,False
femur_left_lower_neck_bmc,False,True
femur_left_lower_neck_bmd,False,True
femur_left_neck_area,False,False
femur_left_neck_bmc,False,True
femur_left_neck_bmd,False,True
femur_left_shaft_area,False,True
femur_left_shaft_bmc,False,True
femur_left_shaft_bmd,False,True
femur_left_total_area,False,True
femur_left_total_bmc,False,True
femur_left_total_bmd,False,True
femur_left_troch_area,False,True
femur_left_troch_bmc,False,True
femur_left_troch_bmd,False,True
femur_left_upper_neck_area,False,False
femur_left_upper_neck_bmc,False,True
femur_left_upper_neck_bmd,False,True
femur_left_wards_area,False,False
femur_left_wards_bmc,False,True
femur_left_wards_bmd,False,True
femur_lower_neck_diff_area,False,True
femur_lower_neck_diff_bmc,False,True
femur_lower_neck_diff_bmd,True,True
femur_lower_neck_mean_area,False,False
femur_lower_neck_mean_bmc,False,False
femur_lower_neck_mean_bmd,False,True
femur_neck_diff_area,False,True
femur_neck_diff_bmc,False,True
femur_neck_diff_bmd,False,True
femur_neck_mean_area,False,False
femur_neck_mean_bmc,False,False
femur_neck_mean_bmd,False,True
femur_right_lower_neck_area,False,False
femur_right_lower_neck_bmc,False,True
femur_right_lower_neck_bmd,False,True
femur_right_neck_area,False,False
femur_right_neck_bmc,False,False
femur_right_neck_bmd,False,True
femur_right_shaft_area,False,True
femur_right_shaft_bmc,False,True
femur_right_shaft_bmd,False,True
femur_right_total_area,False,True
femur_right_total_bmc,False,True
femur_right_total_bmd,False,True
femur_right_troch_area,False,True
femur_right_troch_bmc,False,True
femur_right_troch_bmd,False,True
femur_right_upper_neck_area,False,False
femur_right_upper_neck_bmc,False,True
femur_right_upper_neck_bmd,False,True
femur_right_wards_area,False,False
femur_right_wards_bmc,False,False
femur_right_wards_bmd,False,True
femur_shaft_diff_area,False,True
femur_shaft_diff_bmc,False,True
femur_shaft_diff_bmd,False,True
femur_shaft_mean_area,False,True
femur_shaft_mean_bmc,False,True
femur_shaft_mean_bmd,False,True
femur_total_diff_area,False,True
femur_total_diff_bmc,False,True
femur_total_diff_bmd,False,True
femur_total_mean_area,False,True
femur_total_mean_bmc,False,True
femur_total_mean_bmd,False,True
femur_troch_diff_area,False,True
femur_troch_diff_bmc,False,True
femur_troch_diff_bmd,False,True
femur_troch_mean_area,False,True
femur_troch_mean_bmc,False,True
femur_troch_mean_bmd,False,True
femur_upper_neck_diff_area,True,True
femur_upper_neck_diff_bmc,False,True
femur_upper_neck_diff_bmd,False,True
femur_upper_neck_mean_area,False,False
femur_upper_neck_mean_bmc,False,True
femur_upper_neck_mean_bmd,False,True
femur_wards_diff_area,False,True
femur_wards_diff_bmc,False,False
femur_wards_diff_bmd,False,True
femur_wards_mean_area,False,False
femur_wards_mean_bmc,False,False
femur_wards_mean_bmd,False,True
spine_l1_area,False,True
spine_l1_average_height,False,True
spine_l1_average_width,False,True
spine_l1_bmc,False,True
spine_l1_bmd,False,True
spine_l1_l2_area,False,True
spine_l1_l2_average_height,False,True
spine_l1_l2_average_width,False,True
spine_l1_l2_bmc,False,True
spine_l1_l2_bmd,False,True
spine_l1_l3_area,False,True
spine_l1_l3_average_height,False,True
spine_l1_l3_average_width,False,True
spine_l1_l3_bmc,False,True
spine_l1_l3_bmd,False,True
spine_l1_l4_area,False,True
spine_l1_l4_average_height,False,True
spine_l1_l4_average_width,False,True
spine_l1_l4_bmc,False,True
spine_l1_l4_bmd,False,True
spine_l2_area,False,True
spine_l2_average_height,False,False
spine_l2_average_width,False,True
spine_l2_bmc,False,False
spine_l2_bmd,False,True
spine_l2_l3_area,False,True
spine_l2_l3_average_height,False,True
spine_l2_l3_average_width,False,True
spine_l2_l3_bmc,False,True
spine_l2_l3_bmd,False,True
spine_l2_l4_area,False,True
spine_l2_l4_average_height,False,True
spine_l2_l4_average_width,False,True
spine_l2_l4_bmc,False,True
spine_l2_l4_bmd,False,True
spine_l3_area,False,True
spine_l3_average_height,False,True
spine_l3_average_width,False,True
spine_l3_bmc,False,True
spine_l3_bmd,False,True
spine_l3_l4_area,False,True
spine_l3_l4_average_height,False,True
spine_l3_l4_average_width,False,True
spine_l3_l4_bmc,False,True
spine_l3_l4_bmd,False,True
spine_l4_area,False,True
spine_l4_average_height,False,True
spine_l4_average_width,False,True
spine_l4_bmc,False,True
spine_l4_bmd,False,True
