,Age & BMI,"HRV
(average of nights)"
body_arm_left_area,0.0900765592763227,0.06093446360222825
body_arm_left_bmc,0.2381260674419522,0.12996234109044463
body_arm_left_bmd,0.40126695950500146,0.34510409181735613
body_arm_right_area,0.08865823574685056,0.0672387865128749
body_arm_right_bmc,0.2501005323432261,0.17510443402513903
body_arm_right_bmd,0.3862499261955903,0.3333913969665915
body_arms_area,0.09343629557501626,0.07192132851613475
body_arms_bmc,0.25522478952601135,0.15218098314873407
body_arms_bmd,0.40269887475599,0.35098568881770087
body_head_area,0.07242614429011215,0.0568387578588371
body_head_bmc,0.2027752853020968,0.17497589233391264
body_head_bmd,0.2895674071054105,0.24240955859962932
body_leg_left_area,0.0136102456989558,0.0485215274652964
body_leg_left_bmc,0.2710326622857203,0.2586655822712499
body_leg_left_bmd,0.42413814218780915,0.3846648921547574
body_leg_right_area,-4.018911960979808e-05,0.0510434815639698
body_leg_right_bmc,0.25795338450372435,0.250407533725951
body_leg_right_bmd,0.4278557277367415,0.3754634721348975
body_legs_area,0.0049448555329913,0.051712815720344446
body_legs_bmc,0.2667640278590454,0.2407963324580426
body_legs_bmd,0.4297621453770093,0.3807175518453664
body_pelvis_area,0.23004114289973437,0.21064446970474981
body_pelvis_bmc,0.43845816911867225,0.40226285322858035
body_pelvis_bmd,0.4463444903450785,0.39455492793742125
body_ribs_area,0.27569603677707094,0.18000644573043856
body_ribs_bmc,0.35818008331272416,0.28132065402255746
body_ribs_bmd,0.4309134949057768,0.3578763393683754
body_spine_area,0.12700013752041578,0.09666686643041986
body_spine_bmc,0.4117783335072097,0.3464792647449938
body_spine_bmd,0.5112105988741449,0.4526768532481079
body_total_area,0.04192697625758485,0.07717775340929159
body_total_bmc,0.38431885514161535,0.3367737650828736
body_total_bmd,0.46856580838264317,0.41511433988538216
body_total_left_area,0.0295721608918778,0.0701978740601511
body_total_left_bmc,0.343116008284936,0.2846465475418479
body_total_left_bmd,0.44205137653681104,0.38120261232989605
body_total_right_area,0.061368272149775555,0.08094482144134721
body_total_right_bmc,0.37049000897794254,0.3301848753449227
body_total_right_bmd,0.45584083242181395,0.4009718737417731
body_trunk_area,0.2981907000732351,0.2240239948377289
body_trunk_bmc,0.48516915984462,0.42977802672974236
body_trunk_bmd,0.5008714691753647,0.43895510415477224
body_trunk_left_area,0.2421155809637572,0.1760887160270161
body_trunk_left_bmc,0.453361906652735,0.3987269301171056
body_trunk_left_bmd,0.4887086429024151,0.4281696105712161
body_trunk_right_area,0.2915322431564523,0.20669266751182655
body_trunk_right_bmc,0.48579349812199346,0.41712362079807525
body_trunk_right_bmd,0.5002211144679264,0.4458438150134403
femur_left_lower_neck_area,0.07651704015149874,0.10589864141945834
femur_left_lower_neck_bmc,0.35259614691714647,0.32018672100638546
femur_left_lower_neck_bmd,0.40820693688743714,0.3618993277080602
femur_left_neck_area,0.07674905768958135,0.09535581888419026
femur_left_neck_bmc,0.38377412648000886,0.3465191091874318
femur_left_neck_bmd,0.43074396274635984,0.37649262189250254
femur_left_shaft_area,0.0632101464877275,0.07862886256283111
femur_left_shaft_bmc,0.45594731674715827,0.41598342458153786
femur_left_shaft_bmd,0.43028900762208033,0.3696209499550672
femur_left_total_area,0.14495876007692998,0.1343277698461962
femur_left_total_bmc,0.41097371096546276,0.38766093064278406
femur_left_total_bmd,0.45194207252932483,0.3968668208944937
femur_left_troch_area,0.12925367587170866,0.11420174264470925
femur_left_troch_bmc,0.29555981338165316,0.2767388583528724
femur_left_troch_bmd,0.4140977433810828,0.36354742681046603
femur_left_upper_neck_area,0.0709398555185437,0.08300264796408595
femur_left_upper_neck_bmc,0.4054587233319463,0.36676347987272206
femur_left_upper_neck_bmd,0.4280437405460482,0.37612545325547164
femur_left_wards_area,0.09376136029467814,0.10799385968330735
femur_left_wards_bmc,0.3154636434655536,0.2682222525288348
femur_left_wards_bmd,0.4283601485851823,0.3651331583708761
femur_lower_neck_diff_area,0.033649429857179,0.00442901444749545
femur_lower_neck_diff_bmc,0.06323164405840356,0.04565753318901135
femur_lower_neck_diff_bmd,0.057617611892385456,0.036548407896303994
femur_lower_neck_mean_area,0.08620156164681665,0.0925222268363044
femur_lower_neck_mean_bmc,0.3695797942441402,0.3259976031676167
femur_lower_neck_mean_bmd,0.41827759964649786,0.36616363191509044
femur_neck_diff_area,0.06489167542358,0.009531971538964651
femur_neck_diff_bmc,0.07510824800433999,0.028483395366650448
femur_neck_diff_bmd,0.00143521489603355,0.02892954678818515
femur_neck_mean_area,0.08682277093950265,0.09138374193419266
femur_neck_mean_bmc,0.4026914679251349,0.3636388433256672
femur_neck_mean_bmd,0.44077766156913323,0.39263600564518397
femur_right_lower_neck_area,0.0674670974610347,0.06480761067132715
femur_right_lower_neck_bmc,0.33762187632392127,0.28254785663853155
femur_right_lower_neck_bmd,0.3970378560943649,0.34324133322760064
femur_right_neck_area,0.07019524785766676,0.06577866012803926
femur_right_neck_bmc,0.38191621120563113,0.3276569360908343
femur_right_neck_bmd,0.4229072541956749,0.3730563645189271
femur_right_shaft_area,0.0591208559610538,0.05791680002724775
femur_right_shaft_bmc,0.43838889690738914,0.3975594535972633
femur_right_shaft_bmd,0.41600616752126035,0.3469595664828722
femur_right_total_area,0.1678575879490956,0.15054561276876927
femur_right_total_bmc,0.41207936670766543,0.36826787816800494
femur_right_total_bmd,0.44237088141169045,0.37998172173362593
femur_right_troch_area,0.14425355710438956,0.10610927892849631
femur_right_troch_bmc,0.30177807280132946,0.2538719428143775
femur_right_troch_bmd,0.40057261448211756,0.33432795351958244
femur_right_upper_neck_area,0.06761325595276765,0.060037718108872096
femur_right_upper_neck_bmc,0.3979108235380584,0.3416643551207075
femur_right_upper_neck_bmd,0.4216528607397285,0.3661970267000946
femur_right_wards_area,0.09270775949899249,0.06435993584678565
femur_right_wards_bmc,0.323485602052303,0.27259988614386615
femur_right_wards_bmd,0.419268178802924,0.3545919473695817
femur_shaft_diff_area,0.02469364997698025,0.03653270828404455
femur_shaft_diff_bmc,0.0897098855241754,0.057562302866231846
femur_shaft_diff_bmd,0.01175153695417325,0.0541272732744604
femur_shaft_mean_area,0.0705060813445811,0.07873002403494005
femur_shaft_mean_bmc,0.46055045554544044,0.42775501119257875
femur_shaft_mean_bmd,0.4323795661862814,0.37109041590311975
femur_total_diff_area,-0.008950878414139399,0.0303879874759099
femur_total_diff_bmc,0.028280783584942203,0.03423870520128655
femur_total_diff_bmd,0.0125758108523064,0.0194701051708199
femur_total_mean_area,0.1741312759468647,0.1605044846347064
femur_total_mean_bmc,0.4225703145208047,0.39170687295996987
femur_total_mean_bmd,0.4554956071924372,0.40068967712211995
femur_troch_diff_area,0.02537920185725935,0.0367122932539139
femur_troch_diff_bmc,0.048431048516321545,0.0605373008408394
femur_troch_diff_bmd,0.0228460161417033,0.02285244118226345
femur_troch_mean_area,0.15934299448447087,0.13338912219633844
femur_troch_mean_bmc,0.32375568508441516,0.2907208429189502
femur_troch_mean_bmd,0.42597765396292475,0.37223723099740724
femur_upper_neck_diff_area,0.04889580168802245,0.00722245253722435
femur_upper_neck_diff_bmc,0.06515100628212231,0.0265738253483253
femur_upper_neck_diff_bmd,0.0123909677057128,0.022697410198813252
femur_upper_neck_mean_area,0.07951880603014219,0.08451778867612564
femur_upper_neck_mean_bmc,0.41097036190790104,0.3664615534604955
femur_upper_neck_mean_bmd,0.43989787931593116,0.3870618798627399
femur_wards_diff_area,0.05603167386765705,0.027148704877509047
femur_wards_diff_bmc,0.086748764381401,0.0521372616538987
femur_wards_diff_bmd,-0.041443507207626754,0.00473514268843785
femur_wards_mean_area,0.1107904265283147,0.10151733919354719
femur_wards_mean_bmc,0.3453255536613816,0.2972196263749856
femur_wards_mean_bmd,0.43485631122214174,0.36005771990406427
spine_l1_area,0.07349363006232865,0.08560496982818536
spine_l1_average_height,0.09851575778721994,0.06338366365008266
spine_l1_average_width,0.2753371735410245,0.21321119192956278
spine_l1_bmc,0.327608424010695,0.2514748066442682
spine_l1_bmd,0.4125488860553588,0.3304185092591998
spine_l1_l2_area,0.0628199916530318,0.08162457136424706
spine_l1_l2_average_height,0.09797318630015489,0.0815634724090983
spine_l1_l2_average_width,0.2463279176477297,0.1900994914511443
spine_l1_l2_bmc,0.33091117856920005,0.26163489808463164
spine_l1_l2_bmd,0.4198704499989342,0.3448020062734831
spine_l1_l3_area,0.0374499478479692,0.05827676026137445
spine_l1_l3_average_height,0.1109862178604597,0.098507429082956
spine_l1_l3_average_width,0.20394540677388465,0.1582855636757497
spine_l1_l3_bmc,0.31500649141101406,0.2492572687928192
spine_l1_l3_bmd,0.40791393546472277,0.3382657357868418
spine_l1_l4_area,0.03515765733074125,0.05342528498146485
spine_l1_l4_average_height,0.1646714856249809,0.12250408707919194
spine_l1_l4_average_width,0.16888579784785573,0.1304086855268247
spine_l1_l4_bmc,0.29251617896781085,0.2273528669072388
spine_l1_l4_bmd,0.37905234457406844,0.30824476772545173
spine_l2_area,0.0436257470404776,0.0679231019298775
spine_l2_average_height,0.092125890127759,0.0707368241196282
spine_l2_average_width,0.19933352828823891,0.17144641355980617
spine_l2_bmc,0.3107642275258501,0.24793471072251816
spine_l2_bmd,0.4022381737436954,0.32798168118462356
spine_l2_l3_area,0.01516439458885325,0.0573859638569664
spine_l2_l3_average_height,0.1016187884583599,0.09410290622948765
spine_l2_l3_average_width,0.16083305291595673,0.1435747257893627
spine_l2_l3_bmc,0.29698421606520997,0.23575040022206029
spine_l2_l3_bmd,0.3909547531656905,0.32373171063779144
spine_l2_l4_area,0.0207711050354836,0.04853584767066955
spine_l2_l4_average_height,0.16768565522313605,0.11607383830934939
spine_l2_l4_average_width,0.1274572244567329,0.11952808250239344
spine_l2_l4_bmc,0.27204381964926394,0.2177282227776841
spine_l2_l4_bmd,0.358260130311547,0.2922439899814502
spine_l3_area,-0.00158279765049555,0.050766712539588046
spine_l3_average_height,0.07616794380670786,0.08468257079770924
spine_l3_average_width,0.11242435244739316,0.1084514807027299
spine_l3_bmc,0.2670508008904367,0.21406881343345666
spine_l3_bmd,0.3654590184680411,0.30162110294826616
spine_l3_l4_area,0.01973844838344395,0.04886614801149865
spine_l3_l4_average_height,0.1731322065847564,0.1188559319648477
spine_l3_l4_average_width,0.09050454129832344,0.1049127829212613
spine_l3_l4_bmc,0.2439351201535651,0.19089807934455316
spine_l3_l4_bmd,0.3265285500573212,0.2677943978594825
spine_l4_area,0.02651445216117115,0.0397732844499324
spine_l4_average_height,0.16003273069766266,0.0868977752196426
spine_l4_average_width,0.0706753720781389,0.07349266221115569
spine_l4_bmc,0.19999189762150488,0.14747031449039025
spine_l4_bmd,0.275452363855073,0.2163467055449781
