,Age & BMI,"HRV
(average of nights)"
body_arms_area,0.00046979622655945,0.0618959669747713
body_head_bmc,0.0161064214556929,0.0704924886709364
body_pelvis_area,0.0918600265608549,0.14564286747340116
femur_right_neck_area,0.0451100471666274,0.09858523859676416
femur_right_upper_neck_area,0.04645896350172605,0.09904070449428995
femur_wards_mean_area,0.062327467263516054,0.11327100801180355
femur_left_wards_area,0.0434606107791817,0.0920098127359692
body_leg_right_area,0.06289579497977166,0.10877845791513725
body_legs_area,0.05935948034500095,0.10426284340097615
femur_neck_mean_area,0.06418271413336285,0.1083890042206867
femur_upper_neck_mean_area,0.0606165158322602,0.1018460196533492
body_leg_left_area,0.0557141020269068,0.0968663563806723
femur_right_wards_area,0.0566874993665126,0.0970238634639832
femur_right_lower_neck_area,0.0536960104338521,0.09336129708692284
body_arm_right_area,0.0129569954505058,0.052393481667690145
body_total_left_area,0.10898701111342976,0.14806165857787115
femur_left_neck_area,0.06094697721765435,0.0988952865260192
body_head_bmd,0.033963805418535054,0.069048554903886
femur_left_upper_neck_area,0.06526984000344241,0.09989693488461479
body_arm_left_bmc,0.11374106736941711,0.14553871375865116
body_leg_left_bmc,0.2130393835754087,0.24421555893495014
body_legs_bmc,0.2146549301894327,0.2444531727612623
body_leg_right_bmc,0.21383986549233963,0.24185470644729512
femur_left_lower_neck_area,0.07726394546187206,0.10396057401907766
body_total_area,0.14495422719276352,0.1686901340382168
body_arms_bmc,0.1260369698482519,0.14425021804760924
femur_lower_neck_mean_area,0.0863174382082409,0.10450394353728665
femur_wards_mean_bmc,0.186773270761714,0.20486212140004614
spine_l2_average_height,0.057135730670797746,0.07484431543260416
femur_wards_diff_bmc,0.009668909317020299,0.0233945259045388
femur_right_wards_bmc,0.16661340589641832,0.17952520866436789
femur_right_neck_bmc,0.2440955853766517,0.25600970927625
femur_neck_mean_bmc,0.26937774358482436,0.27874965793580586
spine_l2_bmc,0.15089206636965635,0.16015115146784042
body_pelvis_bmc,0.23817305846426712,0.2474231089353927
femur_lower_neck_mean_bmc,0.2658574729888167,0.27434845460184787
