,Age & BMI,"HRV
(average of nights)"
body_arm_left_area,-0.02917863049447845,0.0633454613079491
body_arm_left_bmc,0.10751159279167485,0.1638052813215897
body_arm_left_bmd,-0.035275184221790004,-0.035275184221790004
body_arm_right_area,0.0243687632078474,0.06876338644589694
body_arm_right_bmc,0.08096361071134275,0.150139860026489
body_arm_right_bmd,-0.03329813004075565,-0.03329813004075565
body_arms_area,-0.03027570995422955,0.07810861348913625
body_arms_bmc,0.0981405100482747,0.1760220927751703
body_arms_bmd,-0.03436761546533485,-0.03436761546533485
body_head_area,-0.0383527131514759,-0.0322319788737427
body_head_bmc,0.06571465047012334,0.10438645938919315
body_head_bmd,-0.03412079236100695,-0.03412079236100695
body_leg_left_area,0.058639756202641,0.1270221271683437
body_leg_left_bmc,0.22053867705950891,0.30421185736816453
body_leg_left_bmd,-0.0359096037483721,-0.0359096037483721
body_leg_right_area,0.07666065050423025,0.13146642433097655
body_leg_right_bmc,0.21729134128435335,0.2964380397123818
body_leg_right_bmd,-0.03562591936729735,-0.03562591936729735
body_legs_area,0.06872332129576561,0.13104835964244665
body_legs_bmc,0.22052349651436132,0.2950675772759178
body_legs_bmd,-0.036142344578949,-0.03614234457894895
body_pelvis_area,0.11346907334921365,0.1882427092012829
body_pelvis_bmc,0.26292765330616497,0.32354828879828323
body_pelvis_bmd,-0.03489960914150925,-0.03489960914150925
body_ribs_area,0.48851094990970206,0.4964036145921015
body_ribs_bmc,0.6250837091102002,0.6264606939979579
body_ribs_bmd,-0.0339202138262873,-0.0339202138262873
body_spine_area,0.261695699129291,0.2591070596831284
body_spine_bmc,0.4809515572389304,0.47829982752714395
body_spine_bmd,-0.036760226146154804,-0.036760226146154804
body_total_area,0.18057399001621635,0.2021933000872868
body_total_bmc,0.3247450484018728,0.3630572849754944
body_total_bmd,-0.03535962385897415,-0.03535962385897415
body_total_left_area,0.14142616965632931,0.1694654592685543
body_total_left_bmc,0.28370563520729153,0.3262718848097644
body_total_left_bmd,-0.034812028631945796,-0.034812028631945796
body_total_right_area,0.20020663133492275,0.2102471257347462
body_total_right_bmc,0.3351142678161115,0.35664079734834325
body_total_right_bmd,-0.0360732719931111,-0.0360732719931111
body_trunk_area,0.39522816279165973,0.3892846604762666
body_trunk_bmc,0.5131685199425841,0.5142098521120964
body_trunk_bmd,-0.0354847837437461,-0.0354847837437461
body_trunk_left_area,0.36492753149455903,0.36385708203397693
body_trunk_left_bmc,0.4872256810141261,0.491822007535258
body_trunk_left_bmd,-0.0354808135670791,-0.03548081356707905
body_trunk_right_area,0.3726660061037081,0.36890008092308113
body_trunk_right_bmc,0.517387120410504,0.5192186759618737
body_trunk_right_bmd,-0.03348613457774295,-0.0334861345777429
femur_left_lower_neck_area,-0.0405174143380061,-0.0405174143380061
femur_left_lower_neck_bmc,0.2538499385452986,0.2538499385452987
femur_left_lower_neck_bmd,-0.030582295305722297,-0.030582295305722297
femur_left_neck_area,-0.03221672299668095,-0.032216722996681005
femur_left_neck_bmc,0.2462386170024618,0.2596709331444568
femur_left_neck_bmd,-0.0340767998698638,-0.03407679986986375
femur_left_shaft_area,0.018564333354459048,0.018564333354459048
femur_left_shaft_bmc,0.3584625514806852,0.38133023943940303
femur_left_shaft_bmd,-0.031913649357332805,-0.031913649357332805
femur_left_total_area,0.19885447065108663,0.219739970756646
femur_left_total_bmc,0.3537910961592339,0.38546142307179054
femur_left_total_bmd,-0.034218616972515,-0.03421861697251495
femur_left_troch_area,0.16732000330499874,0.1693084636855789
femur_left_troch_bmc,0.3162979063896413,0.3354768397196356
femur_left_troch_bmd,-0.0347459848318598,-0.0347459848318598
femur_left_upper_neck_area,-0.0352409784408041,-0.0352409784408041
femur_left_upper_neck_bmc,-0.032618779913048346,-0.0326187799130484
femur_left_upper_neck_bmd,-0.0343895883537416,-0.0343895883537416
femur_left_wards_area,-0.035215665477332445,-0.035215665477332445
femur_left_wards_bmc,0.16800572365557354,0.16800572365557348
femur_left_wards_bmd,-0.03415873055417345,-0.0341587305541735
femur_lower_neck_diff_area,-0.03058063888608065,-0.03058063888608065
femur_lower_neck_diff_bmc,-0.03362180720587355,-0.03362180720587355
femur_lower_neck_diff_bmd,-0.0317179828257683,-0.03171798282576835
femur_lower_neck_mean_area,-0.034506635453474196,-0.034506635453474196
femur_lower_neck_mean_bmc,0.26389947079410925,0.26389947079410914
femur_lower_neck_mean_bmd,-0.029669972737777252,-0.029669972737777252
femur_neck_diff_area,-0.030430020090424698,-0.030430020090424698
femur_neck_diff_bmc,-0.034142860511425246,-0.034142860511425246
femur_neck_diff_bmd,-0.0348677343721706,-0.0348677343721706
femur_neck_mean_area,-0.033197126070379654,-0.033197126070379654
femur_neck_mean_bmc,0.2679657306390121,0.2905101719055996
femur_neck_mean_bmd,-0.03682647206266735,-0.03682647206266735
femur_right_lower_neck_area,-0.03474709952787995,-0.03474709952787995
femur_right_lower_neck_bmc,0.2358355370790479,0.2358355370790479
femur_right_lower_neck_bmd,-0.036223166583159896,-0.036223166583159896
femur_right_neck_area,-0.03018638361335385,-0.03018638361335385
femur_right_neck_bmc,0.24602065576648036,0.2554543390491286
femur_right_neck_bmd,-0.03422640896357875,-0.03422640896357875
femur_right_shaft_area,0.046980222400194296,0.046980222400194296
femur_right_shaft_bmc,0.3477437569674069,0.36716070201345585
femur_right_shaft_bmd,-0.0341979872663662,-0.0341979872663662
femur_right_total_area,0.2090437649768784,0.23703812259597418
femur_right_total_bmc,0.3481392454719878,0.3786760047266433
femur_right_total_bmd,-0.0347126130166491,-0.0347126130166491
femur_right_troch_area,0.1692611149278112,0.17907159143331536
femur_right_troch_bmc,0.29852712299813683,0.32086710303137106
femur_right_troch_bmd,-0.03546331664705695,-0.03546331664705695
femur_right_upper_neck_area,-0.03499488963294025,-0.03499488963294025
femur_right_upper_neck_bmc,-0.0336115888623512,-0.0336115888623512
femur_right_upper_neck_bmd,-0.0351814646059313,-0.0351814646059313
femur_right_wards_area,-0.03589816322744765,-0.03589816322744765
femur_right_wards_bmc,0.14539283889437432,0.14539283889437432
femur_right_wards_bmd,-0.033426295387651905,-0.033426295387651905
femur_shaft_diff_area,-0.03353298891533065,-0.0335329889153306
femur_shaft_diff_bmc,-0.0373381107262068,-0.0373381107262068
femur_shaft_diff_bmd,-0.03414401237485555,-0.03414401237485555
femur_shaft_mean_area,0.032150073791366654,0.03215007379136635
femur_shaft_mean_bmc,0.36224797185211977,0.3867134278419233
femur_shaft_mean_bmd,-0.0312533801846924,-0.0312533801846924
femur_total_diff_area,-0.03755638149611715,-0.03755638149611715
femur_total_diff_bmc,-0.015127666380674601,-0.01390871898773545
femur_total_diff_bmd,-0.033525886611766545,-0.033525886611766545
femur_total_mean_area,0.2147781461969553,0.2407704843512628
femur_total_mean_bmc,0.361928545915155,0.395955157859477
femur_total_mean_bmd,-0.0334128231642127,-0.0334128231642127
femur_troch_diff_area,-0.038342918747339,-0.038342918747339
femur_troch_diff_bmc,-0.033316819234330455,-0.033316819234330455
femur_troch_diff_bmd,-0.0356451098300144,-0.0356451098300144
femur_troch_mean_area,0.19376683703105363,0.20244481164710726
femur_troch_mean_bmc,0.3310912195186499,0.35452784868639514
femur_troch_mean_bmd,-0.03433086492471325,-0.03433086492471325
femur_upper_neck_diff_area,-0.0371606238799089,-0.0371606238799089
femur_upper_neck_diff_bmc,-0.031919911245020846,-0.031919911245020846
femur_upper_neck_diff_bmd,-0.033087181514861896,-0.033087181514861896
femur_upper_neck_mean_area,-0.0357909329162045,-0.0357909329162045
femur_upper_neck_mean_bmc,-0.0363710212132436,-0.0363710212132436
femur_upper_neck_mean_bmd,-0.029614332675925302,-0.029614332675925302
femur_wards_diff_area,-0.0326151025640907,-0.03261510256409065
femur_wards_diff_bmc,-0.031947654198717645,-0.031947654198717645
femur_wards_diff_bmd,-0.034784212343573845,-0.034784212343573845
femur_wards_mean_area,-0.03501293052279125,-0.03501293052279125
femur_wards_mean_bmc,0.18075974590178634,0.18075974590178628
femur_wards_mean_bmd,-0.03654080214893325,-0.03654080214893325
spine_l1_area,0.1511152533308796,0.15190535836628105
spine_l1_average_height,-0.0323811934133679,-0.03238119341336785
spine_l1_average_width,-0.03556145319102335,-0.03556145319102335
spine_l1_bmc,0.2134675521556355,0.2209845515989331
spine_l1_bmd,-0.0330125980466126,-0.0330125980466126
spine_l1_l2_area,0.14843484183752176,0.16680722605543863
spine_l1_l2_average_height,-0.03497847644292295,-0.03497847644292295
spine_l1_l2_average_width,-0.0350768961709299,-0.0350768961709299
spine_l1_l2_bmc,0.2135882569895009,0.21555508195848638
spine_l1_l2_bmd,-0.03279425086065865,-0.03279425086065865
spine_l1_l3_area,0.11892760821173434,0.14150432240218436
spine_l1_l3_average_height,-0.0337221402590355,-0.0337221402590355
spine_l1_l3_average_width,-0.03376491523308945,-0.03376491523308945
spine_l1_l3_bmc,0.20280306435600182,0.20294781936174144
spine_l1_l3_bmd,-0.0322963030627139,-0.0322963030627139
spine_l1_l4_area,0.0899885930864195,0.11940926941017205
spine_l1_l4_average_height,0.1707506720487451,0.1707506720487451
spine_l1_l4_average_width,-0.034939912539395046,-0.034939912539395046
spine_l1_l4_bmc,0.21261990442933587,0.21223393783791936
spine_l1_l4_bmd,-0.0322938430909847,-0.0322938430909847
spine_l2_area,0.10855127422527155,0.1179591847376772
spine_l2_average_height,-0.035780757203144,-0.03578075720314395
spine_l2_average_width,-0.03329315440404235,-0.03329315440404235
spine_l2_bmc,0.19819803241253808,0.2125220677066451
spine_l2_bmd,-0.03642141948574075,-0.03642141948574075
spine_l2_l3_area,0.08678649047659175,0.12077928080126875
spine_l2_l3_average_height,-0.0362110288179832,-0.036211028817983146
spine_l2_l3_average_width,-0.03089271028630285,-0.03089271028630285
spine_l2_l3_bmc,0.19135652105092854,0.20490643505003792
spine_l2_l3_bmd,-0.0365038068274382,-0.0365038068274382
spine_l2_l4_area,0.06348758608050986,0.11086592013967655
spine_l2_l4_average_height,0.17952230576134498,0.17952230576134498
spine_l2_l4_average_width,-0.0309486326393576,-0.0309486326393576
spine_l2_l4_bmc,0.20805874813136374,0.21763284905822716
spine_l2_l4_bmd,-0.037962811820811,-0.037962811820811
spine_l3_area,-0.00583429041763385,0.064511706359322
spine_l3_average_height,-0.03754407960547495,-0.03754407960547485
spine_l3_average_width,-0.033479114092381454,-0.033479114092381454
spine_l3_bmc,0.17202311342381105,0.19343488192579478
spine_l3_bmd,-0.030292234697172002,-0.030292234697172002
spine_l3_l4_area,0.04170106438469335,0.08667812722255785
spine_l3_l4_average_height,-0.0021877806222793,-0.0021877806222793
spine_l3_l4_average_width,-0.03067904073116855,-0.0306790407311685
spine_l3_l4_bmc,0.20511254142384572,0.21863950231630724
spine_l3_l4_bmd,-0.0307418275554109,-0.0307418275554109
spine_l4_area,-0.0173106311417499,0.03941704683787265
spine_l4_average_height,-0.033068095148819004,-0.033068095148819004
spine_l4_average_width,-0.03046129878275445,-0.0304612987827544
spine_l4_bmc,0.22002242167913585,0.23770276346820096
spine_l4_bmd,-0.0333215776321815,-0.0333215776321815
