,Age & BMI,"HRV
(measured during sleep)"
body_leg_left_bmc,0.22053867705950891,0.30421185736816453
body_leg_right_bmc,0.21729134128435335,0.2964380397123818
body_arms_bmc,0.0981405100482747,0.1760220927751703
body_pelvis_area,0.11346907334921365,0.1882427092012829
body_legs_bmc,0.22052349651436132,0.2950675772759178
body_arm_right_bmc,0.08096361071134275,0.150139860026489
body_leg_left_area,0.058639756202641,0.1270221271683437
body_legs_area,0.06872332129576561,0.13104835964244665
body_pelvis_bmc,0.26292765330616497,0.32354828879828323
body_arm_left_bmc,0.10751159279167485,0.1638052813215897
body_leg_right_area,0.07666065050423025,0.13146642433097655
spine_l2_l4_area,0.06348758608050986,0.11086592013967655
spine_l3_l4_area,0.04170106438469335,0.08667812722255785
body_arm_right_area,0.0243687632078474,0.06876338644589694
body_total_left_bmc,0.28370563520729153,0.3262718848097644
body_head_bmc,0.06571465047012334,0.10438645938919315
body_total_bmc,0.3247450484018728,0.3630572849754944
femur_total_mean_bmc,0.361928545915155,0.395955157859477
spine_l2_l3_area,0.08678649047659175,0.12077928080126875
femur_left_total_bmc,0.3537910961592339,0.38546142307179054
femur_right_total_bmc,0.3481392454719878,0.3786760047266433
spine_l1_l4_area,0.0899885930864195,0.11940926941017205
body_total_left_area,0.14142616965632931,0.1694654592685543
femur_right_total_area,0.2090437649768784,0.23703812259597418
femur_total_mean_area,0.2147781461969553,0.2407704843512628
femur_shaft_mean_bmc,0.36224797185211977,0.3867134278419233
femur_troch_mean_bmc,0.3310912195186499,0.35452784868639514
femur_left_shaft_bmc,0.3584625514806852,0.38133023943940303
spine_l1_l3_area,0.11892760821173434,0.14150432240218436
femur_neck_mean_bmc,0.2679657306390121,0.2905101719055996
femur_right_troch_bmc,0.29852712299813683,0.32086710303137106
body_total_area,0.18057399001621635,0.2021933000872868
body_total_right_bmc,0.3351142678161115,0.35664079734834325
spine_l3_bmc,0.17202311342381105,0.19343488192579478
femur_left_total_area,0.19885447065108663,0.219739970756646
femur_right_shaft_bmc,0.3477437569674069,0.36716070201345585
femur_left_troch_bmc,0.3162979063896413,0.3354768397196356
spine_l1_l2_area,0.14843484183752176,0.16680722605543863
spine_l4_bmc,0.22002242167913585,0.23770276346820096
spine_l2_bmc,0.19819803241253808,0.2125220677066451
spine_l2_l3_bmc,0.19135652105092854,0.20490643505003792
spine_l3_l4_bmc,0.20511254142384572,0.21863950231630724
femur_left_neck_bmc,0.2462386170024618,0.2596709331444568
body_total_right_area,0.20020663133492275,0.2102471257347462
femur_right_troch_area,0.1692611149278112,0.17907159143331536
spine_l2_l4_bmc,0.20805874813136374,0.21763284905822716
femur_right_neck_bmc,0.24602065576648036,0.2554543390491286
spine_l2_area,0.10855127422527155,0.1179591847376772
femur_troch_mean_area,0.19376683703105363,0.20244481164710726
body_ribs_area,0.48851094990970206,0.4964036145921015
spine_l1_bmc,0.2134675521556355,0.2209845515989331
body_trunk_left_bmc,0.4872256810141261,0.491822007535258
femur_left_troch_area,0.16732000330499874,0.1693084636855789
body_trunk_right_bmc,0.517387120410504,0.5192186759618737
body_ribs_bmc,0.6250837091102002,0.6264606939979579
body_trunk_bmc,0.5131685199425841,0.5142098521120964
femur_right_shaft_area,0.046980222400194296,0.046980222400194296
spine_l2_l4_average_height,0.17952230576134498,0.17952230576134498
femur_left_shaft_area,0.018564333354459048,0.018564333354459048
femur_right_lower_neck_bmc,0.2358355370790479,0.2358355370790479
spine_l1_l4_average_height,0.1707506720487451,0.1707506720487451
