,Age & BMI,"HRV
(average of nights)"
body_legs_area,0.02966845267807705,0.09449504682481574
spine_l2_l4_area,0.03684349418432845,0.10152911178124285
spine_l2_l3_area,0.0402971618357872,0.0976928902520397
spine_l3_l4_area,0.036853565352902004,0.08950475999954464
spine_l1_l4_area,0.06031766554104975,0.11266938555943021
spine_l1_l3_area,0.0703176294477533,0.11862079834320935
body_leg_right_area,0.0348757607672713,0.07817690664585106
body_leg_left_bmc,0.2859984273116646,0.32197348464631326
body_legs_bmc,0.28770694187584095,0.3226074052148198
body_leg_right_bmc,0.2845337428565474,0.3177777999433754
body_total_area,0.0862918754381551,0.1127851663119939
spine_l1_l2_area,0.09154164260734085,0.11589893776872015
spine_l4_area,0.0458723878738937,0.0700907164805021
femur_left_total_bmc,0.43197556514504387,0.4545991225880045
body_arms_area,0.1297845049950416,0.15213626229397564
femur_total_mean_bmc,0.44414120113343436,0.46615185146155397
body_pelvis_bmc,0.4492183601759177,0.46929234311549045
femur_right_total_bmc,0.42606460562368187,0.44489681268560965
femur_total_mean_area,0.21788942503250805,0.23587338629450044
femur_left_shaft_bmc,0.47026379045939737,0.4880717473874512
femur_left_total_area,0.1943950379787403,0.21213520675408254
body_total_left_bmc,0.3501103618333456,0.36761326495568925
femur_left_troch_bmc,0.3256646157922639,0.34196935201307965
body_pelvis_area,0.2661227323154757,0.2823673480768478
femur_shaft_mean_bmc,0.47777102282878964,0.493839349988744
femur_troch_mean_bmc,0.3496449172133448,0.36550955088908826
spine_l2_area,0.0300755215621098,0.04558122109405785
body_total_bmc,0.3962693604681756,0.41040857945175124
body_arm_right_area,0.1238606212008362,0.13754122172875088
femur_right_shaft_bmc,0.45299745795277724,0.4663296143697614
body_total_right_area,0.12013278100326524,0.13241461061891596
femur_right_troch_bmc,0.32675815750822923,0.33896921214901077
femur_right_total_area,0.21222468045916532,0.224368025458935
body_arm_left_area,0.1273675290801231,0.1392351783027497
body_arms_bmc,0.26508598424980656,0.2768070610015065
spine_l4_bmc,0.2218019091156737,0.23349922850631055
spine_l3_bmc,0.2676788855751942,0.2766575388596384
body_total_right_bmc,0.38982911558402755,0.3982834382082597
spine_l3_l4_bmc,0.2531000097868194,0.2614009581059462
spine_l2_l3_bmc,0.301960231079318,0.3099782973299334
spine_l2_bmc,0.321182322893541,0.3276076939153719
body_trunk_left_bmc,0.46800723790174575,0.4739934673243616
spine_l1_l2_bmc,0.3376443348945371,0.3430875161992193
spine_l2_l4_bmc,0.2814790652867558,0.28681056122405846
femur_left_troch_area,0.17489215645266704,0.18019826912479647
body_trunk_right_bmc,0.4962376562952094,0.5010543339891235
body_arm_right_bmc,0.25872845499712555,0.2632920986238195
spine_l1_l3_bmc,0.3196338972527272,0.32373103104926176
body_arm_left_bmc,0.2505266619875627,0.2543015119923757
body_ribs_bmc,0.3754077790377734,0.3787301691455157
body_trunk_bmc,0.4967108438047786,0.49948692159064856
body_trunk_right_area,0.31897012270065883,0.3215897990097
femur_troch_mean_area,0.2048665321552876,0.2070170238600726
spine_l1_bmc,0.3317968379886451,0.3331155895558907
femur_right_wards_bmc,0.29660917001428305,0.29660918534770625
femur_right_upper_neck_bmc,0.3041150829071031,0.3041150829071031
femur_left_lower_neck_bmc,0.21820922192520545,0.21820922192520545
femur_lower_neck_mean_bmc,0.25436197300218155,0.25436197300218155
femur_left_upper_neck_bmc,0.30368209616231356,0.30368209616231356
