,Age & BMI,"HRV
(average of nights)"
from_l_thigh_to_l_ankle_pwv,0.20219487612143494,0.16911955328081885
l_brachial_index,-0.0175335622630091,-0.023586089649793703
l_ankle_index,0.04124352451033905,0.0256225649037172
from_r_thigh_to_r_ankle_pwv,0.12841466269474344,0.1063917087762202
r_abi,0.048083913313833146,0.0518750879120154
r_brachial_index,0.009898702864544001,0.010469574688786749
l_brachial_pressure,0.2766553687774429,0.23856212576924962
r_ankle_index,0.048083913313833146,0.0518750879120154
r_brachial_pressure,0.2835655297339864,0.2485595342496805
from_r_thigh_to_r_ankle_transit_time,0.14391612228268447,0.10766888870025104
from_l_thigh_to_l_ankle_transit_time,0.14302706887882566,0.09598334194727126
r_ankle_pressure,0.37363571812259677,0.3336174617763056
l_ankle_pressure,0.37950409940660246,0.3467420614703574
l_abi,0.04124352451033905,0.0256225649037172
sitting_blood_pressure_pulse_rate,0.18435621591770124,0.616349101986067
sitting_blood_pressure_diastolic,0.3586474206467064,0.36679817844750784
lying_blood_pressure_diastolic,0.3431882192179232,0.36804961046297435
lying_blood_pressure_systolic,0.36973737591196243,0.3258333387043204
standing_one_min_blood_pressure_systolic,0.280130864220418,0.24272822011292144
standing_three_min_blood_pressure_systolic,0.3531417084697652,0.3053911729339893
lying_blood_pressure_pulse_rate,0.190549058424121,0.6333734918125926
sitting_blood_pressure_systolic,0.3711844160023211,0.3339043818525488
standing_three_min_blood_pressure_diastolic,0.29405552434152404,0.31079791294214065
standing_one_min_blood_pressure_pulse_rate,0.15656985717507177,0.5610592980705125
standing_three_min_blood_pressure_pulse_rate,0.1543851998281765,0.5825996329699796
standing_one_min_blood_pressure_diastolic,0.2595037696213812,0.24711835613586836
intima_media_th_mm_1_intima_media_thickness,0.3576869987107546,0.2742423403733173
intima_media_th_mm_2_intima_media_thickness,0.33382706643424165,0.2527840135768351
intima_media_th_1_fit,0.02953664369743695,0.02296475983408915
intima_media_th_2_fit,0.035339158379387,0.041235728368573255
Disc_height,0.013492319654841899,0.0008574556669589255
Artery_Average_width,0.21650205632190325,0.15024225966379995
Vessel_density,0.25923618560622264,0.16728651012532186
Tortuosity_density,0.06539510120820685,0.053809539458256755
Vein_Tortuosity_density,0.059581334183911344,-0.0163149853853689
Fractal_dimension,0.3071965575894575,0.24128796160539817
CDR_vertical,0.01174961075366375,0.01110873935716415
Vein_Vessel_density,0.1774091973803752,0.10189512059966024
Disc_width,0.02544455743265965,0.02746986416363915
Vein_Squared_curvature_tortuosity,-0.00325019374437935,0.0362173982289476
Artery_Fractal_dimension,0.15374264415437805,0.11206049134916796
Distance_tortuosity,0.0612489368517172,0.0270137841388622
