,Age & BMI,"HRV
(average of nights)"
hr_bpm,0.15240375336650358,0.6326132326673897
lying_blood_pressure_pulse_rate,0.13378571298773012,0.6134461618969963
sitting_blood_pressure_pulse_rate,0.1233903827055728,0.5801360114176135
standing_three_min_blood_pressure_pulse_rate,0.0932274114035555,0.5286923686997396
r_r_ms,0.13674217896286014,0.5712159814328523
standing_one_min_blood_pressure_pulse_rate,0.06513557605685864,0.47970342156274703
qt_ms,0.1036909947664798,0.48363298427992063
qtc_ms,0.054237785569486,0.13918872522001605
t_mv_aVR,0.007820636678536351,0.0843120816982259
q_ms_I,0.00280005019649075,0.0689473956928212
pr_ms,0.1260072456366899,0.1751728334452916
Cup_height,0.00185232625433355,0.0480754222671746
Cup_width,0.0057839786121946495,0.04924511846490985
p_mv_aVR,0.045413334835265246,0.0884019631492893
s_mv_aVR,0.06967683562110591,0.10856298104044021
s_mv_I,0.0216369023149245,0.057350763689165404
st_mv_V2,0.02340283048053865,0.056652491950091
lying_blood_pressure_diastolic,0.30750165708237615,0.3407504214364084
j_mv_V6,0.0020001501381925997,0.0305052459687449
st_mv_V3,0.03593935123386405,0.06359194783458516
p_mv_II,0.05176986490174055,0.0792297766512193
j_mv_aVF,0.01267272446827685,0.0383842581126817
standing_one_min_blood_pressure_diastolic,0.23911572360084832,0.26397722039526056
Squared_curvature_tortuosity,0.00704543297606215,0.03148902092350755
j_mv_III,0.0027038656359698997,0.0269562693084215
st_mv_V6,0.02458541711998765,0.04732917211088465
p_mv_V6,0.03832881662349485,0.05898214651213805
standing_three_min_blood_pressure_diastolic,0.25541247440091736,0.273321690870516
r_ms_II,0.0070744511610099006,0.024121310457080998
intima_media_th_1_fit,0.04076769164004505,0.05690415700889135
intima_media_th_2_fit,0.02836734748122825,0.044368124412378446
j_mv_aVL,0.007524327382431551,0.02199682887145
p_mv_I,0.06703551076928324,0.0806029488926578
j_mv_aVR,0.009226293165424851,0.0210448276754522
s_mv_V2,0.10916113716473945,0.12093366239911545
Disc_height,0.0148495248934911,0.02632672343180325
r_mv_V1,0.0253701780469965,0.03593832224530665
st_mv_aVL,0.00909898507103105,0.018207096648591298
st_mv_I,0.0067319594559953,0.01576360000333095
st_mv_V5,0.019906875182936448,0.027891928988517847
