,Age & BMI,"HRV
(measured during sleep)"
r_r_ms,0.21653277570539745,0.6829520968729961
hr_bpm,0.2309005227664766,0.6844985197478428
standing_three_min_blood_pressure_pulse_rate,0.18215968645689515,0.6299797873974732
lying_blood_pressure_pulse_rate,0.22377058143521686,0.6702671221687684
sitting_blood_pressure_pulse_rate,0.22460898662746887,0.6599999977743529
qt_ms,0.1725156375923877,0.6007290835330261
standing_one_min_blood_pressure_pulse_rate,0.18674987671191565,0.6098099816834428
from_l_thigh_to_l_ankle_distance,0.039165376977846805,0.1502149288254795
qtc_ms,0.20688554078380256,0.2963269298217518
pr_ms,0.1876354654825064,0.2625401869133156
standing_three_min_blood_pressure_diastolic,0.3122343340501777,0.3656527522321001
lying_blood_pressure_diastolic,0.3648675557586703,0.41609223367004206
standing_one_min_blood_pressure_diastolic,0.28830416483883237,0.32775046399817576
sitting_blood_pressure_diastolic,0.3811962393190925,0.4162727746181682
r_ms_V4,0.10278938861087265,0.13532599370734638
intima_media_th_1_fit,0.04020933214614365,0.07124306733206565
r_ms_V5,0.08765402849256121,0.11165247585230059
r_ms_aVR,0.0694586567834487,0.09339524399246685
qrs_ms,0.0875270869510752,0.11023302971261656
r_ms_V6,0.0809112380968363,0.0921782587745312
t_axis,0.2577115217227435,0.267757476940209
intima_media_th_2_fit,0.07926815351468211,0.08916371247430024
from_l_thigh_to_l_ankle_pwv,0.2334926935479644,0.2420936679616286
r_ankle_pressure,0.40350593483609687,0.41106558746157906
l_ankle_pressure,0.40826789880657355,0.4150931074899573
standing_one_min_blood_pressure_systolic,0.30873513783267276,0.3137782309180308
from_l_thigh_to_l_ankle_transit_time,0.18365118961473587,0.1870715842251317
sitting_blood_pressure_systolic,0.3959631020512423,0.3993038976667903
l_brachial_pressure,0.31203276655230416,0.31313273279440174
r_mv_V5,0.3012550975025254,0.3012550975025254
r_mv_I,0.3164189891860318,0.3164189891860318
r_mv_V4,0.28591753495319827,0.28591753495319827
r_mv_V6,0.1967735765141492,0.1967735765141492
