,Age & BMI,"HRV
(average of nights)"
from_l_thigh_to_l_ankle_pwv,0.002368439134165379,0.003447145899131742
l_brachial_index,0.011788309487761817,0.01178830948776183
from_l_thigh_to_l_ankle_distance,0.00310759824740166,0.007540709275410434
l_ankle_index,0.013707562437302107,0.013707562437302106
from_r_thigh_to_r_ankle_pwv,0.002269569556925586,0.002625793803532877
r_abi,0.01207722862094865,0.01207722862094866
r_brachial_index,0.009988139586792299,0.009988139586792299
l_brachial_pressure,0.0007675085850264898,0.0012916794799154834
r_ankle_index,0.010039672272256646,0.010039672272256647
r_brachial_pressure,0.0008274795883652103,0.0039172887365104435
from_r_thigh_to_r_ankle_transit_time,0.001471452058367095,0.0022248240527070135
from_l_thigh_to_l_ankle_transit_time,0.0014676799371476472,0.002945254318771289
r_ankle_pressure,0.0007108954415360706,0.004077280148523807
from_r_thigh_to_r_ankle_distance,0.004320478109986703,0.007551203851881276
l_ankle_pressure,0.0006602575977081773,0.0009401576921990525
l_abi,0.012398041436953899,0.012398041436953899
sitting_blood_pressure_pulse_rate,0.002170769016744835,0.0011806052297941249
sitting_blood_pressure_diastolic,0.0010058318895649649,0.0030131385571518362
lying_blood_pressure_diastolic,0.000964326200059621,0.0031355931094610256
lying_blood_pressure_systolic,0.0007972138778488703,0.0024668584514299222
standing_one_min_blood_pressure_systolic,0.0011006702451291624,0.0029729805245871073
standing_three_min_blood_pressure_systolic,0.0009222718830695623,0.002661448246922456
lying_blood_pressure_pulse_rate,0.0023741160610200175,0.0012519878916303008
sitting_blood_pressure_systolic,0.0006500658414975109,0.003701864119498456
standing_three_min_blood_pressure_diastolic,0.0013703514533895973,0.0038436525199375513
standing_one_min_blood_pressure_pulse_rate,0.003313662284550307,0.0027630875965006393
standing_three_min_blood_pressure_pulse_rate,0.002721306838110682,0.0013926231782118504
standing_one_min_blood_pressure_diastolic,0.0010874365429958466,0.004888653067946525
intima_media_th_mm_1_intima_media_thickness,0.015614788845238158,0.015614788845238158
intima_media_th_mm_2_intima_media_thickness,0.009593390691041525,0.009593390691041518
intima_media_th_mm_2_window_width,1.5965547447638e-05,1.5965547447638e-05
intima_media_th_mm_1_window_width,1.984278430777089e-05,1.984278430777089e-05
intima_media_th_1_fit,0.005776497928049447,0.008090647843421039
intima_media_th_2_fit,0.00782234356221766,0.01195067130141502
Disc_height,0.010213648209326758,0.013474135619937065
Artery_Average_width,0.0024746908394828,0.004321296296434489
Vessel_density,0.012675154710780089,0.012675154710780085
Tortuosity_density,0.014782928990969271,0.014782928990969271
Vein_Tortuosity_density,0.010936385734723119,0.010936385734723119
Fractal_dimension,0.013515393812962524,0.013515393812962531
CDR_vertical,0.01292006015027312,0.01292006015027312
Vein_Vessel_density,0.012652687251149344,0.012652687251149349
Disc_width,0.010806977524272886,0.013444670815809528
Vein_Squared_curvature_tortuosity,0.01035651300749656,0.012898301008619086
Artery_Fractal_dimension,0.014584249961430772,0.014584249961430772
Distance_tortuosity,0.012962928298401344,0.012962928298401353
participant_id,0.013957311917941891,0.013944962764943765
Vein_Distance_tortuosity,0.014115389550348434,0.014115389550348429
Vein_Fractal_dimension,0.012645875075431478,0.012645875075431473
Cup_width,0.009565567578017978,0.011863309893396849
Artery_Vessel_density,0.013576514068384487,0.013576514068384487
Squared_curvature_tortuosity,0.007812629318462251,0.013921736380477522
Average_width,0.013973683887966307,0.014463218693799428
CDR_horizontal,0.01364685921218263,0.013646859212182626
Artery_Squared_curvature_tortuosity,0.00464573256402858,0.007189976645449049
Artery_Distance_tortuosity,0.016141838697323753,0.016141838697323753
Artery_Tortuosity_density,0.01487207882716735,0.01487207882716735
Cup_height,0.007998332661498525,0.013109327337531859
Vein_Average_width,0.009777922472515507,0.010875875386409335
r_mv_V4,0.01166471361418341,0.01166471361418341
t_mv_V6,0.011098638475634349,0.011098638475634349
p_mv_V4,0.011676816436429543,0.011676816436429543
p_mv_V5,0.012125523058487115,0.012125523058487115
q_ms_I,0.02089717008185952,0.02089717008185952
qt_ms,0.0026918134885477933,0.0014832237659907243
s_mv_aVF,0.018028394530610035,0.018028394530610035
r_ms_V4,0.0034073764191570382,0.010258608422223085
j_mv_I,0.01093533328398514,0.01093533328398514
q_mv_aVL,0.01640643891905176,0.01640643891905177
j_mv_aVF,0.009975072971497639,0.009975072971497644
j_mv_V2,0.011329564729431568,0.011329564729431568
st_mv_V1,0.012918812512305769,0.012918812512305769
q_ms_aVR,0.00816814702873308,0.022792466850588528
p_ms,0.001857609908887602,0.00520982921903296
j_mv_II,0.010377022626092778,0.01037702262609276
j_mv_aVR,0.012429116496693161,0.012429116496693156
r_mv_V5,0.010742861314144585,0.01074286131414458
t_mv_III,0.010998079573927714,0.010998079573927714
q_mv_I,0.023319845612034346,0.023319845612034346
r_mv_aVF,0.013248010209888444,0.013248010209888444
p_mv_V3,0.009812319717308098,0.009812319717308098
s_mv_I,0.0174585317580469,0.0174585317580469
r_ms_V1,0.003650644622387318,0.007277955312588098
s_mv_V6,0.010667669081659899,0.010667669081659899
p_mv_III,0.011342522005109866,0.011342522005109866
st_mv_III,0.0097367448883358,0.0097367448883358
p_mv_V6,0.011972416266791847,0.011972416266791847
hr_bpm,0.0023378119286376017,0.0015862299495927915
r_ms_III,0.0013534352451061496,0.0019034269476677743
