,Age & BMI,"HRV
(average of nights)"
index,True,True
adrr,False,True
COGI,False,True
cv,False,True
ea1c,False,True
gmi,False,True
grade,False,True
grade_eugly,False,True
grade_hyper,False,True
grade_hypo,False,True
hbgi,False,True
lbgi,False,True
hyper_index,False,True
hypo_index,False,True
igc,False,True
iqr,False,True
j_index,False,True
m_value,False,True
MAD,False,True
mage,False,True
above_140,False,True
above_180,False,False
below_54,False,True
below_70,False,True
in_range_63_140,False,True
in_range_70_180,False,True
range,False,True
sd,False,True
Median,False,True
Mean,False,True
Conga,False,True
GVP,False,True
MODD,False,True
CV_Measures_Mean,False,True
CV_Measures_SD,True,True
AUC,False,True
MAG,False,True
SdW,False,True
SdHHMM,False,True
SdWSH,False,True
SdDM,True,True
SdB,False,False
SdBDM,False,True
above_200,True,True
bt__hba1c,False,True
bt__glucose,False,True
