,fortified_wine__glasses_week,hours_outdoors_winter,hours_driving,liqueurs_measures_week,other_alcoholic_glasses_week,physical_activity_maderate_days_a_week,vigorous_activity_minutes,sleep_hours_in_24H,work_hours,work_days_a_week,hours_using_computer_not_work,work_hours_day,hours_watching_tv,hours_outdoors_summer,white_wine_glasses_week,walking_minutes_day,walking_10min_days_a_week,beer_cider_pints_week,moderate_activity_minutes,drink_alcohol_with_meals_no,drink_alcohol_with_meals_partial,drink_alcohol_with_meals_yes,mobile_phone_side_of_head_Equal on both sides,mobile_phone_side_of_head_Left,mobile_phone_side_of_head_Right,drive_faster_often_Never or rarely,drive_faster_often_Sometimes,drive_faster_often_Usually,pet_present_no,pet_present_yes,mobile_phone_use_duration_per_week_1-3 hours,mobile_phone_use_duration_per_week_30-59 minutes,mobile_phone_use_duration_per_week_4-6 hours,mobile_phone_use_duration_per_week_5-29 minutes,mobile_phone_use_duration_per_week_More than 6 hours,why_stop_drinking_Other reasons,why_stop_drinking_dont know,visit_friends_family_times_2-4 times a week,visit_friends_family_times_Once a month,visit_friends_family_times_Once a week,high_exercise_times_a_month_Four to five times a week,high_exercise_times_a_month_Once a week,high_exercise_times_a_month_Two or three times a week,high_exercise_times_a_month_Two or three times in the last month,easy_getting_up_Does not wake up easily,easy_getting_up_Wakes up pretty easily,easy_getting_up_Wakes up very easily,manual_physical_work_Sometimes,manual_physical_work_no,alcohol_drink_1-2 times a week,alcohol_drink_1-3 times a month,alcohol_drink_3-4 times a week,alcohol_drink_In special cases only,high_exercise_duration_Between a quarter of an hour and half an hour,high_exercise_duration_Between an hour and an hour and a half,high_exercise_duration_Between half an hour and an hour,falling_asleep_during_daytime_From time to time,falling_asleep_during_daytime_Not or rarely,tobacco_past_how_often_I never smoked,tobacco_past_how_often_I only tried once or twice,tobacco_past_how_often_I smoked most or all days,tobacco_past_how_often_I smoked sometimes,smoke_tobacco_now_no,years_using_mobile_phone_Over 8 years,nap_during_day_From time to time,nap_during_day_Not or rarely,consider_yourself_morning_evening_Im more of a morning man than an evening,consider_yourself_morning_evening_Im more of an evening man than a morning,consider_yourself_morning_evening_Im totally a morning man,consider_yourself_morning_evening_Im totally an evening man,consider_yourself_morning_evening_dont know,usual_walking_pace_Average,usual_walking_pace_Fast,shift_work_Sometimes,shift_work_no,snoring_no,snoring_yes,pet_past_no,pet_past_yes,smoke_houshold_no,trouble_falling_a_sleep_From time to time,trouble_falling_a_sleep_Not or rarely,trouble_falling_a_sleep_Usually yes,climb_staires_tymes_a_day_1-5,climb_staires_tymes_a_day_6-10,climb_staires_tymes_a_day_More than 20 times,climb_staires_tymes_a_day_Zero
0,-0.04554614415104832,0.06116386246998735,0.019855328000115472,0.02915363569401587,-0.027041261406298655,0.2212905081228889,0.26764823131531545,0.24430717209602834,0.2088113458525379,0.1543785329789877,-0.0205873745765745,0.21507783707124117,0.10613676852171612,0.024744237865585994,0.13343484720913257,0.10202930019453033,0.16292366962322807,-0.030273944620421562,0.17497637342686612,-0.047097825254993876,-0.016380601312849314,-0.06252256333195884,-0.025750232661718556,-0.046531059775509344,-0.03825213027439341,-0.02766357707191176,-0.024261818720112717,-0.04039673697059679,-0.02114190323795933,-0.02135669236846777,-0.05029799336125006,-0.03679933418616504,-0.029039799812440207,-0.060274131521119476,-0.05240773347532866,-0.02874229700446334,-0.032933825260624154,-0.02055659849756108,-0.028077784006228627,-0.03771788854023395,-0.02279404841426447,-0.023362824164898082,-0.049574266145365635,-0.051159649765054875,-0.027300523255780838,-0.03475522640438689,-0.03362867522192785,-0.053848264031930965,-0.06376755508815705,-0.044135175284738586,-0.038484350602195475,-0.04943048822023278,-0.028292123924349936,-0.05950207714431544,-0.041065583771574966,-0.020847603120361272,-0.01368051255830294,-0.027697703587908924,-0.04959419890234534,-0.026361473617977797,-0.02089460638239554,-0.02521376779270133,-0.019580330114862748,-0.03782813567414513,-0.0512593475653849,-0.06080075068215081,-0.02889620767162843,-0.07233710119961775,-0.05911932505244139,-0.030891596440007663,-0.021400225000078203,-0.05886449537864491,-0.048732593621182284,-0.035315261185120565,-0.04030019865174721,-0.011749210347177847,0.13833497175861123,-0.02843057790350595,-0.023318010797045943,-0.03336934100139471,-0.027263692051978067,-0.03266855884540252,-0.03175297924971534,-0.020889876521559228,-0.019937771954298612,-0.07547936557486357,-0.04872724724942526
1,-0.017980297645838462,0.0877012235001032,0.02358975230615694,0.022106579968173477,-0.014620234296267052,0.2153051733676798,0.2563307966163394,0.24468534459359695,0.20160056731911552,0.1417205043589157,0.004933834062025954,0.2160582038271008,0.10956850286772549,0.04154198004408267,0.13186294613183988,0.09330480200228923,0.1622744191491645,-0.039432698787004936,0.16676010343055708,-0.03134673697626369,-0.0261039714029264,-0.02454052437553606,-0.045404415305735635,-0.027581389493750805,-0.022095665097486682,-0.046824436507609854,-0.03927110119041188,-0.059702446449581524,-0.03880710638214116,-0.03775892733101245,-0.041810926031616825,-0.026269843198771764,-0.017724457920761456,-0.05499733018003108,-0.029561819003724246,-0.03862195855421207,-0.03975902286015636,-0.03478951117875556,-0.016119989350837458,-0.04282724132990894,-0.04581277097801282,-0.03860586881537252,-0.03749394268229607,-0.027333267579778595,-0.02412845047428136,-0.04746720936937859,-0.04748629678163276,-0.0446071739792103,-0.0317247476356943,-0.028258700304144665,-0.02251620704885676,-0.04766521224578793,-0.04917124120206781,-0.03146627012560141,-0.036295209118416195,-0.038578300375445455,-0.05104587333985189,-0.055784498463652736,-0.05587766782405154,-0.027765138208553516,-0.02772237311670847,-0.03685387593325228,-0.037201294951536755,-0.043045311183645546,-0.033311694827465925,-0.024194629195997366,-0.03424488822922774,-0.022555072839672806,-0.04794856331752917,-0.03759860076449391,-0.03935212481309472,-0.04266543029592746,-0.050885191243242776,-0.06297381366531146,-0.05448990260830786,0.01795786014938517,0.07495699672040672,-0.02160563019284516,-0.03737260625296921,-0.05395197253996095,-0.030777412947130326,-0.02234251795585685,-0.0151364287558312,-0.05775397167860394,-0.02686456092415148,-0.07057199590717987,-0.047369316209624555
2,-0.03103446598505154,0.06766994204250104,0.02887739918298836,0.02150431923531367,-0.006471649027518629,0.2108984240627667,0.25209106128623693,0.24442018332092488,0.1983505815872564,0.1475020813816681,-0.015063187825279425,0.2115386427333905,0.11086683709918504,0.052876738801756876,0.13694842209362074,0.10767287694767849,0.15132409485341616,-0.05966864003677514,0.185089410603027,-0.035479207755241354,-0.04058738013704316,-0.029935937585864283,-0.04573497909481992,-0.03590925360805133,-0.054805654804012734,-0.03274884397925315,-0.05024189233369946,-0.05460732414994387,-0.05814461147095252,-0.04906925738880125,-0.0163439935285226,-0.04493328412649061,-0.08437459866409708,-0.04044601782694843,-0.019379267814088583,-0.06718965207903847,-0.052458217203997105,-0.027677940302258362,-0.04029278597862018,-0.015518906622595157,-0.008651944753300635,-0.02451965897185604,-0.03315463534790057,-0.03947653723937482,-0.03918916799533152,-0.021016640356649515,-0.0501272354440511,-0.04564451133798251,-0.03212992024459077,-0.05347318608206874,-0.021644222628234396,-0.055241934910682376,-0.057484222523568704,-0.040223392920045224,-0.032199877069003416,-0.0462167328648694,-0.03897049595776647,-0.045437601464683404,-0.03661841662902351,-0.03243879368717017,-0.030374916903550826,-0.02825777377794489,-0.050225240160709526,-0.019633139341417985,-0.03985566659201175,-0.056676575475706724,-0.032321727231452685,-0.059787853108576136,-0.033086566354830226,-0.04334907481502352,-0.03988391085572164,-0.03431891847166908,-0.0328493618466508,-0.040345464315834204,-0.029209767213010517,0.06785271757298775,0.08818941227173777,-0.030402441065630816,-0.035826738960598466,-0.029218219856166513,-0.03556350294799219,-0.03257112679007939,-0.05720663051627856,-0.04843117655331338,-0.019339539031736925,-0.056151709643319135,-0.03365705274361757
3,-0.07026325183674587,0.05646471822038911,0.016051459871381037,0.0648875686116563,-0.055628215624410934,0.21905379642027853,0.25386759254071783,0.24277579690367848,0.19329470694438927,0.14297903661905711,0.015801823920754993,0.2164491247816795,0.10324541634845834,0.04225893288770939,0.11904367236297418,0.1078406052710067,0.16864629506199905,-0.05741935159944635,0.17445868132385758,-0.048761436862731225,-0.05383415793447362,-0.030129163156007603,-0.04148666736768528,-0.05272502248075146,-0.061403138490470785,-0.0272098426189969,-0.04361556039792964,-0.0392725270370172,-0.028576228515314918,-0.03459037776778141,-0.060017184200644426,-0.03209590649584605,-0.04027684059981861,-0.03364137975197558,-0.04058820551687222,-0.024236238371480805,-0.03575524163199359,-0.06464853843423372,-0.03970377951228485,-0.038265816839214616,-0.028183884811617935,-0.02167756259865039,-0.03158804885076674,-0.05379254216895253,-0.021160816140651368,-0.022547968920229294,-0.040709333565109675,-0.028916002433655098,-0.039779019134870044,-0.06085355326033074,-0.036419267778792175,-0.04204790344746362,-0.03967527513216124,-0.056309342459657054,-0.024241015576523677,-0.04710895689421395,-0.023639196697175787,-0.02752914874398685,-0.04798482029100209,-0.04086934768803967,-0.034411418772336104,-0.040209288207458435,-0.024318122010422796,-0.051679638395882806,-0.020748634036166707,-0.024420684653265648,-0.05080136328364403,-0.052803446633474097,-0.016763893964109385,-0.06514833642200563,-0.04571320385895932,-0.03975128300082865,-0.048837960855476155,-0.05456457291725679,-0.04938145870891824,0.10705860492141177,0.10211499897591278,-0.0495845057304213,-0.04832995366655262,-0.04372371304252058,-0.04257194028318319,-0.028481716378385553,-0.0332623719968339,-0.04354951968635078,-0.011496250306135797,-0.03970560451742334,-0.03560527014750398
4,-0.05820499424211315,0.05898751592258086,0.006182384237638195,0.04056212620042223,-0.07537087636234288,0.2218444999917633,0.2530609256795893,0.24806777489059675,0.20998255210925582,0.14519474716497432,-0.018622329033224926,0.2018156470633647,0.11102000921165783,0.04320064097314692,0.12572232883203643,0.11369684251642061,0.14889709717566937,-0.03875020030634731,0.17319061555592724,-0.05622857786241602,-0.0369207829169227,-0.04274470335465463,-0.03296541417375789,-0.03671892248551608,-0.040667627510842595,-0.0288779115645959,-0.0187765012912375,-0.039674077128433495,-0.03146014375874351,-0.05019970663908633,-0.03584231737386626,-0.03178000277093098,-0.013910024201411892,-0.03478497655801563,-0.06162674370457854,-0.02073547624128498,-0.02409149136344847,-0.03568806767207239,-0.026287496046317037,-0.022452806042523935,-0.07821261695805402,-0.036523113324196305,-0.06308223811809141,-0.027588891372991205,-0.029669349455304393,-0.03200651190312212,-0.032683678071266424,-0.041486377009300475,-0.030194832093560234,-0.054382290854069135,-0.01765789719914282,-0.03749930854069234,-0.01128915506234917,-0.041756785557463164,-0.02649264983821397,-0.04469713002251108,-0.06141264603643496,-0.032243641320588635,-0.030728087830533622,-0.023787965036957567,-0.03842739203118475,-0.057853919820552144,-0.052878093745229025,-0.020969215230762322,-0.025859107347938295,-0.03476047137997737,-0.038580527954043396,-0.04414064035843412,-0.03707845775864016,-0.02805547021656912,-0.03403484670610188,-0.04751736383749506,-0.034064760769466525,-0.03999378898621735,-0.03979179787831098,0.03902150567362538,0.10865759554769942,-0.03675835351506134,-0.04689059139323003,-0.07264356083844342,-0.02684818478415964,-0.027685461532439056,-0.022338649292217135,-0.03414721806325974,-0.01988801011553851,-0.02691233847121777,-0.024643707790998864
5,-0.0480643770716033,0.07874527249127382,-0.004450839302174257,0.028191713964904067,-0.038568047860251586,0.21148453331918274,0.26137888362641143,0.24647076158332626,0.20241883001276115,0.12440613294094707,-0.015247151677541237,0.19772528051236715,0.10324857424659256,0.04766107391994569,0.14769892582846636,0.09882831536086904,0.15842189013523997,-0.05326025814765039,0.16778106798815362,-0.03637768379609123,-0.09486173020983148,-0.050137545280823724,-0.04733043211537399,-0.058848021210403105,-0.028003845604977092,-0.06185131719180251,-0.07181577420779112,-0.0128644913254408,-0.03509669915532832,-0.02584016313881034,-0.034070076712152196,-0.04968628552104787,-0.03413376468065922,-0.017568029789662883,-0.0664759630702182,-0.050707392493625936,-0.05797333672103569,-0.061651965196340405,-0.04063037439058314,-0.047243181390847655,-0.045153708819129675,-0.06712108442990682,-0.02066201750394532,-0.01843922095109659,-0.04744195313550061,-0.06814133320057401,-0.058282315927495505,-0.03971773717186457,-0.020708723215997968,-0.05130065386350185,-0.0293980705600774,-0.025745033759097622,-0.06337332371941853,-0.05482352644800163,-0.03537130154966644,-0.040292299416100644,-0.04350325804519596,-0.04248875550964548,-0.041676356109611144,-0.031979655706904114,-0.029841109228455617,-0.0185145159165138,-0.039412873364467506,-0.06536601944139554,-0.06415645856077201,-0.02764087569794463,-0.06273313392158825,-0.03380338745923358,-0.0475049426695366,-0.03156854435692373,-0.03843857460399159,-0.0339630489229186,-0.026653131101616285,-0.050206633512309785,-0.029764697582056365,-0.009079879668751395,0.045527329918555064,-0.04296948698266524,-0.0365046134356921,-0.0345497087507783,-0.026260961019044148,-0.038968020269388844,-0.018594639553951364,-0.09012579899912752,-0.023277654384244912,-0.052073576228740384,-0.05050908380950413
6,-0.0250275151163941,0.06728878345947045,0.009222715500090307,0.04038812859584159,-0.060196415591869216,0.21851935330519062,0.25133837658460345,0.24609863533584658,0.2095037938610975,0.1437417941587108,0.026378180603300463,0.20394658769841661,0.11112228592895877,0.07728634592777421,0.12826699030472055,0.10895169419481594,0.14893395447469546,-0.05650476390928137,0.18134518805432423,-0.030863391193295623,-0.06417547026197154,-0.03611757554461479,-0.05244214122439556,-0.04929310301200078,-0.05761985774815768,-0.07369613061844044,-0.036787616378845166,-0.03184388799765802,-0.0175217353711319,-0.017248009653886804,-0.031146473595139914,-0.051037714195569434,-0.07113896989546346,-0.03470595422475102,-0.031794574640419765,-0.06688314633987964,-0.08027944859591214,-0.03150197310465337,-0.032198645304817745,-0.05884142502133162,-0.05829903067945256,-0.049458818046476914,-0.04126529192915158,-0.04760435150051108,-0.032199943847119494,-0.031317863852662275,-0.02998005571767119,-0.04791930385203147,-0.04688297776141714,-0.03413453416961135,-0.04967270949401185,-0.027147773448347238,-0.042159866021551,-0.03227183320371431,-0.032199877069003374,-0.02914797535974044,-0.026368186574736625,-0.04442317507107023,-0.03323858746000095,-0.03542352400144835,-0.02324853913689708,-0.03609454405610841,-0.040367675911153075,-0.0217440972531355,-0.06769382489605236,-0.07357752425491194,-0.0483424879320551,-0.06175632034639548,-0.052457783065481614,-0.03192892895694971,-0.05594218569941485,-0.04823421634220648,-0.05420504525511182,-0.03969465697434168,-0.035278009920336695,0.018732711579696623,0.03629108587113746,-0.053660819803230425,-0.04282703473167013,-0.059601612626087604,-0.021305772183769035,-0.026625644122355383,-0.009600685662800798,-0.046669914520476335,-0.02554951944768822,-0.04267813629645527,-0.06844429565185713
7,-0.06102936113708222,0.07288640600658364,0.04174752962221516,0.013442132886584876,-0.06428084906115113,0.22579867845465568,0.25272922523341024,0.2436934905292024,0.19891690385590993,0.13897230649502829,-0.02399644316691517,0.2199194173823411,0.11574822674946311,0.05133442689189589,0.12920393457219323,0.1052568653123816,0.16379441408197157,-0.043534360483811874,0.16346214971544085,-0.013542696808970245,-0.03308518021013069,-0.029530235305246604,-0.030203719001394368,-0.025218445984645094,-0.037025483175174304,-0.023528895908969016,-0.021370112419811935,-0.0627600402540027,-0.05228672335897173,-0.057609912879873645,-0.04564512376267823,-0.02516220465462452,-0.03912850813341081,-0.06204872319418747,-0.049963393878830475,-0.023285704024223895,-0.021507925607944886,-0.02909795146260602,-0.03920438440164034,-0.03157605977276975,-0.04074103333139502,-0.07299008266235385,-0.04203879131128476,-0.08933569254531375,-0.03216363029448785,-0.04759119876700875,-0.03289073061395954,-0.036658402375223303,-0.036769964105578604,-0.02828482814465239,-0.02588008914182059,-0.044644316491130626,-0.031620137876097375,-0.04289189689518098,-0.03852398406735881,-0.03910295906849749,-0.04574931767799715,-0.031406325238131416,-0.05005484691641455,-0.0363107140484679,-0.04718981826726241,-0.034079875659159715,-0.037985259426298275,-0.01217702099320706,-0.033284319788450575,-0.020101754263605158,-0.022013728581508556,-0.05138754246389639,-0.01894751786607537,-0.029024322199906707,-0.0443668930187419,-0.036482683883269036,-0.01832894217941071,-0.022733191261972336,-0.017244333242850705,-0.023576318052194744,0.03465923089496246,-0.06584618313757969,-0.07027427891014343,-0.015324493657876899,-0.05141640615018695,-0.051544973021074705,-0.03053817327067469,-0.039190801810705396,-0.034146565263803254,-0.041162807003376004,-0.03161704674207794
8,-0.052741355081071375,0.049349567639441316,0.04374873228786161,0.049968857459635405,-0.026416956892753956,0.22084279123819778,0.2608393349732505,0.24353629943743837,0.2030593044748699,0.1395227077214682,0.030765552571700064,0.2125482401163406,0.0762907538606442,0.04121898227299179,0.13503138904110132,0.12344769469334357,0.16345460414768695,-0.05220402917757843,0.17090147673668105,-0.0445070954510923,-0.02454571232986904,-0.028675128894575318,-0.0276802265337371,-0.03253083942274453,-0.01596916740756982,-0.013851233370456155,-0.03253236214176227,-0.047481246099011734,-0.07017734399953972,-0.0702958202515595,-0.040953601133921366,-0.028667981924132457,-0.04040281631210996,-0.02101186798010946,-0.021682094010735994,-0.037336321579700266,-0.018878418185985797,-0.014035058840493707,-0.02618524138103557,-0.02458924737682217,-0.02619958118844175,-0.029910890448704226,-0.04916339792809572,-0.017152558629389757,-0.04758893099141927,-0.049754721623172835,-0.026950976178775538,-0.05350726573883987,-0.056364577575675597,-0.03102745982632137,-0.04706243538309452,-0.026768177569184037,-0.04833078181906368,-0.0353009459746892,-0.034781461293018706,-0.03010392452835368,-0.032631729850766164,-0.039392551904708806,-0.06636406112667126,-0.04947278935557416,-0.09720787896911479,-0.0423483982419981,-0.02410475655541773,-0.03728697038643474,-0.040933334430854035,-0.0674614824227759,-0.04857051087820053,-0.03341297660111529,-0.01974272704552202,-0.07007098848777235,-0.02527952185313621,-0.03706240122950977,-0.028655030224126025,-0.029137155913439985,-0.03894176360187387,0.0032865258884738477,0.09732772753256036,-0.045408997341622716,-0.05879869175585691,-0.03225124134189216,-0.03586625622284507,-0.036014794594920435,-0.06949005863786445,-0.046125584147739616,-0.03158182090076951,-0.023319986485169683,-0.017404743000692363
9,-0.07557430886649723,0.06751506431577156,0.007833759917046684,0.038539080349573554,-0.034398205516208695,0.2191178518187966,0.256449262310395,0.24141293422508983,0.20525584570240962,0.13888952316287984,0.018675862338105947,0.211999053427945,0.08069131801848141,0.04018032769189029,0.13709459074639452,0.0969495729387075,0.15698187749576786,-0.03541816548178616,0.17340740587020162,-0.02372531007317962,-0.031029908720425964,-0.03961748584057414,-0.060122962890735425,-0.027789202934722368,-0.0331509712943175,-0.03648397183189944,-0.036511778723801874,-0.02006091732177605,-0.02838914793727167,-0.031076266499067796,-0.0315492611458907,-0.05691911098743621,-0.05198181044147112,-0.054410116833595965,-0.034012796764813724,-0.02648158585620818,-0.02566408862618215,-0.06867334822273911,-0.0268542597548197,-0.06113315123537762,-0.029009641501741235,-0.03004985224324613,-0.02292152231121125,-0.04924929002538502,-0.05005472671419195,-0.020013148941067434,-0.005242085954527051,-0.03333889479778483,-0.05512625445342884,-0.04573489398139303,-0.06500015717526002,-0.027845849916168345,-0.055208946213675864,-0.040955507606314036,-0.02062565158683281,-0.04445570203926361,-0.016321292253928935,-0.01916890739238698,-0.03303999131042164,-0.06517820858869822,-0.04382617277524284,-0.05757336539884384,-0.03175776789685897,-0.057419598170341854,-0.04296653737834351,-0.04714522833501615,-0.03632593030937949,-0.037025653244074044,-0.03339772748815799,-0.036723913723510325,-0.0177866934085996,-0.010915729568302762,-0.02891667122167647,-0.04321171936493445,-0.019614102365748586,-0.02557554561569648,0.008379553348050234,-0.02122728500519989,-0.034999636368125746,-0.04224428718659006,-0.05453716176565891,-0.04860067147777142,-0.02169056600212582,-0.05331261030691718,-0.035949093210386605,-0.05715961606576418,-0.023011265451090803
