,fortified_wine__glasses_week,hours_outdoors_winter,hours_driving,liqueurs_measures_week,other_alcoholic_glasses_week,physical_activity_maderate_days_a_week,vigorous_activity_minutes,sleep_hours_in_24H,work_hours,work_days_a_week,hours_using_computer_not_work,work_hours_day,hours_watching_tv,hours_outdoors_summer,white_wine_glasses_week,walking_minutes_day,walking_10min_days_a_week,beer_cider_pints_week,moderate_activity_minutes,drink_alcohol_with_meals_partial,drink_alcohol_with_meals_yes,mobile_phone_side_of_head_Left,mobile_phone_side_of_head_Right,drive_faster_often_Never or rarely,drive_faster_often_Sometimes,drive_faster_often_Usually,pet_present_no,pet_present_yes,mobile_phone_use_duration_per_week_1-3 hours,mobile_phone_use_duration_per_week_30-59 minutes,mobile_phone_use_duration_per_week_4-6 hours,mobile_phone_use_duration_per_week_5-29 minutes,mobile_phone_use_duration_per_week_More than 6 hours,why_stop_drinking_Other reasons,why_stop_drinking_dont know,visit_friends_family_times_2-4 times a week,visit_friends_family_times_Once a month,visit_friends_family_times_Once a week,high_exercise_times_a_month_Four to five times a week,high_exercise_times_a_month_Once a week,high_exercise_times_a_month_Two or three times a week,high_exercise_times_a_month_Two or three times in the last month,easy_getting_up_Does not wake up easily,easy_getting_up_Wakes up pretty easily,easy_getting_up_Wakes up very easily,manual_physical_work_Sometimes,manual_physical_work_no,alcohol_drink_1-2 times a week,alcohol_drink_1-3 times a month,alcohol_drink_In special cases only,alcohol_drink_Never,high_exercise_duration_Between a quarter of an hour and half an hour,high_exercise_duration_Between an hour and an hour and a half,high_exercise_duration_Between half an hour and an hour,falling_asleep_during_daytime_From time to time,falling_asleep_during_daytime_Not or rarely,tobacco_past_how_often_I never smoked,tobacco_past_how_often_I only tried once or twice,tobacco_past_how_often_I smoked most or all days,tobacco_past_how_often_I smoked sometimes,smoke_tobacco_now_no,years_using_mobile_phone_Over 8 years,nap_during_day_From time to time,nap_during_day_Not or rarely,nap_during_day_Usually yes,consider_yourself_morning_evening_Im more of a morning man than an evening,consider_yourself_morning_evening_Im more of an evening man than a morning,consider_yourself_morning_evening_Im totally a morning man,consider_yourself_morning_evening_Im totally an evening man,consider_yourself_morning_evening_dont know,usual_walking_pace_Average,usual_walking_pace_Fast,usual_walking_pace_Moderate,shift_work_Sometimes,shift_work_no,snoring_dont know,snoring_no,snoring_yes,pet_past_no,pet_past_yes,smoke_houshold_Yes  one household member smokes,smoke_houshold_no,trouble_falling_a_sleep_From time to time,trouble_falling_a_sleep_Not or rarely,trouble_falling_a_sleep_Usually yes,climb_staires_tymes_a_day_1-5,climb_staires_tymes_a_day_6-10,climb_staires_tymes_a_day_More than 20 times,climb_staires_tymes_a_day_Zero
0,-0.05803812011139562,-0.03716902937642286,-0.030680601560843953,-0.04523013527439838,-0.024061353001965168,0.22233515644702484,0.22177354449823633,-0.07017933802337013,0.23715006067870326,0.14753762042945867,0.11123594654977927,0.2658233503582696,0.12877415147501256,-0.03498704004857616,-0.03569637293133302,-0.02380871137645412,0.16799377098412288,-0.042537704574474776,0.13410558419239504,-0.03009859066123456,-0.023558850136144185,-0.02410984329166604,-0.026818579848698076,-0.038496090484724146,-0.025047243542916892,-0.013955946619337349,-0.028549694784692714,-0.0387345620908034,-0.03905998360262224,-0.03390342636630724,-0.019393651761835953,-0.03985781040581987,-0.018941513155301293,-0.045837804134118226,-0.02918807556468183,-0.051107264168031366,-0.039274010969059886,-0.0602962900655842,-0.029307533352773224,-0.03559738102840023,-0.03983100596085273,-0.030335623689742634,-0.04714045207910323,-0.06279765154395056,-0.035042987552433194,-0.046136417671185474,-0.04507064749821011,-0.020827237751112705,-0.024160866404875032,-0.03381473196468372,-0.03605063889057739,-0.029304081829501682,-0.031015290577705038,-0.022591312581000382,-0.029195240303436825,-0.06575260599124177,-0.010137724893555784,-0.01454136845668326,-0.043947057256489924,-0.05514982002766255,-0.04696204652188331,-0.0279907750016418,-0.04140798542076137,-0.024688347892953138,-0.010822735037186474,-0.028500835259735995,-0.04373716217865139,-0.027330874049273066,-0.05675341899671832,-0.009193593194690172,-0.04818971409895191,0.17065881928113158,-0.03249183126483374,-0.02266132902112538,-0.03458322222625638,-0.024230343745615772,0.20553116134834742,0.13328997460191494,-0.044839004767117704,-0.05123366744308483,-0.04219783888716008,-0.022188150505774263,-0.047516027402449056,-0.02845860698362018,-0.04791468155966067,-0.020236735116300367,-0.04091898152244041,-0.01590538592875476,-0.031068488300060104
1,-0.037886021324493986,-0.028981217196446106,-0.030735872010187373,-0.05694686964299332,0.0005817811907214225,0.20829087048615916,0.22197943516063262,-0.04098383340913769,0.23310671845860761,0.15839793710153913,0.09438383107723664,0.2702874931339513,0.13301627421461126,-0.034371153906142676,-0.055647512732708064,-0.059322471149680485,0.15162246195334006,-0.04797494290701481,0.13436385993250705,-0.07226082013346366,-0.04370222892109822,-0.025642125146853257,-0.023054443329034606,-0.05272714926164069,-0.05084220733317789,-0.045687304159399963,-0.04572995044074345,-0.04787039890762466,-0.02838302782921718,-0.05933211108144185,-0.04271603733720357,-0.021915474863136736,-0.039172894892273366,-0.011797100540519575,-0.06094106225404846,-0.05174058776319725,-0.03405446393464869,-0.05256373171319737,-0.0377265630805119,-0.02609751928849363,-0.020299330963590875,-0.021831246855494046,-0.04529911098757655,-0.04665149997947604,-0.017858999964843646,-0.05538247810988152,-0.010644649795447096,-0.021774408981936933,-0.0483017279515926,-0.03629218364494405,-0.05723324952453081,-0.036523692468988386,-0.033651450062726816,-0.0512280707415384,-0.03615423069890161,-0.021658095035141812,-0.0374460691371457,-0.042138016238150514,-0.03541404461883666,-0.059162270876171916,-0.018884473518187304,-0.027130372723267192,-0.04035466178442545,-0.03942413005118645,-0.046746511042947844,-0.027770547281462016,-0.04191041670826842,-0.03030998931800392,-0.028683843184280314,-0.05964294004756958,-0.03951979899482069,0.1862526971730551,-0.0589544686696032,-0.020234641872767682,-0.018513429372387126,-0.043746443830460065,0.23640911278397414,0.1663421758825517,-0.014444395607555187,-0.018061518963496018,-0.021486087873773523,-0.05055560373453328,-0.023411856444834397,-0.02206736826833232,-0.01350222615394827,-0.043700077743093466,-0.0288879791819733,-0.04279960528591185,-0.04072216200502715
2,-0.022024893889279574,-0.05432212562625065,-0.02548275747006095,-0.02537261477997462,0.03450224533121039,0.21812238930983824,0.20802563680274097,-0.03033428316632265,0.23768826574322563,0.15574902979980934,0.10724576426626517,0.2613728056125663,0.12550497131317243,-0.038330415402036175,0.025620570562899,-0.032107279226815014,0.16323656905264844,-0.06859800519728515,0.12651523188401526,-0.031011798364630843,-0.05442139478016629,-0.033532850577430835,-0.04064497554958174,-0.05887163920531919,-0.04116541580513881,-0.02926168462880765,-0.04003895926571742,-0.03773825412198908,-0.022815832379813758,-0.026945778567133996,-0.030788118626845076,-0.04048487266278812,-0.03164162929024822,-0.04749462472763677,-0.027435163058436705,-0.008840993474050677,-0.018866624606989006,-0.04381703719928325,-0.029071748883743562,-0.05654412870808212,-0.05719266072014439,-0.05613518782609983,-0.036772895764192425,-0.025771612418352113,-0.04167099991796884,-0.04117457989652788,-0.028691350291461602,-0.04055003646706222,-0.0409372420888281,-0.018245523206903178,-0.03317714218769403,-0.04745214417547746,-0.03436751855766223,-0.07345132299019382,-0.05317280610380323,-0.01645453558589809,-0.03516853003510892,-0.0528149645303641,-0.024300392110612166,-0.03339283958107397,-0.019375061020185637,-0.0452219492079187,-0.027980923513029575,-0.015017335749822124,-0.0366517798350432,-0.02598685366104009,-0.05379032443914869,-0.044550901836580024,-0.04264895237314384,-0.05792376108986167,-0.05375545854070284,0.1721485893308406,-0.040341741936241335,-0.03597567362312626,-0.03286797905284925,-0.04004073820699067,0.18070300935337955,0.09394202385774679,-0.022384223837102864,-0.013732208284559629,-0.03439452250804293,-0.04901822467623655,-0.016708682814562045,-0.03789939360484001,-0.039518807839670066,-0.056412356833115546,-0.03318333408649765,-0.0415962062722568,-0.03389615385017977
3,-0.03890138513317454,-0.03989200090114907,-0.050466874515373475,-0.06842306691006067,0.020365586162248924,0.2264735691382066,0.2280399957911056,-0.05769813182511933,0.2291965826993095,0.14537506382624535,0.10751098502553089,0.26394494030298926,0.13014316413344004,-0.02581236267762322,-0.002396711570126968,-0.023565516857416396,0.17474839016378785,-0.04951486832630869,0.13741715609300412,-0.034826150934037695,-0.0519636696024311,-0.02960897571225963,-0.012953095216051206,-0.04677220300911834,-0.034545730343651194,-0.03224887601663594,-0.06581664067265797,-0.06651998515415072,-0.04840743767193854,-0.02714146580434975,-0.03317207842789425,-0.05062268027027768,-0.03386213857266121,-0.06389339856968836,-0.027435163058436785,-0.034145774072190695,-0.03752983398971155,-0.03738317895717572,-0.02387190863483099,-0.03458956737555549,-0.0351785550717309,-0.029055057051996867,-0.02238709523580332,-0.02755101256405783,-0.040260562060711484,-0.024450925301649284,-0.023162669312175463,-0.046787227838294664,-0.023960024463633205,-0.04167571185654137,-0.05641642323669212,-0.03197825561934274,-0.018464660392475057,-0.023572574873272967,-0.026635230279540956,-0.02868104643050944,-0.019803863177575758,-0.023023396550455075,-0.03727723720064317,-0.02915598482044063,-0.04824351288124362,-0.04543121432010395,-0.043707599759841356,-0.02406322496257113,-0.028183303916989092,-0.04914240392918774,-0.0476190476190476,-0.03450483320799106,-0.036596387757910714,-0.022923946359185016,-0.044792588079799384,0.2027557470062919,-0.01763891497090423,-0.04419862065087253,-0.008244448881678796,-0.03842189247544285,0.21687166728737609,0.13702469690847505,-0.019758814569913984,-0.018061518963496108,-0.017815322922478057,-0.030144634967625896,-0.009331864503670228,-0.03981091404913042,-0.048583446373943545,-0.02620702775396814,-0.018473533756264326,-0.03292327111728446,-0.03796309405726375
4,-0.04997063866567469,-0.052905516557983485,-0.04540363005625655,-0.055128221413075176,0.015580624253953622,0.22108298685751082,0.22121008295792663,-0.04627224187190209,0.22918187740514087,0.15239448830052843,0.10614551178063757,0.2666548164985974,0.11036697000743989,-0.030915184710904032,-0.05620278340052513,-0.027653817803563772,0.16315133876842405,-0.024419582920556335,0.11215693326796476,-0.024474262618202035,-0.03993667528394721,-0.0422133942001253,-0.060046378482797924,-0.03145309967166654,-0.041165415805138925,-0.02894601536677797,-0.01903312985646168,-0.020684265223566246,-0.025604264129473146,-0.033903426366307256,-0.029090477642753756,-0.059328519087270264,-0.027324937074756948,-0.025898449831238624,-0.022462172963153882,-0.02864809311081929,-0.02169727981055485,-0.028456414987972196,-0.039682587750513275,-0.011193866459407752,-0.018572873397481527,-0.052033763912399986,-0.02554373248966468,-0.03165745019547662,-0.0431246515270583,-0.025885354593268295,-0.025545021939767636,-0.030793664494913872,-0.03145893477471884,-0.03476447229279479,-0.027493963747886856,-0.019582602282919668,-0.03217153416220739,-0.025863361947261083,-0.0275936367332151,-0.030146792425862077,-0.03541955770385636,-0.03662134953009082,-0.06422956582200767,-0.02808763484817064,-0.05350113592449576,-0.048363913498766994,-0.030006197572140333,-0.04831604928021021,-0.06969433818920139,-0.031687080596448494,-0.049865945831182625,-0.06090259079104995,-0.05851387991843564,-0.03601709799755026,-0.06199287547480007,0.18370018263995683,-0.033300209311639,-0.03161191187403128,-0.027343743543793066,-0.036150840862136116,0.22311715024216278,0.14252805336067773,-0.03295268276534494,-0.028181753052686477,-0.03781926407333778,-0.03485490574420895,-0.0518959664683546,-0.032085516023208485,-0.04697958811154308,-0.016566198381238895,-0.031955409012133056,-0.029365835929818205,-0.04709287888800893
5,-0.019771702195772983,-0.028788537900325428,-0.03987043874333217,-0.05337624029001522,-0.022806977410943223,0.217887756715647,0.21815038967352013,-0.031069445864795372,0.23592416802836247,0.14893129685990364,0.10796878226297282,0.2696449364809805,0.12323386872377867,-0.02470214848303511,0.016104855145225472,-0.04815095148844584,0.16024144022709141,-0.04057041936048255,0.12639990833627412,-0.02717546183130376,-0.044108266403449746,-0.018262637225482447,-0.012013183058204204,-0.056916750690384016,-0.030464320001575892,-0.02628453446415402,-0.05376823638032502,-0.05358913016456674,-0.02992669418829088,-0.04875661592088567,-0.02353731839185022,-0.0598919554641782,-0.0730787416915787,-0.024360052515759494,-0.02246217296315361,-0.04788304701221593,-0.014242645631076373,-0.04354521672736763,-0.03090770142982693,-0.04555850859970946,-0.0492483418754884,-0.04037430897555872,-0.02591128709760236,-0.027117111233298644,-0.037383125370338395,-0.0332155774945092,-0.009634890606043098,-0.04273037796756397,-0.027526567927878845,-0.04278954479794182,-0.03377140689811026,-0.02666903735313307,-0.04400083021217583,-0.02915662908001182,-0.028291142788070114,-0.02105243643347571,-0.04652041817741263,-0.018091853844979758,-0.02226437865281376,-0.033086195441484806,-0.05350113592449576,-0.02963673746165078,-0.025797136828448815,-0.01352236504850547,-0.013116288660480662,-0.016259563994567246,-0.03894333482891001,-0.032912904454197235,-0.03634347258000453,-0.030791526364018933,-0.032807112497136984,0.19135059149633382,-0.020755654992748652,-0.027816786051142486,-0.017302062374954685,-0.027503964884825375,0.21770024396317014,0.1586661011517879,-0.04201835011384794,-0.03912303084665029,-0.03439452250804292,-0.03892180086791754,-0.04430829569967706,-0.03772859781184919,-0.04387189341113902,-0.029644111683868643,-0.02268420942780528,-0.03119530494256494,-0.03569591115948769
6,-0.05500863267152435,-0.07275139545612239,-0.057005002010900925,-0.04330369223413003,0.019719088096770143,0.21646796675973415,0.23539677969671693,-0.03035347791241182,0.2403726116279449,0.15139365638603347,0.09066710027014335,0.27202875483758354,0.14229194192942132,-0.0537691183641945,0.014099991409845542,-0.04270823039325517,0.16864842421150475,-0.06586267466897686,0.12378685271761708,-0.04096235799300105,-0.0485953352732228,-0.031329111791817355,-0.031912836105548785,-0.03505660819346137,-0.026533301257539624,-0.025932650660802962,-0.04572995044074348,-0.0472542805782402,-0.03347587064966245,-0.034979016614440014,-0.024850313509391302,-0.03163668706255887,-0.04717426614120261,-0.05752556761891886,-0.05494564574892104,-0.03600285863191218,-0.04209623251350131,-0.025831888421637243,-0.040199534260618584,-0.04969582214414314,-0.05019317556548603,-0.04553824272668023,-0.024982263211672993,-0.041967278279439926,-0.03958516323458706,-0.06419809080146235,-0.03587964836086653,-0.01619511815682079,-0.018756194447764496,-0.046672455857443,-0.028904815564896276,-0.03396634406180253,-0.019739552271936085,-0.03823145206015446,-0.038249814192891696,-0.012933666853789423,-0.04018510732972274,-0.03308946525898427,-0.04332630492767628,-0.03603540472568778,-0.034523509986334605,-0.023576194603130596,-0.05644938944056854,-0.035434445313394576,-0.018842906977377213,-0.03357609297249877,-0.025715535016680426,-0.009791645249369133,-0.03903551683359119,-0.037760455771607596,-0.036599642012501016,0.21222212398484153,-0.017257899960211015,-0.02843364122496235,-0.04729964241238579,-0.04949801357565579,0.22638401004776043,0.15707191482450433,-0.04928892459546677,-0.035235737604621474,-0.04095864123163094,-0.024042469616423468,-0.019204818709452474,-0.029131480218950567,-0.043409779268034694,-0.0667458703754856,-0.05471858671630594,-0.03375409821582464,-0.036390900024242535
7,-0.04008382746322447,-0.031045559983566368,-0.03450791568394887,-0.055003509831935846,-0.025287127041741738,0.22502030706658568,0.21599172394068464,-0.04493558447187857,0.23118159135087246,0.15501271431948443,0.10711933603586202,0.26058967738490124,0.130821089197642,-0.026043771684992247,-0.04685067264513218,-0.04830556973834491,0.17693117683575438,-0.027033208992391238,0.12648245315883475,-0.013432830884998213,-0.040965003622303056,-0.04851521347610032,-0.052654731199015044,-0.014732038545872909,-0.03530543900505745,-0.02557592595768887,-0.022954818298179806,-0.01369473576034937,-0.037492238894513724,-0.025740432826023535,-0.05687781929949497,-0.02303623021791243,-0.06720324432629475,-0.03411200746971564,-0.037387825055298335,-0.033374018486196054,-0.06102519195226395,-0.042996420800498106,-0.027111753145887662,-0.018371410965684835,-0.041075246229928614,-0.03196333885010847,-0.044456263203978996,-0.0317509731472208,-0.030073987460709977,-0.031197879519790816,-0.036352142352662896,-0.028050767482194934,-0.02162801765761929,-0.03283753434547569,-0.03416184075789685,-0.02985808326043885,-0.046293353534073815,-0.0615384963837455,-0.018590923032518202,-0.026816607191929853,-0.04758739502225958,-0.025415360860601272,-0.03070256479603027,-0.045082424819116,-0.04706185969829417,-0.04150331835838493,-0.015325782987912918,-0.02065575380320048,-0.02156075166681141,-0.049971636878541746,-0.06240768778497488,-0.04471121506362754,-0.03478738870123239,-0.04102552088527682,-0.04125775483406162,0.1885747222238386,-0.03813928956294966,-0.03942698119117221,-0.02734374354379317,-0.027246190079644596,0.18864789612667776,0.11372222666331964,-0.05102220325342603,-0.029260065284048325,-0.0375458023220682,-0.06232677647692364,-0.04053473108342263,-0.05500134540056009,-0.018097316223025836,-0.05242761846728024,-0.030460330811982735,-0.015313899343696242,-0.015453406251028305
8,-0.03344911637570911,-0.06231354293663641,-0.02914871142380795,-0.046652795216473024,-0.0284974230653928,0.23068352585802085,0.22772050256381288,-0.04494080308482794,0.23349113854304235,0.1549697880691138,0.09903586055887112,0.2718339447174972,0.11726958981633222,-0.03566657865052672,-0.02105811990021806,-0.05406397738931978,0.1643100732083743,-0.036379407358988626,0.12137836421484864,-0.040390709005910505,-0.034422564977213146,-0.038432206492763486,-0.05370274418453696,-0.014037827519274907,-0.03094440504130606,-0.04363010364797401,-0.02480194253006581,-0.01694637091472655,-0.029036197246535004,-0.017398495503991685,-0.06843706923444356,-0.06778380051930408,-0.027102236237840215,-0.03875426832473306,-0.02246217296315368,-0.036896365688365816,-0.029214951221918115,-0.03335475797940516,-0.04996957024928012,-0.031211008066821627,-0.036489538676140076,-0.0390983357632101,-0.03465466240605345,-0.0452971240708472,-0.042221984615256156,-0.04221363086528408,-0.03195531703636443,-0.05267005766349804,-0.024753616803271712,-0.024508484209232455,-0.04136135739813914,-0.02195008165184243,-0.05187504011478176,-0.057017100650241535,-0.034310277718611615,-0.0524793275000176,-0.03068386307256876,-0.02512882001418303,-0.023158884124894315,-0.020039773151295927,-0.053237365364903276,-0.043293068616612355,-0.04554964339817951,-0.04703762019608363,-0.026853144576085727,-0.03200965844586847,-0.052216015308548164,-0.051201301897969,-0.04870688936014405,-0.0295739846658825,-0.04406848679912718,0.220403456706046,-0.04964994856231851,-0.04868160301980509,-0.04909988789333142,-0.018632900445925634,0.2333148019061233,0.1362833423781024,-0.04077747018137587,-0.03312144374115698,-0.03557275686140264,-0.033693640954786344,-0.0464254397296656,-0.04116676925556529,-0.050536669057114084,-0.021923129709325275,-0.03358266655707856,-0.025313294109060035,-0.04388042818153767
9,-0.029529728125609195,-0.02570349909941508,-0.05604414099028698,-0.028504738767169427,0.008052591818939511,0.21338953307524997,0.22128940646902032,-0.02791026216874623,0.2402224300272064,0.15572691061297098,0.1130096752422497,0.2587948924569305,0.14134294379155501,-0.059483163551230275,-0.04102424916556354,-0.039467099565282555,0.16003021290513741,-0.054120434412899716,0.13874767564588722,-0.005623492764795897,-0.04103746963263666,-0.04557825741596161,-0.0541920979206718,-0.02482901779854677,-0.031228913677577606,-0.034981907057176256,-0.0345175191990675,-0.037738254121989064,-0.06132658015458951,-0.05715136921639422,-0.03355294140609203,-0.031370155884783986,-0.029664506293958715,-0.020243097316871204,-0.04207205603592679,-0.04323658609861515,-0.03951689523208944,-0.04187725880825588,-0.05317251380596371,-0.023660513256288204,-0.02794949909904001,-0.05191181913751642,-0.04067980255234037,-0.03146957049351315,-0.006449912838079219,-0.04857593339638269,-0.034719437745882924,-0.02130608737959674,-0.046880179385333474,-0.04643928642626403,-0.0221513801301031,-0.03248668583548048,-0.03742064154985917,-0.03702764052138217,-0.0382498141928919,-0.05029801660985018,-0.05152077787986622,-0.03965918303892865,-0.04205732294199817,-0.03769433422565404,-0.02372950661737144,-0.06071224574867663,-0.020939005830256707,-0.03376080798126881,-0.03563910379096617,-0.03594066326684358,-0.05427293167128404,-0.03135426595405505,-0.03371011749661128,-0.027977645728466453,-0.05594174217646927,0.1655168574619536,-0.06007155299521234,-0.04114948741149059,-0.0166633883132169,-0.06404138489990001,0.19839122642873222,0.12848220997453905,-0.049449005967222084,-0.07654766075966105,-0.05891208344739487,-0.05463058375042261,-0.025756025585544195,-0.03268380587958689,-0.037850588738571306,-0.018778895433428085,-0.05119431691507093,-0.05353401129114921,-0.03999806277122117
