,Age & BMI,"HRV
(average of nights)"
liver_viscosity,-0.033022183900157695,-0.03302218390015775
liver_elasticity,-0.03270698481048545,0.09151089994216746
liver_attenuation,-0.03396919404944985,-0.03396919404944985
liver_sound_speed,0.45104086204485205,0.4541912334614957
bt__albumin,-0.052526163714583,-0.052526163714583
bt__bilirubin_total,-0.05566449193390595,-0.05566449193390595
bt__protein_total,-0.05382475499576895,-0.05382475499576895
bt__alkaline_phosphatase,0.09731204047059219,0.0775739464159699
bt__alt_gpt,0.2942649010384139,0.2791614911230499
bt__platelets,0.14879952217267117,0.20080273796789194
bt__ast_got,0.034743642240456646,0.07491874544772785
