,HMGCoAreductaseinhibitorsplainlipidmodifyingdrugs
0,-0.04673587478572248
1,-0.04399021213416564
2,-0.026755261429867085
3,-0.05166563415377765
4,-0.049726022453598744
5,-0.0312739178675901
6,-0.04998898580204081
7,-0.023632935903428912
8,-0.04892865348314121
9,-0.026009842857835395
10,-0.03755943176343839
11,-0.04631317202800391
12,-0.023632935903428763
13,-0.059010176400326166
14,-0.014752544100081562
15,-0.025242421373514245
16,-0.013353107081634832
17,-0.03484322704538434
18,-0.028418636276102454
19,-0.024981375874191622
20,-0.025756576427368606
21,-0.033889481993446643
22,-0.025500794752878742
23,-0.021604184451228012
24,-0.02575657642736871
25,-0.023353906807751974
26,-0.048525055826676766
27,-0.03720872910933084
28,-0.0206738650743263
29,-0.026260666817880012
30,-0.028187021686637986
31,-0.04153754475077076
32,-0.021298593605500706
33,-0.016434121283065282
34,-0.023353906807751977
35,-0.017590123110363242
36,-0.03189655196851245
37,-0.03992819381863107
38,-0.03773356079967541
39,-0.02818702168663803
40,-0.014752544100081533
41,-0.041061363046434145
42,-0.03042392403795292
43,-0.013835323088530516
44,-0.024181336850480354
45,-0.04892865348314164
46,-0.05788863408730119
47,-0.039928193818630955
48,-0.028648378383842845
49,-0.04798164501202969
