,depressed_hopeless_fortnight,depressed_longest_period_weeks,depressed_whole_week,depressed_whole_week_periods,family_relationship_satisfaction,fed-up_often,feeling_lonley_often,fidgety_or_restless_fortnight,financial_situation_satisfaction,friendships_satisfaction,happiness_level,health_satisfaction,high_irritable_longest_period_duration,high_irritable_state,high_irritable_state_caused_problems,hyper_least_two_days,irritable_person,irritablilty_leading_to_argumens,little_interest_or_pleasure_fortnight,miserable_no_reason,mood_swings,nerves_anxiety_tension_depression_doctor,nerves_anxiety_tension_depression_psychiatrist,nervous_person,risks_taker,suffer_nerves,tense_or_highly_strung,tired_or_little_energy_fortnight,troubled_by_guilt,unenjoyment_uninterested_period_duration_weeks,unenjoyment_uninterested_periods_number,unenjoyment_uninterested_whole_week,work_satisfaction,worrier,worry_long_after_embarrassment,rds_score
0,-0.023680513912197377,-0.05362174034589808,-0.03169724749156695,-0.04789854907117843,-0.06374490964603524,-0.029726989271176507,-0.060736835732194336,0.15531940100269778,-0.06173611340555488,-0.041727466394414395,-0.050261184771577205,0.24352369723507122,-0.09116258438391357,-0.05527514283498696,-0.10582543730842738,-0.03080935007247774,-0.053338989130151164,-0.06981309212872237,-0.05701566213914413,-0.032943002996069295,-0.03657145138502746,-0.049771234100628226,-0.04286213883350596,-0.035564863783877756,-0.010983503153618127,-0.040578155499447814,-0.017224334598200684,0.10241736424865862,-0.05387521349725125,-0.17684690006600454,-0.09404521139194257,-0.04267330692482711,0.09287079418379414,-0.044495248593033714,-0.05629746733363283,0.1646502489274201
1,-0.040186981136576934,-0.10138587663466234,-0.03076636288428134,-0.05838298941830716,-0.027508257361187907,-0.02559059707995162,-0.04775708470515512,0.1636155421463623,-0.04340364562228139,-0.033910489769430854,-0.03639340476972404,0.24319099867132304,-0.046808744887886576,-0.07703941452604092,-0.09922730099597454,-0.02044487483897086,-0.04490220911969894,-0.032541813731978765,-0.0354146892229061,-0.02714500514109957,-0.033470890399498306,-0.037988211812427425,-0.01781614723206756,-0.05321852281866232,-0.027876116770879783,-0.06667224951360681,-0.05025017853298526,0.13511236934517576,-0.02842578863902638,-0.09502698774701478,-0.181533287545948,-0.042633758143285475,0.11611857179211077,-0.058712328746487574,-0.013770348982062126,0.17247195904275445
2,-0.03354870583215102,-0.07149797758705372,-0.021377042976973137,-0.09382479956474778,-0.027873198347384328,-0.051817574634548086,-0.03978790614184631,0.16057065882528387,-0.06644992079821663,-0.05028179811336601,-0.027334616211195154,0.23643843182873964,-0.12578149174456085,-0.10967854696053247,-0.2120031398277669,-0.028767973537092643,-0.05004587252189097,-0.03712689970869955,-0.03794814796745734,-0.02313225685973648,-0.05338704227225295,-0.025501295676704314,-0.015116603678251366,-0.0654729690486064,-0.017283237294852184,-0.04480694608925612,-0.054619173552520536,0.15663820971488668,-0.029956049206251445,-0.1018669037605705,-0.10752955393302195,-0.03581429786636741,0.10921755745731268,-0.061620470672892405,-0.05825451980527655,0.17307331095191827
3,-0.06732033611605197,-0.041225296523972776,-0.054967810917338815,-0.06023772407989089,-0.039035569118735736,-0.040006565225601386,-0.03293067425953984,0.16669010685490335,-0.05332179125940384,-0.04753339945756409,-0.027719121311496703,0.2451450287173157,-0.06332304802167228,-0.07266532233877977,-0.13283075238172407,-0.0465318171119304,-0.04021787722183458,-0.038654910027230795,-0.03302907116593592,-0.01056653454985288,-0.04173556758950023,-0.028074762370318637,-0.03855744149038218,-0.038477440866909685,-0.04415066714135999,-0.0386666721652706,-0.046159616982853285,0.15790239741640064,-0.04548300784474061,-0.12275048263830443,-0.11112927016101659,-0.03106824606398474,0.11949264584924525,-0.03832320569465074,-0.034074735399159194,0.1702214529945841
4,-0.03740686464996176,-0.05780013834586603,-0.035697164727728915,-0.05972142762273096,-0.04979555689196802,-0.04153667814050528,-0.0588737107822808,0.1437567585058822,-0.028386868300327543,-0.012557875091332795,-0.02466262176747721,0.24026878424162007,-0.14579381347366344,-0.09086646334664925,-0.0774488441821677,-0.03399801086218729,-0.028603218328596445,-0.014093489084475974,-0.03869672751829024,-0.055066111027596294,-0.017436707635935314,-0.046426981469057514,-0.040769505629163566,-0.047407824739730146,-0.0341958091004231,-0.029565780877904693,-0.03489910391197107,0.12224931332106605,-0.0182084741306881,-0.1326105956535549,-0.10533948915364139,-0.04106052190874761,0.12010563780943083,-0.035416782560102146,-0.04592602908984849,0.16416599037097826
5,-0.01205626530648116,-0.04424491955862871,-0.04182534738910636,-0.050057260498106014,-0.02357931010801064,-0.022154700664433483,-0.033891405483649745,0.14817048793489984,-0.0430325552296815,-0.07529588082626268,-0.025844953634877918,0.2480699742991952,-0.07392434146460564,-0.06550247650278426,-0.1852979775979067,-0.04067655504978906,-0.03918365338003499,-0.03162264253457104,-0.043133439426140875,-0.06537207660249669,-0.035002020804584366,-0.03190589209558508,-0.0639458301937398,-0.03173389925841089,-0.022217769101595543,-0.0451577257848576,-0.0567689682191108,0.12206599625454617,-0.029454797163593574,-0.1088338994455082,-0.07235594686075529,-0.05229099765574816,0.11036577089478572,-0.030139080538314888,-0.044793403907038364,0.17317923268139818
6,-0.0400373152223229,-0.052188642805686,-0.029999170660408657,-0.08890229305188668,-0.023487100163817748,-0.028729254302670124,-0.04540405943095324,0.14731354819414771,-0.01938833358187036,-0.010918681262629144,-0.024389182907844795,0.2471593316845631,-0.07319715143276524,-0.12225514080026371,-0.2268171319326042,-0.03741444034348471,-0.06093360287542525,-0.03659432098606093,-0.016998909422183385,-0.07231660418768966,-0.0277188462360826,-0.027243963523995645,-0.022174394789899774,-0.025152754406935176,-0.03144131933812199,-0.047931507678306395,-0.03035999464741848,0.16381371572426862,-0.04526423308977476,-0.11628986566215199,-0.09894326183877412,-0.05633247830081434,0.10519228266267501,-0.04227732636166002,-0.06467537751269208,0.17109409160706557
7,-0.04124034029178332,-0.08205386337922811,-0.034410857220743864,-0.049995099420462916,-0.025325047554204335,-0.031028034575300574,-0.028695483814993466,0.14390898995489204,-0.03084995640885555,-0.05056326850220944,-0.03925646068080703,0.2415808146084573,-0.10085713022673085,-0.09436151396792042,-0.2350810102488474,-0.03888279606508733,-0.05013566045870095,-0.02028065411855167,-0.05443942487234474,-0.052418655189771984,-0.05167638657041296,-0.03136107300739763,-0.044939651445096526,-0.05866135665877068,-0.07171005346859499,-0.016349612658550387,-0.039979486143164523,0.149466343103584,-0.03876709492243824,-0.08807445310648751,-0.12001634857737424,-0.04886569684623005,0.09759857426600062,-0.02527133277755395,-0.021676088739441896,0.1624264640444848
8,-0.03480875490428913,-0.10417382590232896,-0.026011292455339313,-0.07061132537239397,-0.02835191845228419,-0.03129778056630916,-0.038374105254721624,0.15105031031327343,-0.026479226295055818,-0.023549022970384696,-0.03243465672043137,0.236449134818412,-0.10419628846288238,-0.07684599364709836,-0.15138401723371414,-0.02682821084668352,-0.048629354196806036,-0.022954368577687925,-0.04583790004594918,-0.041212350904429346,-0.043835886618412805,-0.05954591758746359,-0.04967637614476481,-0.054094625567422554,-0.04477001416759597,-0.0468711992079238,-0.02850099347975452,0.1560187646382736,-0.042199911425442764,-0.058770166372150115,-0.11278014899402755,-0.052096382490857365,0.108324235196326,-0.03261506438359192,-0.028061489208276204,0.17084835151606115
9,-0.02851686579554128,-0.07586023833027238,-0.03614362080468559,-0.07339868727066355,-0.02416953168314258,-0.025901075160578768,-0.04142333399355444,0.15108072932252584,-0.041966643059404854,-0.027624495939184937,-0.018919256434609365,0.24071846067995464,-0.1272192345050157,-0.07383356833652448,-0.11633361818118455,-0.05362604849586471,-0.050821345185302846,-0.029793819017057233,-0.04745313162507474,-0.04090760931355592,-0.019466000372863695,-0.039325708988208176,-0.04858012964994924,-0.04748680000112702,-0.03188779635847432,-0.07224593097923952,-0.03843901484129221,0.12390343576668164,-0.031726290576482324,-0.07079583757886775,-0.11714725182149141,-0.030454880448610677,0.12556492482671083,-0.04301573482697583,-0.014752814724079426,0.17191462479473077
