,0
sleep_quality_avg_and_MBpathways_men,2622
sleep_quality_avg_and_MBpathways_women,2749
sleep_quality_avg_and_MBfamily2_men,2684
sleep_quality_avg_and_MBfamily2_women,2820
sleep_quality_avg_and_blood_lipids_men,1347
sleep_quality_avg_and_blood_lipids_women,1458
sleep_quality_avg_and_diet_men,2699
sleep_quality_avg_and_diet_women,2920
sleep_quality_avg_and_medications_men,2805
sleep_quality_avg_and_medications_women,3009
sleep_quality_avg_and_lifestyle_men,2014
sleep_quality_avg_and_lifestyle_women,2164
sleep_quality_avg_and_mental_men,2003
sleep_quality_avg_and_mental_women,2154
sleep_quality_avg_and_frailty_men,2805
sleep_quality_avg_and_frailty_women,3009
sleep_quality_avg_and_liver_men,2514
sleep_quality_avg_and_liver_women,2704
sleep_quality_avg_and_hematopoietic_men,2377
sleep_quality_avg_and_hematopoietic_women,2545
sleep_quality_avg_and_glycemic_status_men,1456
sleep_quality_avg_and_glycemic_status_women,1631
sleep_quality_avg_and_immune_system_men,2380
sleep_quality_avg_and_immune_system_women,2550
sleep_quality_avg_and_renal_function_men,1921
sleep_quality_avg_and_renal_function_women,2045
sleep_quality_avg_and_body_composition_men,2799
sleep_quality_avg_and_body_composition_women,3006
sleep_quality_avg_and_bone_density_men,2805
sleep_quality_avg_and_bone_density_women,3009
sleep_quality_avg_and_cardiovascular_men,2794
sleep_quality_avg_and_cardiovascular_women,2996
