,"Age, BMI & VAT","Sleep Quality
(average of nights)"
fBin__100,0.0481619777101866,0.005553728167752001
fBin__102,0.0601317672855312,0.06596939328449405
fBin__103,0.0190363955574226,0.014228713874434851
fBin__104,0.053804266160837805,0.052540356907279345
fBin__108,0.012631883952761849,0.041703545492877706
fBin__121,0.0813961821788548,0.04367786479919795
fBin__14,0.054081225119878604,0.0188654354024547
fBin__145,0.005516000102182049,0.00941346394139285
fBin__149,0.0568209659827886,0.04848332719681685
fBin__159,0.0586068967326945,0.0172473442622395
fBin__17,0.0382846725469707,0.02326985642637355
fBin__181,0.04399748919286815,0.057146316249861495
fBin__187,-0.02462769949800675,-0.01323239680362915
fBin__188,-0.00021056251909595003,-0.0158449026366945
fBin__189,-0.0197889930061865,-0.0129220862685035
fBin__205,0.00741677732315265,-0.008205912004441599
fBin__207,-0.034636024915417854,-0.00178634708052775
fBin__217,-0.015414460337895352,0.02440244370152845
fBin__219,-0.0018952987369536501,-0.015926646050822953
fBin__220,-0.00717500887884025,0.01113220564467365
fBin__223,-0.0073672414672732,-0.02622787417181595
fBin__247,0.01751691464370215,0.01766050671482185
fBin__249,-0.00857504011254755,0.0267202583664955
fBin__257,0.17088540795102294,0.12363503980665816
fBin__262,0.14342541926498853,0.07310109992817515
fBin__263,0.15982246306148215,0.0795953998150573
fBin__27,-0.0252884272840277,0.0519255174701577
fBin__270,0.1332405530831488,0.0581143050997219
fBin__273,0.061290656803813445,0.05307917544351095
fBin__274,0.0864135167279052,0.01243121624959605
fBin__275,0.034422874397487646,0.09302644708165489
fBin__28,0.026205092609063098,0.019149935576476852
fBin__281,-0.04360225256914705,0.02525346334466765
fBin__283,0.07798924778228289,0.01234896645149565
fBin__296,0.036783880014370746,0.05500470002311305
fBin__305,0.03596474932662415,0.0438519389993285
fBin__307,-0.02833341553222705,0.023675256694006303
fBin__309,0.1303912997055982,0.058689949232807154
fBin__310,-0.00423404836015575,0.027786254409770297
fBin__311,0.017204594046613897,-0.009231775818278349
fBin__312,0.09396996921684606,0.0596846980821044
fBin__314,0.0104285956609467,-0.00546381605719455
fBin__318,-0.040449143944860294,0.0220023813624126
fBin__319,0.05601566379046265,0.04513789684963055
fBin__320,-0.0211901321200443,-0.042034742632297756
fBin__321,0.08997018297232401,0.07788263657070535
fBin__323,0.0416922469209948,0.02357166391060625
fBin__325,-0.02770068091595065,0.0186328478831089
fBin__328,0.03234076916279925,-0.00234990544846945
fBin__332,0.0105569276311869,-0.0110867761632704
fBin__334,0.07504207679894775,0.0274007906695852
fBin__337,0.08858199625829954,0.0776069383820394
fBin__338,-0.0133392301533297,0.0156952362736216
fBin__339,0.02902628389470335,0.0393019413382649
fBin__34,0.01659393832554905,0.03370584038687785
fBin__340,0.04338991409148035,0.0177611136044466
fBin__345,0.053541508190095094,0.04570485558659115
fBin__35,-0.00796473750501745,0.01426912162010465
fBin__351,0.0944540099061701,0.072337555959775
fBin__356,0.0239378437845181,-0.00560806744470975
fBin__357,0.05916285564589425,0.06462860368926615
fBin__359,0.13062422417121383,0.1010385976620205
fBin__36,0.02995975797750645,0.0418722883561658
fBin__364,0.02772328838491475,0.050428308274515096
fBin__366,0.0545469809682968,0.008631927011799649
fBin__367,0.02044529056999295,0.04134232594510285
fBin__369,0.07594473611759,0.00686779593344215
fBin__37,0.01288685831510405,0.02935681560399615
fBin__371,0.0081743042868431,0.042258172746821296
fBin__373,0.03791832547276815,0.06053575707344851
fBin__374,0.07341725840640434,0.04775843014478585
fBin__375,0.04463875481244835,9.85780250261e-05
fBin__376,0.028204840088987097,-0.02142962617059045
fBin__379,0.01923227950086765,0.00123329839448905
fBin__381,0.057165446296568154,0.0014029649368458
fBin__382,0.00503617548030445,0.0018619791397688499
fBin__383,0.06154833629020235,0.029983022970065602
fBin__384,0.0120215963300084,0.035302707052936644
fBin__386,0.08664641490308381,0.04023863796552545
fBin__387,0.07804980633840194,0.0836288800699092
fBin__388,0.0260448581675314,0.0377832289476042
fBin__393,0.03732866381675915,0.0015030058262159
fBin__395,0.0611000644517969,0.00432052221788415
fBin__418,0.0397950635413714,0.0089220041622662
fBin__423,0.0399658525934358,-0.032967649963020096
fBin__424,0.011770808928791749,0.037647639928148846
fBin__43,0.0234284992139113,0.0190080019346869
fBin__441,0.106868949069758,0.07076104825262686
fBin__45,0.0288895199084854,-0.0172770178180396
fBin__451,-0.00113729484323815,0.0498313844040084
fBin__452,0.0019495660385779,0.02396637563752045
fBin__454,0.059188584459406945,0.0710716892640683
fBin__455,0.0766158961589869,0.0544627022783275
fBin__456,0.061265732386046295,0.0193670775900933
