,Age & BMI,"Sleep Quality
(average of nights)"
fBin__521,0.0147763991248747,0.08059336866893875
fBin__296,0.0063573844443676,0.06985315537678236
fBin__384,0.00274039926762,0.04807555164904415
fBin__339,0.0012463855506509502,0.0464187597915409
fBin__28,0.00437575437516805,0.048779173538699455
fBin__337,0.030337774039126048,0.0719452883921412
fBin__371,0.00967752718408285,0.050933048329683
fBin__388,0.0057275169481993005,0.04655643386264895
fBin__273,0.013329123925814701,0.05245910626308075
fBin__357,0.03206955733142215,0.0703016911164335
fBin__451,0.00310271449613345,0.0404753032710404
fBin__489,0.0274217450035041,0.06429893710289031
fBin__372,0.01194326979544625,0.0463007751909148
fBin__305,0.0099082364859946,0.04216903515226565
fBin__482,0.0158175659964448,0.0467358224799357
fBin__532,0.0007995476252143501,0.0310271204634067
fBin__351,0.02064000567395345,0.04936433476177995
fBin__181,0.010101446822774,0.03695702772826825
fBin__220,0.010519684445608801,0.036389973532227046
fBin__472,0.0071861164132991,0.0320879094098383
fBin__359,0.027751250457500848,0.052077936325659754
fBin__526,0.0262181618744566,0.05011117989173085
fBin__485,0.0246517658862124,0.047921598779990304
fBin__533,0.0024752887812206,0.02537061520918865
fBin__280,0.01031659377952795,0.032606767746488255
fBin__338,0.00480808832231275,0.0265252662184672
fBin__565,0.01199940793095995,0.0334610919300727
fBin__555,0.017175346496468,0.0374317907935159
fBin__55,0.0171681249771458,0.03706272592141075
fBin__455,0.02493536732248855,0.043812708903086944
fBin__569,0.035199714639193344,0.05404033662613135
fBin__309,0.0404728402709824,0.05834563232033105
fBin__345,0.01564561724460835,0.03284453041168345
fBin__56,0.01151683148488105,0.02822722283046595
fBin__386,0.05892768458051255,0.07505144058812445
fBin__490,0.0307287499983446,0.04638408858160535
fBin__95,0.00837620749249875,0.02339935813011615
fBin__108,0.0277696897684836,0.0420466420177973
fBin__524,0.0197645737591003,0.032978561232400797
fBin__249,0.021277366007462002,0.034406864685177604
fBin__88,0.00763063601497315,0.01994829472615315
fBin__364,0.034116494233644545,0.04576541263071455
fBin__616,0.04517730636848005,0.056582464695844645
fBin__319,0.033560439490286545,0.04443156910587505
fBin__373,0.03672584705951305,0.04739115965884305
fBin__590,0.01568724342771535,0.0259211198709965
fBin__534,0.01505099593310755,0.02518544514097695
fBin__549,0.026417914555676852,0.0358073340649896
fBin__424,0.02005711660118035,0.0284427215315544
fBin__470,0.022231861996324,0.02994300454439305
fBin__503,0.0225952288596611,0.030183765304378
fBin__367,0.0343616819151317,0.0411715898677123
