,"Age, BMI & VAT","Sleep Quality
(average of nights)"
fBin__100,0.011716819238990305,0.013411126000326162
fBin__102,0.012318240349798322,0.011591212179164504
fBin__103,0.012304532374869375,0.012527628622807327
fBin__104,0.009544571565044077,0.014337997905472837
fBin__108,0.011639889740784129,0.014578669414085343
fBin__121,0.010977899041510095,0.011634263438372499
fBin__14,0.011044160377267385,0.011954633956284239
fBin__145,0.013156178025362826,0.013002511036210689
fBin__149,0.01253924890087154,0.013560140636546108
fBin__159,0.013837067187210665,0.012439347483343929
fBin__17,0.013450627755415672,0.01360793574222462
fBin__181,0.012266749922003104,0.011626660842815644
fBin__187,0.013003069115478489,0.01142213229977524
fBin__188,0.014347330313807525,0.014036557860825031
fBin__189,0.014813538109306003,0.015011769238465195
fBin__205,0.012439931125716864,0.013211427715375174
fBin__207,0.014583205534564327,0.016379353960645982
fBin__217,0.013680411867552726,0.012835750101297463
fBin__219,0.013746326468779014,0.014751160289651927
fBin__220,0.01067953422274212,0.014623349333639934
fBin__223,0.013152359657437857,0.014112878840062994
fBin__247,0.014496820232852804,0.011773292983315203
fBin__249,0.01314005877450065,0.012942131649995608
fBin__257,0.008912176446356031,0.011019144486320258
fBin__262,0.012456471827653985,0.012751930140190734
fBin__263,0.01014932471277355,0.013172080719696869
fBin__27,0.015926897805511778,0.013611877547478723
fBin__270,0.008595756627489634,0.011641299710987011
fBin__273,0.010798238740301926,0.012894273151362434
fBin__274,0.011744313720427639,0.013677829986655114
fBin__275,0.01257005994396584,0.01471653661820584
fBin__28,0.011123844339336355,0.014634875557545522
fBin__281,0.014181235874349196,0.015661691755058025
fBin__283,0.0118198369401117,0.011415065329844369
fBin__296,0.011638878655454241,0.015489219726497538
fBin__305,0.011059234759150374,0.013362253641766316
fBin__307,0.013413542333206099,0.01308720680546249
fBin__309,0.00985921225769918,0.012434024088724197
fBin__310,0.012394663102948946,0.010572274152140692
fBin__311,0.011177568991398395,0.014426590384391957
fBin__312,0.011141732469554157,0.011063101528272407
fBin__314,0.012870066207441376,0.012681052236480967
fBin__318,0.013832186687084197,0.012522082882063672
fBin__319,0.01310711844791894,0.013884716472800011
fBin__320,0.01412676187532371,0.014738547112749759
fBin__321,0.0118801728270806,0.01305857168575908
fBin__323,0.013777154991541224,0.012707180637253304
fBin__325,0.013971263120891546,0.014614685886111799
