,"Age, BMI & VAT","Sleep Quality
(average of nights)"
fBin__100,0.013560769586182733,0.012081963580607624
fBin__102,0.00875673498051114,0.013017020219591394
fBin__103,0.012638792172889081,0.011188159198864752
fBin__104,0.008889273159872074,0.013474224225191643
fBin__108,0.011286231378223429,0.012296676086092464
fBin__121,0.010759380172847803,0.012946153024591681
fBin__14,0.013097187245082367,0.011785709756239117
fBin__145,0.011719985728614468,0.014634928942471233
fBin__149,0.011141215744186927,0.010650101267387576
fBin__159,0.011759219978273259,0.012881776871554104
fBin__17,0.012591159621445797,0.012436739976691969
fBin__181,0.011479907500082815,0.01289529676735128
fBin__187,0.010858964468258835,0.011617745890389608
fBin__188,0.013038097827239793,0.013048573207098504
fBin__205,0.01192896446964883,0.012480009678186984
fBin__217,0.011829443207814535,0.012750689653869711
fBin__219,0.011461259601568779,0.011355764697446874
fBin__223,0.012455919731069081,0.011585106545741965
fBin__224,0.013300550428667408,0.013978243774518867
fBin__247,0.012515034314364291,0.011041211101703518
fBin__249,0.011408646389204037,0.010849540956962276
fBin__257,0.008060803229933489,0.011678676741058939
fBin__262,0.011046226773356597,0.012164083532204703
fBin__263,0.012011490123739255,0.012412602870415675
fBin__27,0.0095305831592275,0.01347147228498457
fBin__270,0.009692541851615277,0.010439868062273417
fBin__273,0.012806865039733878,0.010616523750549526
fBin__274,0.009886889295643263,0.014944581862443778
fBin__275,0.011266085577696223,0.014141126010285174
fBin__28,0.014579573403264929,0.01153128019367362
fBin__281,0.012808507588809593,0.013406578831118749
fBin__283,0.01194164552060097,0.011255565219766108
fBin__296,0.012630024172920723,0.010623309561883698
fBin__3,0.013085196093031343,0.013264386802519826
fBin__305,0.011017496369501507,0.012893646583992523
fBin__307,0.013956353199007059,0.011096363563209836
fBin__309,0.010075511011023936,0.011220081376322313
fBin__310,0.012297536000456447,0.013908233912665066
fBin__311,0.011987070195353975,0.011819430905925955
fBin__312,0.010098828279003583,0.014599494019271247
fBin__314,0.011349791550273297,0.014084021196724047
fBin__318,0.010861433368086712,0.013187116792333684
fBin__319,0.012657861124353032,0.01324622507486117
fBin__320,0.01221742700318529,0.01391093104073109
fBin__321,0.01063903869127623,0.012895289872686238
fBin__323,0.011484285410662492,0.010298169010982202
fBin__325,0.012467340864934175,0.01048442512622025
fBin__332,0.009557727257358027,0.012832030595658803
fBin__334,0.011544548087646203,0.013149410640414078
fBin__337,0.010241668708770716,0.01319205794496952
fBin__338,0.012720098380257724,0.01031210688250772
fBin__339,0.013695307235358951,0.011938605831871566
fBin__340,0.013445659322678298,0.011213334258013404
fBin__345,0.012433506398399187,0.012856994334310574
fBin__35,0.015309298252133752,0.014373078452746529
fBin__351,0.009751396965558807,0.013456070297728577
fBin__355,0.012526530708614265,0.00936597079290116
fBin__356,0.013785112327524544,0.01331391410052991
fBin__357,0.0110753094575179,0.011155763733243361
fBin__358,0.01234396689608617,0.012452536010964532
fBin__359,0.00951663469179067,0.012739351622786612
fBin__364,0.011226434686235541,0.013708596267160162
fBin__366,0.012860168510034155,0.011195606076636447
fBin__367,0.010733971312974063,0.012599590556352527
fBin__369,0.012598289756150424,0.011045348655476064
fBin__37,0.012108877318149823,0.01701397006113614
fBin__371,0.013773317484401167,0.01309538788451581
fBin__372,0.010427042746448937,0.012277215606569707
fBin__373,0.01114752651427411,0.011904064678947559
fBin__374,0.011093221140679324,0.012159940807090106
fBin__375,0.0141180563294796,0.012047013751149216
fBin__376,0.013752119308017592,0.011238659196021213
fBin__379,0.011364945528816334,0.010820810105213064
fBin__381,0.011593116059731812,0.013710652322445543
fBin__382,0.013426512784980181,0.013034002421657545
fBin__383,0.011161208399601335,0.011829382774342215
fBin__384,0.011362195898083195,0.010594536077664038
fBin__386,0.00999794481454872,0.015363703896656119
fBin__387,0.012374534009116112,0.010518295698845319
fBin__388,0.012563685225761467,0.010790434161287546
fBin__393,0.0109019094311395,0.011556506001546977
fBin__395,0.011828390333231244,0.010993649622710632
fBin__418,0.013846971641050624,0.01211018314979044
fBin__422,0.01363762562048581,0.012012159559288754
fBin__423,0.012840184661175561,0.011650495609362113
fBin__424,0.010833748547342594,0.013985092778513952
fBin__43,0.010368854534845252,0.013433854481281671
fBin__441,0.010902024497326029,0.013879416340593326
fBin__449,0.010162810524143947,0.014127062977326191
fBin__45,0.00971283277503022,0.011783761912801902
fBin__451,0.01060588050447472,0.014391087741416968
fBin__452,0.014234011370893107,0.011725507429833826
fBin__453,0.012525713147480582,0.011760277547206727
fBin__454,0.009874359576297068,0.013130766334612439
fBin__455,0.012598270241814691,0.012577153168082908
fBin__456,0.010397170173487149,0.012911886411228765
fBin__457,0.0102115459753256,0.011179213987375048
fBin__461,0.010656932221538459,0.012042810260767318
fBin__464,0.01005666886857852,0.013247981637719617
fBin__465,0.0132227512346313,0.011445410590248818
fBin__466,0.011223856111154217,0.013090830265818785
fBin__468,0.010448694089287985,0.011127355673313452
fBin__469,0.013819628529480826,0.012621296852107937
fBin__470,0.010787573557511743,0.010653446437772092
fBin__477,0.009683471020847432,0.010845955086229212
fBin__479,0.011260609569810785,0.011999153385789321
fBin__480,0.012289025712611179,0.011304486590576014
fBin__482,0.011527953770908777,0.013248083238350498
fBin__483,0.01136183420450716,0.011271937519757377
fBin__485,0.012344797223345869,0.012129044427601291
fBin__486,0.011564607838286688,0.010953793385873717
fBin__487,0.009931622051787953,0.009635316713680704
fBin__489,0.012708239233380466,0.012182578674465398
fBin__490,0.014457431589889876,0.011476979379016629
fBin__491,0.012073516552011993,0.01468726729320811
fBin__497,0.011596161945675641,0.012136775044196267
fBin__503,0.012116707630582833,0.011460353063332124
fBin__504,0.009812663116362603,0.00972152863483876
fBin__508,0.010471880775846647,0.014172977134127988
fBin__513,0.012982824397769188,0.01402575568809573
fBin__517,0.014066098007567583,0.013853927900871978
fBin__518,0.011388852565457366,0.014753761715017305
fBin__519,0.011994278853244243,0.013585913625860065
fBin__520,0.011492028107219419,0.011100935257818427
fBin__521,0.010683381943232942,0.013039471393431324
fBin__524,0.010389582707830471,0.014176054973850227
fBin__525,0.01294854705988371,0.012787213520175221
fBin__526,0.01279201635890118,0.014806185710664293
fBin__527,0.010707534830595071,0.011655028705977193
fBin__528,0.01154344002997278,0.012299941829823283
fBin__529,0.011025549005872215,0.01277235482457501
fBin__53,0.012371330720003114,0.012588163818242494
fBin__530,0.008845560956290379,0.013158107398438245
fBin__531,0.009899048099126131,0.010782561366642823
fBin__532,0.013281645975970074,0.011462784703969525
fBin__533,0.00992588310477389,0.013709226231545192
fBin__534,0.014926829984820155,0.011895292085374735
fBin__535,0.011689768428763755,0.013047366254381628
fBin__536,0.011738538695159333,0.01234183377666297
fBin__537,0.011507492256162426,0.01071236719042954
fBin__538,0.01113597706604932,0.013607979787140841
fBin__539,0.012351696082567153,0.012801262115571452
fBin__541,0.009250982316027586,0.013047372460355687
fBin__546,0.011070708946119352,0.013851409190298909
fBin__549,0.010801537178055865,0.012883280105844172
fBin__555,0.012202657651264761,0.010908307779078101
fBin__56,0.014079087004946733,0.013316837029885752
fBin__565,0.010674498829709063,0.013267779319075577
fBin__566,0.014981241009827182,0.013245194131823117
fBin__569,0.009758149961285838,0.012555167019768934
fBin__571,0.013190890191572551,0.014864965933987825
fBin__573,0.012287473589016792,0.01243441728593545
fBin__577,0.010668875381424416,0.011687554520524633
fBin__579,0.014384793264161035,0.011191888397517199
fBin__583,0.01427660290582407,0.012888872964582517
fBin__584,0.013362211782200175,0.014114948768772366
fBin__586,0.012739278104464477,0.011664090145512592
fBin__588,0.012726149238092047,0.016199361732658565
fBin__589,0.011249899226118774,0.014547753371067123
fBin__59,0.014369934386115417,0.011193731345295522
fBin__590,0.012707920266410875,0.01297380165406437
fBin__592,0.012454236142624866,0.010478690124956822
fBin__594,0.01229414996572968,0.011804057947702718
fBin__595,0.010760436671686347,0.011328891540064416
fBin__597,0.011858261700515705,0.011284604754897273
fBin__598,0.010157496901229723,0.011442116798068884
fBin__600,0.012183464661933945,0.01300945272970355
fBin__601,0.01440401930332905,0.010527929249142655
fBin__602,0.013653930065645022,0.009655910082625934
fBin__605,0.011821385616008229,0.012183341206158002
fBin__606,0.01132003245551406,0.011997725444813975
fBin__611,0.011013918755291856,0.011773544042252922
fBin__613,0.014860182893780535,0.01297715963907796
fBin__614,0.011264741209592753,0.014372565028644282
fBin__616,0.012953008660703723,0.012506857364766373
fBin__619,0.013022969758208608,0.011499690003353423
fBin__625,0.011449281618517408,0.013526249198726518
fBin__627,0.012688198152147612,0.015784094574802038
fBin__69,0.012173346580463984,0.01245573532572935
fBin__70,0.01336415327989207,0.015866509380764247
fBin__71,0.012657468269499629,0.011761187755203687
fBin__72,0.01249929425002159,0.013834218677901316
fBin__73,0.010826684210285415,0.012477530818777399
fBin__76,0.01224902566878632,0.012811303738168208
fBin__83,0.010263374431136743,0.013462785633583392
fBin__84,0.01400037469062727,0.013433896759846225
fBin__86,0.009535348653681172,0.010242558201417569
fBin__88,0.014124590613356811,0.013263716549480413
fBin__94,0.008196196895783764,0.014271899146069607
fBin__96,0.009029795003318618,0.011525251637656274
fBin__97,0.0119442181512522,0.013913557647191564
fBin__99,0.015379232274487451,0.014613641548673766
