,Age & BMI,"Sleep Quality
(average of nights)"
fBin__100,0.012263051618916661,0.012263051618916661
fBin__102,0.018019237755601582,0.01801896306113537
fBin__103,0.010404992922881532,0.010404992922881532
fBin__104,0.012142691139109442,0.012142691139109438
fBin__106,0.007411336720995653,0.007411336720995666
fBin__108,0.012150465165252353,0.012150465165252353
fBin__121,0.015243536253203259,0.015243536253203259
fBin__14,0.010119270516738499,0.010119270516738499
fBin__145,0.01142409242497993,0.011424092424979949
fBin__149,0.010541839358477696,0.010541839358477675
fBin__159,0.01029115778452732,0.01029115778452732
fBin__17,0.012019480385163811,0.012019480385163834
fBin__181,0.01113821933603987,0.01113821933603987
fBin__187,0.01149503439890105,0.01149503439890105
fBin__188,0.010888902966889814,0.010888902966889814
fBin__205,0.013282935262857386,0.013282935262857381
fBin__207,0.01328118685065818,0.01328118685065819
fBin__217,0.011485601033883255,0.011485601033883247
fBin__219,0.01183165778221831,0.01183165778221831
fBin__223,0.011643487053163365,0.011643487053163365
fBin__224,0.0117071541672454,0.011707154167245408
fBin__225,0.014794210584449864,0.014794210584449864
fBin__247,0.011610467521362694,0.011610467521362694
fBin__249,0.01072289444065652,0.01072289444065652
fBin__257,0.009260678881339962,0.009260678881339964
fBin__262,0.017798855776671348,0.01636584675522101
fBin__263,0.010302982395269708,0.010311765252611451
fBin__27,0.013274857835265105,0.013274857835265101
fBin__270,0.017505319197454555,0.01750531919745455
fBin__273,0.013100010006523836,0.013100010006523836
fBin__274,0.011274270304926089,0.012061006568734559
fBin__275,0.011467598576794316,0.011467598576794302
fBin__28,0.010880441813459391,0.010880441813459391
fBin__280,0.010131683211271456,0.010131683211271456
fBin__281,0.0131048323594298,0.0131048323594298
fBin__283,0.012713303848500957,0.012713303848500957
fBin__287,0.010630571834169922,0.010630571834169922
fBin__296,0.010594067659179114,0.010594067659179114
fBin__3,0.011535012570514945,0.011535012570514945
fBin__305,0.012040551274604341,0.012040551274604341
fBin__307,0.01163001214741216,0.01163001214741216
