,Age & BMI,"Sleep Quality
(average of nights)"
UNMAPPED,False,True
UNINTEGRATED,False,True
1CMET2PWYfolatetransformationsIIIEcoli,False,True
ALLANTOINDEGPWYsuperpathwayofallantoindegradationinyeast,False,True
ANAEROFRUCATPWYhomolacticfermentation,False,True
ANAGLYCOLYSISPWYglycolysisIIIfromglucose,True,True
ARGPOLYAMINESYNsuperpathwayofarginineandpolyaminebiosynthesis,False,True
ARGININESYN4PWYLornithinebiosynthesisII,False,True
ARGSYNPWYLargininebiosynthesisIviaLornithine,False,True
ARGSYNBSUBPWYLargininebiosynthesisIIacetylcycle,False,True
AROPWYchorismatebiosynthesisI,True,True
ASPASNPWYsuperpathwayofLaspartateandLasparaginebiosynthesis,False,False
ASTPWYLargininedegradationIIASTpathway,False,True
BIOTINBIOSYNTHESISPWYbiotinbiosynthesisI,False,True
BRANCHEDCHAINAASYNPWYsuperpathwayofbranchedchainaminoacidbiosynthesis,False,True
CALVINPWYCalvinBensonBasshamcycle,True,True
CENTFERMPWYpyruvatefermentationtobutanoate,True,True
CITRULBIOPWYLcitrullinebiosynthesis,True,True
COAPWY1superpathwayofcoenzymeAbiosynthesisIIImammals,False,False
COAPWYcoenzymeAbiosynthesisIprokaryotic,True,True
COBALSYNPWYsuperpathwayofadenosylcobalaminsalvagefromcobinamideI,False,True
COLANSYNPWYcolanicacidbuildingblocksbiosynthesis,False,True
COMPLETEAROPWYsuperpathwayofaromaticaminoacidbiosynthesis,True,True
CRNFORCATPWYcreatininedegradationI,True,True
DAPLYSINESYNPWYLlysinebiosynthesisI,False,True
DARABCATK12PWYDarabinosedegradationI,False,True
DENOVOPURINE2PWYsuperpathwayofpurinenucleotidesdenovobiosynthesisII,False,True
DTDPRHAMSYNPWYdTDPbetaLrhamnosebiosynthesis,False,True
ECASYNPWYenterobacterialcommonantigenbiosynthesis,False,True
FAOPWYfattyacidbetaoxidationIgeneric,False,True
FASYNELONGPWYfattyacidelongationsaturated,False,True
FASYNINITIALPWYsuperpathwayoffattyacidbiosynthesisinitiationEcoli,False,True
FERMENTATIONPWYmixedacidfermentation,False,True
FOLSYNPWYsuperpathwayoftetrahydrofolatebiosynthesisandsalvage,False,True
FUCRHAMCATPWYsuperpathwayoffucoseandrhamnosedegradation,False,True
FUCCATPWYfucosedegradation,False,True
GALACTGLUCUROCATPWYsuperpathwayofhexuronideandhexuronatedegradation,False,True
GALACTARDEGPWYDgalactaratedegradationI,False,True
GALACTITOLCATPWYgalactitoldegradation,False,True
GALACTUROCATPWYDgalacturonatedegradationI,False,True
GLCMANNANAUTPWYsuperpathwayofNacetylglucosamineNacetylmannosamineandNacetylneuraminatedegradation,False,True
GLUCARDEGPWYDglucaratedegradationI,False,True
GLUCARGALACTSUPERPWYsuperpathwayofDglucarateandDgalactaratedegradation,False,True
GLUCONEOPWYgluconeogenesisI,False,True
GLUCOSE1PMETABPWYglucoseandglucose1phosphatedegradation,False,True
GLUCUROCATPWYsuperpathwayofbetaDglucuronosidesdegradation,False,False
GLUDEGIPWYGABAshunt,False,True
GLUTORNPWYLornithinebiosynthesisI,True,True
GLYCOCATPWYglycogendegradationI,False,True
GLYCOGENSYNTHPWYglycogenbiosynthesisIfromADPDGlucose,False,True
GLYCOLGLYOXDEGPWYsuperpathwayofglycolmetabolismanddegradation,False,True
GLYCOLYSISEDsuperpathwayofglycolysisandtheEntnerDoudoroffpathway,False,True
GLYCOLYSISTCAGLYOXBYPASSsuperpathwayofglycolysispyruvatedehydrogenaseTCAandglyoxylatebypass,False,False
GLYCOLYSISglycolysisIfromglucose6phosphate,False,True
GLYOXYLATEBYPASSglyoxylatecycle,False,True
GOLPDLCATPWYsuperpathwayofglyceroldegradationto13propanediol,False,True
HCAMHPDEGPWY3phenylpropanoateand33hydroxyphenylpropanoatedegradationto2hydroxypentadienoate,False,True
HEMEBIOSYNTHESISII1hemebbiosynthesisVaerobic,False,True
HEMEBIOSYNTHESISIIhemebbiosynthesisIaerobic,False,True
HEMESYN2PWYhemebbiosynthesisIIoxygenindependent,False,True
HEXITOLDEGSUPERPWYsuperpathwayofhexitoldegradationbacteria,False,True
HISDEGPWYLhistidinedegradationI,False,False
HISTSYNPWYLhistidinebiosynthesis,False,True
HOMOSERMETSYNPWYLmethioninebiosynthesisI,False,True
HSERMETANAPWYLmethioninebiosynthesisIII,True,True
ILEUSYNPWYLisoleucinebiosynthesisIfromthreonine,False,True
KDONAGLIPASYNPWYsuperpathwayofKdo2lipidAbiosynthesis,False,True
KETOGLUCONMETPWYketogluconatemetabolism,False,True
LACTOSECATPWYlactoseandgalactosedegradationI,True,True
METSAMPWYsuperpathwayofSadenosylLmethioninebiosynthesis,False,True
METHACETATEPWYmethanogenesisfromacetate,True,True
METHGLYUTPWYsuperpathwayofmethylglyoxaldegradation,False,True
METSYNPWYsuperpathwayofLhomoserineandLmethioninebiosynthesis,False,True
NADBIOSYNTHESISIINADsalvagepathwayIIItonicotinamideriboside,False,True
NAGLIPASYNPWYlipidIVAbiosynthesisEcoli,False,True
NONMEVIPPPWYmethylerythritolphosphatepathwayI,False,True
NONOXIPENTPWYpentosephosphatepathwaynonoxidativebranchI,False,True
OANTIGENPWYOantigenbuildingblocksbiosynthesisEcoli,False,False
ORNDEGPWYsuperpathwayofornithinedegradation,False,True
P105PWYTCAcycleIV2oxoglutaratedecarboxylase,False,True
P108PWYpyruvatefermentationtopropanoateI,False,True
P122PWYheterolacticfermentation,False,True
P124PWYBifidobacteriumshunt,False,True
P125PWYsuperpathwayofRRbutanediolbiosynthesis,False,True
P161PWYacetylenedegradationanaerobic,False,True
P164PWYpurinenucleobasesdegradationIanaerobic,True,True
P185PWYformaldehydeassimilationIIIdihydroxyacetonecycle,False,True
P221PWYoctaneoxidation,False,True
P23PWYreductiveTCAcycleI,False,True
