,"Age, BMI & VAT","Sleep Quality
(average of nights)"
Lipids_NEG_2130551_311470_1508722,0.05390105903160515,0.008183101538777899
Lipids_NEG_2170025_309563_1426050,0.03270675927536845,-0.01304138769115155
Lipids_NEG_2329752_307462_1420463,0.01562065039628625,0.0106922021233097
Lipids_NEG_2558219_332194_1306976,0.061868476982655504,-0.0424274994726279
Lipids_NEG_1628391_338351_1084717,0.04476635240957675,0.03652248452145525
Lipids_NEG_3730100_355757_1738172,0.01123277201030225,-0.04397608394148175
Lipids_NEG_1729911_369286_1298889,0.054452551326133705,0.03486672753473555
Lipids_NEG_1889861_369286_1295368,0.13170548999553428,0.0529745705517302
Lipids_NEG_2030821_370003_1517545,0.0804617074711404,0.06579083708604061
Lipids_NEG_2049809_369972_1305195,-0.00834818159846115,-0.0082866428450151
Lipids_NEG_2161132_372201_1517815,-0.0227222677086657,0.006948014045919699
Lipids_NEG_1790572_375462_1323456,0.08241572108274825,0.036416892919339194
Lipids_NEG_1870069_377188_1374008,0.11464914240711915,0.1007252176363448
Lipids_NEG_3111395_380911_1820262,0.1282667359088901,0.05292170706577015
Lipids_NEG_2030015_379252_1370085,0.05365778680524895,0.004044558742913601
Lipids_NEG_3411026_391281_1903573,-0.0054202317753899495,0.00796882897909865
Lipids_NEG_4210598_391967_2062738,-0.0275687326496099,-0.03033188093540795
Lipids_NEG_2010224_397467_1438636,0.0394791204740663,0.043589971909211
Lipids_NEG_2290171_401591_1484080,-0.0058510076611685505,0.023898733782106697
Lipids_NEG_2130223_407096_1480475,0.06795415573661345,0.0525321075400512
Lipids_NEG_2590278_404006_1617793,0.0517692485674124,0.0697308585502982
Lipids_NEG_4370547_408126_2072894,0.06508886331065805,0.03878632262119505
Lipids_NEG_2310328_425301_1500994,0.0056455261891717005,-0.03168824427123595
Lipids_NEG_3671583_425989_1998372,0.3772788382749155,0.2783400650273202
Lipids_NEG_2449078_437326_1365785,0.01192148547953535,0.014271335933272601
Lipids_NEG_2290536_443163_1544241,0.08343120313330271,0.038526151598108904
Lipids_NEG_3992201_448586_2125533,0.45192748520860476,0.34169121784694334
Lipids_NEG_3971781_467056_1925894,0.14271604418813436,0.11464833280985054
Lipids_NEG_3601017_483517_1842943,-0.026523274099557452,0.0022644263065573498
Lipids_NEG_3691737_478932_1997788,0.22319258446781287,0.18383152468870195
Lipids_NEG_3108379_486147_1338410,0.1558380406390384,0.11125660285264985
Lipids_NEG_3951892_484431_2097744,0.2710172896151054,0.2288266226835248
Lipids_NEG_3332068_524274_1873203,0.0319774629804729,-0.05597481446089375
Lipids_NEG_4982889_561025_2112090,0.02220084374041495,0.0067791509253795
Lipids_NEG_4483064_594702_2047820,-0.0282311556227433,0.01787608268293405
Lipids_NEG_1790713_609497_1434458,0.0985370615011951,0.08091703548045726
Lipids_NEG_4812803_619849_2220255,0.0651848483950167,0.0291890833508982
Lipids_NEG_3989360_638051_1492762,0.391281726536219,0.3041706552301124
Lipids_NEG_3669002_657281_1736672,0.01795987694731905,0.0238542992398576
Lipids_NEG_4483062_661058_2032355,-0.05994928863824815,-0.0209510910023404
Lipids_NEG_4451865_718464_2257402,0.06873563672943125,-0.0491203431728834
Lipids_NEG_4989296_997919_1663289,0.28930804352370215,0.20703209138822995
Lipids_NEG_2651476_1055660_1724942,-0.0487151320397318,0.01479092295983125
Lipids_NEG_4313161_1171821_2279978,0.2513741128335339,0.16269647660063769
Lipids_NEG_3211736_1186955_1847562,0.01288611431207815,0.10681679219195059
Lipids_NEG_3152539_1272103_1877717,-0.00528493284348595,0.0026848823409782
Lipids_NEG_4792833_1271033_2598385,0.26923144100340113,0.19193858255122345
Lipids_NEG_3931737_1277599_2006594,-0.04278120464119075,0.014032972355357949
Lipids_NEG_3912848_1342873_2083208,-0.0249604288438457,-0.012011988873246851
Lipids_NEG_5263142_1355372_2454127,0.11374647966098665,0.06458456913475676
Lipids_NEG_4652853_1351457_2233946,0.024557036333012247,0.0084187591097932
Lipids_NEG_5763300_1367053_2529075,0.08602042124250281,0.11476362670376256
Lipids_NEG_6003303_1376792_2570304,0.0808074820219215,0.080804342654486
Lipids_NEG_2932119_1402347_1818754,-0.011261915118641951,0.036781756924581646
Lipids_NEG_4982618_1403377_2244095,0.16306929071084325,0.0581134315159522
Lipids_NEG_2692120_1425702_1759228,-0.0602132345531908,0.04492103360757175
Lipids_NEG_2931785_1416657_1807752,-0.021184776779134197,-0.025913077212856052
Lipids_NEG_2952278_1433953_1854930,0.017422681570002548,0.0207093286466925
Lipids_NEG_2491490_1468311_1734685,-0.02638246171377645,0.0374671733840903
Lipids_NEG_5523302_1473271_2498133,0.0807722402998865,0.07398501572378265
Lipids_NEG_5562675_1467284_2374623,0.008186817766131251,0.00780520715221025
Lipids_NEG_3192277_1538542_1882015,-0.00169435008895135,0.0402265414516607
Lipids_NEG_5403302_1547151_2493912,-0.06887781297935765,0.06287723108571625
Lipids_NEG_6263460_1552144_2619782,0.0670474332882799,0.07317767073394345
Lipids_NEG_6123302_1547324_2571924,0.0542682372094145,0.07422303182083986
Lipids_NEG_2231697_1563114_1669756,0.03550522613775755,0.02906879406973875
Lipids_NEG_5242781_1579322_2282561,0.1575779691637586,0.126379407340743
Lipids_NEG_4713473_1585846_2295114,-0.02563762385447435,-0.0100629084256805
Lipids_NEG_2792324_1586982_1816171,0.16822580831640022,0.1218984592559986
Lipids_NEG_5643306_1592347_2469704,0.27178512160353124,0.18249551315571644
Lipids_NEG_6023461_1592038_2593378,0.02848473387938145,0.0152707677849335
Lipids_NEG_6463326_1586618_2690966,0.24072732331372684,0.1682728301957842
Lipids_NEG_6603482_1586533_2733645,0.24449070420214158,0.12308148111574879
Lipids_NEG_3032322_1597056_1926690,-0.07721608075894229,-0.013643449222306949
Lipids_NEG_3212431_1603044_1930745,-0.012749984718136199,0.04651201464285115
Lipids_NEG_3730444_1604419_1834387,0.06725152570058984,0.04789937052584435
Lipids_NEG_4212260_1585847_2135003,0.0068334340183716005,-0.05704325296400925
Lipids_NEG_2712275_1603043_1800461,0.1251030286816393,0.032701323609607
Lipids_NEG_3412118_1600640_1922983,0.0230426919257994,0.028773570373432353
Lipids_NEG_2952275_1617217_1835438,0.0498025713742212,0.0717673673138842
Lipids_NEG_2832275_1621262_1807802,0.022114676359299153,0.04186032580131845
Lipids_NEG_3130780_1622634_1760613,0.12546328620605934,0.0405495293284973
Lipids_NEG_4762780_1622291_2192461,0.10393716217315775,0.0693467315464561
Lipids_NEG_5002780_1623321_2243678,0.0644512292523176,0.024330984562735
Lipids_NEG_5943404_1621706_2506944,0.0510725097482474,0.00209680191258435
Lipids_NEG_1991701_1631906_1625901,0.02206888757711125,-0.00550966859348485
Lipids_NEG_6303409_1637197_2632723,-0.0283208662891183,0.05916130099943025
Lipids_NEG_6063407_1639361_2598214,0.21806997550876012,0.1991622238246393
Lipids_NEG_6283612_1651721_2634480,0.094201799646571,0.052691965913225
Lipids_NEG_5563514_1668343_2522851,0.05521339584578195,0.05609552649628155
Lipids_NEG_6223329_1666318_2668230,0.11039724310065724,0.05380045404126425
Lipids_NEG_6083561_1670099_2543956,0.07699188889293074,0.09978757985078335
Lipids_NEG_5282729_1674513_2293328,-0.032573820133314155,0.09357278880860806
Lipids_NEG_4071447_1705102_2077605,0.030314934775211702,0.00880557585901655
Lipids_NEG_6043617_1725693_2591529,0.09349764661237536,0.05749186309480675
Lipids_NEG_5563523_1743013_2527480,0.05324861133524195,0.048779515817708
Lipids_NEG_6223329_1736203_2684474,0.00021734582495869999,0.03184708783914015
Lipids_NEG_6363485_1735584_2726770,0.04665094667886675,0.02759663972440475
Lipids_NEG_11176652_1739833_3574844,0.08797602133078855,0.033133863903930055
Lipids_NEG_11316804_1740561_3604199,0.05309669012973065,0.0223765686794275
Lipids_NEG_2251854_1743394_1662333,0.1063423999815378,0.06482915152502725
Lipids_NEG_3270597_1750145_1793644,0.0077407441229972,0.052013291300480755
Lipids_NEG_3730442_1770601_1842770,0.07346078366466775,0.09413508149900324
Lipids_NEG_4522779_1775464_2179173,0.06322213243906966,0.088037876236912
Lipids_NEG_3432276_1777919_1935011,0.008411701082158,0.0630903052006621
Lipids_NEG_2752011_1808127_1815311,0.1327642075832264,0.0927461650377191
Lipids_NEG_3890763_1803842_1959085,-0.0221219541821584,0.027134339105179102
Lipids_NEG_2251854_1809066_1673259,0.03464701366287565,0.039525496277519195
Lipids_NEG_2972437_1810794_1843261,0.0623086953859722,0.02226401776303495
Lipids_NEG_2992498_1809539_1838280,0.062612056988801,-0.0078668696227498
Lipids_NEG_6383663_1828576_2683249,0.051298888906916695,0.0117500916812225
Lipids_NEG_6483865_1830196_2660666,0.15804487164964598,0.13936118213699755
Lipids_NEG_5663462_1847391_2507449,0.2733735120359661,0.16269410866721984
Lipids_NEG_4332592_1841084_2307800,0.0241138250333452,0.058657352092818096
Lipids_NEG_6523823_1867034_2712763,0.057421715608534804,0.0788481567211957
Lipids_NEG_6504029_1871093_2671563,0.24504521193794115,0.18309676091620125
Lipids_NEG_5403664_1882946_2503236,0.0656380897575044,0.0517426215301493
Lipids_NEG_4782936_1878373_2222248,0.1096387349049931,0.08544807798054545
Lipids_NEG_6083557_1885162_2630547,0.17203180713232616,0.1333225080524501
Lipids_NEG_2512009_1886962_1740366,0.11026975724706106,0.0617224321160563
Lipids_NEG_5383512_1890391_2526322,0.0533717277537956,-0.005229643401020299
Lipids_NEG_4153212_1898186_2219556,0.17245465849904035,0.14993865135638929
Lipids_NEG_3272536_1891341_1926790,0.01383806556613015,0.0039271849108595495
Lipids_NEG_4412026_1908591_2200475,-0.0037545148506030503,-0.06046489176725015
Lipids_NEG_4332593_1906877_2302920,0.0051175102308832,0.049794584961461746
Lipids_NEG_6063770_1922532_2620319,0.2417344412048018,0.1173769487714674
Lipids_NEG_5683607_1929332_2569153,0.1111479866071321,0.1265272487745523
Lipids_NEG_4362827_1932647_2177135,0.041836689913369904,0.0309375405620613
Lipids_NEG_6644189_1949424_2706741,-0.04815865050608425,0.01783047241319565
Lipids_NEG_3012171_1961490_1896543,0.14062936092045003,0.1083493640900331
Lipids_NEG_5663822_1973529_2554581,0.2181347607413999,0.12139089450238165
Lipids_NEG_7324446_1982070_2857061,0.20975795945176057,0.1593264703788811
Lipids_NEG_2772172_1988968_1814261,0.1115362127505582,0.08315069706272141
Lipids_NEG_4332592_1980726_2286670,0.0215574111891464,0.0096245831870137
Lipids_NEG_3452433_1986616_1961497,0.04518770557766995,0.040170088387822545
Lipids_NEG_6363875_2016145_2617036,0.10492997446095664,0.0897984008738501
Lipids_NEG_6904331_2017955_2754666,0.08897222665676366,0.0813579040614964
Lipids_NEG_2272013_2019546_1692037,0.07120569206392566,0.0479337357043306
Lipids_NEG_5843822_2034664_2601787,0.20834147985244583,0.13250751778667963
Lipids_NEG_6884184_2037182_2771612,0.1261091187602018,0.1409885386260307
Lipids_NEG_4732819_2030141_2381084,0.09549926153747054,-0.0277914443021064
Lipids_NEG_6944290_2067798_2814085,0.18224403233829478,0.17774199905346677
Lipids_NEG_2832429_2097576_1989239,0.08492746824760095,0.08298835707039555
Lipids_NEG_5562127_2101259_2315327,0.17328582127071618,0.1306064049100087
Lipids_NEG_6643798_2102822_2800784,0.10236269786995289,0.06259121322115904
Lipids_NEG_2532171_2110629_1738128,0.14958409127344102,0.08690831119190026
Lipids_NEG_3252745_2130205_1929445,-0.00695611641368775,0.07789934163406785
Lipids_NEG_4803093_2138802_2255222,0.0948535022851961,0.08169488001791175
Lipids_NEG_5643441_2139321_2499780,0.0597256264594621,0.0367057084188908
Lipids_NEG_6534054_2142103_2742061,-0.06929224153539075,0.028278665703460402
Lipids_NEG_6764186_2154915_2719075,0.18790425553655288,0.12909895266374186
Lipids_NEG_7084452_2159412_2839187,-0.08197160695563255,0.040589103566940246
Lipids_NEG_3032329_2170053_1894318,0.020055783996978847,0.07320316242613895
Lipids_NEG_3852355_2168337_2066321,-0.0019525441048644499,0.0614992286590659
Lipids_NEG_3730443_2165695_1951227,-0.00745137143271065,0.03589638867243225
Lipids_NEG_6083926_2168683_2645112,0.32441629286682955,0.24943895795141252
Lipids_NEG_6784338_2191859_2737349,0.2686385744217021,0.2008223929611111
Lipids_NEG_6554209_2196501_2653660,0.050696411707957356,0.0024724376459206
Lipids_NEG_2412168_2196496_1719720,0.0400686928566347,0.01768273206463595
Lipids_NEG_5594727_2206105_2597352,0.09318305372235135,0.06090738024036145
Lipids_NEG_6804141_2196702_2779512,0.09213757736119935,0.06935304279820245
Lipids_NEG_4333314_2204412_2308741,-0.01705196988603015,-0.00345456486360715
Lipids_NEG_3292483_2212845_1966111,0.14311826528954075,0.12199268690354251
Lipids_NEG_3472585_2212846_1988404,-0.008341576876059999,-0.0117217460843115
Lipids_NEG_7344600_2234492_2891105,0.07872364566102386,0.060182847849519244
Lipids_NEG_3552848_2219340_2009558,0.027833556193275502,0.0029511841884263
Lipids_NEG_5683976_2242734_2590331,0.17124735111630965,0.11104352288809996
Lipids_NEG_2230278_2244269_1527857,0.0047873977711264,0.01601930796407095
Lipids_NEG_6924501_2258412_2769611,0.021412160845993247,0.01106005954460055
Lipids_NEG_7685022_2252519_2988562,-0.04406511792175925,0.0192418149595451
Lipids_NEG_4470628_2260525_2094561,0.0504063168439338,0.02125601050842405
Lipids_NEG_7284497_2260693_2874307,0.1469566989768196,0.1670884531765015
Lipids_NEG_4733481_2254452_2254333,0.0838608334466822,0.019738182215611848
Lipids_NEG_2672327_2278662_1784606,0.12758568003853035,0.0688302198254525
Lipids_NEG_3292483_2287924_1961391,0.040812586427452696,0.0116206099773465
Lipids_NEG_4653043_2277569_2463623,0.1272861446699441,0.1096098346875396
Lipids_NEG_6953115_2293038_2858177,0.05471621681128745,-0.05062130434869585
