,Age & BMI,"Sleep Quality
(average of nights)"
Lipids_NEG_213.0551_31.1470_150.8722,-0.06362005089169215,-0.06362005089169215
Lipids_NEG_217.0025_30.9563_142.6050,-0.06474280445143585,-0.06384793037404704
Lipids_NEG_232.9752_30.7462_142.0463,-0.05532904755296225,-0.05656415353282105
Lipids_NEG_255.8219_33.2194_130.6976,-0.05320093495058305,-0.0566755493354425
Lipids_NEG_162.8391_33.8351_108.4717,-0.0629356005062285,-0.05768045726284835
Lipids_NEG_373.0100_35.5757_173.8172,-0.047735810019974095,-0.047735810019974095
Lipids_NEG_172.9911_36.9286_129.8889,-0.05354530189652215,-0.05354530189652215
Lipids_NEG_188.9861_36.9286_129.5368,0.05711996823895265,0.06409879974741435
Lipids_NEG_203.0821_37.0003_151.7545,-0.0627252210734133,-0.060424495412189305
Lipids_NEG_204.9809_36.9972_130.5195,-0.0620409560110118,-0.0620409560110118
Lipids_NEG_216.1132_37.2201_151.7815,-0.049931806498217296,-0.0499318064982172
Lipids_NEG_179.0572_37.5462_132.3456,0.09797883825273575,0.0979788382527357
Lipids_NEG_187.0069_37.7188_137.4008,0.1002794656749218,0.10017886240146326
Lipids_NEG_311.1395_38.0911_182.0262,0.016124991095491,0.05025938105280865
Lipids_NEG_203.0015_37.9252_137.0085,-0.0507100872040035,-0.0507100872040035
Lipids_NEG_341.1026_39.1281_190.3573,-0.049240672770483496,-0.051090838691270804
Lipids_NEG_421.0598_39.1967_206.2738,-0.04355556352259865,-0.04355556352259865
Lipids_NEG_201.0224_39.7467_143.8636,-0.0468225048702096,-0.04748554486361655
Lipids_NEG_229.0171_40.1591_148.4080,-0.0772470251646134,-0.0557796880888048
Lipids_NEG_213.0223_40.7096_148.0475,-0.054105575500584605,-0.0569834898986817
Lipids_NEG_259.0278_40.4006_161.7793,-0.04888413245196555,0.09021719567137346
Lipids_NEG_437.0547_40.8126_207.2894,-0.0468128477469235,-0.0464469630922747
Lipids_NEG_231.0328_42.5301_150.0994,-0.05583212965766885,-0.05530185891114925
Lipids_NEG_367.1583_42.5989_199.8372,0.4346103151864324,0.43458070040872
Lipids_NEG_244.9078_43.7326_136.5785,-0.05054365236452015,-0.05054365236452015
Lipids_NEG_229.0536_44.3163_154.4241,-0.0462772636857067,-0.046277263685706754
Lipids_NEG_399.2201_44.8586_212.5533,0.20719454526311176,0.20756946379294725
Lipids_NEG_397.1781_46.7056_192.5894,0.12009925965223825,0.11703201637028479
Lipids_NEG_360.1017_48.3517_184.2943,-0.0652948070026888,-0.06529480700268886
Lipids_NEG_369.1737_47.8932_199.7788,0.17084443432839208,0.17084443432839208
Lipids_NEG_310.8379_48.6147_133.8410,-0.04864713754452875,-0.0486471375445287
Lipids_NEG_395.1892_48.4431_209.7744,0.2576824147058579,0.25489386716325285
Lipids_NEG_333.2068_52.4274_187.3203,-0.052246564633683046,-0.05466148249794285
Lipids_NEG_498.2889_56.1025_211.2090,-0.08578789566209635,-0.08578789566209635
Lipids_NEG_448.3064_59.4702_204.7820,-0.05312301922781815,-0.05503000990627735
Lipids_NEG_179.0713_60.9497_143.4458,-0.04991397391259195,-0.04991397391259195
Lipids_NEG_481.2803_61.9849_222.0255,-0.0586791844550975,-0.0586791844550975
Lipids_NEG_398.9360_63.8051_149.2762,-0.048821096011777546,-0.048821096011777546
Lipids_NEG_366.9002_65.7281_173.6672,-0.05624161674099405,-0.0562416167409942
Lipids_NEG_448.3062_66.1058_203.2355,-0.0598284082082306,-0.06414291274614856
Lipids_NEG_445.1865_71.8464_225.7402,-0.0501606356475724,-0.052064327048397405
Lipids_NEG_498.9296_99.7919_166.3289,0.00084863660423315,0.0008486366042332
Lipids_NEG_265.1476_105.5660_172.4942,-0.05442327279588165,-0.05442327279588165
Lipids_NEG_431.3161_117.1821_227.9978,0.1961747910439238,0.19141562246453053
Lipids_NEG_321.1736_118.6955_184.7562,-0.07581945492277159,-0.07472756767841945
Lipids_NEG_315.2539_127.2103_187.7717,-0.0474946412744698,-0.0474946412744698
Lipids_NEG_479.2833_127.1033_259.8385,0.21253787919252903,0.21608989678151935
Lipids_NEG_393.1737_127.7599_200.6594,-0.0614367199500001,-0.06659240031787156
Lipids_NEG_391.2848_134.2873_208.3208,-0.0568190010516643,-0.06216656448992085
Lipids_NEG_526.3142_135.5372_245.4127,0.056834586257559,0.06499080781946759
Lipids_NEG_465.2853_135.1457_223.3946,-0.0615156697235348,-0.061491849571960855
Lipids_NEG_576.3300_136.7053_252.9075,0.15692698612625733,0.16853722264432308
Lipids_NEG_600.3303_137.6792_257.0304,-0.0504123201330615,-0.0504123201330615
Lipids_NEG_293.2119_140.2347_181.8754,-0.053268940439580845,-0.05442855302384275
Lipids_NEG_498.2618_140.3377_224.4095,-0.066913955242423,-0.010989432913684951
Lipids_NEG_269.2120_142.5702_175.9228,-0.05470134049472915,-0.054288836606572494
Lipids_NEG_293.1785_141.6657_180.7752,-0.06117172799707875,0.0306181413745131
Lipids_NEG_295.2278_143.3953_185.4930,0.03663575289275375,0.036635750288851354
Lipids_NEG_249.1490_146.8311_173.4685,-0.05962084833843255,-0.05962084833843255
Lipids_NEG_552.3302_147.3271_249.8133,-0.047673265344413004,-0.048521250244856096
Lipids_NEG_556.2675_146.7284_237.4623,-0.05688827857534515,-0.05688827857534515
Lipids_NEG_319.2277_153.8542_188.2015,-0.05877934489628505,-0.02771691348623025
Lipids_NEG_540.3302_154.7151_249.3912,-0.0534100938273323,-0.0534100938273323
Lipids_NEG_626.3460_155.2144_261.9782,0.062376864185544556,0.0623768641855446
Lipids_NEG_612.3302_154.7324_257.1924,0.06500890924333755,0.06430023076151475
Lipids_NEG_223.1697_156.3114_166.9756,-0.07855914086308294,-0.07787391433861546
Lipids_NEG_524.2781_157.9322_228.2561,-0.04842114308388265,-0.0483625103072344
Lipids_NEG_471.3473_158.5846_229.5114,-0.062460129242933454,-0.061842244904461594
Lipids_NEG_279.2324_158.6982_181.6171,0.31780231946563753,0.31561239840327615
Lipids_NEG_564.3306_159.2347_246.9704,0.4024476472788501,0.4046311049406487
Lipids_NEG_602.3461_159.2038_259.3378,0.01135345143434665,0.01135345143434665
Lipids_NEG_646.3326_158.6618_269.0966,0.32971582486970974,0.34542233594992344
Lipids_NEG_660.3482_158.6533_273.3645,0.33590250591317183,0.3452228302964757
Lipids_NEG_303.2322_159.7056_192.6690,-0.06589141175444345,-0.0641825915590533
Lipids_NEG_321.2431_160.3044_193.0745,-0.059925944577100404,-0.059925944577100404
Lipids_NEG_373.0444_160.4419_183.4387,-0.05932069817936985,-0.03484303895396635
Lipids_NEG_421.2260_158.5847_213.5003,-0.05664725504981065,-0.05664725504981065
Lipids_NEG_271.2275_160.3043_180.0461,-0.04995945644521555,-0.049783762823560895
Lipids_NEG_341.2118_160.0640_192.2983,-0.0514463802252233,-0.051446380225223146
Lipids_NEG_295.2275_161.7217_183.5438,-0.04664818699662505,-0.0470311391879267
Lipids_NEG_283.2275_162.1262_180.7802,-0.05391441492451745,-0.05391441492451745
Lipids_NEG_313.0780_162.2634_176.0613,-0.051905597563411496,0.02971412901349185
Lipids_NEG_476.2780_162.2291_219.2461,0.20711048293994805,0.20479292350133715
Lipids_NEG_500.2780_162.3321_224.3678,-0.0387970729734131,-0.039193322838302555
Lipids_NEG_594.3404_162.1706_250.6944,-0.055831630056721454,-0.055831630056721454
Lipids_NEG_199.1701_163.1906_162.5901,-0.052427300482689204,-0.0499578949030985
Lipids_NEG_630.3409_163.7197_263.2723,-0.049803288846904756,-0.0498032888469047
Lipids_NEG_606.3407_163.9361_259.8214,0.2070746010527246,0.20649381279326595
Lipids_NEG_628.3612_165.1721_263.4480,0.1899433265961925,0.18994332461143904
Lipids_NEG_556.3514_166.8343_252.2851,0.13760962006546146,0.1366764496782745
Lipids_NEG_622.3329_166.6318_266.8230,0.16233139386276368,0.1540969920183194
Lipids_NEG_608.3561_167.0099_254.3956,0.0225278179695135,0.01846181119018245
Lipids_NEG_528.2729_167.4513_229.3328,-0.055384646141944,-0.05665520158731495
Lipids_NEG_407.1447_170.5102_207.7605,-0.05808950335113905,-0.05808950335113905
Lipids_NEG_604.3617_172.5693_259.1529,-0.0552845421199627,-0.05528454211996265
Lipids_NEG_556.3523_174.3013_252.7480,0.15964536936886026,0.1583681001030504
Lipids_NEG_622.3329_173.6203_268.4474,-0.0489743698543154,-0.0489743698543154
Lipids_NEG_636.3485_173.5584_272.6770,-0.01097643676242435,-0.01097643676242435
Lipids_NEG_1117.6652_173.9833_357.4844,0.13784082106035322,0.13239521936138776
Lipids_NEG_1131.6804_174.0561_360.4199,0.0814097395677287,0.0837404324957437
Lipids_NEG_225.1854_174.3394_166.2333,0.18821111567582985,0.18692068819309537
Lipids_NEG_327.0597_175.0145_179.3644,-0.0515296221532903,-0.0290106418979917
Lipids_NEG_373.0442_177.0601_184.2770,-0.05800219051927395,-0.05800219051927395
Lipids_NEG_452.2779_177.5464_217.9173,0.15551865353045186,0.15501436859323786
Lipids_NEG_343.2276_177.7919_193.5011,-0.0652853140055132,-0.06528531400551299
Lipids_NEG_275.2011_180.8127_181.5311,0.0979602808841232,0.08482053009643381
Lipids_NEG_389.0763_180.3842_195.9085,-0.0518131172957901,-0.0524344536273957
Lipids_NEG_225.1854_180.9066_167.3259,-0.05778336332548475,-0.038729832789079696
Lipids_NEG_297.2437_181.0794_184.3261,-0.05101388415999855,-0.044873135747200546
Lipids_NEG_299.2498_180.9539_183.8280,-0.05933506311018005,-0.05933506311018005
Lipids_NEG_638.3663_182.8576_268.3249,-0.05560827438847635,-0.0571650456063372
Lipids_NEG_648.3865_183.0196_266.0666,0.0921061374358325,0.08650238894275189
Lipids_NEG_566.3462_184.7391_250.7449,0.3557264878158243,0.3556230839262813
Lipids_NEG_433.2592_184.1084_230.7800,-0.05146100418521035,-0.0554983850240063
Lipids_NEG_652.3823_186.7034_271.2763,-0.00911909494688215,-0.00911909494688215
Lipids_NEG_650.4029_187.1093_267.1563,0.20067359844110344,0.1994576467562921
Lipids_NEG_540.3664_188.2946_250.3236,0.1977072072496689,0.2003779936504311
Lipids_NEG_478.2936_187.8373_222.2248,0.20798677676963326,0.2102057219934552
Lipids_NEG_608.3557_188.5162_263.0547,0.2149510145740275,0.21465178524730527
Lipids_NEG_251.2009_188.6962_174.0366,-0.07357917450454479,-0.07357917450454479
Lipids_NEG_538.3512_189.0391_252.6322,0.1679063648156368,0.16745678615049064
Lipids_NEG_415.3212_189.8186_221.9556,0.22077441959597516,0.21997333821939005
Lipids_NEG_327.2536_189.1341_192.6790,-0.060749013406661,-0.06214016796734885
Lipids_NEG_441.2026_190.8591_220.0475,-0.05272777284396535,-0.05272777284396535
Lipids_NEG_433.2593_190.6877_230.2920,-0.0555428754087108,-0.05858826997670595
Lipids_NEG_606.3770_192.2532_262.0319,0.3363746688740843,0.33565960228054603
Lipids_NEG_568.3607_192.9332_256.9153,0.21222161365022219,0.21166381295101433
Lipids_NEG_436.2827_193.2647_217.7135,-0.0532525567035909,-0.0532525567035909
Lipids_NEG_664.4189_194.9424_270.6741,-0.052881941840198204,-0.052881941840198204
