,"Age, BMI & VAT","Sleep Quality
(average of nights)"
Lipids_POS_16001651_3400516_4869452,0.039213414978723105,0.16598744961826986
Lipids_POS_8225630_3039825_3098947,0.0298095633041389,0.1525035651213732
Lipids_NEG_8805698_3041789_3204009,0.0301995332484579,0.1469815911419223
Lipids_POS_8245782_3042608_3125555,0.026993471756379853,0.11821653640138495
Lipids_POS_8516394_3878368_3260120,0.00039183753176014993,0.08840092258550294
Lipids_POS_9467256_4244529_3503587,0.03226641800747235,0.1186907394019531
Lipids_POS_5541754_2945770_2252406,0.007981158605328501,0.09387899632449351
Lipids_POS_5663212_1589081_2451924,0.0022687013229629,0.0828857498829771
Lipids_NEG_9617690_4188519_3464653,0.01467408869186185,0.0952301313813438
Lipids_NEG_3111395_380911_1820262,0.0161249910954911,0.09264914885972655
Lipids_NEG_3533416_3261069_2059093,0.02993762282306505,0.10552831086655806
Lipids_NEG_11123065_4692958_3630469,0.0064692060082532,0.08115927986711115
Lipids_POS_7425007_2655838_2870192,0.02970466862558275,0.10134466682071724
Lipids_NEG_8806072_3458708_3225902,0.0500993862731675,0.12041518152056116
Lipids_NEG_8894799_4580111_3494140,0.00846393012091715,0.07725352256312346
Lipids_NEG_9205984_3442824_3329832,0.043071037390082945,0.10947707373787825
Lipids_NEG_9647353_4010068_3433659,0.040738547119940904,0.10601877413278704
Lipids_POS_10261909_4325337_3086315,0.01790370401644575,0.0764283552168807
Lipids_NEG_16881846_3401169_5010241,0.10553154799353555,0.16352982404169886
Lipids_NEG_8606083_3278073_3248005,0.073340260801802,0.1293098446816095
Lipids_NEG_10918479_4245106_3692132,0.05233541036231095,0.10734450407933235
Lipids_NEG_8725645_2885644_3196103,0.061935422147947596,0.11619335791974925
Lipids_NEG_5191023_3282053_2337205,0.0335381664232626,0.08518370948207045
Lipids_NEG_8445105_3265707_3086268,0.02881554400820275,0.0785878729856396
Lipids_POS_8067365_3226046_3054092,0.0875671050356535,0.13604285125117027
Lipids_NEG_8855494_3219463_3130036,0.0278915594655972,0.0745557495676793
Lipids_NEG_8826589_3768327_3261085,0.02036714443256325,0.0654435399173471
Lipids_POS_7024693_2487464_2788047,0.0411499727985833,0.08595597472863589
Lipids_POS_8846065_3275294_3218927,0.050418109157782956,0.094963530099783
Lipids_NEG_9328632_5014787_3551549,0.00562581763135355,0.04884999237632935
Lipids_NEG_9766238_3458692_3436882,0.06899008616248845,0.10837523549528899
Lipids_POS_6046010_3869959_2847779,0.03172501340166875,0.07066419764183521
Lipids_POS_7865036_3264785_2980496,0.048496513152773355,0.0863834695966749
Lipids_POS_13691932_4139241_4632902,0.022980443601213853,0.0604031148215455
Lipids_NEG_9346131_3441518_3367830,0.043884624197699354,0.08006239910183399
Lipids_POS_7985634_2723146_3027252,0.08660016865096881,0.1215521269418651
Lipids_NEG_7564811_2523038_2943863,0.03605510093083355,0.0707684288175903
Lipids_NEG_6975031_3317063_2810111,0.08468961056525384,0.11913340908265091
Lipids_POS_8646458_3584889_3232897,0.006458756294430599,0.04083921035654785
Lipids_NEG_11298638_4131329_3805167,0.0053217488301059,0.03968641678650575
Lipids_POS_8565812_3403617_3187839,0.01455319041924545,0.0487260040029268
Lipids_NEG_9906756_3762081_3484439,0.1840226994170048,0.2179497804076537
Lipids_POS_5955876_3539833_2821583,0.06158350037641465,0.09420347396426171
Lipids_POS_8585968_3457474_3172016,0.06930522191405855,0.1017656013670829
Lipids_POS_15961016_3260687_4802503,0.0284499320012549,0.0604246439659561
Lipids_NEG_8406553_3729065_3168251,0.06734686291437281,0.09859223721376795
Lipids_NEG_7284497_2260693_2874307,0.0116422628013248,0.041943491150804896
Lipids_NEG_7785935_3583746_3078308,0.07995791972931154,0.11000554088585204
Lipids_POS_8365902_3055305_3156552,0.0052905061307903,0.0349618595051331
Lipids_POS_7405570_3283626_2927101,0.04241915876570365,0.07129755864192396
bt__non_hdl_cholesterol,0.1329805846189383,0.1609653859518787
Lipids_NEG_6831712_4084030_2571592,0.08211828092794775,0.1100837615685461
Lipids_POS_15641652_3620142_4776127,0.17158078454593367,0.19782342434953804
Lipids_POS_8286549_3464583_3239148,0.2276308535710399,0.2537957378656591
Lipids_NEG_7715174_3038230_2947669,0.01663408183397925,0.0424532462240573
Lipids_NEG_8413752_3298427_3145875,0.088676821412886,0.11396588683158695
Lipids_NEG_7596488_4272348_3216529,0.31499352189294544,0.33980304543548695
Lipids_NEG_7431925_3555195_2679379,0.0160172687258259,0.0406509135817867
Lipids_POS_2510466_1965828_1553281,0.0016781165721955,0.0262852620563499
Lipids_POS_7144694_2408708_2812046,0.054407498228551995,0.07892966879233096
Lipids_NEG_8565697_3106635_3159175,0.1949691361444364,0.21920496336434925
Lipids_NEG_8575182_3049182_3063381,0.1521606659179277,0.17635567985830763
Lipids_NEG_8559255_3718274_3233059,0.08545867716915706,0.1096016261629844
Lipids_POS_7685530_3523433_2942516,0.0100536747725656,0.0340798068819549
Lipids_NEG_7905390_3440447_2955255,0.22624862117583586,0.250003165896959
Lipids_NEG_9477325_4241115_3442103,0.185555199077239,0.20922611827543813
Lipids_NEG_7945085_2956447_2993490,0.102897055500937,0.12592252403372006
Lipids_POS_7706040_3467984_3051640,0.21388585091675666,0.2365159365663139
Lipids_NEG_6735030_3391761_2766513,0.1797524356342112,0.20217996589582632
Lipids_NEG_6855033_3449047_2801262,0.23371933992661842,0.2559518178614218
Lipids_NEG_7885798_3454691_3069340,0.16915427119305876,0.19122633515123055
Lipids_POS_13760924_3118113_4415371,0.0635534099054618,0.08559612028690469
Lipids_POS_16931230_3224170_4994273,0.12998774732295895,0.15196114446325215
Lipids_POS_8950282_4218872_3379834,0.19340541327294636,0.21537713876965547
Lipids_NEG_7665389_3521783_2884372,0.0490442580684563,0.0704176083376051
Lipids_NEG_7625073_3049524_2876425,0.08655238135066225,0.10749746932791066
Lipids_NEG_8928787_3404278_3250685,0.15848042123762168,0.1793914563843047
Lipids_NEG_4552831_2453431_2241958,0.0556769575721051,0.07657103186268854
Lipids_NEG_9457391_3995905_3440246,0.0851098263261111,0.1057420652831969
Lipids_NEG_11318794_4211242_3834917,0.18888274276052835,0.2077011042243545
Lipids_NEG_9627533_3984042_3477419,0.1691637427674158,0.18771974108777226
Lipids_NEG_11338953_4306338_3838978,0.25590183122025806,0.2744062879193163
Lipids_POS_8577578_4495218_3341581,0.24906610842191101,0.26756983924676603
Lipids_NEG_6755195_3489319_2792079,0.0743575000133414,0.09274609159488804
Lipids_NEG_8706135_3479416_3208080,0.13274072326052128,0.1511239598406589
Lipids_NEG_8616675_3629650_3308105,0.0547480943400376,0.07277760967761784
Lipids_NEG_10878521_4223048_4105819,0.340306784171271,0.3580847380565908
Lipids_NEG_16101727_3420115_4875158,0.0622233306931366,0.07974734178112844
Lipids_NEG_9387211_4085736_3407134,0.03228363132240385,0.04966306841363865
Lipids_NEG_7565926_3632928_2920049,0.2271423826946382,0.2444335707424396
Lipids_POS_8546977_3954374_3293499,0.26204887628076334,0.27929447113131656
Lipids_NEG_3111681_4304985_1929331,0.26814215052182955,0.28534103428001983
Lipids_POS_16462065_3469004_5008756,0.21760802111910624,0.23454451894298406
Lipids_POS_9287137_3837348_3385203,0.1390944007859496,0.1558161840617671
Lipids_POS_7985633_3106939_3079514,0.19671193263994466,0.2131212515950744
Lipids_POS_8736941_4187467_3293495,0.03440479253689905,0.050605879557912556
Lipids_NEG_7235174_3370051_2864318,0.16549844382241008,0.18118185108336798
Lipids_POS_7425706_3586467_3024964,0.1508536903485744,0.1665296303214753
Lipids_POS_8932559_3772739_2907061,0.08361545363145839,0.0990791766662117
Lipids_NEG_15981366_3322415_4815221,0.09620819916630541,0.11161770220256531
Lipids_POS_6105394_3615441_2705790,0.27569409218918495,0.29093123386334935
Lipids_POS_6605548_3581182_2770836,0.2349774325246229,0.25010518843006013
Lipids_POS_8526809_3806741_3263672,0.29558814693030144,0.3107122259920725
Lipids_NEG_7366819_4274490_3078527,0.1269027090330035,0.1420079438052146
Lipids_NEG_3111680_4417371_1930363,0.28451935544922813,0.29947432349827063
Lipids_NEG_5393247_4670069_2501872,0.033292031521375054,0.048214926671976396
Lipids_POS_7807183_3163558_2992042,0.1128053859404553,0.1275151382387687
Lipids_POS_9017577_3978349_3423540,0.05438957399150145,0.0690992664684178
Lipids_NEG_8005807_3437668_3095199,0.2089338737157814,0.22361781493150615
Lipids_NEG_7645231_3167375_2880356,0.1162460228356306,0.13084401576983734
Lipids_POS_7385057_3200672_2835577,0.06116436998677305,0.07569988135677685
Lipids_NEG_6463326_1586618_2690966,0.32971582486970974,0.3442334970500116
Lipids_POS_5995026_3051594_2714856,0.1045951902034679,0.1189600900372918
Lipids_POS_8597726_4641455_3361331,0.23963962891634433,0.2537008739693538
Lipids_NEG_4470632_3124609_2099042,0.08438891763540074,0.09801153641836555
Lipids_NEG_8725645_2980497_3142384,0.07963539326877285,0.0932237679038044
Lipids_NEG_8966380_3589113_3282918,0.12596422251901251,0.13954462865783934
Lipids_POS_7584958_2522115_2885829,0.064159532370691,0.0776106129766518
Lipids_POS_7050792_3300929_2975147,0.08251080394939615,0.09537707157214789
Lipids_POS_6235023_4319776_2721002,0.30714703315622666,0.3199781725196079
Lipids_NEG_9647707_4079690_3493359,0.14948854248306645,0.1622937065533582
Lipids_NEG_8286096_3468290_3134772,0.2517547914980621,0.2645358340526776
Lipids_POS_5714708_4169826_2614130,0.12629925953659074,0.13886032199285794
Lipids_POS_7946856_4028246_3195459,0.05539434950235385,0.067869908056397
Lipids_POS_8785736_3102303_3144808,0.1437196026687927,0.15617492933876775
Lipids_POS_6975348_2874838_2864877,0.1010182027652918,0.11305118920302015
Lipids_NEG_11198800_4327138_3738776,0.20908902718022165,0.2210967313376947
Lipids_NEG_6524913_3084482_2802903,0.08730644691797805,0.09920292804772025
Lipids_POS_9047593_3994825_3390541,0.1190047856251296,0.13077846166301496
Lipids_NEG_7785139_2992625_2959743,0.17936576483475997,0.19108074597367608
Lipids_NEG_9588792_5132603_3599734,0.01405469718330015,0.0256994521260986
Lipids_NEG_10898691_4313047_4123494,0.40841173158929867,0.42004896442147127
Lipids_NEG_6603482_1586533_2733645,0.33590250591317183,0.34750048895507485
Lipids_NEG_7965148_2972206_3014338,0.0740304909515227,0.08554147796292261
Lipids_POS_9270940_4560976_3510508,0.00830255528983,0.019777761440242597
Lipids_NEG_9126319_3632928_3356551,0.2755108874864967,0.2869180830770993
Lipids_NEG_9205621_3163655_3322400,0.1465527050643967,0.1578407156704824
Lipids_NEG_8105284_2983960_3057593,0.14252482784944126,0.1536759165405756
Lipids_POS_7486204_3766560_3087187,0.06102644820667595,0.07198219790700115
Lipids_POS_6695563_4336694_3026710,0.198751909336643,0.20970345350824554
Lipids_NEG_9637644_4352078_3513127,0.28537009238093847,0.2959856013898695
Lipids_POS_7685875_3606694_3066764,0.15939307344507064,0.1697657261340091
Lipids_POS_6535487_4525023_2825510,0.23065828572798774,0.24102727054016293
Lipids_POS_8847203_3799516_3374750,0.23610623053087285,0.24644976487293055
Lipids_NEG_15752043_3519061_4788042,0.12964168683089825,0.13981278392332755
Lipids_POS_5895175_4430616_2725951,0.137886839737524,0.14802673346108275
Lipids_POS_8637090_4312178_3292203,0.04783930006780365,0.05756021873147215
Lipids_NEG_7545719_3621809_2931179,0.19293194595200136,0.20256119623130003
Lipids_POS_8145581_2880249_3066195,0.09803061611025035,0.1076424570765119
Lipids_NEG_9667874_4182486_3508326,0.14327224070936817,0.1527706807571054
Lipids_POS_6744382_1980191_2685265,0.34457040560895646,0.35400180371160295
Lipids_NEG_9137047_4322409_3363331,0.260142665776259,0.2695677072334245
Lipids_POS_7827341_3300030_3032995,0.1733073709826459,0.18271066280408377
Lipids_POS_9277719_4223191_3471757,0.00079359811756965,0.01016508371816145
Lipids_NEG_1889861_369286_1295368,0.05711996823895265,0.06644493015458315
Lipids_POS_7705695_3586744_2958346,0.13386040638597463,0.1431010710232637
Lipids_POS_8647050_4042460_3304329,0.19528624066933203,0.20413645292443125
Lipids_NEG_9005932_3496127_3325097,0.14114282204786793,0.14998887260098134
Lipids_NEG_6775358_3630457_2810068,0.2001909411516568,0.20891774940616709
Lipids_NEG_9225778_3203873_3321035,0.33192271655284494,0.34063349332627074
Lipids_POS_5783926_1593500_2545527,0.3856280140977663,0.39432350799200155
Lipids_POS_9067748_4095317_3411556,0.25204398047281396,0.26073937206331194
Lipids_NEG_6495027_3470223_2728118,0.32010863591047023,0.3287270958738506
Lipids_NEG_9085622_3204128_3287992,0.29814405894018214,0.30646915817042264
Lipids_POS_6495179_4348840_2779087,0.23798301289029028,0.2462559158795786
Lipids_POS_6585388_3447892_2730900,0.2341628637140373,0.24240555381478623
Lipids_POS_6175103_3718628_2709432,0.2419281024589967,0.24989976141271336
Lipids_POS_8817555_4662420_3394432,0.2934552452101174,0.30139438761014536
Lipids_POS_9658264_4435870_3592790,0.04436855377435175,0.05229679282034075
Lipids_POS_8817542_4845223_3381302,0.3149709532670179,0.3228854269278662
Lipids_POS_5777375_4645070_2725778,0.251288276325909,0.2591811511013655
Lipids_POS_7285216_3003958_2879554,0.0604922656938746,0.06823739092443705
