,"Age, BMI & VAT","Sleep Quality
(average of nights)"
Lipids_NEG_2130551_311470_1508722,0.026483533567993035,0.026483533567993035
Lipids_NEG_2170025_309563_1426050,0.020984331357465573,0.02098207543590544
Lipids_NEG_2329752_307462_1420463,0.01991270424765615,0.019912704247656128
Lipids_NEG_2558219_332194_1306976,0.014591716323224846,0.014591716323224854
Lipids_NEG_1628391_338351_1084717,0.022786645088387136,0.026515356478606523
Lipids_NEG_3730100_355757_1738172,0.019674324292437293,0.01967432429243729
Lipids_NEG_1729911_369286_1298889,0.016463069073697118,0.016463069073697118
Lipids_NEG_1889861_369286_1295368,0.028673981681195716,0.027643227293190593
Lipids_NEG_2030821_370003_1517545,0.02630606028201352,0.025451232177672783
Lipids_NEG_2049809_369972_1305195,0.028177625883518336,0.028177625883518336
Lipids_NEG_2161132_372201_1517815,0.02464302985829421,0.02464302985829419
Lipids_NEG_1790572_375462_1323456,0.021368718392262256,0.02121289804695935
Lipids_NEG_1870069_377188_1374008,0.021698678839805943,0.022162562649958573
Lipids_NEG_3111395_380911_1820262,0.03633072708265362,0.023961985188369988
Lipids_NEG_2030015_379252_1370085,0.0174766581668714,0.017153139314957586
Lipids_NEG_3411026_391281_1903573,0.019657214622025517,0.019851232138561593
Lipids_NEG_4210598_391967_2062738,0.015936498149531363,0.01639127978652099
Lipids_NEG_2010224_397467_1438636,0.0201705713317703,0.020801384751819325
Lipids_NEG_2290171_401591_1484080,0.024823787483922284,0.024456510128379554
Lipids_NEG_2130223_407096_1480475,0.01666502147212775,0.017270658030524685
Lipids_NEG_2590278_404006_1617793,0.017534382885726382,0.01973833575907781
Lipids_NEG_4370547_408126_2072894,0.016001381368312452,0.016517729033829375
Lipids_NEG_2310328_425301_1500994,0.0214701737725271,0.023309019398204966
Lipids_NEG_3671583_425989_1998372,0.0028631948448831135,0.0028508715672004607
Lipids_NEG_2449078_437326_1365785,0.018948910396418155,0.018948910396418155
Lipids_NEG_2290536_443163_1544241,0.015255830047066708,0.015255830047066708
Lipids_NEG_3992201_448586_2125533,0.022543291738306742,0.022801791609568415
Lipids_NEG_3971781_467056_1925894,0.0195171153907746,0.01962516772811567
Lipids_NEG_3601017_483517_1842943,0.0240849067047832,0.0240849067047832
Lipids_NEG_3691737_478932_1997788,0.013268763683655716,0.013250556228112607
Lipids_NEG_3108379_486147_1338410,0.017128441895244696,0.017128441895244696
Lipids_NEG_3951892_484431_2097744,0.012189109094853528,0.012569314030049643
Lipids_NEG_3332068_524274_1873203,0.019175109860192482,0.018996257427159855
Lipids_NEG_4982889_561025_2112090,0.028969982898139072,0.028854462264864517
Lipids_NEG_4483064_594702_2047820,0.01997944228861997,0.020100658894648668
Lipids_NEG_1790713_609497_1434458,0.01952123683527054,0.028734150011949334
Lipids_NEG_4812803_619849_2220255,0.01799461219112275,0.017987931715115528
