,Age & BMI,"Sleep Quality
(average of nights)"
total_scan_sat_area,0.7742371446257847,0.7435061257500286
total_scan_sat_mass,0.7640436874485913,0.7337823616443231
total_scan_sat_volume,0.7640410574598797,0.7337823616138667
total_scan_vat_area,0.7776686113091602,0.7827073976948563
total_scan_vat_mass,0.764639857650891,0.7692481349412956
total_scan_vat_volume,0.7646398577032105,0.7692481350400941
body_comp_leg_left_fat_free_mass,0.6100210948548793,0.5687146479874163
body_comp_trunk_fat_free_mass,0.48182916520807917,0.4229417030095223
body_comp_total_right_tissue_mass,0.8613060135555597,0.8420423914322916
body_comp_gynoid_total_mass,0.7859237077651982,0.7540414141398797
body_comp_trunk_left_bone_mass,0.46602756245637966,0.39468191613459225
body_comp_leg_right_lean_mass,0.6311532310037273,0.5928568645792147
body_comp_android_tissue_mass,0.8644928190327363,0.8494104518988856
body_comp_trunk_lean_mass,0.47243668350821155,0.4125988424785174
body_comp_total_lean_mass,0.5821507830353813,0.5406667881302707
body_comp_trunk_right_fat_mass,0.845494530615995,0.8438221664788157
body_comp_arms_lean_mass,0.42057089392649366,0.3774196218462224
body_comp_legs_total_mass,0.7734216454971278,0.7448060987655496
body_comp_total_right_fat_mass,0.8526098092177723,0.8419792657726184
body_comp_arms_fat_free_mass,0.40974017674567464,0.37011758881426693
body_comp_trunk_tissue_mass,0.8589432864271066,0.8405901646043139
body_comp_android_bone_mass,0.19356963787189505,0.12991763053112038
body_comp_total_total_mass,0.8581086325930012,0.8383364091924754
body_comp_leg_right_bone_mass,0.2119350086506902,0.17198105569409522
body_comp_arms_diff_total_mass,0.038285975349638804,0.0526346612963772
body_comp_arm_right_tissue_mass,0.6225930359522492,0.5763194648554001
body_comp_leg_left_total_mass,0.7650133381880502,0.7320146516499698
body_comp_legs_bone_mass,0.21288212990716265,0.17531065042349664
body_comp_total_diff_total_mass,-0.0111975343325706,-0.0081025394927048
body_comp_arm_right_total_mass,0.610134357264047,0.5616395773204379
body_comp_total_diff_bone_mass,0.059756763261027745,-0.0009890322990808499
body_comp_arms_diff_bone_mass,0.04069537982105285,0.0610884266053911
body_comp_trunk_diff_lean_mass,-0.01266961085692115,0.05639152693257455
body_comp_arm_left_fat_mass,0.7342757048818588,0.7015007432709663
body_comp_trunk_left_fat_mass,0.8468640789606393,0.8445705409764978
body_comp_leg_left_lean_mass,0.6224891911897881,0.5816586732547038
body_comp_leg_left_tissue_mass,0.7739913178672331,0.7454211005276888
body_comp_trunk_right_fat_free_mass,0.47935239059396234,0.42128749916853975
body_comp_arms_bone_mass,0.1241458661927248,0.12657949639238836
body_comp_arm_right_fat_mass,0.7398463625780443,0.7075584114240332
body_comp_trunk_fat_mass,0.8487869785752604,0.8476895388293681
body_comp_arms_diff_fat_free_mass,0.0755663512422891,0.08344388481981174
body_comp_arms_tissue_mass,0.6404322917271887,0.5986605661472153
