,"Age, BMI & VAT","Sleep Quality
(average of nights)"
total_scan_sat_area,0.0012978908229796563,0.0030781540795806884
total_scan_sat_mass,0.001294145401412586,0.0027790481867100265
total_scan_sat_volume,0.0012934950454696862,0.002778370778655171
total_scan_vat_area,8.534927654664299e-05,0.00011829486441660468
total_scan_vat_mass,0.0001074412312581116,0.00021068500189902473
total_scan_vat_volume,0.00010727569675461629,0.0002109477876487192
body_comp_leg_left_fat_free_mass,0.0024693322729555,0.005625806205184589
body_comp_trunk_fat_free_mass,0.0038467280074280484,0.006015344823908816
body_comp_total_right_tissue_mass,0.0013702374056277949,0.0018845734358946963
body_comp_gynoid_total_mass,0.0019021945435677124,0.00295978772749564
body_comp_trunk_left_bone_mass,0.004614053001994985,0.006953098762057431
body_comp_leg_right_lean_mass,0.0024127236190012976,0.004925309192277
body_comp_android_tissue_mass,0.0008767396906310197,0.0015992269836830706
body_comp_trunk_lean_mass,0.0038621941814816862,0.006285177479917546
body_comp_total_lean_mass,0.0028851407397558655,0.005550819885652842
body_comp_trunk_right_fat_mass,0.00062993943151392,0.0011448429620428183
body_comp_arms_lean_mass,0.004299264240392933,0.007308088909439182
body_comp_legs_total_mass,0.0018577796587302305,0.003596291662356402
body_comp_total_right_fat_mass,0.0006608815686732692,0.001290710080760635
body_comp_arms_fat_free_mass,0.004399111279095118,0.007029217357001856
body_comp_trunk_tissue_mass,0.0010675419450754287,0.0018311591351243587
body_comp_android_bone_mass,0.008798174847093679,0.011711586057335702
body_comp_total_total_mass,0.0013352700236692497,0.00210966115438462
body_comp_leg_right_bone_mass,0.006380023616923512,0.00942422166816809
body_comp_arms_diff_total_mass,0.011990949001470543,0.012222642220083305
body_comp_arm_right_tissue_mass,0.0032868815741069275,0.005045674306067488
body_comp_leg_left_total_mass,0.00191930074978346,0.0032816002192008137
body_comp_legs_bone_mass,0.006427925284122,0.011176329705004663
body_comp_total_diff_total_mass,0.013845019517361546,0.013062811322016442
body_comp_arm_right_total_mass,0.0034294179731983888,0.005315099340840065
body_comp_total_diff_bone_mass,0.011975468950784721,0.012340531003245241
body_comp_arms_diff_bone_mass,0.011992241829383547,0.015319230815376181
body_comp_trunk_diff_lean_mass,0.01593387210426005,0.013218285256452522
body_comp_arm_left_fat_mass,0.0021942509894045206,0.0036680975907444732
body_comp_trunk_left_fat_mass,0.00044148942134060356,0.0009170205840381846
body_comp_leg_left_lean_mass,0.002415966948743507,0.005552838644272486
body_comp_leg_left_tissue_mass,0.0018097310319607244,0.003286889613530928
body_comp_trunk_right_fat_free_mass,0.0039897470068120675,0.007187271010831959
body_comp_arms_bone_mass,0.007584220575119645,0.011532137202713242
body_comp_arm_right_fat_mass,0.0017106572711008232,0.0037724934551484715
body_comp_trunk_fat_mass,0.0004402892273646715,0.0010518637738723877
body_comp_arms_diff_fat_free_mass,0.011396717558030052,0.014169918684413139
body_comp_arms_tissue_mass,0.002903572818595488,0.004650199672274173
body_comp_total_left_fat_mass,0.0006448675160925248,0.0012870365600790234
body_comp_legs_tissue_mass,0.0017123286819536725,0.0028458307437036314
body_comp_android_fat_free_mass,0.0031441935247443218,0.006164581909980485
body_comp_total_fat_mass,0.0006354217266590528,0.001199398982529832
body_comp_trunk_diff_tissue_mass,0.013851743123811966,0.013971873556442504
body_comp_total_tissue_mass,0.0012777360050577197,0.0018338668026175115
