,Age & BMI,"Sleep Quality
(average of nights)"
total_scan_sat_area,0.849889209938832,0.8495110873839429
total_scan_sat_mass,0.8381083736179126,0.8362376115129099
total_scan_sat_volume,0.8381083789503021,0.837510159798442
total_scan_vat_area,0.7856145449293881,0.7941013766783481
total_scan_vat_mass,0.7776165504647515,0.7861330598459828
total_scan_vat_volume,0.77761678730226,0.7861161182082138
body_comp_leg_left_fat_free_mass,0.6089991025049751,0.6069653879234933
body_comp_trunk_fat_free_mass,0.4843808681637415,0.48563918706974574
body_comp_total_right_tissue_mass,0.9026801309495555,0.9023790657716582
body_comp_gynoid_total_mass,0.8288682162326577,0.8269064283477552
body_comp_trunk_left_bone_mass,0.46732703050988944,0.46622171430782466
body_comp_leg_right_lean_mass,0.6304384243032304,0.6291121848021188
body_comp_android_tissue_mass,0.8808154551105976,0.8816965760804396
body_comp_trunk_lean_mass,0.4766642005493936,0.47806049382348803
body_comp_total_lean_mass,0.5897241195237828,0.590116666250458
body_comp_trunk_right_fat_mass,0.8952052783800518,0.8970182618913658
body_comp_arms_lean_mass,0.5030884103121988,0.5069269891673696
body_comp_legs_total_mass,0.8183163185344339,0.8190420053748546
body_comp_total_right_fat_mass,0.9196401515041233,0.9198211227522772
body_comp_arms_fat_free_mass,0.49225412267345015,0.49628421571487524
body_comp_trunk_tissue_mass,0.8817966189446342,0.8826988806937803
body_comp_android_bone_mass,0.29857467819287475,0.2941474277752435
body_comp_total_total_mass,0.9011140715457239,0.9010935185243634
body_comp_leg_right_bone_mass,0.28212957322793053,0.28484652274144817
body_comp_arms_diff_total_mass,-0.00819397778353545,-0.0324961109359929
body_comp_arm_right_tissue_mass,0.7482758921030472,0.7511564236561205
body_comp_leg_left_total_mass,0.8108444425948842,0.8092058311476424
body_comp_legs_bone_mass,0.2850673248078696,0.28332071759409816
body_comp_total_diff_total_mass,0.06519039332999035,0.05096242077644325
body_comp_arm_right_total_mass,0.7408037437651755,0.7437825915142391
body_comp_total_diff_bone_mass,0.11194737248848614,0.10876901971508675
body_comp_arms_diff_bone_mass,-0.0394693212319697,-0.0394693212319697
body_comp_trunk_diff_lean_mass,0.037860133078414446,-0.0298346756065345
body_comp_arm_left_fat_mass,0.8056597868099313,0.8062375926589835
body_comp_trunk_left_fat_mass,0.8954356042598735,0.8972462526337421
body_comp_leg_left_lean_mass,0.6196058985446692,0.6176581006624493
