,Age & BMI,"Sleep Quality
(average of nights)"
body_arm_left_area,0.0900765592763227,0.0452898570180718
body_arm_left_bmc,0.2381260674419522,0.18049311184113842
body_arm_left_bmd,0.4012669595050016,0.325847488244864
body_arm_right_area,0.08865823574685056,0.0715819605336392
body_arm_right_bmc,0.2501005323432261,0.206863076719905
body_arm_right_bmd,0.38624992619559023,0.32482161377483393
body_arms_area,0.09343629557501626,0.05749011623644285
body_arms_bmc,0.25522478952601135,0.2031636974508944
body_arms_bmd,0.40269887475599,0.3357433210815225
body_head_area,0.07242614429011215,0.0685938182500129
body_head_bmc,0.2027752853020968,0.15473741698862736
body_head_bmd,0.2895674071054105,0.2216995695653522
body_leg_left_area,0.0136102456989558,0.056008764366425656
body_leg_left_bmc,0.2710326622857203,0.21590221039394863
body_leg_left_bmd,0.4241381421878093,0.3629218480752799
body_leg_right_area,-4.01891196097838e-05,0.042915941651898604
body_leg_right_bmc,0.25795338450372435,0.19709347868326185
body_leg_right_bmd,0.4278557277367418,0.36101729526428383
body_legs_area,0.0049448555329913,0.044960194864145
body_legs_bmc,0.2667640278590455,0.20934632690404095
body_legs_bmd,0.4297621453770092,0.3663104090024675
body_pelvis_area,0.2300411428997344,0.18378140335021625
body_pelvis_bmc,0.4384581691186722,0.37220962187868056
body_pelvis_bmd,0.4463444903450785,0.37920997363637177
body_ribs_area,0.27569603677707094,0.18462111524987884
body_ribs_bmc,0.35818008331272416,0.28992881261929093
body_ribs_bmd,0.43091349490577685,0.3848460206701959
body_spine_area,0.12700013752041578,0.057398256374337195
body_spine_bmc,0.4117783335072097,0.3458016544777646
body_spine_bmd,0.5112105988741449,0.45300354886606464
body_total_area,0.04192697625758485,0.05532284441910325
body_total_bmc,0.38431885514161535,0.32513658592262845
body_total_bmd,0.46856580838264317,0.40541994949173843
body_total_left_area,0.0295721608918778,0.04742909839594435
body_total_left_bmc,0.343116008284936,0.27693798998120245
body_total_left_bmd,0.44205137653681104,0.37304143111588406
body_total_right_area,0.061368272149775555,0.0508590285343062
body_total_right_bmc,0.3704900089779424,0.30889575853941925
body_total_right_bmd,0.45584083242181395,0.3998470823074493
body_trunk_area,0.2981907000732351,0.22413983330698406
body_trunk_bmc,0.48516915984462017,0.43025144362399426
body_trunk_bmd,0.500871469175365,0.4474927042528674
body_trunk_left_area,0.2421155809637572,0.16986331270833854
body_trunk_left_bmc,0.4533619066527351,0.3836987219596434
body_trunk_left_bmd,0.4887086429024151,0.43509276752299814
body_trunk_right_area,0.2915322431564523,0.20821618348863585
body_trunk_right_bmc,0.48579349812199346,0.42734254396243565
body_trunk_right_bmd,0.5002211144679264,0.4466805757751064
femur_left_lower_neck_area,0.07651704015149874,0.0571512038096532
femur_left_lower_neck_bmc,0.35259614691714647,0.29024647379165236
femur_left_lower_neck_bmd,0.40820693688743714,0.3471398137855778
femur_left_neck_area,0.0767490576895814,0.05514368067351105
femur_left_neck_bmc,0.38377412648000897,0.3121157313541202
femur_left_neck_bmd,0.43074396274635984,0.36738998554612806
femur_left_shaft_area,0.0632101464877275,0.07042536667289745
femur_left_shaft_bmc,0.4559473167471584,0.3935451012724187
femur_left_shaft_bmd,0.43028900762208033,0.37099574269905344
femur_left_total_area,0.14495876007692993,0.1346714616561965
femur_left_total_bmc,0.41097371096546287,0.34957057523813573
femur_left_total_bmd,0.4519420725293249,0.39915528480372503
femur_left_troch_area,0.12925367587170866,0.11401215636446625
femur_left_troch_bmc,0.29555981338165316,0.2321704895951704
femur_left_troch_bmd,0.4140977433810828,0.3566637027898891
