,"Age, BMI & VAT","Sleep Quality
(average of nights)"
femur_right_upper_neck_area,0.05551273639702185,0.0845584533104172
femur_neck_mean_area,0.06200230349686425,0.08821164609560811
femur_right_neck_area,0.059076320995779905,0.0829395855118526
femur_wards_diff_area,0.0208176130677983,0.040833540484851646
femur_upper_neck_mean_area,0.06380662879727515,0.0810821616855085
femur_lower_neck_mean_area,0.08297483002809761,0.0990330481087668
femur_left_neck_area,0.0600881826781777,0.07243036376289619
femur_shaft_diff_bmd,0.0294059720614183,0.0412319085372935
femur_right_wards_area,0.06652785308924945,0.07832882687144224
femur_neck_diff_area,0.0110764084873533,0.022823219324239148
body_leg_left_area,0.06296758082411824,0.0736942165260149
femur_left_shaft_area,0.0653789088927195,0.073168538851133
femur_lower_neck_diff_area,0.02266164190002705,0.0296085863283128
