,"Age, BMI & VAT","Sleep Quality
(average of nights)"
body_arm_left_area,0.14875522038684136,0.16288264430645183
body_arm_left_bmc,0.2609846050193831,0.2628501133336424
body_arm_left_bmd,-0.0344898826775188,-0.034489882677518846
body_arm_right_area,0.15558639232253285,0.16882644857170945
body_arm_right_bmc,0.27540027881235907,0.2820953598981061
body_arm_right_bmd,-0.036013935760833005,-0.03601393576083305
body_arms_area,0.15716069134640231,0.16857134285120726
body_arms_bmc,0.278781359391863,0.28261151420623243
body_arms_bmd,-0.0353195976385834,-0.0353195976385834
body_head_area,0.12793475065772786,0.09962127827194495
body_head_bmc,0.27567904182911973,0.2764760653089353
body_head_bmd,-0.034237887549655,-0.034237887549654955
body_leg_left_area,0.0444706646560288,0.08633540512861829
body_leg_left_bmc,0.31447517935113034,0.30708458511144804
body_leg_left_bmd,-0.03147534278849,-0.03147534278848994
body_leg_right_area,0.04493508307307395,-0.03339111773336215
body_leg_right_bmc,0.31426156694090085,0.31138273480375944
body_leg_right_bmd,-0.03180123731811495,-0.03180123731811495
body_legs_area,0.047767470134843504,0.0775771720280893
body_legs_bmc,0.3169537945350205,0.3159050202035481
body_legs_bmd,-0.030948581584238702,-0.030948581584238702
body_pelvis_area,0.25504146358016955,0.25031609753360123
body_pelvis_bmc,0.4511247460906922,0.44819777689763773
body_pelvis_bmd,-0.0338681356537728,-0.0338681356537728
body_ribs_area,0.3153430034031821,0.31203321935180567
body_ribs_bmc,0.37670252716341485,0.373115805563917
body_ribs_bmd,-0.033528300217353,-0.033528300217353
body_spine_area,0.19925963408426367,0.19434825211616286
body_spine_bmc,0.4326540947026495,0.434282196409813
body_spine_bmd,-0.03147273321547265,-0.03147273321547265
body_total_area,0.0742615512714204,0.09339781746140599
body_total_bmc,0.40626683789971907,0.405026648494494
body_total_bmd,-0.0327932160556845,-0.032793216055684554
body_total_left_area,-0.03431794309348805,-0.03431794309348805
body_total_left_bmc,0.36345421506615727,0.36006214318930724
body_total_left_bmd,-0.03032001177136925,-0.03032001177136925
body_total_right_area,0.10973357277497,0.1049803341106968
body_total_right_bmc,0.39590990225469547,0.39406869053749455
body_total_right_bmd,-0.03384302146512015,-0.03384302146512015
body_trunk_area,0.33670321293800726,0.33307920255518697
body_trunk_bmc,0.4942979240739541,0.4924473868868592
body_trunk_bmd,-0.030478555621249202,-0.030478555621249202
body_trunk_left_area,0.2847433735632673,0.2835487416323646
body_trunk_left_bmc,0.46415354052194024,0.4634300135071444
body_trunk_left_bmd,-0.031425750683578405,-0.031425750683578405
body_trunk_right_area,0.3271714569569665,0.31830843810592613
body_trunk_right_bmc,0.495009572243986,0.493292944464206
body_trunk_right_bmd,-0.03171960667883455,-0.03171960667883455
femur_left_lower_neck_area,-0.03323443515605655,-0.03323443515605655
femur_left_lower_neck_bmc,0.16739483701151364,0.16739483701151409
femur_left_lower_neck_bmd,-0.035077954071503506,-0.03507795407150355
femur_left_neck_area,-0.03434521433531095,-0.03434521433531095
femur_left_neck_bmc,0.39460660167053696,0.39460660167053685
femur_left_neck_bmd,-0.03418576803748305,-0.03418576803748305
femur_left_shaft_area,-0.03496624555337505,-0.034966245553375144
femur_left_shaft_bmc,0.4626071648259833,0.4623700075240176
femur_left_shaft_bmd,-0.032091926904884105,-0.032091926904884105
femur_left_total_area,0.18878105702165596,0.1879230563729693
femur_left_total_bmc,0.4295024379310298,0.4305750126925162
femur_left_total_bmd,-0.0340557640463771,-0.03405576404637705
femur_left_troch_area,0.17350177521905866,0.1724333692988929
femur_left_troch_bmc,0.31801508225381264,0.3195118076692087
femur_left_troch_bmd,-0.0370323100080936,-0.0370323100080936
femur_left_upper_neck_area,-0.03639538634882805,-0.03639538634882805
femur_left_upper_neck_bmc,0.30973091002521363,0.30973091002521363
femur_left_upper_neck_bmd,-0.02958906999575025,-0.02958906999575025
femur_left_wards_area,-0.035033076456265,-0.035033076456265
femur_left_wards_bmc,0.2038033549940083,0.2038033549940083
femur_left_wards_bmd,-0.032726739270550004,-0.032726739270550004
femur_lower_neck_diff_area,-0.0365569536756339,-0.0365569536756339
femur_lower_neck_diff_bmc,-0.0373224982971486,-0.0373224982971486
femur_lower_neck_diff_bmd,-0.0322683593683362,-0.0322683593683362
femur_lower_neck_mean_area,-0.03631515219533595,-0.03631515219533595
femur_lower_neck_mean_bmc,0.22087702063721165,0.22087702063721165
femur_lower_neck_mean_bmd,-0.03198274292695405,-0.03198274292695405
femur_neck_diff_area,-0.0378815333882329,-0.0378815333882329
femur_neck_diff_bmc,-0.0342523146233954,-0.0342523146233955
femur_neck_diff_bmd,-0.0350005810293315,-0.03500058102933145
femur_neck_mean_area,-0.0369833084410667,-0.0369833084410667
femur_neck_mean_bmc,0.4158854505234052,0.4158854505234053
femur_neck_mean_bmd,-0.03224326039951325,-0.03224326039951325
femur_right_lower_neck_area,-0.034993643710987454,-0.034993643710987454
femur_right_lower_neck_bmc,0.1947565269173278,0.1947565269173278
femur_right_lower_neck_bmd,-0.0315502216715791,-0.0315502216715792
femur_right_neck_area,-0.03683531260655655,-0.036835312606556606
