,Age & BMI,"Sleep Quality
(average of nights)"
body_arm_right_bmc,0.08096361071134275,0.1539548615311654
body_arms_bmc,0.09814051004827476,0.1624715339137153
body_leg_left_area,0.058639756202641,0.12027652481802084
body_arm_left_bmc,0.10751159279167485,0.1664797342157202
body_arm_right_area,0.0243687632078474,0.0832656229103369
body_leg_right_area,0.07666065050423025,0.1320010820896384
body_legs_area,0.06872332129576561,0.1191997775119486
spine_l3_l4_area,0.04170106438469335,0.07970291666074325
body_leg_right_bmc,0.21729134128435346,0.25068647731118987
body_legs_bmc,0.22052349651436132,0.2531861497423895
spine_l2_l3_area,0.08678649047659175,0.11784408121248925
spine_l2_l4_area,0.06348758608050986,0.09452260929468731
body_leg_left_bmc,0.2205386770595088,0.2514038254304273
body_pelvis_area,0.11346907334921365,0.13583890093545115
spine_l3_bmc,0.17202311342381105,0.1935007246278484
body_total_area,0.18057399001621635,0.2014637444693724
body_total_bmc,0.3247450484018727,0.34302601259164356
spine_l2_l3_bmc,0.19135652105092854,0.2090445587352922
spine_l1_l3_area,0.1189276082117343,0.13590933028048352
spine_l1_l4_area,0.0899885930864195,0.106929541414898
body_total_right_area,0.20020663133492275,0.2170054873148248
body_total_left_bmc,0.28370563520729153,0.29901726341866663
body_total_right_bmc,0.3351142678161116,0.3503647695898756
spine_l2_bmc,0.19819803241253808,0.2126724134182131
body_pelvis_bmc,0.26292765330616485,0.27699782332064415
spine_l3_l4_bmc,0.20511254142384572,0.21773366593116744
spine_l4_bmc,0.22002242167913572,0.23103660489092684
body_total_left_area,0.14142616965632926,0.15213202614734214
spine_l1_l3_bmc,0.20280306435600182,0.21328364092890956
body_head_bmc,0.06571465047012334,0.0755100596653971
spine_l1_l2_bmc,0.2135882569895009,0.2232171567034909
femur_right_total_area,0.2090437649768784,0.21841703353049946
spine_l1_l2_area,0.14843484183752184,0.15720584360468048
femur_right_total_bmc,0.3481392454719878,0.3565203765145129
femur_total_mean_area,0.2147781461969551,0.22300340492079979
spine_l2_l4_bmc,0.2080587481313637,0.2157968783343881
femur_total_mean_bmc,0.361928545915155,0.36938389847511677
femur_left_total_bmc,0.3537910961592339,0.3598904203815338
spine_l1_bmc,0.2134675521556355,0.21755645288390124
spine_l2_area,0.1085512742252715,0.11235644345278825
spine_l1_l4_bmc,0.21261990442933587,0.21614443585812998
body_ribs_area,0.48851094990970206,0.49081755709075414
femur_right_troch_bmc,0.2985271229981369,0.3008141969343652
body_spine_bmc,0.48095155723893046,0.48310318019139886
femur_shaft_mean_bmc,0.36224797185211977,0.3643054739406131
femur_left_shaft_bmc,0.35846255148068507,0.3601260138700626
femur_troch_mean_bmc,0.33109121951864995,0.33262479563080316
femur_right_shaft_bmc,0.3477437569674069,0.34921945577324615
femur_left_troch_bmc,0.31629790638964145,0.3169658713588615
body_trunk_left_bmc,0.4872256810141261,0.487859483087345
spine_l2_l4_average_height,0.17952230576134495,0.17952230576134495
femur_right_shaft_area,0.046980222400194296,0.046980222400194296
spine_l1_l4_average_height,0.1707506720487451,0.1707506720487451
femur_wards_mean_bmc,0.18075974590178628,0.18075974590178628
femur_shaft_mean_area,0.03215007379136635,0.03215007379136635
femur_right_wards_bmc,0.14539283889437432,0.14539283889437432
femur_right_lower_neck_bmc,0.23583553707904795,0.23583553707904795
femur_left_wards_bmc,0.16800572365557354,0.16800572365557354
