,Age & BMI,"Sleep Quality
(average of nights)"
body_arm_left_area,0.01176595983148624,0.010911238680850074
body_arm_left_bmc,0.005677464759604062,0.005841096838728889
body_arm_left_bmd,0.011760675454994944,0.011760675454994944
body_arm_right_area,0.01037913247817054,0.009375813218650246
body_arm_right_bmc,0.0064968137101487754,0.00696571192405626
body_arm_right_bmd,0.011958518227942075,0.011958518227942075
body_arms_area,0.011236750237615598,0.008987375656242904
body_arms_bmc,0.005777501893060082,0.006030431442697277
body_arms_bmd,0.011846109440220002,0.011846109440220005
body_head_area,0.015303913523731654,0.015445351425317519
body_head_bmc,0.007698677962515709,0.009148619187040043
body_head_bmd,0.01366180438390546,0.013661804383905452
body_leg_left_area,0.006598186423157073,0.008978597266594003
body_leg_left_bmc,0.0023198762068640665,0.0030549469557297707
body_leg_left_bmd,0.013154214683087084,0.01315421468308709
body_leg_right_area,0.00527728202839168,0.00870640358612265
body_leg_right_bmc,0.0023092387544948597,0.0033840623288674157
body_leg_right_bmd,0.012147389546025754,0.012147389546025754
body_legs_area,0.005561920363876313,0.008279878897358857
body_legs_bmc,0.0022784865895790684,0.0036042596991508885
body_legs_bmd,0.012695205276404739,0.012695205276404739
body_pelvis_area,0.004893410559649307,0.006166789414772532
body_pelvis_bmc,0.0018635983687251719,0.003119464550286052
body_pelvis_bmd,0.012618075879789926,0.012618075879789926
body_ribs_area,0.0008333210987719503,0.0013424542777795859
body_ribs_bmc,0.0005342004414361308,0.0006538720377954224
body_ribs_bmd,0.012970503054988638,0.012970503054988638
body_spine_area,0.0018968917917045883,0.004705049356079271
body_spine_bmc,0.00102015466548455,0.0011445562895224717
body_spine_bmd,0.011582751365084793,0.011582751365084793
body_total_area,0.002628330530423734,0.005451880811079537
body_total_bmc,0.0016524300609368724,0.002253041993769204
body_total_bmd,0.01245419343715599,0.01245419343715599
body_total_left_area,0.0037990391974942546,0.005844035883889982
body_total_left_bmc,0.001988121804890916,0.0023418889927989857
body_total_left_bmd,0.01214465417227767,0.012144654172277678
body_total_right_area,0.001996532369337324,0.004666096504713234
body_total_right_bmc,0.001515872786904948,0.0019074283707549403
body_total_right_bmd,0.013045731541723744,0.013045731541723744
body_trunk_area,0.0012292134520182452,0.002448168048742319
body_trunk_bmc,0.0007538066212655403,0.0016476726631084655
body_trunk_bmd,0.011349898232380787,0.011349898232380787
body_trunk_left_area,0.0013791350395438978,0.0016165275906067022
body_trunk_left_bmc,0.0009308495053613203,0.001280517941352623
body_trunk_left_bmd,0.011121083145634965,0.011121083145634965
body_trunk_right_area,0.001243156139174235,0.0018670921103671116
body_trunk_right_bmc,0.0006749674294173393,0.0011747959771359138
body_trunk_right_bmd,0.011634594568513236,0.011634594568513236
femur_left_lower_neck_area,0.012162480418403834,0.01216248041840383
femur_left_lower_neck_bmc,0.008813911625486876,0.008813911625486899
femur_left_lower_neck_bmd,0.013359493626723897,0.013359493626723897
femur_left_neck_area,0.010786985010556822,0.010786985010556822
femur_left_neck_bmc,0.0030840805622952797,0.003084080632951068
femur_left_neck_bmd,0.012142604901792056,0.012142604901792056
femur_left_shaft_area,0.021073617521681794,0.021073617521681794
femur_left_shaft_bmc,0.0012655664559229286,0.001471972132128116
femur_left_shaft_bmd,0.012806369116989983,0.012806369116989973
femur_left_total_area,0.00232373799985436,0.006028529071813569
femur_left_total_bmc,0.001182806192382739,0.0016624171332766066
femur_left_total_bmd,0.012727067525407492,0.012727067525407487
femur_left_troch_area,0.004245904852993941,0.004772254037629959
femur_left_troch_bmc,0.0015320296021009469,0.001915650633154844
femur_left_troch_bmd,0.015296470579403955,0.015296470579403955
femur_left_upper_neck_area,0.013739878262715699,0.013739878262715702
femur_left_upper_neck_bmc,0.008428621155705198,0.00842862115570519
femur_left_upper_neck_bmd,0.013084115403774585,0.013084115403774585
femur_left_wards_area,0.012167211459335008,0.012167211459335008
femur_left_wards_bmc,0.014062270564784703,0.014062270564784703
femur_left_wards_bmd,0.013408252512954737,0.013408252512954731
femur_lower_neck_diff_area,0.012809000598167156,0.012809000598167145
femur_lower_neck_diff_bmc,0.011409802190780414,0.011409802190780426
femur_lower_neck_diff_bmd,0.010228448592378992,0.010228448592378992
femur_lower_neck_mean_area,0.013020773683614881,0.013020773683614881
femur_lower_neck_mean_bmc,0.00901969656919433,0.009019696569194347
femur_lower_neck_mean_bmd,0.013300691798574512,0.013300691798574507
femur_neck_diff_area,0.011123383227805757,0.011123383227805757
femur_neck_diff_bmc,0.013477689445771802,0.013477689445771806
femur_neck_diff_bmd,0.013255647535921464,0.013255647535921454
femur_neck_mean_area,0.011949776570266543,0.011949776570266545
femur_neck_mean_bmc,0.002638632696639467,0.0026386326966394624
femur_neck_mean_bmd,0.011226225440385582,0.011226225440385578
femur_right_lower_neck_area,0.014762398517260897,0.014762398517260904
femur_right_lower_neck_bmc,0.011812767642183145,0.011812767642183145
femur_right_lower_neck_bmd,0.013488604223909927,0.013488604223909916
femur_right_neck_area,0.012508145710492495,0.012508145710492493
femur_right_neck_bmc,0.0031518581710970207,0.0031518581768047774
femur_right_neck_bmd,0.011022936193120017,0.011022936193120022
femur_right_shaft_area,0.024789170332535648,0.024789170332535648
femur_right_shaft_bmc,0.0016462601081150485,0.0019792559344112737
femur_right_shaft_bmd,0.015267751580669377,0.01526775158066938
femur_right_total_area,0.0023301830656133663,0.0032758862942037013
femur_right_total_bmc,0.0012711539331695186,0.0020263670953976757
femur_right_total_bmd,0.012690333400075714,0.012690333400075714
femur_right_troch_area,0.0039016508050304824,0.0039683058061844665
femur_right_troch_bmc,0.001862609910440601,0.0021350348662090065
femur_right_troch_bmd,0.012384998575758874,0.012384998575758874
femur_right_upper_neck_area,0.010867450431930126,0.01086745043193012
femur_right_upper_neck_bmc,0.011974437522545173,0.011974437522545177
femur_right_upper_neck_bmd,0.011615656922799096,0.011615656922799096
femur_right_wards_area,0.01157424295534901,0.01157424295534901
femur_right_wards_bmc,0.01805896993239668,0.01805896993239668
femur_right_wards_bmd,0.011842827268217719,0.011842827268217719
femur_shaft_diff_area,0.013372289118943064,0.013372289118943075
femur_shaft_diff_bmc,0.014568684615325235,0.014568684615325225
femur_shaft_diff_bmd,0.011030032219778508,0.011030032219778505
femur_shaft_mean_area,0.021341894201585176,0.021341894201585176
femur_shaft_mean_bmc,0.0013240442968474003,0.0014228985278053512
femur_shaft_mean_bmd,0.010386799154184282,0.010386799154184275
femur_total_diff_area,0.01244028242623695,0.01244028242623695
femur_total_diff_bmc,0.01689753154657408,0.01689753136896765
femur_total_diff_bmd,0.012480893379292814,0.012480893379292814
femur_total_mean_area,0.002826045574440946,0.0038663427981255813
femur_total_mean_bmc,0.0013072344804789784,0.0017105927329893631
femur_total_mean_bmd,0.010775051481664404,0.01077505148166441
femur_troch_diff_area,0.017153629576192486,0.01715362957619249
femur_troch_diff_bmc,0.01491925418570909,0.01491925418570909
femur_troch_diff_bmd,0.013639181057915901,0.013639181057915893
femur_troch_mean_area,0.003460239120022527,0.003484188500008973
femur_troch_mean_bmc,0.001533934596751468,0.0014834132525208693
femur_troch_mean_bmd,0.010880873819092573,0.010880873819092569
femur_upper_neck_diff_area,0.010423853333555185,0.010423853333555185
femur_upper_neck_diff_bmc,0.012511770412759613,0.012511770412759613
femur_upper_neck_diff_bmd,0.011103209740918045,0.011103209740918045
femur_upper_neck_mean_area,0.013198832755159155,0.013198832755159155
femur_upper_neck_mean_bmc,0.011431409346472968,0.011431409346472968
femur_upper_neck_mean_bmd,0.013671327381840534,0.013671327381840527
femur_wards_diff_area,0.013588144209729352,0.013588144209729355
femur_wards_diff_bmc,0.01200217450318872,0.012002174503188722
femur_wards_diff_bmd,0.013214209050663589,0.013214209050663589
femur_wards_mean_area,0.011852130630009047,0.011852130630009047
femur_wards_mean_bmc,0.011072246345303701,0.011072246345303701
femur_wards_mean_bmd,0.011890707543059346,0.011890707543059343
spine_l1_area,0.006529842740400805,0.006542090718782315
spine_l1_average_height,0.010044805850450512,0.010044805850450512
spine_l1_average_width,0.014792719913903534,0.014792719913903529
spine_l1_bmc,0.003187452702650599,0.004127447826114697
spine_l1_bmd,0.010928819312468125,0.010928819312468118
spine_l1_l2_area,0.004388778663244697,0.005777976455140091
spine_l1_l2_average_height,0.012053022625587034,0.012053022625587042
spine_l1_l2_average_width,0.014574251439867536,0.014574251439867536
spine_l1_l2_bmc,0.002732977941379307,0.005580948571137926
spine_l1_l2_bmd,0.010543493936168297,0.010543493936168305
spine_l1_l3_area,0.00491471553664934,0.006503024118487314
spine_l1_l3_average_height,0.012154236495720014,0.01215423649572
spine_l1_l3_average_width,0.014418503968804246,0.014418503968804246
spine_l1_l3_bmc,0.002823304707790403,0.006281543715085764
spine_l1_l3_bmd,0.010823241899054642,0.010823241899054637
spine_l1_l4_area,0.005724596398662783,0.00770684410270382
spine_l1_l4_average_height,0.008422100397091856,0.008422100397091856
spine_l1_l4_average_width,0.014791341745715725,0.014791341745715725
spine_l1_l4_bmc,0.002488163404056552,0.006168570484353776
spine_l1_l4_bmd,0.011982599188730675,0.011982599188730675
spine_l2_area,0.00961064021074154,0.010330198448903503
spine_l2_average_height,0.013356372728100273,0.013356372728100278
spine_l2_average_width,0.01117115081198818,0.011171150811988181
spine_l2_bmc,0.003436364304217808,0.004094820528578924
spine_l2_bmd,0.011970000823401902,0.0119700008234019
spine_l2_l3_area,0.006931683196447896,0.007386989910118071
spine_l2_l3_average_height,0.014251069163638646,0.014251069163638655
spine_l2_l3_average_width,0.01178638830830664,0.01178638830830664
spine_l2_l3_bmc,0.003357964278783863,0.004931687317764687
spine_l2_l3_bmd,0.012429603057564366,0.01242960305756436
spine_l2_l4_area,0.007355283630793082,0.007921058294252601
spine_l2_l4_average_height,0.013657037895875282,0.013657037895875282
spine_l2_l4_average_width,0.01223870883953686,0.01223870883953686
spine_l2_l4_bmc,0.0033322034834462194,0.005556859899558548
spine_l2_l4_bmd,0.013217583641096856,0.013217583641096856
spine_l3_area,0.019236909208482787,0.015718380347292116
spine_l3_average_height,0.012236275018122399,0.012236275018122368
spine_l3_average_width,0.012118000360263923,0.012118000360263923
spine_l3_bmc,0.0032564266843515895,0.004078141500895545
spine_l3_bmd,0.013210987526035143,0.01321098752603514
spine_l3_l4_area,0.010365749122024322,0.007378341215165365
spine_l3_l4_average_height,0.031449367799819626,0.031449367799819626
spine_l3_l4_average_width,0.01203872402322427,0.01203872402322427
spine_l3_l4_bmc,0.002506400832434948,0.0038659564792450935
spine_l3_l4_bmd,0.012487323983684316,0.012487323983684321
spine_l4_area,0.015511538863956108,0.01359610743793396
spine_l4_average_height,0.012610608468426222,0.012610608468426213
spine_l4_average_width,0.011086261087280407,0.011086261087280407
spine_l4_bmc,0.002464432829672368,0.0029404904091909247
spine_l4_bmd,0.01293849995998159,0.01293849995998159
