,Age & BMI,"Sleep Quality
(average of nights)"
from_l_thigh_to_l_ankle_pwv,0.20219487612143494,0.25060420478659484
l_brachial_index,-0.0175335622630091,0.0345256261278983
l_ankle_index,0.041243524510339094,0.0331116913924587
from_r_thigh_to_r_ankle_pwv,0.12841466269474344,0.159704586765121
r_abi,0.048083913313833146,0.0280743529632978
r_brachial_index,0.009898702864544001,-0.0141857402290978
l_brachial_pressure,0.276655368777443,0.2444099466225058
r_ankle_index,0.048083913313833146,0.0280743529632978
r_brachial_pressure,0.2835655297339864,0.2448740688596024
from_r_thigh_to_r_ankle_transit_time,0.14391612228268447,0.06588078726538041
from_l_thigh_to_l_ankle_transit_time,0.14302706887882566,0.0739637140047109
r_ankle_pressure,0.37363571812259677,0.31648181437974143
l_ankle_pressure,0.3795040994066024,0.33608396745964925
l_abi,0.041243524510339094,0.0331116913924587
sitting_blood_pressure_pulse_rate,0.18435621591770124,0.19426092295657532
sitting_blood_pressure_diastolic,0.3586474206467065,0.3446029913173184
lying_blood_pressure_diastolic,0.34318821921792314,0.34044257642706854
lying_blood_pressure_systolic,0.3697373759119625,0.31684089592491116
standing_one_min_blood_pressure_systolic,0.280130864220418,0.22423435197012603
standing_three_min_blood_pressure_systolic,0.3531417084697652,0.2804216412378507
lying_blood_pressure_pulse_rate,0.190549058424121,0.17922339023074974
sitting_blood_pressure_systolic,0.3711844160023211,0.3134327064750977
standing_three_min_blood_pressure_diastolic,0.29405552434152393,0.26674561760567306
standing_one_min_blood_pressure_pulse_rate,0.15656985717507177,0.16151544847234856
standing_three_min_blood_pressure_pulse_rate,0.15438519982817656,0.16377001822173134
standing_one_min_blood_pressure_diastolic,0.2595037696213812,0.2460141405088236
intima_media_th_mm_1_intima_media_thickness,0.3576869987107545,0.3152129109615289
intima_media_th_mm_2_intima_media_thickness,0.3338270664342417,0.2489021844959634
intima_media_th_1_fit,0.029536643697437,-1.2444636242837412e-05
intima_media_th_2_fit,0.0353391583793869,0.02640495798607805
Disc_height,0.013492319654841899,0.0038081122542114997
Artery_Average_width,0.21650205632190325,0.19540647480113427
Vessel_density,0.2592361856062225,0.2096568318124747
Tortuosity_density,0.06539510120820685,-0.00265444279568175
Vein_Tortuosity_density,0.059581334183911344,-0.039153119392874
Fractal_dimension,0.3071965575894574,0.21961660274329625
CDR_vertical,0.01174961075366375,-0.05257435669477005
Vein_Vessel_density,0.17740919738037514,0.14430547259608145
Disc_width,0.02544455743265965,-0.025970961567131703
Vein_Squared_curvature_tortuosity,-0.00325019374437935,-0.0060795738845273
Artery_Fractal_dimension,0.15374264415437805,0.10441160151836765
Distance_tortuosity,0.0612489368517172,0.0420323420754044
participant_id,0.03280817228893395,0.0526756171891909
Vein_Distance_tortuosity,0.0303468578614201,0.01716274172848025
Vein_Fractal_dimension,0.22162644686221133,0.16412178826056684
Cup_width,0.01190903631464405,-0.01411131727114125
Artery_Vessel_density,0.2176703336376661,0.2001723427447748
Squared_curvature_tortuosity,0.07325160659490934,0.039764097527555095
Average_width,0.0377729722957075,0.0264023735231898
CDR_horizontal,-0.0124213421271174,-0.01824970286559325
Artery_Squared_curvature_tortuosity,0.061280038990487395,0.0747249829848438
Artery_Distance_tortuosity,0.06648615870899954,0.06492757261917476
Artery_Tortuosity_density,0.05084940084024665,0.06430705385912935
Cup_height,0.0133444428455602,0.0087116388524557
Vein_Average_width,0.0035916766899973,0.029714824499859897
r_mv_V4,0.2703786680269059,0.20814518718727665
t_mv_V6,0.21608439763554693,0.20348997328673535
p_mv_V4,0.0028532962034243,0.02424893937372765
p_mv_V5,0.06467162445663005,0.0282380308643329
q_ms_I,0.0351993609820097,0.0171786124646143
qt_ms,0.1321445400743749,0.13049180301872898
s_mv_aVF,0.10228197554653395,0.06800983190059096
