,"Age, BMI & VAT","Sleep Quality
(average of nights)"
from_l_thigh_to_l_ankle_pwv,0.2834805548164031,0.3469852212229539
l_brachial_index,-0.036273674758450544,-0.036273674758450544
l_ankle_index,-0.03529580464562615,-0.03529580464562615
from_r_thigh_to_r_ankle_pwv,0.19157454364721543,0.23267922926499374
r_abi,-0.03956154465306805,-0.039561544653068
r_brachial_index,-0.034523398008247205,-0.034523398008247205
l_brachial_pressure,0.331185532909912,0.3331469569122659
r_ankle_index,-0.039561544653068,-0.03956154465306805
r_brachial_pressure,0.33779135413436223,0.3367697013440091
from_r_thigh_to_r_ankle_transit_time,0.16847030987711856,0.1594947168764853
from_l_thigh_to_l_ankle_transit_time,0.1992149043236187,0.19698142881266528
r_ankle_pressure,0.41983174171448523,0.4197725629615977
l_ankle_pressure,0.4190200950515084,0.4183099888089734
l_abi,-0.03529580464562615,-0.03529580464562615
sitting_blood_pressure_pulse_rate,0.3565627416001253,0.36462408423608006
sitting_blood_pressure_diastolic,0.4282486499391194,0.44180738995883745
lying_blood_pressure_diastolic,0.4275416159556684,0.4365196766886642
lying_blood_pressure_systolic,0.41190523425128694,0.40621213374964765
standing_one_min_blood_pressure_systolic,0.3376953585540755,0.33417851206767357
standing_three_min_blood_pressure_systolic,0.4045488848864829,0.3975863022107454
lying_blood_pressure_pulse_rate,0.34961646355719933,0.3484543190931644
sitting_blood_pressure_systolic,0.40968350622436034,0.41152918078934975
standing_three_min_blood_pressure_diastolic,0.36949638384195005,0.38155099140634585
standing_one_min_blood_pressure_pulse_rate,0.30310453275626803,0.30943454523618497
standing_three_min_blood_pressure_pulse_rate,0.2983553815772618,0.3088649337694973
standing_one_min_blood_pressure_diastolic,0.34210475734530554,0.35218332606222247
intima_media_th_mm_1_intima_media_thickness,-0.03755618139371645,-0.03755618139371645
intima_media_th_mm_2_intima_media_thickness,-0.0381317014802027,-0.03813170148020275
intima_media_th_1_fit,0.06643107446665665,0.07056100502971165
intima_media_th_2_fit,0.09374595597732835,0.12710776122123185
Disc_height,-0.03594186805418985,-0.03594186805418985
Artery_Average_width,0.2720522224091422,0.27149777879839304
Vessel_density,-0.03846838281025485,-0.03846838281025495
Tortuosity_density,-0.0404029463875274,-0.0404029463875274
Vein_Tortuosity_density,-0.0345566153628356,-0.0345566153628356
Fractal_dimension,-0.0435956897725889,-0.0435956897725889
CDR_vertical,-0.03722793643102795,-0.037227936431028
Vein_Vessel_density,-0.0343937358289684,-0.03439373582896835
Disc_width,-0.03407000830867145,-0.034070008308671546
Vein_Squared_curvature_tortuosity,-0.04005674938180355,-0.04005674938180355
Artery_Fractal_dimension,-0.0383435902218067,-0.0383435902218067
Distance_tortuosity,-0.0374000028729856,-0.03740000287298555
participant_id,-0.00583546113137105,0.012200817730136551
Vein_Distance_tortuosity,-0.036295309313135946,-0.036295309313135946
Vein_Fractal_dimension,-0.039067163529891896,-0.039067163529891896
Cup_width,-0.0376105211645801,-0.038486144191150304
Artery_Vessel_density,-0.036230571778593304,-0.036230571778593304
Squared_curvature_tortuosity,0.05820746133693995,0.06731927295072565
Average_width,0.05188769660417105,0.0126710827022738
CDR_horizontal,-0.0367461638310638,-0.0367461638310637
Artery_Squared_curvature_tortuosity,-0.035648481954343295,-0.035648481954343295
Artery_Distance_tortuosity,-0.035234114033168853,-0.0352341140331688
Artery_Tortuosity_density,-0.0358844639759369,-0.03588446397593685
Cup_height,-0.0403323784241639,-0.0403323784241639
Vein_Average_width,0.05729311120233145,0.05226594774731725
r_mv_V4,0.2911446045732402,0.2911445904217222
t_mv_V6,-0.030994925845510952,-0.030994925845510952
p_mv_V4,-0.038265569165066904,-0.038265569165066904
p_mv_V5,-0.03326797217220155,-0.0332679721722016
q_ms_I,0.05871294993306835,0.07645883525557551
qt_ms,0.29238880117778226,0.28618650131463896
s_mv_aVF,-0.0465047970217609,-0.046504797021760844
r_ms_V4,0.14857918971938266,0.1378084532382604
j_mv_I,-0.03451705553957995,-0.03451705553957995
q_mv_aVL,-0.04864048869796755,-0.04864048869796755
j_mv_aVF,-0.0357067284371125,-0.0357067284371125
j_mv_V2,-0.03366982377190405,-0.033669823771904
st_mv_V1,-0.036973301761197744,-0.036973301761197744
q_ms_aVR,0.0519512902576992,-0.04533325500004705
p_ms,0.243266169462085,0.23209950237674076
j_mv_II,-0.03249527036195235,-0.03249527036195235
j_mv_aVR,-0.03553170114925545,-0.03553170114925545
r_mv_V5,0.3161977443133933,0.3161978012732424
t_mv_III,-0.043455700810837494,-0.043455700810837494
q_mv_I,-0.052874165551936,-0.052874165551936
r_mv_aVF,0.3672029227884457,0.36720292278844585
p_mv_V3,-0.0341067862265387,-0.03410678622653865
s_mv_I,-0.04603615762876805,-0.04603615762876795
r_ms_V1,0.1261261753430741,0.11217756241617699
s_mv_V6,-0.03731594796736995,-0.03731594796736995
p_mv_III,-0.04009559547508515,-0.0400955954750851
st_mv_III,-0.0360160472945531,-0.0360160472945531
p_mv_V6,-0.03306047007531765,-0.03306047007531765
