,Age & BMI,"Sleep Quality
(average of nights)"
Plum,0.01243851649038465,0.06896050798546235
Fried eggplant,0.0037728331294403002,0.0513046646257565
Pastrami,0.00276956582126885,0.049277818382791355
Ceviche,0.011275488972340951,0.052250234603512954
Mandarin,0.0261103581141015,0.0661954189986455
Turkey Shawarma,0.0036675347767017,0.042082566627325846
Squash casserole,0.00499510541013795,0.039894012823223995
Fried onions,0.0229644341001516,0.05776566736437285
Danish,0.010588848261121601,0.04432937950209115
Sausages,0.0076152943459413,0.04088693293895545
Gilthead Bream,0.00379987357412525,0.0365218074003793
Orange,0.01477041633899155,0.04645094575348955
Salty Cookies,0.0139148277825869,0.044382730266516
Sweet Roll,0.01250139895880625,0.0416467695849438
Heavy cream,0.005202643592161,0.03308948142627735
Granola,0.0240408501971417,0.0501400557748336
Watermelon,0.0238185312607213,0.049911467016700004
Chili pepper,0.00500712718780935,0.0299649039175639
Cracker,0.00798524425838235,0.032652621354765
Salty Cheese,0.00073555161231655,0.024715276997755352
Cereals,0.016399353252843252,0.040282517628317
Salt,0.0271603681589059,0.050333792503071004
Wine,0.04160059631105785,0.06433942439253015
Canned corn,0.0018188415068182001,0.023795090955512348
Carrot Salad,0.0083165981833251,0.02990173643339045
Chia seeds,0.00588330032742425,0.0272631956841655
Walnuts,0.049425989971203,0.07028988821627224
Butter Cookies,0.00044871113856645,0.02055645634007905
Popcorn,0.02055224617428435,0.040416392363732
Nectarine,0.00021838829034595,0.01997664774958315
Shakshouka,0.02202146438303565,0.04072839358959455
Avocado,0.0393698750307745,0.056672949455267504
Vodka or Arak,0.004061036372828401,0.020835771723794652
English cake,0.0039454427372375,0.02068980707250135
Chocolate spread,0.05059597712045755,0.0662927832526489
Green Salad,0.014893583736859051,0.030511398420213
Sugar Free Gum,0.009842352783001749,0.0250525620605208
Pickled cucumber,0.00486911191046875,0.02005186484115885
Caesar Salad,0.00328304047027985,0.0176806692024536
Chocolate,0.0253344900293418,0.0396780414615963
Grilled vegetables,0.0042096731824692,0.0177464111620462
Beans,0.0032042409963728502,0.016709891421145498
Steak,0.0014725890077669,0.01478009715030685
Chicken drumstick,0.0007854355060144501,0.013471010566026051
Oatmeal,0.025031960991593098,0.037161394201942644
Tea,0.0367692697812565,0.048456853989608695
Apple,0.02519417653446745,0.03592598631778955
Chocolate cake,0.0085298410598761,0.01889620338074955
Jam,0.02339180903009785,0.03311450679798085
Brown Sugar,0.012770108081721649,0.0201040461214532
Cooked zucchini,0.003789762486383,0.009694138667252002
Egg Salad,0.00675806865049635,0.012358094767352501
Lemonade,0.0082607356220605,0.01148927333228775
