,Age & BMI,"Sleep Quality
(average of nights)"
Almonds,0.08719003753155444,0.07543120718089236
Apple,0.032273254510309005,0.06691409617101554
Apple Cake,0.0773436482114469,0.0611422024643927
Apple juice,0.00605547069481125,-0.0340970835707681
Apricot,-0.0278539474455504,-0.0314314012499408
Artichoke,-0.0035592684361462996,-0.033129911664074405
Arugula,-0.03725443927552005,-0.03725443927552005
Avocado,0.0957298030568434,0.1113300727957255
Bagel,-0.029938373311897748,0.04363912419564335
Baguette,0.0455610846803434,-0.034036044204730845
Balsamic vinegar,-0.04213738951087605,-0.042137389510875756
Bamba,0.09962957104225409,0.09421381181669536
Banana,0.09140783709537606,0.1202990508020582
Beans,-0.0376433933597084,-0.03764339335970865
Beans black-eyed peas,-0.033088055323398896,-0.03308805532339885
Beef,0.04158580538112115,-0.026724067730533548
Beer,0.07299880287326721,0.0468576404977525
Beet,-0.03028466908667685,-0.03028466908667685
Beet Salad,-0.032166293042008604,-0.032166293042008645
Biscuit,-0.029950138506399097,-0.029950138506399097
Bissli,0.10173596937619481,0.101398697283791
Blueberries,0.00734441104588855,-0.03337251253454815
Boiled corn,0.0038812458650966,-0.0307545443551913
Bolognese,0.0437381679407767,-0.0341096514100548
Brazil nuts,-0.029238135680937798,-0.029238135680937798
Bread,0.0252919415310989,-0.03271086557387305
Broccoli,0.0266854403163006,0.06672726687828856
Brown Sugar,-0.032495174836367546,-0.032495174836367546
Brownies,-0.0328271105414617,-0.0328271105414617
Bulgur,-0.035877841239385797,-0.0358778412393857
Burekas,0.0171388224307379,0.0486129552518619
Butter,-0.0319360984922461,-0.03415452164775715
Butter Cookies,-0.0316283931834229,-0.031856927075726696
Caesar Salad,-0.03672238459014135,-0.03672238459014135
Camembert or Brie,-0.033721343502083,0.0010044321720638501
Candies,-0.03481198697405545,-0.03481198697405545
Canned Tuna Fish,0.043868066814967896,-0.0316294955233812
Canned corn,-0.03140257200169215,-0.03140257200169215
Cappuccino,-0.0048331016118969995,-0.0196694741982124
Carrot Cake,-0.0371385304558835,-0.0371385304558835
Carrot Salad,-0.02372854551525195,-0.03271696354438785
Carrots,0.0337015943557775,0.07852735556944654
Cashew,0.0767086735462933,0.0590393560446395
Cauliflower,-0.0324199773708976,-0.0324199773708976
Cereal Bar,-0.03348535357771535,-0.03313640839243745
Cereals,-0.03052702015490005,-0.03052702015490005
Ceviche,-0.037321287742289044,-0.0221181143024862
Challah,-0.00623671719334155,0.038129675956490555
Cheesecake,0.06359304871845506,-0.0315057526737551
Cherries,-0.0310410288243075,-0.0310410288243075
Cherry tomatoes,0.042994636320386,0.03331173603358665
Chestnuts,-0.03520195287661585,-0.03520195287661585
Chia seeds,0.057795371932909,0.0499664428318366
Chicken,0.01640166611324975,-0.0296920120345524
Chicken Liver,-0.030746518353649797,-0.030746518353649797
Chicken Meatballs,0.03028059647807555,-0.03328198954355145
Chicken Steak,0.09216323253413919,-0.0337655311717958
Chicken breast,0.053613132962455304,0.02511994906178805
Chicken drumstick,-0.03289435942313475,-0.03289435942313475
Chicken legs,0.048091775187909455,-0.03108585596961265
Chicken soup,-0.0335315115543104,-0.03028241003425965
Chili pepper,-0.037204935208178705,-0.03720493520817855
Chocolate,0.0391745001416827,-0.03371007957482735
Chocolate Cookies,-0.033892795741091594,-0.034815952812131595
Chocolate cake,-0.0351275485563895,-0.03512754855638945
Chocolate spread,0.0706254077597125,0.07062540775971245
Ciabatta,-0.03244544937431025,-0.03244544937431025
Cinnamon,-0.039822099136019654,-0.0398220991360196
Coated Wafers,-0.035857761697478396,-0.03800940597673965
Coated peanuts,-0.0411821147505012,-0.0411821147505011
Cocoa Powder,-0.0343616606985936,-0.0343616606985935
Coconut,-0.0365817097840664,-0.03658170978406645
Coconut milk,0.029821644092495152,0.04521131433095305
Coconut water,-0.0375481070700972,-0.0375481070700972
Coffee,-0.03219702086870405,-0.03409413778221915
Coke,0.0600545106052934,-0.0336422212420031
Cold cut,0.0496108032149904,0.04766335865721575
Coleslaw,0.022775222715393548,-0.03167702960234525
Cooked cabbage,-0.0365566804147201,-0.0365566804147201
Cooked green beans,0.01672832714628355,-0.0336668336372562
Cooked vegetables,0.0634997301870701,-0.0312300457441891
Cooked zucchini,-0.0395249806718589,-0.0395249806718589
Cookies,-0.00042755487401194997,-0.0318409944224902
Cooking cream,-0.03554139422285675,-0.035541394222856695
Coriander,-0.03720293246150575,-0.03720293246150575
Corn,-0.02863631257715095,0.055029384736226095
Cottage cheese,0.0490448349279982,0.01745078215279405
Couscous,0.02629401705317845,-0.0318826440161081
Cracker,-0.03008926641595925,-0.03008926641595925
Cranberries,-0.0350240139705367,-0.0350240139705368
Cream Cheese,-0.0059134201228747,-0.038157548786318704
Croissant,0.023404074556254248,0.0411206899101834
Croutons,-0.040147294098884595,-0.040147294098884595
Cuba,-0.03574054197296875,-0.0357405419729687
Cucumber,-0.03142824947751505,-0.03142824947751505
Danish,0.00458207457793165,-0.028900200002403953
Dark Chocolate,0.04249423165855125,-0.03588064498059685
Date honey,-0.02666050313881805,-0.02666050313881805
Dates,0.044928977918945096,0.0657305810635563
Diet Coke,0.10833225661822435,0.10968911914773015
Dried cranberries,-0.03607902602509265,-0.03607902602509265
Edamame,-0.0373222032191147,-0.0373222032191147
Egg,-0.00634553398455805,0.0143616066949709
Egg Salad,-0.0335309201194387,-0.034779993116202196
Egg yolk,-0.03497690347935215,-0.03497690347935215
Eggplant,-0.02970081367664345,0.06195008209463295
Eggplant Salad,0.055333916746831496,0.0695968017443071
English cake,-0.030551890887776448,-0.030551890887776448
Entrecote,0.0705997535664807,-0.03336421307729405
Falafel,-0.03541394384375045,-0.03541394384375045
Fennel,-0.03643524580337115,-0.03643524580337115
Fig,0.016967682009064948,-0.0349484673920407
Flavored Yogurt,-0.0327775641970873,-0.0327775641970874
French fries,0.1210182909793435,0.10244397667348401
Fried eggplant,-0.0014093018459921001,0.014894368998140551
Fried onions,-0.0321215800256852,-0.0321215800256852
Fruit Drink,0.015769839362024248,-0.0337567039568845
Fruit salad,0.01379914427342505,-0.0351467149941249
Garlic,-0.03193306280908565,-0.03193306280908565
Gilthead Bream,0.021448632621753,-0.02987139473774495
Goat Cheese,-0.0312199563586839,-0.0312199563586839
Gouda Cheese,0.00031306213341343543,-0.0287243204340579
Granola,0.05175139444550955,-0.027055265214521902
Grapes,-0.029826214664250998,-0.02982621466425105
Green Salad,-0.03163891234754705,-0.03163891234754705
Green Tea,0.013910309460372649,-0.0350057953776367
Green beans,-0.0388214006779769,-0.0368349699174903
Green cabbage,-0.0344598717221066,-0.0344598717221066
Green onions,-0.03155579498867925,-0.03155579498867925
Grilled vegetables,-0.03096902769312985,-0.030146488077335
Guacamole,-0.0325057294616563,-0.03250572946165635
Halva,-0.0316567471633018,-0.0328849529337922
Hamburger,0.15776599009764564,0.15531954347123225
Hazelnuts,-0.033543945294062,-0.033543945294062
Heavy cream,-0.0317540409613689,-0.03175404096136885
Honey,-0.03574107402896745,-0.03574107402896755
Hummus,-0.0069075722437115,-0.0338198066933659
Hummus Salad,0.0672766558219676,0.0347284382957426
Ice cream,-0.03474270442210635,-0.03474270442210635
Ice cream bar,0.00755738856823725,-0.03435745944653665
Israeli couscous,-0.032726089991482354,-0.032726089991482354
Jachnun,0.073826012183389,0.060791695286705444
Jam,-0.0317842129465195,-0.0317842129465196
Jewish donut,-0.03636412456933545,-0.036364124569335604
Kebab,0.02758137685132345,-0.03311032415760365
Ketchup,0.036839363986022555,-0.0316195747646493
Kiwi,0.032567607176673646,0.03969338455780365
Knafeh,-0.037468418332619796,-0.037468418332619755
Kohlrabi,-0.0285461154965523,-0.0285461154965523
Labneh Cheese,-0.0347816631352945,-0.0347816631352945
