,Age & BMI,"Sleep Quality
(average of nights)"
Almond Beverage,0.010048298062496158,0.010048298062496158
Almonds,0.007450636454682797,0.008425246883262995
Apple,0.006120472722012989,0.01082704742253903
Apple Cake,0.008247721654938828,0.010192382108019857
Apple juice,0.010830576319689169,0.010830576319689169
Apricot,0.010197337253745413,0.011065804040495295
Artichoke,0.011750301772906186,0.011750301772906207
Arugula,0.011127036162299476,0.011127036162299476
Avocado,0.005055224200487232,0.006095607562139372
Bagel,0.011289222732656631,0.010833098838659636
Baguette,0.011452749353066812,0.011452749353066805
Balsamic vinegar,0.011440189790453208,0.0114401897904532
Bamba,0.005136896203841638,0.0057677955996141604
Banana,0.006295651211622918,0.011423694879660471
Beans,0.013340169120517822,0.01183822317435096
Beans black-eyed peas,0.011924241610769801,0.010987878522857882
Beef,0.007235745727306432,0.010540241802141031
Beer,0.013584070397924601,0.013787503840303654
Beet,0.009408997045634469,0.011270041798202813
Beet Salad,0.013188709292726275,0.011661153492966009
Biscuit,0.012836539046960315,0.01417511842360012
Bissli,0.011543372933888591,0.011491851537611732
Blueberries,0.01067506684717531,0.01009337894266278
Boiled corn,0.013010801084264185,0.013010801084264176
Bolognese,0.006177597275279967,0.00789789974845731
Brazil nuts,0.01787809474215086,0.017878096314456617
Bread,0.011275911985910329,0.014735870408031662
Broccoli,0.008078275558508539,0.01100295803153984
Brown Sugar,0.011105571404926051,0.0122157949125747
Brownies,0.014210518224904564,0.014210518224904567
Bulgur,0.011587940656498515,0.011587940656498515
Burekas,0.009298359394152796,0.010838831811054477
Butter,0.01281174982622632,0.01263137930654233
Butter Cookies,0.011748891294102335,0.012636918510151758
Caesar Salad,0.015240116406956331,0.015240116406956331
Camembert or Brie,0.011039991465382334,0.011200839315486204
Candies,0.012949375829261384,0.012949375829261384
Canned Tuna Fish,0.006743361674895501,0.012224559146598155
Canned corn,0.014878387155327718,0.012736595312086653
Cappuccino,0.011922364834402994,0.011922364834402994
Carrot Cake,0.013392161327172657,0.013392161327172651
Carrot Salad,0.012806593969343562,0.012806593969343586
Carrots,0.010824336573746705,0.010824336573746705
Cashew,0.01269624144416559,0.008406374392018348
Cauliflower,0.013582141406667313,0.010940114259486508
Celery,0.008424272057416202,0.011620802108955063
Cereal Bar,0.01133557763208952,0.011335577632089486
Cereals,0.00749910259431311,0.0054648395636386566
Ceviche,0.014804821867963036,0.014831495479556369
Challah,0.011086937612994495,0.011086937612994511
