,"Age, BMI & VAT","Sleep Quality
(average of nights)"
1stQu,0.06913176329881224,0.20050212096839182
Median,0.08889873412286844,0.1953769904495546
AUC,0.10358965174283695,0.2022055979088474
grade_hypo,0.04976401879700895,0.14341389130835508
lbgi,0.06574325834068595,0.14940503475287945
3rdQu,0.1233699786123927,0.20379304196569845
Mean,0.10335553277062096,0.18014107345917946
ea1c,0.1033555292670443,0.18014106618802475
gmi,0.1033555263716683,0.18014106192274254
adrr,0.01356135832562785,0.07841801661085016
COGI,0.039496785486808,0.10334695879783509
SDRoc,0.0344773307428371,0.0908327993288838
GVP,0.0537140637318938,0.10808922421955686
grade_eugly,0.002689721526182,0.04626514264338825
SdWSH,0.08029404149006819,0.12368231639108546
CV_Measures_Mean,0.06585632685353571,0.10903039770200995
j_index,0.09450027143165096,0.1225401224746966
Min,0.06637580785263586,0.0932774498152387
MAG,0.17307724489569515,0.18271336474127292
