,"Age, BMI & VAT","Sleep Quality
(average of nights)"
index,0.020571534994522005,0.016882533475479303
adrr,0.01763126675324202,0.011100804543710856
COGI,0.015905015846131035,0.015905015846131042
cv,0.024842671160946447,0.014338532731142018
ea1c,0.017026784124455446,0.03138681732203018
gmi,0.01702678412445544,0.01702678412445544
grade,0.018945742168104587,0.019052198620818788
grade_eugly,0.02017429839394523,0.017104765523404522
grade_hyper,0.0059270467204009265,0.011695685393627114
grade_hypo,0.00806626589132585,0.008977052481183547
hbgi,0.0151624217664436,0.015162421766443597
lbgi,0.011908593743289661,0.007165129198585323
hyper_index,0.014504451420074295,0.014504451420074295
hypo_index,0.019513028540319492,0.01555718897500774
igc,0.020269518620330263,0.015473175962186041
iqr,0.006325392383278767,0.00951731025892368
j_index,0.007277681893207885,0.00786999799985856
m_value,0.015487281940972306,0.017606668459955406
MAD,0.007098119337846298,0.009394374691043131
mage,0.014649326604762482,0.015097138390870252
above_140,0.006555287436009383,0.010994005004578299
above_180,0.012248097562452402,0.009304289138095452
below_54,0.01649575667172776,0.015674551839186094
below_70,0.007739272666839534,0.012999114242622959
in_range_63_140,0.014968667729506833,0.018423780470198593
in_range_70_180,0.008581278363451983,0.013378709117277423
range,0.013977845102815441,0.018341367795524945
sd,0.01482715154922135,0.014743149368604193
Min,0.008817193313069429,0.011930489636696798
1stQu,0.007576797989425069,0.008760024986335723
Median,0.00630249848478304,0.008624411544167078
Mean,0.005908211168840228,0.008922937830386253
3rdQu,0.0050512459594941024,0.008845226237654897
Max,0.01140713243143436,0.01324682545879976
Conga,0.008302234008711627,0.012848609697465218
GVP,0.020535982133530476,0.020535982133530462
MODD,0.0065406315074005026,0.01005979200778475
SDRoc,0.01927234053798283,0.01927234053798283
CV_Measures_Mean,0.011848232692673953,0.012012781499479706
CV_Measures_SD,0.020024139794180214,0.01670448236016206
AUC,0.005900861174082673,0.008896955610374815
MAG,0.005857140452514291,0.007203513647632476
SdW,0.0077901766801098515,0.011782256123813983
SdHHMM,0.00992860968447169,0.014375563826433702
SdWSH,0.014281302444103876,0.012993948561182155
SdDM,0.014917967066249878,0.01608552215503951
SdB,0.009977063068726175,0.010935025746815537
SdBDM,0.007267354654023759,0.010583623383948791
bt__hba1c,0.04066974115880882,0.0406697411588088
bt__glucose,0.0039399811891396115,0.007015952993996754
