,fortified_wine__glasses_week,hours_outdoors_winter,hours_driving,liqueurs_measures_week,other_alcoholic_glasses_week,physical_activity_maderate_days_a_week,vigorous_activity_minutes,sleep_hours_in_24H,work_hours,work_days_a_week,hours_using_computer_not_work,work_hours_day,hours_watching_tv,hours_outdoors_summer,white_wine_glasses_week,walking_minutes_day,walking_10min_days_a_week,beer_cider_pints_week,moderate_activity_minutes,drink_alcohol_with_meals_partial,drink_alcohol_with_meals_yes,mobile_phone_side_of_head_Left,mobile_phone_side_of_head_Right,drive_faster_often_Neverorrarely,drive_faster_often_Sometimes,drive_faster_often_Usually,pet_present_no,pet_present_yes,mobile_phone_use_duration_per_week_13hours,mobile_phone_use_duration_per_week_3059minutes,mobile_phone_use_duration_per_week_46hours,mobile_phone_use_duration_per_week_529minutes,mobile_phone_use_duration_per_week_Morethan6hours,why_stop_drinking_Otherreasons,why_stop_drinking_dontknow,visit_friends_family_times_24timesaweek,visit_friends_family_times_Onceamonth,visit_friends_family_times_Onceaweek,high_exercise_times_a_month_Fourtofivetimesaweek,high_exercise_times_a_month_Onceaweek,high_exercise_times_a_month_Twoorthreetimesaweek,high_exercise_times_a_month_Twoorthreetimesinthelastmonth,easy_getting_up_Doesnotwakeupeasily,easy_getting_up_Wakesupprettyeasily,easy_getting_up_Wakesupveryeasily,manual_physical_work_Sometimes,manual_physical_work_no,alcohol_drink_12timesaweek,alcohol_drink_13timesamonth,alcohol_drink_Inspecialcasesonly,high_exercise_duration_Betweenaquarterofanhourandhalfanhour,high_exercise_duration_Betweenanhourandanhourandahalf,high_exercise_duration_Betweenhalfanhourandanhour,falling_asleep_during_daytime_Fromtimetotime,falling_asleep_during_daytime_Notorrarely,tobacco_past_how_often_Ineversmoked,tobacco_past_how_often_Ionlytriedonceortwice,tobacco_past_how_often_Ismokedmostoralldays,tobacco_past_how_often_Ismokedsometimes,smoke_tobacco_now_no,years_using_mobile_phone_Over8years,nap_during_day_Fromtimetotime,nap_during_day_Notorrarely,consider_yourself_morning_evening_Immoreofamorningmanthananevening,consider_yourself_morning_evening_Immoreofaneveningmanthanamorning,consider_yourself_morning_evening_Imtotallyamorningman,consider_yourself_morning_evening_Imtotallyaneveningman,consider_yourself_morning_evening_dontknow,usual_walking_pace_Average,usual_walking_pace_Fast,shift_work_no,snoring_no,snoring_yes,pet_past_no,pet_past_yes,smoke_houshold_no,trouble_falling_a_sleep_Fromtimetotime,trouble_falling_a_sleep_Notorrarely,trouble_falling_a_sleep_Usuallyyes,climb_staires_tymes_a_day_15,climb_staires_tymes_a_day_610,climb_staires_tymes_a_day_Morethan20times,climb_staires_tymes_a_day_Zero
0,-0.06311220194201003,-0.062490771778178474,-0.032327507139916375,-0.050162215710708676,-0.04718336556279989,0.21445714505581462,0.2498307628175138,-0.027986002639833807,0.18032476863211946,0.09064013553118344,0.10442820219023206,0.1884673712756471,0.1515403085603719,-0.04019683676440426,0.12484848454227858,0.09723983876871159,0.15068247986156133,-0.024857378085044506,0.16757248082126125,-0.07114607019604112,-0.047777078445253154,-0.043947042842165183,-0.028653126557119546,-0.045331582531445896,-0.06009629853420024,-0.028326895364400802,-0.016582848300132333,-0.018834834368849758,-0.05191200064937591,-0.01152943449373794,-0.05685092945876844,-0.039183730491104206,-0.03800118923137453,-0.027475267822693532,-0.058396677415275405,-0.016016356930507892,-0.032621164980882716,-0.04204772461253681,-0.03431781500260337,-0.045640169758199164,-0.03904730850995125,-0.0369340949956621,-0.054468278754738975,-0.03433427631337341,-0.0378180531933514,-0.08638324049408312,-0.08141814261992636,-0.07188445232621676,-0.03300445389320887,-0.03150265668676136,-0.03193597904095382,-0.05756378222831745,-0.029941286018278276,-0.010628672576943403,-0.02930672649022775,-0.0543684975118036,-0.07596132613813884,-0.04010998533811213,-0.019467393785180285,-0.05834984666222796,-0.029291007083736588,-0.08510695927449355,-0.028030212625594762,-0.06557358676660587,-0.06892948590656924,-0.04049567280564567,-0.03434380725912679,-0.047118621433425094,-0.04323694624590841,-0.050366416553067984,-0.011124069630185822,-0.06665012923851947,-0.038830464779249,-0.07218685080850114,-0.08256651359411867,-0.05909692222585072,-0.03457872466419352,-0.018637704800048203,-0.04411440309760219,-0.029373645783466903,-0.02544632256617382,-0.025258819320990007,-0.04055982893311977
1,-0.05125658962963681,-0.053915072569481484,-0.02869905652949536,-0.07275582940042898,-0.05059264002158071,0.2080934328393282,0.2498613539314554,-0.042181220874589496,0.18954803705399736,0.10572302559683355,0.1072338973307035,0.1990437352467208,0.1464888399053538,-0.04801766367839443,0.13527338183667975,0.10026318475596842,0.16088731549096152,-0.06445725873016193,0.16863721081999777,-0.07069697366121347,-0.0435989067150492,-0.05509438685872319,-0.036617298865434925,-0.0414785192611172,-0.04216844102676146,-0.027878854216040132,-0.04117559471013672,-0.048586921818896976,-0.04513028118661298,-0.02134886650187486,-0.01511681028111849,-0.027833000388221917,-0.04988006241809646,-0.04830973382966679,-0.043662710187585795,-0.058630315474841016,-0.05053622392773657,-0.02842327140029874,-0.05719855182680323,-0.05183548213115126,-0.05215991384395653,-0.037403716649241234,-0.0351116723296503,-0.0419607484048052,-0.03329983584065163,-0.0552315040821411,-0.0350095691186117,-0.05951881257798468,-0.056483092886753704,-0.08056175780906599,-0.03777465970049835,-0.05732166282127126,-0.07434905699557949,-0.03640364882297986,-0.0176129505919806,-0.05640867367692677,-0.029861053407356536,-0.061606782701203934,-0.049499408434153895,-0.021348512168215438,-0.030233274585229827,-0.0411701486064607,-0.0219701683647142,-0.020840467583115994,-0.04036669805376676,-0.045727392567440385,-0.013606832760495069,-0.048776832473367594,-0.06156214154096833,-0.07078762738924899,-0.031886565061793756,-0.06900997034104082,-0.06020135966782601,-0.016682737266413863,-0.028100868610831598,-0.043600286276633454,-0.04925584658901361,-0.06287633511182582,-0.051741077378170866,-0.058063698157877514,-0.06508386710682795,-0.018486655519417118,-0.08307000202926547
2,-0.04029305600918155,-0.04550349371959674,-0.022671124001872336,-0.05220891197611216,-0.039188890448849864,0.21719011911198435,0.24153864812089815,-0.021408567466521686,0.1811720571274315,0.10121388518466953,0.08104860312752835,0.18552574529778296,0.1373260877254249,-0.0489336291332244,0.1163444989064457,0.10319592813541684,0.16739306011675628,-0.029705297867185173,0.17432960637085804,-0.03682741826442897,-0.05468543025964638,-0.03910978104402254,-0.03102704823703467,-0.04167638136095951,-0.05386956183751195,-0.028783791041007853,-0.026155399650232686,-0.036691244916013784,-0.04955819437434144,-0.04527220578566686,-0.04062254944220132,-0.0640055648635853,-0.04628033555814597,-0.04951641108081111,-0.051161328062328086,-0.049479447859412745,-0.04595493782927875,-0.06807604689638015,-0.06389149040842987,-0.04719261827755437,-0.039768914260132765,-0.028175562048598123,-0.0373938654350743,-0.05018909229236995,-0.0215185871683586,-0.03698998552776695,-0.06396844567891961,-0.060168618126164794,-0.03916859579249726,-0.054555560572435165,-0.04813666945193206,-0.047428846711728874,-0.029620947309804985,-0.03990085327907989,-0.05180900542928282,-0.03928095660118393,-0.04979590051896822,-0.04407710140157681,-0.018132094148189285,-0.0475353432501181,-0.049609386583362745,-0.04640953536226996,-0.03629475236344974,-0.04123180604045248,-0.04300518992572018,-0.018682541218109756,-0.030995611551068614,-0.020526811485403463,-0.027750876065678477,-0.06354712211910367,-0.05928077213754565,-0.07354681882889776,-0.08145165356073544,-0.03788503581808202,-0.0399639942174542,-0.02081695883273875,-0.02092780499439702,-0.03563299136146767,-0.026828066393728995,-0.027090006762554457,-0.033271749581969746,-0.06402529469433298,-0.045774183902208776
3,-0.08601944816107902,-0.059388688012335294,-0.04380511955663948,-0.054722864918095804,-0.033806773886921875,0.20836677189274136,0.24401508906239477,-0.035099152172262754,0.18698749985204852,0.10857047105219712,0.10761072405028355,0.18896742349190143,0.13621063742564585,-0.04919220102395545,0.11698087112147428,0.09151686183197093,0.16203827037567728,-0.05754983856759971,0.1750170717673382,-0.0361492219797731,-0.02553324811642246,-0.05608176568080273,-0.03038417771190728,-0.05344328895574459,-0.029417760906493836,-0.047820302362333124,-0.06362464706807432,-0.052166734764309455,-0.055391985062745605,-0.01644517545622414,-0.03408512640190306,-0.054281712518646226,-0.03873623392804393,-0.07467261558765388,-0.027738052679993463,-0.04322945768283108,-0.048025851870184356,-0.03130837050635225,-0.041827907854504826,-0.045760320259188185,-0.04247757252844051,-0.03783870288868473,-0.03717744500454096,-0.05503210777738011,-0.037449369488114725,-0.056388752650357706,-0.07105012040701637,-0.044487566793199415,-0.07094803490880017,-0.04749049047368445,-0.036636211750906,-0.04149398853324019,-0.06803440551137102,-0.043366963304894056,-0.04969457840542215,-0.05784441424595417,-0.0621689607099907,-0.026680497079972228,-0.04660962328406742,-0.06499190217822642,-0.04971310776584737,-0.04997375375721898,-0.04848032587024465,-0.0319049045841839,-0.03826305316708421,-0.061349810410863785,-0.041535651251169134,-0.05912595771248753,-0.04298819700562532,-0.06618058471058526,-0.025446213373305215,-0.04041249100039967,-0.0044550304459866925,-0.06426883327104796,-0.0555692927588327,-0.043766919434644044,-0.035572843677923245,-0.017042146513679787,-0.010232006618300732,-0.057044711285185665,-0.05348243329316103,-0.012348541189110405,-0.0470494263439196
4,-0.06858915422500231,-0.03645762093273352,-0.05327348722671253,-0.03432303154549936,-0.0766110777588822,0.20868764316167043,0.24578165396231033,-0.014878343325387372,0.1799895151564259,0.09578354170529094,0.10669810933030577,0.19556925716768508,0.130591450685054,-0.023997561819826582,0.11094481503213985,0.08527754043847136,0.15321386745507093,-0.044339944083331626,0.16547495723029781,-0.05482603548506376,-0.019826601069633666,-0.04818721901068285,-0.04233077218146177,-0.054165588906626407,-0.05898315160345355,-0.024423568320224312,-0.04159500472926545,-0.0528700267740579,-0.012514570862257126,-0.03839759990057458,-0.05814949276431946,-0.03393029022874985,-0.044130262331219104,-0.03990231569690412,-0.04698743955716305,-0.05736048988172054,-0.09060649881849443,-0.04979437831752781,-0.020813506683094396,-0.032221587924497815,-0.04310920837173614,-0.014779673013423976,-0.03996181627467848,-0.023882419490890386,-0.04011983278834448,-0.023436382644192625,-0.026360289996167807,-0.02855992699778026,-0.06546773700525325,-0.05422947034165603,-0.07248038948090417,-0.04376097156798916,-0.02409343505961087,-0.03277166263288458,-0.020357538178972612,-0.08505653800437162,-0.0766051309002458,-0.0256133225810161,-0.05088603444472822,-0.034644389207953125,-0.06590494932207755,-0.025082129250208113,-0.01668041352058564,-0.04794810966018208,-0.03980407242999954,-0.03453779307906728,-0.060555266462875026,-0.02197572742498352,-0.04758701825677718,-0.03087015979982556,-0.026406394392938428,-0.03865810422976498,-0.02815386330001285,-0.04074171533937497,-0.031086468542660978,-0.029969264525068342,-0.06869128422596014,-0.04625695649349834,-0.04710411625494392,-0.04180303954342109,-0.036167742340552346,-0.050759061992733695,-0.03319523799578652
5,-0.030371178557465392,-0.08946699396961338,-0.05151790340392203,-0.10854806112077683,-0.04916048188609516,0.21944613790105205,0.24428310695862013,-0.005728440957887613,0.18535295697244183,0.10660647260353631,0.10370906839841734,0.1984020547593399,0.1378125243915337,-0.016061738790836267,0.12909838055683434,0.09320240123786498,0.16727883824689344,-0.07203268593830318,0.17313134820911077,-0.04134851717545979,-0.04724404299111798,-0.04207954888540582,-0.01606011879888274,-0.0206428998127816,-0.04259948901052102,-0.04618652371908763,-0.04809268087909638,-0.0537393248553568,-0.03875854413106936,-0.03232087434278453,-0.050190769248321,-0.026188524992004438,-0.038428326981602305,-0.04643476719538892,-0.0442257471229459,-0.042738677803228764,-0.03191489368362419,-0.045631218400741795,-0.0394686922767762,-0.031138384891753943,-0.0366737416083469,-0.06806156727486293,-0.046711791604451,-0.033236979576515564,-0.03523531589176508,-0.06831566618926085,-0.09206991784063692,-0.04892369902981256,-0.05610590734866523,-0.03370592218221204,-0.019257730541483404,-0.05032297488648906,-0.05436055930863493,-0.05408349546474368,-0.04063082925261131,-0.023296713695209262,-0.026792661259564025,-0.02690328619842865,-0.03478186528995379,-0.040071538174029926,-0.031424898980612084,-0.044305692256845844,-0.05948271214682469,-0.027405559651474648,-0.065429359678734,-0.047066645823535216,-0.07595370678358379,-0.06241943674824019,-0.04587654603782921,-0.02208451284123269,-0.06900120686205792,-0.05935257674741658,-0.054683025525394564,-0.04645252603930342,-0.03279885307457957,-0.039978960881864256,-0.0400799013220898,-0.0517562445827471,-0.039535899082500096,-0.05764559937962577,-0.04817200989624995,-0.025361727774681927,-0.033899250476187213
6,-0.05148026859384548,-0.03213264772972442,-0.020668083136310224,-0.034922481151092546,-0.0374808227847493,0.20703934639978716,0.253043854431355,-0.016231849075556987,0.18501200431371084,0.10244562232889298,0.07456969231080997,0.18984182411760434,0.13405137334460737,-0.04208775724889484,0.1369119622991852,0.08397275172009055,0.16363962247745847,-0.06403939274740839,0.17586905910677067,-0.0490038781360026,-0.04000990760714253,-0.03408660924580581,-0.030384177711907292,-0.03750912646891183,-0.03285650494664517,-0.01447404329688838,-0.032620639602913455,-0.030132269228076103,-0.02756508513287143,-0.06735714514230629,-0.06061055288051369,-0.04570484407395181,-0.03204106581258801,-0.03797540995961029,-0.031134415311219462,-0.021698137939678914,-0.0382458390917633,-0.039941482674338114,-0.009481377835646648,-0.08090703939229478,-0.034657081460089126,-0.010216930610763182,-0.02045746118885498,-0.04244449420340368,-0.03393334051943773,-0.057122186846790435,-0.05713565067197626,-0.06506470688180425,-0.04018962059129366,-0.04653255021268789,-0.036314948358835406,-0.05650568830473237,-0.04690827897214164,-0.03568123508915404,-0.024503054716926678,-0.044982406754827634,-0.06764053500671754,-0.013297637269092152,-0.03282803474116431,-0.057673164098300575,-0.0462530590254595,-0.03962193434121022,-0.030598890403663294,-0.06835998358420543,-0.049059332167413594,-0.04593015269163754,-0.06553127233477107,-0.036111443119224464,-0.03607858821219431,-0.03326398525966125,-0.04317590506638565,-0.04079590646565077,-0.039559863412971144,-0.025764264947578677,-0.025264703148680633,-0.010261961154290337,-0.03846002161051809,-0.02749841712653018,-0.08082353214544323,-0.0380963555680273,-0.07775321955018014,-0.035189838222111774,-0.04526379744025492
7,-0.08835504562143738,-0.03543428191603891,-0.06468301251786927,-0.027406546145840392,-0.08951084242470415,0.21124109893870907,0.24622248857192455,-0.030914155889525365,0.173930197813759,0.085136777460069,0.08694944952842514,0.1986058325223553,0.13941901148986238,-0.05856237812920141,0.11769995884043155,0.08485445727529226,0.15347833527318086,-0.052293172069233035,0.17467716817919654,-0.03212536910937137,-0.025849467555555915,-0.0602747116386578,-0.028971819857416748,-0.06471225006491066,-0.04193816450056618,-0.06457523793713393,-0.05725403360151563,-0.04958109815533688,-0.015677459596214426,-0.06376842294663393,-0.040150656589465906,-0.04517237265655397,-0.022949850100196626,-0.0431736963391632,-0.046014593168429575,-0.041606238573116315,-0.06157378230208468,-0.048862891869703884,-0.045281033914257175,-0.047714205851995546,-0.053195174599045374,-0.038423582701385156,-0.05842482309531159,-0.028178025951889694,-0.024187361119609587,-0.03558912058541077,-0.027975481385264754,-0.023532553362890205,-0.05821529844366847,-0.023044839715457892,-0.06294580966002052,-0.03777926641452445,-0.04295213476450162,-0.05051618345399248,-0.03526826474541712,-0.029130036640042517,-0.0312945763131632,-0.05014132754095564,-0.030087440488406857,-0.02728751902631423,-0.034125111428534846,-0.03902472428651987,-0.05622069925015482,-0.05356230888527716,-0.05265110528588155,-0.05143628540932102,-0.028251341629024238,-0.04423209194295378,-0.02723784558474801,-0.04172300015030215,-0.04351052373684365,-0.026062983992156865,-0.024965127389096488,-0.0394591695082827,-0.04772526480058021,-0.03779457872464716,-0.03535655709233293,-0.015522631043226934,-0.05051194296064599,-0.048310683677071045,-0.05260776061846901,-0.05209264627395272,-0.04783384340786036
8,-0.06505475528624194,-0.04650383445396861,-0.04209064715448665,-0.049086759460167606,-0.06866188234854917,0.19186967883522552,0.24027839051154462,-0.062139744163347874,0.18468499480200676,0.12012781823340425,0.09702756550580172,0.19494926069255197,0.13924686224317123,-0.06501765869751341,0.1228409494227092,0.0940281389825103,0.15639135934453843,-0.033901061494570194,0.17490223680272968,-0.041896276923181715,-0.028241851511195758,-0.0609533935516835,-0.03050977236497936,-0.0512808120298976,-0.05731364502363857,-0.028022042608431413,-0.044999287838256866,-0.03623028877855909,-0.05108461848585378,-0.023895992692857925,-0.05946605532211687,-0.03621590305445123,-0.04608076289338811,-0.033317561754348385,-0.029848637907545196,-0.03710981420610951,-0.027565335674072093,-0.03421639943112547,-0.047968337487805934,-0.018272339718133006,-0.06398797667500328,-0.026198375411687583,-0.020387138702426488,-0.05398042345404016,-0.04868764123792086,-0.044771059859006826,-0.03624175921328665,-0.06118174677254752,-0.027232368825644778,-0.025656667851560858,-0.024454391186260863,-0.03248408694903943,-0.02659013523646191,-0.034991743959384085,-0.059634541365778275,-0.06921632839219911,-0.059661152342643665,-0.061239486342921666,-0.07580613977301146,-0.02795695478994339,-0.03836162653449458,-0.02506729217221261,-0.04340333508242058,-0.05526514593690496,-0.04823886240830489,-0.0385185840599335,-0.018680849802175548,-0.027321911646543195,-0.0532832365431405,-0.021140171561177357,-0.018429231318454923,-0.022947784306510084,-0.03696374427816535,-0.03342196629663793,-0.025488210209845694,-0.06284344091690983,-0.030846534586653655,-0.047973942540813545,-0.06533842165921121,-0.03158231883539208,-0.04417849542057378,-0.04775832150231122,-0.06473702336579443
9,-0.026556484296845446,-0.07844043408197035,-0.03189775012359976,-0.03888599600139258,-0.04793434163908924,0.21898248899154973,0.25036860791384513,-0.05145523545027438,0.1911492136950131,0.11192617906956404,0.10712967958652674,0.20183583260662785,0.13522999826742352,-0.029418172998914537,0.13614691217661395,0.08656916876972048,0.16385712981271608,-0.062313131702425105,0.16944475498042058,-0.03670677147632749,-0.061813167043884246,-0.07404206141211442,-0.049384002578082266,-0.026142383735831064,-0.0326377773457813,-0.04758638867179776,-0.043781054109331696,-0.05790839654074055,-0.023714417277111675,-0.021283358085758455,-0.05840244505410959,-0.05280185600905917,-0.07041513974606783,-0.04547544029496522,-0.03133934379849439,-0.038837512044229715,-0.02874996009918485,-0.04727557520500999,-0.024385832971924426,-0.05392541778773764,-0.052025928422740876,-0.04916087804705271,-0.07387091146390008,-0.04376695692169504,-0.0633284142039729,-0.036630966623854615,-0.039681984783332236,-0.051223455099523925,-0.028001169285824815,-0.038456690676957624,-0.07517364538423266,-0.058437298553370175,-0.05991004854000049,-0.04020702492264255,-0.04311837123485338,-0.06578884715708659,-0.04811538149435749,-0.061981812609417784,-0.033483421591683035,-0.04230718664762803,-0.05139962034347309,-0.01977835651833973,-0.01944470145721345,-0.026984708116346907,-0.07446023421913353,-0.05527084661003096,-0.03549452255431129,-0.0238987810590439,-0.0468450559050354,-0.04934311340858559,-0.027697392404543282,-0.03734666886124333,-0.027618757715996305,-0.06611882787303769,-0.0727616684459628,-0.03396337495529151,-0.04883545961513131,-0.03958646261946937,-0.03396134740874749,-0.037830088725921786,-0.03347800095850997,-0.018105126124053465,-0.04288660695964073
