,fortified_wine__glasses_week,hours_outdoors_winter,hours_driving,liqueurs_measures_week,other_alcoholic_glasses_week,physical_activity_maderate_days_a_week,vigorous_activity_minutes,sleep_hours_in_24H,work_hours,work_days_a_week,hours_using_computer_not_work,work_hours_day,hours_watching_tv,hours_outdoors_summer,white_wine_glasses_week,walking_minutes_day,walking_10min_days_a_week,beer_cider_pints_week,moderate_activity_minutes,drink_alcohol_with_meals_partial,drink_alcohol_with_meals_yes,mobile_phone_side_of_head_Left,mobile_phone_side_of_head_Right,drive_faster_often_Never or rarely,drive_faster_often_Sometimes,drive_faster_often_Usually,pet_present_no,pet_present_yes,mobile_phone_use_duration_per_week_1-3 hours,mobile_phone_use_duration_per_week_30-59 minutes,mobile_phone_use_duration_per_week_4-6 hours,mobile_phone_use_duration_per_week_5-29 minutes,mobile_phone_use_duration_per_week_More than 6 hours,why_stop_drinking_Other reasons,why_stop_drinking_dont know,visit_friends_family_times_2-4 times a week,visit_friends_family_times_Once a month,visit_friends_family_times_Once a week,high_exercise_times_a_month_Four to five times a week,high_exercise_times_a_month_Once a week,high_exercise_times_a_month_Two or three times a week,high_exercise_times_a_month_Two or three times in the last month,easy_getting_up_Does not wake up easily,easy_getting_up_Wakes up pretty easily,easy_getting_up_Wakes up very easily,manual_physical_work_Sometimes,manual_physical_work_no,alcohol_drink_1-2 times a week,alcohol_drink_1-3 times a month,alcohol_drink_In special cases only,alcohol_drink_Never,high_exercise_duration_Between a quarter of an hour and half an hour,high_exercise_duration_Between an hour and an hour and a half,high_exercise_duration_Between half an hour and an hour,falling_asleep_during_daytime_From time to time,falling_asleep_during_daytime_Not or rarely,tobacco_past_how_often_I never smoked,tobacco_past_how_often_I only tried once or twice,tobacco_past_how_often_I smoked most or all days,tobacco_past_how_often_I smoked sometimes,smoke_tobacco_now_no,years_using_mobile_phone_Over 8 years,nap_during_day_From time to time,nap_during_day_Not or rarely,nap_during_day_Usually yes,consider_yourself_morning_evening_Im more of a morning man than an evening,consider_yourself_morning_evening_Im more of an evening man than a morning,consider_yourself_morning_evening_Im totally a morning man,consider_yourself_morning_evening_Im totally an evening man,consider_yourself_morning_evening_dont know,usual_walking_pace_Average,usual_walking_pace_Fast,usual_walking_pace_Moderate,shift_work_Sometimes,shift_work_no,snoring_dont know,snoring_no,snoring_yes,pet_past_no,pet_past_yes,smoke_houshold_Yes  one household member smokes,smoke_houshold_no,trouble_falling_a_sleep_From time to time,trouble_falling_a_sleep_Not or rarely,trouble_falling_a_sleep_Usually yes,climb_staires_tymes_a_day_1-5,climb_staires_tymes_a_day_6-10,climb_staires_tymes_a_day_More than 20 times,climb_staires_tymes_a_day_Zero
0,-0.058038120111395655,-0.0011133574315842021,-0.030680601560843967,-0.04523013527439841,-0.044200318580885925,0.1850785523905205,0.13147343782273133,0.16769437273012297,0.22116856442380792,0.14728979201656411,0.09723346676501213,0.26742616112015916,0.14412185401343014,-0.03498704004857616,-0.051584655691904506,0.05084423310646948,0.152616317149148,-0.016840770935690585,0.10805035378545068,-0.03009859066123456,-0.02355885013614434,-0.02410984329166604,-0.026818579848698076,-0.03849609048472406,-0.025047243542916892,-0.013955946619337349,-0.028549694784692714,-0.0387345620908034,-0.03905998360262224,-0.03390342636630724,-0.019393651761835967,-0.03985781040581987,-0.018941513155301175,-0.04583780413411797,-0.02918807556468183,-0.051107264168031366,-0.03927401096905988,-0.06029629006558432,-0.029307533352773224,-0.03559738102840023,-0.03983100596085273,-0.03033562368974247,-0.04714045207910323,-0.06279765154395055,-0.035042987552433194,-0.0461364176711855,-0.04507064749821012,-0.020827237751112643,-0.024160866404875192,-0.03381473196468372,-0.03605063889057739,-0.02930408182950175,-0.031015290577705038,-0.022591312581000382,-0.02919524030343682,-0.06575260599124177,-0.010137724893555784,-0.01454136845668326,-0.043947057256489924,-0.05514982002766255,-0.04696204652188331,-0.027990775001641918,-0.041407985420761365,-0.02468834789295313,-0.010822735037186566,-0.028500835259736203,-0.04373716217865144,-0.027330874049273066,-0.05675341899671832,-0.009193593194690172,-0.04818971409895204,0.17065881928113158,-0.03249183126483374,-0.02266132902112538,-0.03458322222625638,-0.024230343745615772,0.23414369139400393,0.13328997460191516,-0.044839004767117704,-0.051233667443084885,-0.042197838887160145,-0.022188150505774277,-0.04751602740244909,-0.02845860698362018,-0.04791468155966067,-0.020236735116300315,-0.04091898152244041,-0.01590538592875476,-0.031068488300060104
1,-0.03788602132449393,0.0014965998645167513,-0.03073587201018733,-0.056946869642993406,-0.0383606655258704,0.17720159122829326,0.135930200526146,0.19158468415816704,0.2256262570803878,0.1597199694919289,0.08587577583572932,0.26624321722197186,0.14045074372190702,-0.034371153906142676,-0.07226823998732829,0.05377872104189471,0.15453316872782638,-0.016506377519462243,0.11912440121285678,-0.07226082013346366,-0.043702228921097826,-0.025642125146853257,-0.023054443329034606,-0.05272714926164069,-0.05084220733317789,-0.045687304159399963,-0.04572995044074345,-0.04787039890762466,-0.02838302782921718,-0.05933211108144185,-0.04271603733720373,-0.021915474863136736,-0.039172894892273276,-0.01179710054051955,-0.06094106225404846,-0.05174058776319725,-0.03405446393464873,-0.05256373171319725,-0.0377265630805119,-0.02609751928849363,-0.020299330963590875,-0.0218312468554941,-0.04529911098757655,-0.04665149997947619,-0.017858999964843646,-0.05538247810988147,-0.010644649795446973,-0.021774408981937124,-0.04830172795159253,-0.03629218364494405,-0.05723324952453089,-0.036523692468988435,-0.033651450062726816,-0.0512280707415384,-0.03615423069890165,-0.021658095035141812,-0.0374460691371457,-0.042138016238150514,-0.03541404461883666,-0.059162270876171916,-0.018884473518187304,-0.02713037272326725,-0.0403546617844256,-0.03942413005118647,-0.04674651104294784,-0.0277705472814619,-0.041910416708268367,-0.03030998931800392,-0.028683843184280314,-0.05964294004756958,-0.03951979899482069,0.1862526971730551,-0.0589544686696032,-0.020234641872767682,-0.018513429372387126,-0.043746443830460065,0.24576489479776722,0.1663421758825518,-0.014444395607555187,-0.018061518963496025,-0.021486087873773485,-0.05055560373453334,-0.02341185644483452,-0.02206736826833232,-0.01350222615394827,-0.04370007774309335,-0.0288879791819733,-0.04279960528591185,-0.04072216200502715
2,-0.0220248938892796,0.014062350889379417,-0.02548275747006094,-0.025372614779974594,-0.02205198692501582,0.18620157074492147,0.13248021188688966,0.1965635170386273,0.23436147904744412,0.15474596926646111,0.09977255021635337,0.2655308008282273,0.1393398890004015,-0.038330415402036175,-0.019677184522778418,0.0731720562500439,0.16346096891401662,-0.044824633552737664,0.11819282806169341,-0.031011798364630843,-0.05442139478016642,-0.033532850577430835,-0.04064497554958174,-0.05887163920531925,-0.04116541580513881,-0.02926168462880765,-0.04003895926571742,-0.03773825412198908,-0.022815832379813758,-0.026945778567133996,-0.030788118626845065,-0.04048487266278812,-0.03164162929024827,-0.047494624727636506,-0.027435163058436705,-0.008840993474050677,-0.018866624606989048,-0.04381703719928328,-0.029071748883743562,-0.05654412870808212,-0.05719266072014439,-0.05613518782609991,-0.036772895764192425,-0.025771612418352248,-0.04167099991796884,-0.04117457989652793,-0.028691350291461557,-0.04055003646706224,-0.04093724208882811,-0.018245523206903178,-0.03317714218769382,-0.04745214417547745,-0.03436751855766223,-0.07345132299019382,-0.053172806103803164,-0.01645453558589809,-0.03516853003510892,-0.0528149645303641,-0.024300392110612166,-0.03339283958107397,-0.019375061020185637,-0.0452219492079188,-0.027980923513029592,-0.015017335749822183,-0.036651779835043224,-0.02598685366104009,-0.05379032443914864,-0.044550901836580024,-0.04264895237314384,-0.05792376108986167,-0.05375545854070307,0.1721485893308406,-0.040341741936241335,-0.03597567362312626,-0.03286797905284925,-0.04004073820699067,0.2006131489607974,0.0939420238577468,-0.022384223837102864,-0.013732208284559743,-0.03439452250804292,-0.04901822467623652,-0.016708682814562094,-0.03789939360484001,-0.039518807839670066,-0.056412356833115594,-0.03318333408649765,-0.0415962062722568,-0.03389615385017977
3,-0.03890138513317455,0.011732879885594424,-0.05046687451537344,-0.06842306691006074,-0.039672090523058735,0.19522028874008118,0.14585622015074506,0.18800029953721867,0.22088898439366503,0.14811460194618764,0.09167215380642832,0.26754845320605913,0.14026159015907144,-0.02581236267762322,-0.02574892555677436,0.08335482288957437,0.1624364348686963,-0.019742196515164144,0.12358153371966239,-0.034826150934037695,-0.051963669602431116,-0.02960897571225963,-0.012953095216051206,-0.04677220300911825,-0.034545730343651194,-0.03224887601663594,-0.06581664067265797,-0.06651998515415072,-0.04840743767193854,-0.02714146580434975,-0.03317207842789423,-0.05062268027027768,-0.03386213857266134,-0.06389339856968847,-0.027435163058436785,-0.034145774072190695,-0.03752983398971159,-0.03738317895717575,-0.02387190863483099,-0.03458956737555549,-0.0351785550717309,-0.029055057051996947,-0.02238709523580332,-0.027551012564057765,-0.040260562060711484,-0.02445092530164919,-0.0231626693121754,-0.04678722783829463,-0.023960024463633222,-0.04167571185654137,-0.05641642323669209,-0.03197825561934278,-0.018464660392475057,-0.023572574873272967,-0.026635230279541008,-0.02868104643050944,-0.019803863177575758,-0.023023396550455075,-0.03727723720064317,-0.02915598482044063,-0.04824351288124362,-0.04543121432010404,-0.04370759975984145,-0.02406322496257114,-0.02818330391698912,-0.04914240392918774,-0.04761904761904763,-0.03450483320799106,-0.036596387757910714,-0.022923946359185016,-0.04479258807979952,0.2027557470062919,-0.01763891497090423,-0.04419862065087253,-0.008244448881678796,-0.03842189247544285,0.245877509274679,0.13702469690847513,-0.019758814569913984,-0.018061518963496052,-0.01781532292247802,-0.030144634967625906,-0.009331864503670321,-0.03981091404913042,-0.048583446373943545,-0.026207027753968045,-0.018473533756264326,-0.03292327111728446,-0.03796309405726375
4,-0.0499706386656746,0.004648790330614825,-0.04540363005625641,-0.05512822141307522,-0.0370649602215473,0.1882919094664762,0.13598864344245648,0.18868198747148615,0.222951626819242,0.1495646906444444,0.09196738549075825,0.26757931179867006,0.13270880535775234,-0.030915184710904032,-0.06326724375620676,0.06029728108137858,0.1602397895852403,-0.013285122796101499,0.11455202511823512,-0.024474262618202035,-0.039936675283947204,-0.0422133942001253,-0.060046378482797924,-0.03145309967166643,-0.041165415805138925,-0.02894601536677797,-0.01903312985646168,-0.020684265223566246,-0.025604264129473146,-0.033903426366307256,-0.029090477642753795,-0.059328519087270264,-0.027324937074756795,-0.0258984498312386,-0.022462172963153882,-0.02864809311081929,-0.021697279810554884,-0.028456414987972124,-0.039682587750513275,-0.011193866459407752,-0.018572873397481527,-0.05203376391239999,-0.02554373248966468,-0.031657450195476555,-0.0431246515270583,-0.02588535459326832,-0.025545021939767643,-0.030793664494913872,-0.03145893477471876,-0.03476447229279479,-0.027493963747886874,-0.01958260228291971,-0.03217153416220739,-0.025863361947261083,-0.027593636733215177,-0.030146792425862077,-0.03541955770385636,-0.03662134953009082,-0.06422956582200767,-0.02808763484817064,-0.05350113592449576,-0.04836391349876698,-0.030006197572140268,-0.048316049280210285,-0.06969433818920145,-0.03168708059644862,-0.049865945831182756,-0.06090259079104995,-0.05851387991843564,-0.03601709799755026,-0.06199287547480015,0.18370018263995683,-0.033300209311639,-0.03161191187403128,-0.027343743543793066,-0.036150840862136116,0.24658266184217584,0.14252805336067775,-0.03295268276534494,-0.02818175305268642,-0.037819264073337876,-0.03485490574420885,-0.051895966468354766,-0.032085516023208485,-0.04697958811154308,-0.016566198381238927,-0.031955409012133056,-0.029365835929818205,-0.04709287888800893
5,-0.019771702195772914,-0.008151844401000464,-0.03987043874333214,-0.05337624029001528,-0.051342659720853584,0.19321797474491417,0.1295175402788583,0.19042437203340615,0.22735765765459504,0.14455457391511325,0.09786148878282133,0.27240012724744894,0.1307978521079738,-0.02470214848303511,-0.017020238794260355,0.045004283610186685,0.14646978814950265,0.011084555070013661,0.10476748206680113,-0.02717546183130376,-0.044108266403449774,-0.018262637225482447,-0.012013183058204204,-0.05691675069038441,-0.030464320001575892,-0.02628453446415402,-0.05376823638032502,-0.05358913016456674,-0.02992669418829088,-0.04875661592088567,-0.023537318391850148,-0.0598919554641782,-0.07307874169157899,-0.02436005251575945,-0.02246217296315361,-0.04788304701221593,-0.014242645631076436,-0.043545216727367664,-0.03090770142982693,-0.04555850859970946,-0.0492483418754884,-0.04037430897555872,-0.02591128709760236,-0.027117111233298734,-0.037383125370338395,-0.033215577494509166,-0.009634890606043079,-0.042730377967563946,-0.027526567927879043,-0.04278954479794182,-0.0337714068981103,-0.026669037353133303,-0.04400083021217583,-0.02915662908001182,-0.028291142788070142,-0.02105243643347571,-0.04652041817741263,-0.018091853844979758,-0.02226437865281376,-0.033086195441484806,-0.05350113592449576,-0.029636737461651148,-0.025797136828448662,-0.013522365048505526,-0.013116288660480724,-0.016259563994567218,-0.03894333482890987,-0.032912904454197235,-0.03634347258000453,-0.030791526364018933,-0.03280711249713701,0.19135059149633382,-0.020755654992748652,-0.027816786051142486,-0.017302062374954685,-0.027503964884825375,0.24094641386172602,0.15866610115178822,-0.04201835011384794,-0.03912303084665031,-0.03439452250804297,-0.03892180086791736,-0.04430829569967692,-0.03772859781184919,-0.04387189341113902,-0.029644111683868716,-0.02268420942780528,-0.03119530494256494,-0.03569591115948769
6,-0.05500863267152432,-0.0131116395759133,-0.05700500201090099,-0.043303692234129956,-0.012182584716476366,0.1891990962044338,0.14728120133697056,0.1911677851600987,0.22742127454840172,0.15221130932902552,0.08506699706961099,0.27224617444691673,0.1448186530150754,-0.0537691183641945,-0.02555579416740786,0.03677283865969203,0.1629813491677046,-0.03173196792245582,0.1083488611299923,-0.04096235799300105,-0.048595335273222885,-0.031329111791817355,-0.031912836105548785,-0.035056608193461423,-0.026533301257539624,-0.025932650660802962,-0.04572995044074348,-0.0472542805782402,-0.03347587064966245,-0.034979016614440014,-0.024850313509391205,-0.03163668706255887,-0.047174266141202605,-0.05752556761891881,-0.05494564574892104,-0.03600285863191218,-0.042096232513501336,-0.02583188842163728,-0.040199534260618584,-0.04969582214414314,-0.05019317556548603,-0.04553824272668027,-0.024982263211672993,-0.041967278279439996,-0.03958516323458706,-0.06419809080146216,-0.035879648360866406,-0.016195118156820815,-0.0187561944477645,-0.046672455857443,-0.02890481556489633,-0.03396634406180261,-0.019739552271936085,-0.03823145206015446,-0.038249814192891814,-0.012933666853789423,-0.04018510732972274,-0.03308946525898427,-0.04332630492767628,-0.03603540472568778,-0.034523509986334605,-0.023576194603130644,-0.05644938944056849,-0.03543444531339479,-0.018842906977377224,-0.03357609297249915,-0.025715535016680415,-0.009791645249369133,-0.03903551683359119,-0.037760455771607596,-0.03659964201250105,0.21222212398484153,-0.017257899960211015,-0.02843364122496235,-0.04729964241238579,-0.04949801357565579,0.250067701045537,0.15707191482450425,-0.04928892459546677,-0.035235737604621474,-0.04095864123163097,-0.024042469616423437,-0.019204818709452464,-0.029131480218950567,-0.043409779268034694,-0.06674587037548561,-0.05471858671630594,-0.03375409821582464,-0.036390900024242535
7,-0.04008382746322446,0.0032155003900097845,-0.03450791568394884,-0.05500350983193584,-0.06475515512534147,0.19856228737392173,0.1354676699753355,0.18883372866250703,0.2229428887040905,0.1487226981026374,0.09961530582117073,0.2691979523654646,0.15096235756292192,-0.026043771684992247,-0.062358740467895316,0.06865826270063641,0.15845854906926993,0.006692872023523898,0.10384109192838806,-0.013432830884998213,-0.04096500362230304,-0.04851521347610032,-0.052654731199015044,-0.0147320385458729,-0.03530543900505745,-0.02557592595768887,-0.022954818298179806,-0.01369473576034937,-0.037492238894513724,-0.025740432826023535,-0.05687781929949488,-0.02303623021791243,-0.06720324432629472,-0.03411200746971563,-0.037387825055298335,-0.033374018486196054,-0.0610251919522639,-0.042996420800497884,-0.027111753145887662,-0.018371410965684835,-0.041075246229928614,-0.03196333885010839,-0.044456263203978996,-0.031750973147220855,-0.030073987460709977,-0.031197879519790955,-0.03635214235266282,-0.028050767482194924,-0.021628017657619222,-0.03283753434547569,-0.034161840757896834,-0.02985808326043885,-0.046293353534073815,-0.0615384963837455,-0.018590923032518202,-0.026816607191929853,-0.04758739502225958,-0.025415360860601272,-0.03070256479603027,-0.045082424819116,-0.04706185969829417,-0.04150331835838501,-0.015325782987912902,-0.020655753803200488,-0.021560751666811633,-0.049971636878541635,-0.062407687784974734,-0.04471121506362754,-0.03478738870123239,-0.04102552088527682,-0.04125775483406153,0.1885747222238386,-0.03813928956294966,-0.03942698119117221,-0.02734374354379317,-0.027246190079644596,0.21381454884604492,0.11372222666331964,-0.05102220325342603,-0.029260065284048353,-0.03754580232206812,-0.062326776476923716,-0.04053473108342251,-0.05500134540056009,-0.018097316223025836,-0.052427618467280224,-0.030460330811982735,-0.015313899343696242,-0.015453406251028305
8,-0.03344911637570921,0.009915241688991031,-0.02914871142380787,-0.04665279521647305,-0.0632766871271084,0.19650866120729701,0.1428849488894027,0.19038487439036877,0.22508407721416784,0.15467712733796865,0.09081975767924214,0.267026621051821,0.13003004150520772,-0.03566657865052672,-0.04130818831959243,0.05251071132115032,0.15790793471456746,0.01799614135360611,0.12060608116156876,-0.040390709005910505,-0.034422564977213174,-0.038432206492763486,-0.05370274418453696,-0.014037827519274924,-0.03094440504130606,-0.04363010364797401,-0.02480194253006581,-0.01694637091472655,-0.029036197246535004,-0.017398495503991685,-0.06843706923444347,-0.06778380051930408,-0.027102236237840298,-0.03875426832473301,-0.02246217296315368,-0.036896365688365816,-0.02921495122191817,-0.03335475797940506,-0.04996957024928012,-0.031211008066821627,-0.036489538676140076,-0.03909833576321009,-0.03465466240605345,-0.04529712407084719,-0.042221984615256156,-0.04221363086528407,-0.03195531703636442,-0.05267005766349799,-0.024753616803271743,-0.024508484209232455,-0.04136135739813918,-0.021950081651842503,-0.05187504011478176,-0.057017100650241535,-0.03431027771861164,-0.0524793275000176,-0.03068386307256876,-0.02512882001418303,-0.023158884124894315,-0.020039773151295927,-0.053237365364903276,-0.04329306861661227,-0.04554964339817975,-0.04703762019608368,-0.026853144576085727,-0.032009658445868484,-0.052216015308548004,-0.051201301897969,-0.04870688936014405,-0.0295739846658825,-0.04406848679912733,0.220403456706046,-0.04964994856231851,-0.04868160301980509,-0.04909988789333142,-0.018632900445925634,0.25697995567394183,0.1362833423781027,-0.04077747018137587,-0.033121443741156956,-0.03557275686140264,-0.03369364095478629,-0.04642543972966565,-0.04116676925556529,-0.050536669057114084,-0.02192312970932527,-0.03358266655707856,-0.025313294109060035,-0.04388042818153767
9,-0.02952972812560916,0.012166192426040362,-0.05604414099028711,-0.028504738767169403,-0.03989427741053336,0.1879437784095759,0.14870832051499572,0.19494652025309392,0.22806186785784885,0.15767782253896076,0.0903826280561689,0.2666217063410103,0.1560105463005102,-0.059483163551230275,-0.060504611789899014,0.06051055140364609,0.15009538840521883,-0.0275250363120602,0.11257299155447557,-0.005623492764795897,-0.04103746963263651,-0.04557825741596161,-0.0541920979206718,-0.024829017798546738,-0.031228913677577606,-0.034981907057176256,-0.0345175191990675,-0.037738254121989064,-0.06132658015458951,-0.05715136921639422,-0.03355294140609203,-0.031370155884783986,-0.029664506293958837,-0.020243097316871204,-0.04207205603592679,-0.04323658609861515,-0.03951689523208929,-0.04187725880825589,-0.05317251380596371,-0.023660513256288204,-0.02794949909904001,-0.05191181913751642,-0.04067980255234037,-0.031469570493513205,-0.006449912838079219,-0.048575933396382706,-0.03471943774588296,-0.021306087379596838,-0.04688017938533344,-0.04643928642626403,-0.02215138013010294,-0.03248668583548053,-0.03742064154985917,-0.03702764052138217,-0.03824981419289193,-0.05029801660985018,-0.05152077787986622,-0.03965918303892865,-0.04205732294199817,-0.03769433422565404,-0.02372950661737144,-0.06071224574867676,-0.020939005830256693,-0.03376080798126878,-0.035639103790966235,-0.0359406632668435,-0.054272931671284025,-0.03135426595405505,-0.03371011749661128,-0.027977645728466453,-0.05594174217646932,0.1655168574619536,-0.06007155299521234,-0.04114948741149059,-0.0166633883132169,-0.06404138489990001,0.22127007322722775,0.128482209974539,-0.049449005967222084,-0.07654766075966118,-0.05891208344739489,-0.05463058375042261,-0.025756025585544188,-0.03268380587958689,-0.037850588738571306,-0.01877889543342808,-0.05119431691507093,-0.05353401129114921,-0.03999806277122117
