,"Age, BMI & VAT","Sleep Quality
(average of nights)"
liver_viscosity,0.06495872928514025,0.05724885734599005
liver_elasticity,0.08965789385142856,0.06838980897798741
liver_attenuation,0.32323782362096076,0.2418406620478402
liver_sound_speed,0.498075598470375,0.4361129462199047
bt__albumin,0.21603751181029113,0.16144700752087449
bt__bilirubin_total,0.033571854421011696,-0.00046266136262405
bt__protein_total,0.1920905263794852,0.08039137160318124
bt__alkaline_phosphatase,0.09332743568433705,0.034096410291161505
bt__alt_gpt,0.27718128841210987,0.2318652734534609
bt__platelets,0.14437633017722123,0.12724857403846515
bt__ast_got,-0.048763309737437005,-0.0247849917582889
