,Age & BMI,"Sleep Quality
(average of nights)"
liver_viscosity,0.1658239833998686,0.0900431996058083
liver_elasticity,0.07604809737457754,0.0476580811053988
liver_attenuation,0.20849653950104804,0.1526349683880059
liver_sound_speed,0.47567216273361845,0.42380012344078233
bt__albumin,0.08223524789827115,0.1222249567910012
bt__bilirubin_total,0.08931149883168621,0.0401979745926551
bt__protein_total,0.1006159271174045,0.0524817624927695
bt__alkaline_phosphatase,0.35962519285677874,0.2942769893535355
bt__alt_gpt,0.23037073372820677,0.14834680044158782
bt__platelets,0.08954242429086635,0.07256564239803395
bt__ast_got,0.17419580440678678,0.12770092196139324
