,"Age, BMI & VAT","Sleep Quality
(average of nights)"
liver_viscosity,-0.03652626030386695,-0.03652626030386695
liver_elasticity,0.0320459992956954,0.029539269148311398
liver_attenuation,-0.036152198509852795,-0.036152198509852795
liver_sound_speed,0.5167195660418812,0.5169250969885952
bt__albumin,-0.05664797195119175,-0.0566479719511917
bt__bilirubin_total,-0.056817024998435606,-0.056817024998435606
bt__protein_total,-0.06181975807675015,-0.061819758076750095
bt__alkaline_phosphatase,0.15324230876790215,0.15200260363316948
bt__alt_gpt,0.3294719432686678,0.31625150331740604
bt__platelets,0.17307309327524806,0.18481714910079636
bt__ast_got,-0.049338818281812455,-0.049338818281812497
