,HMGCoAreductaseinhibitorsplainlipidmodifyingdrugs
0,0.10559331541592472
1,0.10282424534869894
2,0.10009244845845607
3,0.10703557163037793
4,0.10809780266291209
5,0.0932651173673723
6,0.10298402560572115
7,0.10274220780340704
8,0.11154127037435166
9,0.1129783945981189
10,0.11191706337402947
11,0.10619573120688605
12,0.11069053346488404
13,0.11727322365597345
14,0.11590673244548154
15,0.11599627063273221
16,0.12276204688693233
17,0.10099866528875186
18,0.10670050190219113
19,0.11588523419888938
20,0.11544578943111161
21,0.11726892179092709
22,0.12288956810698001
23,0.12217401436759413
24,0.12084318695109696
25,0.10785491607114084
26,0.10862630322946767
27,0.10318078711723248
28,0.10950688456891663
29,0.0959009336924616
30,0.1307161356459249
31,0.10700706195323761
32,0.12407535945896431
33,0.1063890873010874
34,0.10525373115830293
35,0.11756099707474643
36,0.10590993640823278
37,0.11809273842273132
38,0.11501848613616787
39,0.10056306503888134
40,0.12086454190118089
41,0.1164257724041316
42,0.11291696625881836
43,0.1246784758303587
44,0.13071087100439316
45,0.11796871910157307
46,0.11446199165453408
47,0.1120300336856714
48,0.13192257642763333
49,0.11563863896730871
