,Thyroidhormones
0,0.018273516061717482
1,0.008491181090364413
2,0.015067645266000256
3,-0.00040765501852956014
4,0.026365215190490756
5,0.013294475484394021
6,0.015527874821888199
7,-0.011093817329582005
8,0.008583311517697794
9,0.02430101319600192
10,0.03459051738943104
11,0.023043466765170727
12,0.008670214586354169
13,0.001134348734881072
14,0.00298862752492842
15,0.019925140665599188
16,0.020253083271983944
17,0.016539425837542355
18,0.024405344470646885
19,-0.0037593458764467375
20,0.0016037676100634295
21,0.007530007067460224
22,0.012114062124326306
23,0.032201219553108826
24,0.00912789866586322
25,0.012973310685983595
26,0.015450865543746502
27,0.019158782999938447
28,0.02500128680484268
29,0.012645811163438254
30,0.015950956201025605
31,0.013140324781096788
32,0.018131255312508202
33,0.0142092724266147
34,0.010848354141874168
35,0.0182671878710429
36,0.006216932814855938
37,0.008890687369304321
38,0.009513744848137285
39,0.01938311804839001
40,0.02887064825938307
41,0.0402954945766144
42,0.019089760520076
43,0.02423077715186463
44,-0.005150996280708641
45,0.008705081651806232
46,0.020433792550244488
47,0.01744020084360311
48,-0.0010793350812655733
49,-0.00040678669791381687
