,"Age, BMI & VAT","Sleep Quality
(average of nights)"
depressed_hopeless_fortnight,0.11100379117985645,0.0318200274975875
depressed_longest_period_weeks,-0.012550687677604,-0.010258944399127449
depressed_whole_week,0.0022363283707679,0.00495418254485245
depressed_whole_week_periods,0.0218715681922911,0.026515663012108552
family_relationship_satisfaction,0.018769156282516,-0.00177727151864865
fedup_often,0.0048880989160269995,0.0064845068189994005
feeling_lonley_often,-0.0029241181092548,0.05372902926147555
fidgety_or_restless_fortnight,0.16416421671971476,0.0685893878063181
financial_situation_satisfaction,0.05570464711986945,0.0626748461107424
friendships_satisfaction,0.00659265136985785,-0.024975351238811498
happiness_level,0.0225958609265958,-0.034577458399037045
health_satisfaction,0.22388015589829335,0.1659801897709153
high_irritable_longest_period_duration,0.12411210217627239,0.03206361448520135
high_irritable_state,0.05456293993449085,0.03926404086344295
high_irritable_state_caused_problems,-0.1732864213985179,-0.17328642139851805
hyper_least_two_days,-0.01700703996268085,0.0174843034484077
irritable_person,0.05152029250052685,-0.0475782432299017
irritablilty_leading_to_argumens,-0.0019380794409209,-0.0045221750126886
little_interest_or_pleasure_fortnight,0.11641232976691485,0.047658492226372404
miserable_no_reason,0.0527107667647868,0.0501956277304724
mood_swings,0.0469467328225678,0.06253833145079771
nerves_anxiety_tension_depression_doctor,-0.020962017558548,0.09262929360777811
nerves_anxiety_tension_depression_psychiatrist,0.012391076538255351,0.10510287265781695
nervous_person,0.0378201121904058,0.051659590508494904
risks_taker,0.0053216504858725495,0.018470236856396448
suffer_nerves,-0.025327447740202,0.0066827403335322
tense_or_highly_strung,0.03715942348575815,0.0280043065202028
tired_or_little_energy_fortnight,0.1566912750954024,0.1339429255345838
troubled_by_guilt,-0.00982748171158745,0.025056896728365648
unenjoyment_uninterested_period_duration_weeks,-0.1076468263519452,-0.1076468263519452
unenjoyment_uninterested_periods_number,-0.09372584833271774,-0.0937258483327178
unenjoyment_uninterested_whole_week,0.0120831082064509,0.0197143352896003
work_satisfaction,0.19283737429901235,0.08155822116344705
worrier,0.02250818509383465,0.0104616157870716
worry_long_after_embarrassment,0.0370374412355413,0.016446408634062347
rds_score,0.202926662098522,0.11547642411701775
