,"Age, BMI & VAT","Sleep Quality
(average of nights)"
depressed_hopeless_fortnight,-0.041337456435298944,-0.041337456435298944
depressed_longest_period_weeks,0.046226648732242054,-0.0775106623103383
depressed_whole_week,-0.0407367852425924,-0.0407367852425924
depressed_whole_week_periods,-0.0734355536662247,-0.07714308928611295
family_relationship_satisfaction,-0.0400214013154465,-0.0400214013154465
fedup_often,-0.042688940449214396,-0.04268894044921455
feeling_lonley_often,-0.0436750971217548,-0.04367509712175465
fidgety_or_restless_fortnight,0.16098869369920865,0.1609886936992086
financial_situation_satisfaction,-0.0388405219576471,-0.03946454967201355
friendships_satisfaction,-0.04034267580933145,-0.04034267580933145
happiness_level,-0.041968734963758,-0.041968734963758
health_satisfaction,0.2534014028887164,0.2534013276034318
high_irritable_longest_period_duration,-0.09596872381854976,-0.0946114891667452
high_irritable_state,-0.08736634003745986,-0.08736634003745986
high_irritable_state_caused_problems,-0.1608401724485789,-0.16084017244857907
hyper_least_two_days,-0.0419958119991293,-0.0419958119991293
irritable_person,-0.0448538033985794,-0.0448538033985795
irritablilty_leading_to_argumens,-0.0450316699394991,-0.0450316699394991
little_interest_or_pleasure_fortnight,-0.04652262408123955,-0.04652262408123935
miserable_no_reason,-0.039294328534453804,-0.039294328534453804
mood_swings,-0.04006212566239995,-0.04006212566239995
nerves_anxiety_tension_depression_doctor,-0.04191586503225575,-0.0419158650322557
nerves_anxiety_tension_depression_psychiatrist,-0.04038878356192439,-0.04038878356192439
nervous_person,-0.03472603894811435,-0.0347260389481142
risks_taker,-0.042238003460372445,-0.042238003460372445
suffer_nerves,-0.04026667880949735,-0.04026667880949735
tense_or_highly_strung,-0.0390243850887325,-0.03902438508873255
tired_or_little_energy_fortnight,0.15788050352279076,0.15788050352279076
troubled_by_guilt,-0.0423551358998106,-0.0423551358998106
unenjoyment_uninterested_period_duration_weeks,-0.08226112274206715,-0.13133396699910854
unenjoyment_uninterested_periods_number,-0.1270311389930664,-0.12703113899306645
unenjoyment_uninterested_whole_week,-0.04503093790267425,-0.04503093790267435
work_satisfaction,0.11859901301162205,0.1169829454416457
worrier,-0.04103654966097475,-0.0410365496609747
worry_long_after_embarrassment,-0.0389607788670447,-0.03896077886704475
rds_score,0.18108260147564115,0.17992536869036946
