,Age & BMI,Gut MB families
AHI,0.4698128557242882,0.4203611810572575
ahi_4_percent,0.46564562215172645,0.40422877548653446
ahi_central,0.17897197053684644,0.11042142058637595
ahi_central_during_nrem,0.1559609005057797,0.10095515309515446
ahi_central_during_rem,0.1656339954499365,0.10103068343051436
ahi_during_left,0.33710752369733477,0.2988353198019864
ahi_during_non_supine,0.4036717860247634,0.3595765706353614
ahi_during_nrem,0.4334413603145393,0.37914138558096144
ahi_during_prone,0.34207823785717417,0.2703197284519223
ahi_during_rem,0.48188510143325536,0.4268942172007959
ahi_during_right,0.32758885219338385,0.27136238442401617
ahi_during_supine,0.4601278316647293,0.399343882407473
ahi_obstructive,0.48029867999184683,0.43351058854528557
ahi_obstructive_during_nrem,0.4455130031474328,0.39104254160094976
ahi_obstructive_during_rem,0.48105985183416194,0.4294805492912631
desaturations_above_20,0.17001527606482875,0.10906028092882189
desaturations_mean_nadir,0.3427555227600011,0.2645407921467547
desaturations_of_10_20,0.25689371865139915,0.1925883595462952
desaturations_of_4_9,0.4562883168051285,0.41342856358911817
number_of_4_percent_desaturation_apnea_hypopnea_events,0.44122345934770757,0.3893999640856771
number_of_all_respiratory_events,0.3165842595113318,0.2945948105623235
number_of_apnea_hypopnea_events,0.437074911394117,0.3968101800199576
number_of_central_apnea_hypopnea_events,0.18315679785546357,0.1189595176372809
number_of_desaturation_events,0.4526525170833279,0.3990934595970509
number_of_obstructive_apnea_hypopnea_events,0.44809355050949096,0.41315361161780406
number_of_transitions_nrem_to_rem,0.0432941622664916,0.0622692466008538
number_of_transitions_nrem_to_wake,0.11810483637120664,0.0617517820890386
number_of_transitions_rem_to_nrem,0.0769792678117885,0.0656601074333158
number_of_transitions_rem_to_wake,0.0009630405256395001,0.02660637316382905
number_of_transitions_wake_to_nrem,0.1296607415672873,0.07233072621794434
number_of_transitions_wake_to_rem,0.02839864162921185,0.01550511847124005
number_of_wakes,0.11060757461479065,0.07032444568664675
odi,0.47528203623831944,0.4181926614245507
odi_during_left,0.39665232453754523,0.34194902070190986
odi_during_non_supine,0.4487575283713608,0.39757709483196857
odi_during_nrem,0.4186296359381587,0.35783093763998874
odi_during_prone,0.3772772758194768,0.30556778560948133
odi_during_rem,0.5104837214433773,0.44894909200064076
odi_during_right,0.3693913716467555,0.308464680418657
odi_during_supine,0.4435581707423363,0.38099568058746347
percent_of_deep_sleep_time,0.17903585390036209,0.1292807461228857
percent_of_left_sleep,0.0285333125023238,0.0597649656487812
percent_of_light_sleep_time,0.13844042873537582,0.07329013402484685
percent_of_non_supine_sleep,0.05708433792433765,0.03580488279322755
percent_of_prone_sleep,0.02452511115851215,0.0019366900780057499
percent_of_rem_sleep_time,0.053912189413619346,0.04855127727190185
percent_of_right_sleep,0.0511652436481471,0.0011152371950976
percent_of_sleep_time,0.06702649348883935,0.04858887419773204
percent_of_supine_sleep,0.057084338052956,0.0358048833701785
percent_of_wake_time,0.06702649844953935,0.048588869727876655
rdi,0.3685543241753982,0.3290518273119223
rdi_during_left,0.2236938080627101,0.22577298626614217
rdi_during_non_supine,0.27756580791731844,0.25626381743445725
rdi_during_nrem,0.32551092928265013,0.28034001440672307
rdi_during_prone,0.20673645043250316,0.18656582053199616
rdi_during_rem,0.3927241308180781,0.34149679947529443
rdi_during_right,0.20418167547512783,0.1618256986572014
rdi_during_supine,0.3712662106846101,0.3253186171889241
rem_latency,0.0461133647482203,0.0030790037726711
saturation_below_80,0.17469089116221695,0.10636752671183235
saturation_below_85,0.23127582864801793,0.16545651722126914
saturation_below_90,0.30901515851576616,0.24454084943428275
saturation_below_or_equal_88,0.2980786396646786,0.22591058368517655
saturation_max_value,0.0832410698601417,0.07491040911315915
saturation_mean,0.44529648161378044,0.4055248365479064
saturation_min_value,0.36911563365078937,0.2930261677774062
sleep_efficiency,0.0579351402174174,0.0499148690990893
sleep_latency,0.057626310910297296,0.04055564919364215
snore_above_40db,0.1191541823267934,0.05304944279405595
snore_above_45db,0.2987192280041475,0.21859705206685154
snore_above_50db,0.22708103245361325,0.1370108953581557
snore_above_60db,0.13319612207588605,0.08144029703744585
snore_db_mean,0.28213930456331093,0.19138964497918376
time_to_transition_nrem_to_rem,0.0233132262798213,0.0023491668134848
time_to_transition_nrem_to_wake,0.07370329200662434,0.06607130994537445
time_to_transition_rem_to_nrem,0.09276138928298605,0.02697174284691345
time_to_transition_rem_to_wake,0.0289159320134958,0.038334861434345446
time_to_transition_wake_to_nrem,0.1257400076566058,0.0748747732389362
time_to_transition_wake_to_rem,0.04185024005441735,0.0259820499755638
total_arousal_sleep_time,-0.00449381269756425,0.09053045293280905
total_deep_sleep_time,0.15489638233313094,0.11684368678208085
total_left_sleep_time,0.02621600597623705,0.06534253597950099
total_light_sleep_time,0.09646803658532524,0.09409764981329896
total_non_supine_sleep_time,0.047159428457968305,0.03278531979182335
total_prone_sleep_time,0.0189415534579419,2.0414343119998192e-07
total_rem_sleep_time,0.00130483471910075,0.04328172374944985
total_right_sleep_time,0.05529416830953155,0.031712197623610244
total_sleep_time,-0.0033908882539397,0.09045291692664806
total_supine_sleep_time,0.0537341990190846,0.0344612513767216
total_time_in_bed,-0.0058006610412087,0.09317586524813981
total_valid_apnea_central_sleep_time,0.0189594148469413,0.06976462243821441
total_valid_apnea_sleep_time,0.01866548845045375,0.07671235958903361
total_wake_time,0.05748421640144915,0.03806329828461445
total_wake_time_after_sleep_onset,0.07819100164252854,0.04528227567476485
variability_between_sleep_stage_percents,0.14691263189017423,0.08669260899207151
