,"Age, BMI & VAT",Gut MB families
AHI,0.003143159898513083,0.005707100657779438
ahi_4_percent,0.006024475419224975,0.007222678631600913
ahi_central,0.009914138766363488,0.012067563014294883
ahi_central_during_nrem,0.0116144624472389,0.012174882086169203
ahi_central_during_rem,0.007959577791361017,0.010974771533724849
ahi_during_left,0.00446879586982677,0.00786310350966359
ahi_during_non_supine,0.0041334521447130585,0.007010559597147155
ahi_during_nrem,0.004318409075566129,0.006011416115401195
ahi_during_prone,0.005853632690480606,0.010525119703338552
ahi_during_rem,0.0028954763562335064,0.00513649744798667
ahi_during_right,0.004649626461355108,0.007980871265306257
ahi_during_supine,0.0029821498378483613,0.006587329564903908
ahi_obstructive,0.0026344099609256007,0.007553280165055172
ahi_obstructive_during_nrem,0.0034620987070773396,0.007137517902057947
ahi_obstructive_during_rem,0.0028974237455173598,0.0060218263407206775
desaturations_above_20,0.005663972302853082,0.020108033528373825
desaturations_mean_nadir,0.005979537588329938,0.010268972606580119
desaturations_of_10_20,0.005928287976018289,0.01692562509957233
desaturations_of_4_9,0.005372245324908204,0.007135659957177907
number_of_4_percent_desaturation_apnea_hypopnea_events,0.007104586275356517,0.007501419257782805
number_of_all_respiratory_events,0.0047518178015003645,0.008582126466393817
number_of_apnea_hypopnea_events,0.003683505208995947,0.005613936528000416
number_of_central_apnea_hypopnea_events,0.012010695171683319,0.012095889272166056
number_of_desaturation_events,0.006535542526896784,0.008345916940187782
number_of_obstructive_apnea_hypopnea_events,0.003251619972984763,0.006643707826161591
number_of_transitions_nrem_to_rem,0.00956400122616784,0.012229839913613197
number_of_transitions_nrem_to_wake,0.00722432355533072,0.010672983342319487
number_of_transitions_rem_to_nrem,0.009536162579937214,0.011870433057793223
number_of_transitions_rem_to_wake,0.01024431755309983,0.011910026170954982
number_of_transitions_wake_to_nrem,0.008244708743176786,0.008287633548192883
number_of_transitions_wake_to_rem,0.012019562780936967,0.010789315981200398
number_of_wakes,0.007187339744907038,0.009848461582942234
odi,0.005928790224635254,0.008438590824481661
odi_during_left,0.005923171018314072,0.009334553360164052
odi_during_non_supine,0.006074413659507641,0.008518390401958547
odi_during_nrem,0.005424532076147665,0.008611903963530556
odi_during_prone,0.007595205320438793,0.013353081777720635
odi_during_rem,0.0037053342979183135,0.006479731864136786
odi_during_right,0.006169245536856941,0.012006682221893121
odi_during_supine,0.00454449250231241,0.008182546000528078
percent_of_deep_sleep_time,0.007050094598554959,0.010281735838583337
percent_of_left_sleep,0.007987931040995037,0.013485140426395648
percent_of_light_sleep_time,0.006387510874181872,0.01047216792356737
percent_of_non_supine_sleep,0.008264961650794812,0.011316572275412972
percent_of_prone_sleep,0.010965129035389137,0.010537473006315863
percent_of_rem_sleep_time,0.007941299503774873,0.012441365561102242
percent_of_right_sleep,0.009273280732160894,0.010842571948192109
percent_of_sleep_time,0.009624733022069112,0.01188110192729394
percent_of_supine_sleep,0.00826496104243045,0.011401909891644666
percent_of_wake_time,0.009623172410245486,0.011855341968424424
rdi,0.004673422157113956,0.0061545583958025705
rdi_during_left,0.005857016080131224,0.00993860223569672
rdi_during_non_supine,0.005008363020072306,0.008842126432924643
rdi_during_nrem,0.004742954131554715,0.008173011339471655
rdi_during_prone,0.009290282948986267,0.012586540175532459
rdi_during_rem,0.0035408765749723793,0.007031772061133308
rdi_during_right,0.0059182726130168764,0.009918398362113627
rdi_during_supine,0.0038890508129195735,0.00961112455445718
rem_latency,0.008943831683580625,0.013798872247712085
saturation_below_80,0.0076471126997578135,0.009194962247931508
saturation_below_85,0.006177942249892157,0.016331847005681625
saturation_below_90,0.013542191993885691,0.015858400298066316
saturation_below_or_equal_88,0.010801303017685487,0.016181862659099305
saturation_max_value,0.006314460817179503,0.009381808894141197
saturation_mean,0.0025293325158421594,0.005594386142244996
saturation_min_value,0.004592123018435972,0.008144889124463019
sleep_efficiency,0.009635490750037133,0.0133152907808823
sleep_latency,0.011094269715563774,0.009960699449063143
snore_above_40db,0.007454052135633949,0.011609373226229885
snore_above_45db,0.006592956997713033,0.009827564997758862
snore_above_50db,0.008520689163532913,0.010882550204958794
snore_above_60db,0.015440913843595168,0.011191514964932998
snore_db_mean,0.00721322389538215,0.011278292374315779
time_to_transition_nrem_to_rem,0.009168290991645539,0.0118821011337472
time_to_transition_nrem_to_wake,0.010207501757997858,0.010416433581094182
time_to_transition_rem_to_nrem,0.009527430809519791,0.011043826549191588
time_to_transition_rem_to_wake,0.01071348373224283,0.010921983411877589
time_to_transition_wake_to_nrem,0.013303709131463368,0.01221521605945929
time_to_transition_wake_to_rem,0.014028995327529433,0.016327647106532974
total_arousal_sleep_time,0.011364666951676391,0.012576533621114168
total_deep_sleep_time,0.009531948253243333,0.012232239802567754
total_left_sleep_time,0.008554101242133733,0.01301644862712247
total_light_sleep_time,0.009392930367322335,0.01026050196757348
total_non_supine_sleep_time,0.008220552529630982,0.012642851081035411
total_prone_sleep_time,0.010809218798629255,0.011029754443932725
total_rem_sleep_time,0.00913621390772494,0.013097842026707525
total_right_sleep_time,0.009180041323397389,0.011047166482660561
total_sleep_time,0.011390485489476788,0.012894306464958878
total_supine_sleep_time,0.008226852471947294,0.012117555254972488
total_time_in_bed,0.008634162141145605,0.01102488681057296
total_valid_apnea_central_sleep_time,0.010249253052454277,0.013306597660408256
total_valid_apnea_sleep_time,0.009944869561356536,0.013646074654347787
total_wake_time,0.008461542581512384,0.011987899140282521
total_wake_time_after_sleep_onset,0.009067174438403299,0.01086443771174649
variability_between_sleep_stage_percents,0.006231180930056736,0.009161148925927912
