,"Age, BMI & VAT",Gut MB families
AHI,0.5696002082756113,0.5673941413014146
ahi_4_percent,0.5344795820622357,0.5350826795029695
ahi_central,0.2927064493843278,0.2927064493843279
ahi_central_during_nrem,0.27560009101219807,0.27560009101219807
ahi_central_during_rem,0.2670106547046355,0.2670106546547891
ahi_during_left,0.4309351815383166,0.41352416039497586
ahi_during_non_supine,0.480014221718858,0.470507354621331
ahi_during_nrem,0.5109928879183318,0.5052737564377154
ahi_during_prone,0.41938503586182085,0.4141422182273305
ahi_during_rem,0.5981000059010682,0.5919205160443293
ahi_during_right,0.4064715131177056,0.39441801536247845
ahi_during_supine,0.5645758947193158,0.5634757534645041
ahi_obstructive,0.5728837491334231,0.5697426791796216
ahi_obstructive_during_nrem,0.5154629050817702,0.5098356551492746
ahi_obstructive_during_rem,0.5908278327646672,0.583445723259451
desaturations_above_20,-0.037417523060890204,-0.037417523060890204
desaturations_mean_nadir,0.23862816017826785,0.2382475737616804
desaturations_of_10_20,0.1889957716706931,0.16357672282793512
desaturations_of_4_9,0.5423702913602683,0.5425323150137839
number_of_4_percent_desaturation_apnea_hypopnea_events,0.5206138588602136,0.5196042823617031
number_of_all_respiratory_events,0.4276265211727977,0.42964012746255587
number_of_apnea_hypopnea_events,0.5530217131939412,0.5539000566907484
number_of_central_apnea_hypopnea_events,0.29575133445611623,0.27689926258847464
number_of_desaturation_events,0.5273433668083058,0.5264470685701433
number_of_obstructive_apnea_hypopnea_events,0.5583921314112891,0.5579215370335137
number_of_transitions_nrem_to_rem,-0.0325115818727717,-0.032511581872771644
number_of_transitions_nrem_to_wake,0.23218241742939733,0.2358628719449518
number_of_transitions_rem_to_nrem,-0.0335634259208584,-0.0335634259208584
number_of_transitions_rem_to_wake,-0.033762175335045,-0.033762175335045
number_of_transitions_wake_to_nrem,0.22031634482602735,0.2214203331924656
number_of_transitions_wake_to_rem,-0.038286749905386996,-0.038286749905386996
number_of_wakes,0.2083943625386867,0.21434090753972457
odi,0.5407965875615195,0.5416090803869622
odi_during_left,0.42900093166302855,0.42515323843589414
odi_during_non_supine,0.4724752328909456,0.4712152311220522
odi_during_nrem,0.4586049023840268,0.4588936097870203
odi_during_prone,0.37692215909947413,0.35459809537561593
odi_during_rem,0.5756354105508734,0.5698429503867797
odi_during_right,0.38331659645521904,0.37993164596948653
odi_during_supine,0.5127156996013118,0.5037927403216982
percent_of_deep_sleep_time,0.22967659966717446,0.21160787862213448
percent_of_left_sleep,0.10236610302281965,0.08545150600237315
percent_of_light_sleep_time,0.20302003690641623,0.1648667847173519
percent_of_non_supine_sleep,0.11821519871072825,0.108645472178662
percent_of_prone_sleep,-0.04060173799214025,0.0238880504508094
percent_of_rem_sleep_time,0.14903156293586406,0.0960492867249566
percent_of_right_sleep,0.09847808277028294,0.03749958276704775
percent_of_sleep_time,0.11296009718184774,0.10169522698201311
percent_of_supine_sleep,0.1182151987107283,0.108645472178662
percent_of_wake_time,0.11296009718184785,0.10169522698201311
rdi,0.4519117449451668,0.452513155081943
rdi_during_left,0.30917648518336316,0.29353197964919886
rdi_during_non_supine,0.35295239458312644,0.34055027560589174
rdi_during_nrem,0.3846387185941751,0.3822837543302654
rdi_during_prone,0.31641756910501473,0.30616471734624484
rdi_during_rem,0.500470708331012,0.49010230781972763
rdi_during_right,0.29367031899920204,0.27565100538170173
rdi_during_supine,0.45855005240708824,0.44649479959460847
rem_latency,0.058769825038256104,0.00916482546239065
saturation_below_80,-0.0323701511010357,-0.032370151101035846
saturation_below_85,0.12428543266375695,0.12056521160252806
saturation_below_90,0.2839270599392872,0.27542849975824585
saturation_below_or_equal_88,0.24766648816063264,0.24486616512472015
saturation_max_value,0.21282581024180144,0.21282581024180136
saturation_mean,0.5854510474693907,0.5854511879633113
saturation_min_value,0.42212654512323966,0.4193986963462173
sleep_efficiency,0.0930552053088054,-0.03444528073912515
sleep_latency,-0.0403330488994731,-0.0403330488994731
snore_above_40db,0.2199985168281682,0.17582234495954954
snore_above_45db,0.3973528630973353,0.3920579785021585
snore_above_50db,0.32812151923317784,0.32479826335939654
snore_above_60db,0.14943230877785404,0.12009439757934395
snore_db_mean,0.35564476797681865,0.35564484596594964
time_to_transition_nrem_to_rem,0.0670622058423261,-0.015677010262950798
time_to_transition_nrem_to_wake,0.12726782444263351,0.11432316882394705
time_to_transition_rem_to_nrem,0.1468913806709998,0.14283842395851704
time_to_transition_rem_to_wake,0.0943623697475321,-0.02987595386273885
time_to_transition_wake_to_nrem,-0.03677017029130125,-0.0357507701850981
time_to_transition_wake_to_rem,0.044142283186309056,-0.040266390564736354
total_arousal_sleep_time,0.0399399481361053,0.0073498248182949505
total_deep_sleep_time,0.17559067641335818,0.1645864993394553
total_left_sleep_time,0.10279045419760036,0.05695701499105915
total_light_sleep_time,0.1704527692205611,0.13301230194143376
total_non_supine_sleep_time,0.1263403505536405,0.08151043713613304
total_prone_sleep_time,-0.02509299271161875,0.0746904040784371
total_rem_sleep_time,0.10988585531558775,0.0719353917537537
total_right_sleep_time,0.09996535486798536,0.07193587965170514
total_sleep_time,0.041200648192289496,0.00716748761873355
total_supine_sleep_time,0.09806138441444825,0.07663017661331606
total_time_in_bed,0.0833957430434302,0.03914640560628565
total_valid_apnea_central_sleep_time,0.02158933165139645,-0.0343464111741279
total_valid_apnea_sleep_time,0.00909926490746035,-0.03259615992524645
total_wake_time,0.13452744352763785,0.13457124219214014
total_wake_time_after_sleep_onset,0.13649024755452743,0.1348114531226142
variability_between_sleep_stage_percents,0.20607510632847326,0.1714992570980125
