,"Age, BMI & VAT",Gut MB families
AHI,0.0010257184992333412,0.0013061834730458408
ahi_4_percent,0.0014737527141689892,0.003209571085847871
ahi_central,0.0044997118623397265,0.004536631952264597
ahi_central_during_nrem,0.0034708795291017473,0.0037766164449168377
ahi_central_during_rem,0.0035906494331692427,0.0035897019583149745
ahi_during_left,0.0016146022752343756,0.0021368169823444793
ahi_during_non_supine,0.0010048311403613461,0.0012955133192271322
ahi_during_nrem,0.001273866603403844,0.001723937087147694
ahi_during_prone,0.0027390056793848167,0.0028136363502791312
ahi_during_rem,0.001052961053654985,0.0013044814817565705
ahi_during_right,0.0017138939826838514,0.002208849914998977
ahi_during_supine,0.0012033556198013816,0.001469676429112275
ahi_obstructive,0.0010914366162472341,0.001279164893331886
ahi_obstructive_during_nrem,0.0012208595731735294,0.0032111803774417867
ahi_obstructive_during_rem,0.0009048420651998242,0.0009918168709888786
desaturations_above_20,0.016808582759315786,0.016787596497345805
desaturations_mean_nadir,0.001879162511308508,0.0018640951661322354
desaturations_of_10_20,0.006605746278131076,0.010583068697242388
desaturations_of_4_9,0.0016442504737600799,0.002256294427105575
number_of_4_percent_desaturation_apnea_hypopnea_events,0.001981089805006722,0.002933547067353445
number_of_all_respiratory_events,0.0019614888759062377,0.003739707221536774
number_of_apnea_hypopnea_events,0.001465084702513296,0.0018982979158162906
number_of_central_apnea_hypopnea_events,0.0037030925231043175,0.006121637673694982
number_of_desaturation_events,0.0024114907908677164,0.0030239370892350586
number_of_obstructive_apnea_hypopnea_events,0.0013438860016822594,0.0030450576184580655
number_of_transitions_nrem_to_rem,0.020313519477627592,0.02030570395635144
number_of_transitions_nrem_to_wake,0.0058183347735905,0.008429104055523875
number_of_transitions_rem_to_nrem,0.017279068933103797,0.01623000240775026
number_of_transitions_rem_to_wake,0.014911470805715348,0.014911470805715346
number_of_transitions_wake_to_nrem,0.005085963881074996,0.007360655891469601
number_of_transitions_wake_to_rem,0.013970773182088614,0.013970773182088603
number_of_wakes,0.003911900273785184,0.006866169873174545
odi,0.0017826187183364994,0.0031309014850017533
odi_during_left,0.0023821696754243297,0.0044801838281671585
odi_during_non_supine,0.0017301308381251562,0.0026901554902529533
odi_during_nrem,0.0017738234034583716,0.003478352609179523
odi_during_prone,0.002974784581297248,0.004734927847861909
odi_during_rem,0.0013326796634530354,0.003234757386682037
odi_during_right,0.002538197622684504,0.004525014463278476
odi_during_supine,0.0016591941670378685,0.0021412340106235573
percent_of_deep_sleep_time,0.0023967463945446248,0.007129972748784595
percent_of_left_sleep,0.005719886391076101,0.012735854578592835
percent_of_light_sleep_time,0.002870206175383997,0.008851311856371006
percent_of_non_supine_sleep,0.0038468481714989925,0.009421001776639435
percent_of_prone_sleep,0.015261875999376074,0.015269371611579806
percent_of_rem_sleep_time,0.0037046337114629954,0.010614725714424995
percent_of_right_sleep,0.004053241187998506,0.014570302016094121
percent_of_sleep_time,0.0050497314453160705,0.010682391031415621
percent_of_supine_sleep,0.0038468481714989873,0.00942100177663943
percent_of_wake_time,0.005049731445316168,0.010682391031415652
rdi,0.0012544078863832213,0.0015381544135138943
rdi_during_left,0.0019351902059151405,0.0028679124900581484
rdi_during_non_supine,0.0013300791778421129,0.0020817175383053637
rdi_during_nrem,0.00141280497815777,0.0018331501470269687
rdi_during_prone,0.002769507814852036,0.002881815141593668
rdi_during_rem,0.001280265758970229,0.0014599558407233692
rdi_during_right,0.0023109274831527036,0.0031017932448975383
rdi_during_supine,0.0012236257468589342,0.0012312498926273139
rem_latency,0.005276249172339661,0.010446885856290193
saturation_below_80,0.009029824648721811,0.02073243897254588
saturation_below_85,0.006038952320678468,0.008178626589614326
saturation_below_90,0.004902512441831072,0.0052888988623023105
saturation_below_or_equal_88,0.004809641020969103,0.0058021109334547285
saturation_max_value,0.021981017641768606,0.021981017641768602
saturation_mean,0.0014486568234114297,0.0014486649490582483
saturation_min_value,0.0017788249369274029,0.003360695563897561
sleep_efficiency,0.007050518354103776,0.015099614496912732
sleep_latency,0.010280050887475335,0.011462128978352132
snore_above_40db,0.0036171113031843063,0.009893635576242744
snore_above_45db,0.002702092043923812,0.0035664851612585524
snore_above_50db,0.0029959226361723833,0.0033959352641402974
snore_above_60db,0.006495512730308261,0.014708647268575395
snore_db_mean,0.0032924017111670236,0.003280907571633898
time_to_transition_nrem_to_rem,0.011142779842461089,0.013881140647145832
time_to_transition_nrem_to_wake,0.004808843750039081,0.011126375923033168
time_to_transition_rem_to_nrem,0.0037286732789128503,0.008638534188842839
time_to_transition_rem_to_wake,0.009331887427886133,0.011893560276514841
time_to_transition_wake_to_nrem,0.002563132571076267,0.00459228901771123
time_to_transition_wake_to_rem,0.005939575775406685,0.011879135359550996
total_arousal_sleep_time,0.007487799525787101,0.011960837131468281
total_deep_sleep_time,0.002983039108487387,0.003949678901033933
total_left_sleep_time,0.004798356728587701,0.011055150900608022
total_light_sleep_time,0.003132560791314699,0.009220705924908503
total_non_supine_sleep_time,0.002986962145439574,0.010705198020074025
total_prone_sleep_time,0.01306851977420973,0.013314748933617853
total_rem_sleep_time,0.004245636987804288,0.008176040380642473
total_right_sleep_time,0.0030056294336144843,0.01013152052694825
total_sleep_time,0.007581873739391066,0.012154326984432761
total_supine_sleep_time,0.004295603504572302,0.011077562427702031
total_time_in_bed,0.008257594445700858,0.0143138566266739
total_valid_apnea_central_sleep_time,0.006878519877488049,0.014385278525360992
total_valid_apnea_sleep_time,0.00568328532517901,0.010508147172128307
total_wake_time,0.005596437946499724,0.010632674229790568
total_wake_time_after_sleep_onset,0.0040758276451734726,0.009543479489130318
variability_between_sleep_stage_percents,0.002937719911290933,0.007238552990543075
